,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,4,sem,Slovenian,AUX,23,no,-2.1739,1.4231,-1.1621,0.7275,0.7894,0.0837,3,3,3,2
1,5,preveč,Slovenian,DET,354,no,4.2037,-2.2949,0.622,0.9963,0.5103,0.3058,1,1,1,1
2,2054,gora,Slovenian,NOUN,432,no,4.0136,-2.1602,0.6,0.9883,0.5204,0.3031,1,1,1,1
3,6151,zakon,Slovenian,NOUN,238,no,-0.1179,-1.5234,-0.4244,0.8141,0.5682,0.1756,4,4,3,2
4,8,zgodilo,Slovenian,VERB,274,no,-4.9454,0.8374,-0.0395,0.6106,0.7454,0.2235,3,3,3,2
5,9,se,Slovenian,PRON,4,no,-0.913,1.7465,-0.8626,0.7806,0.8136,0.121,5,4,3,2
6,10,je,Slovenian,VERB,30,no,-11.8409,-4.1802,0.8011,0.3199,0.3688,0.3281,2,2,2,2
7,12,dni,Slovenian,NOUN,162,no,-0.6391,0.2181,-0.0142,0.7922,0.6989,0.2266,5,4,3,2
8,13,po,Slovenian,ADP,17,no,-2.7883,-0.3838,-0.5128,0.7016,0.6537,0.1645,3,3,3,2
9,14,tem,Slovenian,DET,42,no,-3.8319,-0.0871,-0.2313,0.6576,0.676,0.1996,3,3,3,2
10,15,ko,Slovenian,SCONJ,21,no,-4.5024,-0.4677,-0.646,0.6293,0.6474,0.148,4,4,3,2
11,17,da,Slovenian,SCONJ,6,no,-11.0372,-3.0797,0.6724,0.3538,0.4514,0.3121,2,2,2,2
12,18,me,Slovenian,PRON,134,no,4.06,-2.1976,0.6063,0.9902,0.5176,0.3038,1,1,1,1
13,23,v,Slovenian,ADP,2,no,-8.0403,-3.9851,0.1021,0.4801,0.3834,0.2411,2,2,2,2
14,2071,delu,Slovenian,NOUN,119,no,-2.6757,0.9495,-0.3336,0.7063,0.7538,0.1869,3,3,3,2
15,25,bila,Slovenian,VERB,310,no,1.0857,0.6349,0.149,0.8649,0.7302,0.2469,5,4,3,2
16,29,ob,Slovenian,ADP,36,no,-0.8109,0.5552,-0.6571,0.7849,0.7242,0.1466,5,4,3,2
17,4128,vlade,Slovenian,NOUN,368,no,1.9495,-0.8411,-0.3542,0.9013,0.6194,0.1843,1,1,1,1
