,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2048,les,Spanish,PRON,95,no,-3.1043,0.9575,2.6551,0.048,0.1919,0.5427,2,2,2,2
1,1,las,Spanish,PRON,232,no,2.7602,-0.5352,-1.2877,0.2186,0.1141,0.0405,5,4,3,2
2,2050,algo,Spanish,PRON,160,no,2.5162,-2.0266,-0.686,0.2115,0.0364,0.1171,5,4,3,2
3,3,de,Spanish,ADP,1,no,29.6321,16.4731,6.245,1.0,1.0,1.0,1,1,1,1
4,5,y,Spanish,CCONJ,4,no,13.0622,4.5682,0.7425,0.5181,0.3799,0.2991,1,1,1,1
5,10,millones,Spanish,NOUN,56,no,2.1009,-0.9931,-0.8427,0.1994,0.0903,0.0972,5,4,3,2
6,11,dólares,Spanish,NOUN,92,no,1.2768,-2.0213,0.5773,0.1754,0.0367,0.278,3,3,3,2
7,12,el,Spanish,DET,2,no,14.0198,5.0787,1.0581,0.546,0.4065,0.3393,1,1,1,1
8,2058,mujeres,Spanish,NOUN,335,no,1.1033,-1.2196,-0.5124,0.1704,0.0785,0.1392,5,4,3,2
9,14,mayo,Spanish,NOUN,58,no,0.8554,-0.6661,-0.9675,0.1632,0.1073,0.0813,5,4,3,2
10,16,a,Spanish,ADP,5,no,20.4784,9.4679,3.0864,0.7338,0.6351,0.5977,1,1,1,1
11,2066,ellos,Spanish,PRON,143,no,1.4301,-1.1546,-0.9524,0.1799,0.0818,0.0832,5,4,3,2
12,4115,yo,Spanish,PRON,209,no,-2.3841,-0.3614,4.0146,0.069,0.1232,0.7159,3,3,3,2
13,20,hoy,Spanish,ADV,29,no,0.3658,-0.2857,-0.9949,0.1489,0.1271,0.0778,5,4,3,2
14,21,un,Spanish,DET,11,no,5.3032,0.4686,-0.7543,0.2925,0.1664,0.1084,5,4,3,2
15,23,banco,Spanish,NOUN,435,no,0.0772,-1.5768,1.684,0.1405,0.0599,0.419,3,3,3,2
16,26,según,Spanish,SCONJ,444,no,-1.1804,0.5367,-0.949,0.104,0.1699,0.0836,3,3,3,2
17,27,informe,Spanish,NOUN,418,no,0.1762,-1.2274,0.7082,0.1434,0.0781,0.2947,3,3,3,2
18,29,eran,Spanish,AUX,223,no,-1.6543,0.7237,-0.5071,0.0902,0.1797,0.1399,3,3,3,2
19,31,los,Spanish,PRON,155,no,6.7256,0.4784,-0.692,0.3339,0.1669,0.1164,5,4,3,2
20,33,en,Spanish,ADP,6,no,16.1007,6.3533,1.7371,0.6065,0.4729,0.4258,1,1,1,1
21,34,poder,Spanish,NOUN,342,no,0.5293,-1.613,0.9469,0.1537,0.058,0.3251,3,3,3,2
22,37,se,Spanish,PRON,10,no,0.5094,-0.0505,-1.4725,0.1531,0.1394,0.0169,5,4,3,2
23,2085,según,Spanish,SCONJ,444,no,-4.5664,4.0418,-0.7351,0.0055,0.3525,0.1109,2,2,2,2
24,40,su,Spanish,DET,18,no,2.4233,0.3838,-1.0571,0.2088,0.162,0.0699,5,4,3,2
25,41,valor,Spanish,NOUN,334,no,-0.1172,-0.7332,0.4959,0.1349,0.1038,0.2677,3,3,3,2
26,43,cambio,Spanish,NOUN,361,no,0.6675,-1.469,0.7984,0.1577,0.0655,0.3062,3,3,3,2
27,44,oficial,Spanish,ADJ,226,no,-2.0742,0.4463,1.2939,0.078,0.1652,0.3693,3,3,3,2
28,46,que,Spanish,PRON,8,no,6.489,-0.0328,-0.7324,0.327,0.1403,0.1112,5,4,3,2
29,49,base,Spanish,NOUN,175,no,3.1816,-1.6459,0.1294,0.2308,0.0563,0.221,4,4,3,2
30,51,por,Spanish,ADP,12,no,8.9606,2.2924,-0.3041,0.3989,0.2614,0.1658,5,4,3,2
