,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,av,Swedish,ADP,6,no,-7.7456,-1.6427,0.8818,0.4497,0.5866,0.939,5,4,3,2
1,5,genom,Swedish,ADP,60,no,2.9025,-1.2276,0.4606,0.8945,0.6208,0.8841,3,2,1,1
2,2055,lättare,Swedish,ADJ,460,no,0.3237,1.0854,-0.4482,0.7867,0.8114,0.7655,2,2,1,1
3,12,det,Swedish,DET,31,no,-8.5839,-1.5722,0.5127,0.4147,0.5924,0.8909,4,3,2,2
4,13,innebär,Swedish,VERB,175,no,-0.6798,0.2798,1.1273,0.7448,0.745,0.9711,5,4,3,2
5,14,bl.a.,Swedish,ADV,249,no,2.6711,-1.0756,0.4834,0.8848,0.6333,0.8871,3,2,1,1
6,15,att,Swedish,SCONJ,13,no,-5.5871,0.2873,0.9529,0.5399,0.7456,0.9483,5,4,3,2
7,16,endast,Swedish,ADV,400,no,2.6179,-0.2799,-1.2475,0.8826,0.6989,0.6613,3,2,1,1
8,17,en,Swedish,PRON,313,no,-0.6767,-0.1147,0.9266,0.745,0.7125,0.9449,5,4,3,2
9,19,kommer,Swedish,VERB,88,no,0.7703,1.6644,-0.655,0.8054,0.8591,0.7386,3,2,1,1
10,20,att,Swedish,SCONJ,13,no,-1.9591,1.2459,0.7102,0.6914,0.8246,0.9167,5,4,3,2
11,22,för,Swedish,ADV,234,no,-11.0756,-2.7991,-0.0652,0.3107,0.4913,0.8155,4,3,2,2
12,26,den,Swedish,PRON,33,no,-4.825,0.9801,0.7658,0.5717,0.8027,0.9239,5,4,3,2
13,4123,mån,Swedish,NOUN,355,no,2.3642,0.7386,-2.014,0.872,0.7828,0.5613,3,2,1,1
14,27,blir,Swedish,VERB,42,no,-11.2993,-3.8303,-2.1427,0.3013,0.4063,0.5445,4,3,2,2
15,28,gemensam,Swedish,ADJ,417,no,2.0628,0.64,-1.6392,0.8594,0.7747,0.6102,3,2,1,1
16,29,alla,Swedish,PRON,385,no,0.4957,0.2317,0.8061,0.7939,0.741,0.9292,3,2,1,1
17,2081,kommuner,Swedish,NOUN,296,no,-1.4495,1.5703,0.3242,0.7127,0.8513,0.8663,5,4,3,2
18,33,gäller,Swedish,VERB,73,no,-4.9835,-0.1707,-1.4555,0.5651,0.7079,0.6341,5,4,3,2
19,34,även,Swedish,ADV,72,no,-0.7597,0.8405,0.6684,0.7415,0.7912,0.9112,5,4,3,2
20,37,och,Swedish,CCONJ,2,no,-14.9074,-6.4008,-2.8797,0.1506,0.1945,0.4483,4,3,2,2
21,39,de,Swedish,PRON,32,no,-0.8373,-0.5788,1.0334,0.7383,0.6742,0.9588,5,4,3,2
22,41,som,Swedish,CCONJ,161,no,-7.186,-0.4508,0.7374,0.4731,0.6848,0.9202,5,4,3,2
23,42,på,Swedish,ADP,3,no,-13.455,-5.9838,-2.5339,0.2113,0.2288,0.4934,4,3,2,2
24,43,detta,Swedish,DET,203,no,4.7243,-3.8907,0.1566,0.9705,0.4013,0.8444,1,1,1,1
25,44,sätt,Swedish,NOUN,132,no,-1.3777,-1.492,-0.987,0.7157,0.599,0.6952,5,4,3,2
26,47,kallas,Swedish,VERB,436,no,0.755,0.6582,0.0919,0.8048,0.7762,0.836,3,2,1,1
27,49,dessa,Swedish,DET,112,no,1.5321,0.197,0.5008,0.8372,0.7382,0.8893,3,2,1,1
28,50,är,Swedish,VERB,102,no,-5.562,-1.663,1.1934,0.5409,0.5849,0.9797,5,4,3,2
29,52,inkomst,Swedish,NOUN,213,no,-1.2582,0.5324,0.7244,0.7207,0.7658,0.9185,5,4,3,2
30,66,eller,Swedish,CCONJ,20,no,-5.3784,-0.2567,1.0871,0.5486,0.7008,0.9658,5,4,3,2
