,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,bayan,Turkish,NOUN,139,no,-4.4321,2.5531,0.6449,0.047,0.575,0.2165,5,4,3,2
1,10,geçen,Turkish,ADJ,129,no,-1.8657,-0.7453,0.4234,0.1553,0.3067,0.1947,5,4,3,2
2,2059,değer,Turkish,NOUN,201,no,-0.1248,-0.6195,-0.1957,0.2288,0.317,0.1337,3,3,2,2
3,11,yıl,Turkish,NOUN,70,no,6.6434,0.8583,-0.1179,0.5143,0.4372,0.1413,2,2,1,1
4,2062,içeriyor,Turkish,VERB,258,no,-1.1163,0.2115,-0.9987,0.1869,0.3846,0.0546,5,4,3,2
5,15,adet,Turkish,NOUN,284,no,0.0344,-1.2776,0.3666,0.2355,0.2634,0.1891,3,3,2,2
6,19,inc.,Turkish,PROPN,257,no,-2.4882,1.2339,-0.6812,0.1291,0.4677,0.0859,5,4,3,2
7,20,3,Turkish,NUM,193,no,0.3624,-1.3344,0.5666,0.2493,0.2588,0.2088,3,3,2,2
8,2039,wall,Turkish,PROPN,407,no,-4.7459,2.6567,0.8123,0.0338,0.5834,0.233,5,4,3,2
9,23,bir,Turkish,ADJ,266,no,3.0372,-0.8941,-0.3151,0.3622,0.2946,0.1219,2,2,1,1
10,26,7,Turkish,NUM,402,no,-3.4864,-2.6587,6.2834,0.0869,0.1511,0.7717,4,4,3,2
11,2074,yatırım,Turkish,NOUN,182,no,-0.8101,0.6601,-1.0558,0.1999,0.421,0.049,5,4,3,2
12,28,seviyesinden,Turkish,NOUN,463,no,-0.9831,-0.6416,-0.0368,0.1926,0.3152,0.1493,3,3,2,2
13,29,10,Turkish,NUM,101,no,1.5402,-1.4351,-0.0076,0.299,0.2506,0.1522,3,3,2,2
14,32,yeni,Turkish,ADJ,27,no,1.5046,-0.2642,-0.6968,0.2975,0.3459,0.0843,3,3,2,2
15,33,oran,Turkish,NOUN,346,no,-1.6361,-1.3455,1.9138,0.165,0.2579,0.3414,3,3,2,2
16,34,15,Turkish,NUM,334,no,-0.9405,-1.3341,1.0382,0.1944,0.2588,0.2552,3,3,2,2
17,2083,faiz,Turkish,NOUN,157,no,-0.5937,-0.5233,-0.4069,0.209,0.3248,0.1129,3,3,2,2
18,38,bir,Turkish,ADJ,266,no,18.1538,7.7779,4.4855,1.0,1.0,0.5947,1,1,1,1
19,41,henüz,Turkish,ADV,256,no,-1.7031,0.2672,-0.6598,0.1622,0.3891,0.088,5,4,3,2
20,47,gerçekten,Turkish,ADV,417,no,-2.3425,0.9139,-0.608,0.1352,0.4417,0.0931,5,4,3,2
21,48,bu,Turkish,PRON,14,no,11.1548,4.3618,1.8561,0.7047,0.7221,0.3357,1,1,1,1
22,50,pek,Turkish,ADV,329,no,-1.3187,0.1688,-0.9224,0.1784,0.3811,0.0621,5,4,3,2
23,58,bay,Turkish,NOUN,7,no,-3.5413,1.7102,-0.1438,0.0846,0.5065,0.1388,5,4,3,2
24,61,şekilde,Turkish,NOUN,26,no,7.1674,0.1896,0.1097,0.5365,0.3828,0.1638,2,2,1,1
25,66,bazıları,Turkish,PRON,197,no,-1.8983,0.5029,-0.6086,0.1539,0.4083,0.093,5,4,3,2
26,2116,zaman,Turkish,NOUN,192,no,1.6328,-0.5076,-0.7264,0.3029,0.3261,0.0814,3,3,2,2
27,72,daha,Turkish,ADV,6,no,5.9139,0.7454,-0.1644,0.4836,0.428,0.1368,2,2,1,1
28,81,tam,Turkish,ADJ,340,no,-1.8177,-0.5187,1.2999,0.1573,0.3252,0.281,3,3,2,2
29,82,ve,Turkish,CCONJ,2,no,16.996,7.3551,4.1767,0.9512,0.9656,0.5643,1,1,1,1
30,6235,önce,Turkish,ADP,343,no,-1.3581,-0.7493,-0.0185,0.1767,0.3064,0.1511,5,4,3,2
31,92,için,Turkish,ADP,4,no,9.4185,3.8842,1.572,0.6314,0.6833,0.3078,1,1,1,1
32,2139,yen,Turkish,NOUN,414,no,2.2413,-2.3515,0.5263,0.3286,0.1761,0.2048,2,2,1,1
33,96,üzerine,Turkish,ADV,231,no,-0.5221,-0.5236,-0.2549,0.212,0.3248,0.1279,3,3,2,2
34,97,bile,Turkish,ADV,66,no,0.824,-0.4837,-0.8239,0.2688,0.328,0.0718,3,3,2,2
35,100,bunun,Turkish,PRON,81,no,-0.6513,-0.4348,-0.1542,0.2066,0.332,0.1378,3,3,2,2
36,2151,tahmin,Turkish,NOUN,171,no,-0.7952,-0.1442,-0.7415,0.2005,0.3556,0.0799,5,4,3,2
37,104,olması,Turkish,NOUN,431,no,-1.9455,0.6688,-0.6946,0.152,0.4217,0.0846,5,4,3,2
38,107,bu,Turkish,PRON,14,no,6.2499,0.6657,-0.313,0.4977,0.4215,0.1221,2,2,1,1
