,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,6144,дід,Ukrainian,NOUN,283,no,0.3797,1.4128,-0.643,0.2424,0.8594,0.718,5,4,3,2
1,6145,баба,Ukrainian,NOUN,205,no,-1.669,1.6222,-3.7296,0.1434,0.8801,0.3188,5,4,3,2
2,1,у,Ukrainian,ADP,3,no,8.5375,-2.09,0.0325,0.6369,0.513,0.8054,3,2,2,2
3,6147,дочка,Ukrainian,NOUN,357,no,-0.7168,0.1971,0.9248,0.1894,0.7392,0.9208,1,1,1,1
4,6,була,Ukrainian,VERB,122,no,2.5464,-0.0527,0.146,0.3472,0.7145,0.8201,4,3,3,2
5,12,та,Ukrainian,DET,293,no,3.9051,-0.5573,0.0466,0.4129,0.6645,0.8072,4,3,3,2
6,15,якось,Ukrainian,ADV,204,no,-0.8515,0.9899,-0.7693,0.1829,0.8176,0.7017,5,4,3,2
7,17,нього,Ukrainian,PRON,153,no,1.6419,1.0829,1.5105,0.3035,0.8268,0.9966,5,4,3,2
8,19,від,Ukrainian,ADP,21,no,2.1047,-0.1813,1.1343,0.3258,0.7017,0.9479,5,4,3,2
9,25,й,Ukrainian,CCONJ,19,no,1.129,0.8036,0.3143,0.2787,0.7991,0.8419,5,4,3,2
10,27,ж,Ukrainian,PART,47,no,5.3872,-1.7173,0.0555,0.4846,0.5498,0.8084,3,2,2,2
11,32,свого,Ukrainian,DET,159,no,-0.9088,0.6232,-0.847,0.1801,0.7813,0.6917,5,4,3,2
12,37,як,Ukrainian,CCONJ,299,no,3.5646,0.3478,0.2827,0.3964,0.7541,0.8378,4,3,3,2
13,38,на,Ukrainian,ADP,2,no,16.0465,-7.2765,-2.0639,1.0,0.0,0.5342,3,2,2,2
14,42,це,Ukrainian,DET,345,no,6.7679,-0.862,0.0586,0.5513,0.6344,0.8088,4,3,3,2
15,44,з,Ukrainian,ADP,4,no,8.1825,-3.4992,-0.3215,0.6197,0.3736,0.7596,3,2,2,2
16,6188,ліс,Ukrainian,NOUN,411,no,-2.0748,2.7304,1.2349,0.1237,0.9897,0.9609,1,1,1,1
17,53,і,Ukrainian,PART,26,no,14.3999,-5.6864,-1.814,0.9204,0.1573,0.5666,3,2,2,2
18,2103,три,Ukrainian,NUM,144,no,0.8361,-0.297,-1.9714,0.2645,0.6903,0.5462,5,4,3,2
19,56,і,Ukrainian,PART,26,no,7.0028,-1.3313,-0.9574,0.5627,0.588,0.6774,3,2,2,2
20,57,багато,Ukrainian,DET,121,no,2.6196,1.6803,0.2364,0.3507,0.8859,0.8318,4,3,3,2
21,58,інших,Ukrainian,DET,158,no,0.9492,1.0499,-0.0364,0.27,0.8235,0.7965,5,4,3,2
22,59,її,Ukrainian,DET,78,no,-3.2219,-1.2985,-0.0555,0.0683,0.5912,0.794,1,1,1,1
23,61,вона,Ukrainian,PRON,23,no,1.5259,1.3314,-1.0756,0.2979,0.8513,0.6621,5,4,3,2
24,2110,сила,Ukrainian,NOUN,313,no,0.0897,1.093,-0.8046,0.2284,0.8278,0.6971,5,4,3,2
25,8255,виявилося,Ukrainian,VERB,399,no,-0.932,0.0464,0.8649,0.179,0.7242,0.9131,1,1,1,1
26,6209,йшли,Ukrainian,VERB,478,no,-0.3387,0.9794,-0.8927,0.2077,0.8165,0.6857,5,4,3,2
27,66,за,Ukrainian,ADP,12,no,5.5464,-0.3802,0.3017,0.4923,0.6821,0.8402,4,3,3,2
28,69,після,Ukrainian,ADP,72,no,0.7702,0.4632,1.2175,0.2613,0.7655,0.9587,5,4,3,2
29,2117,першого,Ukrainian,ADJ,406,no,-2.5464,-0.6127,0.2869,0.1009,0.6591,0.8383,1,1,1,1
30,8267,води,Ukrainian,NOUN,209,no,-0.8494,-0.0108,0.8626,0.183,0.7186,0.9128,1,1,1,1
31,76,почали,Ukrainian,VERB,149,no,2.5769,1.3262,0.3502,0.3487,0.8508,0.8465,4,3,3,2
32,80,до,Ukrainian,ADP,8,no,8.453,-3.3224,-0.2793,0.6328,0.3911,0.7651,3,2,2,2
33,81,того,Ukrainian,DET,119,no,3.3341,0.6837,0.6018,0.3853,0.7873,0.8791,4,3,3,2
34,83,вони,Ukrainian,PRON,27,no,1.6826,1.6543,-0.0295,0.3054,0.8833,0.7974,5,4,3,2
35,8275,території,Ukrainian,NOUN,454,no,-0.2892,0.7042,-0.3198,0.2101,0.7893,0.7598,5,4,3,2
36,90,при,Ukrainian,ADP,131,no,-0.8299,0.081,0.8779,0.1839,0.7277,0.9148,1,1,1,1
37,2139,цю,Ukrainian,DET,177,no,-2.3657,-0.7145,0.2951,0.1097,0.649,0.8394,1,1,1,1
38,91,початку,Ukrainian,NOUN,358,no,0.4178,-0.9501,0.7705,0.2443,0.6257,0.9009,5,4,3,2
39,96,стала,Ukrainian,VERB,462,no,-0.317,0.4283,1.0137,0.2087,0.762,0.9323,1,1,1,1
40,97,лише,Ukrainian,PART,60,no,2.5637,-1.4658,0.8221,0.348,0.5747,0.9076,5,4,3,2
41,103,усе,Ukrainian,PRON,365,no,-0.5694,1.2363,-0.676,0.1965,0.8419,0.7138,5,4,3,2
42,104,що,Ukrainian,PRON,61,no,9.5461,-1.1376,-0.9553,0.6857,0.6071,0.6776,3,2,2,2
43,105,не,Ukrainian,PART,5,no,14.4796,-5.2979,-1.8741,0.9242,0.1957,0.5588,3,2,2,2
