,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2049,کمشنر,Urdu,NOUN,300,no,0.9669,0.8763,-1.7184,0.8619,0.2234,0.024,5,4,3,2
1,6,بورڈ,Urdu,PROPN,392,no,0.731,-0.2365,-0.0466,0.8532,0.1411,0.2336,5,4,3,2
2,7,کے,Urdu,PROPN,296,no,-15.1813,6.6786,3.0056,0.2713,0.6526,0.6164,1,1,1,1
3,8,اےک,Urdu,NUM,26,no,-3.1123,2.0595,-0.1189,0.7127,0.311,0.2246,5,4,3,2
4,11,بموجب,Urdu,ADP,334,no,2.8062,1.3307,-0.1501,0.9291,0.257,0.2207,2,2,2,2
5,12,بورڈ,Urdu,PROPN,392,no,-0.2571,-0.9872,0.0194,0.8171,0.0856,0.2419,5,4,3,2
6,13,کی,Urdu,VERB,27,no,-8.7415,1.9069,-0.02,0.5068,0.2997,0.237,3,3,3,2
7,2059,20,Urdu,NUM,498,no,3.1166,1.7162,-0.2462,0.9405,0.2856,0.2086,2,2,2,2
8,16,کا,Urdu,ADP,10,no,-5.6191,0.6822,-0.7988,0.621,0.2091,0.1393,3,3,3,2
9,17,اجلاس,Urdu,NOUN,67,no,-4.3304,-0.6502,-0.7844,0.6682,0.1105,0.1411,3,3,3,2
10,18,حیدرآباد,Urdu,PROPN,199,no,-0.6988,-0.5317,-1.064,0.801,0.1193,0.106,5,4,3,2
11,2065,",",Urdu,SCONJ,448,no,2.3572,1.3285,-0.4178,0.9127,0.2569,0.1871,2,2,2,2
12,19,مےں,Urdu,ADP,8,no,-4.7858,0.5757,-0.912,0.6515,0.2012,0.1251,3,3,3,2
13,21,اور,Urdu,CCONJ,6,no,-9.0334,1.3109,0.1646,0.4962,0.2556,0.2601,3,3,3,2
14,2070,انجام,Urdu,NOUN,328,no,2.8893,1.4589,0.014,0.9322,0.2665,0.2412,2,2,2,2
15,23,اپریل,Urdu,PROPN,176,no,-0.7662,-1.474,0.146,0.7985,0.0496,0.2578,5,4,3,2
16,24,کو,Urdu,ADP,5,no,-6.1065,0.9999,-0.62,0.6032,0.2326,0.1617,3,3,3,2
17,25,منعقد,Urdu,ADJ,165,no,0.9955,-0.8251,1.282,0.8629,0.0976,0.4003,4,4,3,2
18,26,ہو,Urdu,VERB,25,no,-14.5112,5.87,2.8725,0.2959,0.5928,0.5997,1,1,1,1
19,27,رہا,Urdu,VERB,490,no,0.9149,-1.1824,1.7322,0.86,0.0712,0.4567,4,4,3,2
20,28,ہے,Urdu,VERB,35,no,-3.6092,-0.9418,-1.0089,0.6945,0.089,0.113,3,3,3,2
21,30,اس,Urdu,PRON,24,no,-1.0371,0.0147,-1.1643,0.7886,0.1597,0.0935,5,4,3,2
22,33,سید,Urdu,PROPN,421,no,4.3593,1.4651,2.7482,0.9859,0.267,0.5841,2,2,2,2
23,37,صدر,Urdu,PROPN,203,no,-0.1518,-0.2477,-1.115,0.821,0.1403,0.0996,5,4,3,2
24,38,کریں_گے,Urdu,VERB,342,no,-0.2694,-0.1974,-1.1138,0.8167,0.144,0.0998,5,4,3,2
