,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,գրական,Western_Armenian,ADJ,118,no,-0.1702,0.1124,0.3331,0.189,0.6991,0.8674,5,4,3,2
1,4,իբրեւ,Western_Armenian,ADP,110,no,-2.925,-0.3429,-0.3631,0.0796,0.6697,0.782,4,3,2,2
2,8,ինչ,Western_Armenian,DET,138,no,7.6774,-0.3924,-0.9018,0.5007,0.6665,0.716,3,2,1,1
3,10,կը,Western_Armenian,AUX,1,no,0.6702,1.1553,0.4796,0.2224,0.7665,0.8853,5,4,3,2
4,4110,պետութեան,Western_Armenian,NOUN,356,no,1.1198,0.3269,0.8659,0.2402,0.713,0.9327,5,4,3,2
5,15,է,Western_Armenian,AUX,3,no,17.9729,-7.7109,-4.8628,0.9096,0.1941,0.2303,1,1,1,1
6,20,կամ,Western_Armenian,CCONJ,21,no,0.0329,-0.1807,1.3217,0.1971,0.6802,0.9886,5,4,3,2
7,23,են,Western_Armenian,AUX,18,no,3.5579,-0.6492,-0.0937,0.3371,0.65,0.815,3,2,1,1
8,6172,մխիթարեան,Western_Armenian,PROPN,264,no,-4.2626,-1.9471,-0.6002,0.0265,0.5662,0.7529,4,3,2,2
9,32,որ,Western_Armenian,PART,48,no,2.2806,0.8653,0.9628,0.2863,0.7477,0.9446,2,2,1,1
10,2086,տան,Western_Armenian,NOUN,267,no,0.119,0.659,0.1514,0.2005,0.7344,0.8451,5,4,3,2
11,44,քննադատութեան,Western_Armenian,NOUN,492,no,0.3225,0.9062,0.3354,0.2086,0.7504,0.8677,5,4,3,2
12,45,եւ,Western_Armenian,CCONJ,2,no,20.2502,-10.7168,-6.5392,1.0,0.0,0.0247,1,1,1,1
13,46,կ՚,Western_Armenian,AUX,6,no,2.146,2.3827,-0.2633,0.281,0.8457,0.7942,2,2,1,1
14,47,ըսէ,Western_Armenian,VERB,52,no,7.55,-0.4222,-0.8462,0.4956,0.6646,0.7228,3,2,1,1
15,48,ան,Western_Armenian,PRON,43,no,2.1959,1.0242,1.0415,0.283,0.758,0.9542,2,2,1,1
16,2096,բնականաբար,Western_Armenian,ADV,389,no,-1.1651,0.2943,0.5477,0.1495,0.7109,0.8937,4,3,2,2
17,2098,ունենայ,Western_Armenian,VERB,265,no,1.6659,-0.9404,0.3415,0.2619,0.6312,0.8684,5,4,3,2
18,51,մեր,Western_Armenian,DET,23,no,1.6805,0.0173,0.3066,0.2625,0.693,0.8641,5,4,3,2
19,52,գրականութեան,Western_Armenian,NOUN,259,no,0.246,-0.2394,0.9502,0.2055,0.6764,0.943,5,4,3,2
20,53,գլխաւոր,Western_Armenian,ADJ,311,no,-4.4419,-2.0184,-0.6791,0.0194,0.5616,0.7433,4,3,2,2
21,4151,քան,Western_Armenian,ADP,472,no,-3.9933,-1.8126,-0.4693,0.0372,0.5749,0.769,4,3,2,2
22,56,հակառակ,Western_Armenian,ADP,174,no,-3.0854,-1.215,0.2688,0.0732,0.6134,0.8595,4,3,2,2
23,57,յակոբ,Western_Armenian,PROPN,435,no,-2.4691,-1.0997,0.4778,0.0977,0.6209,0.8851,4,3,2,2
24,59,որուն,Western_Armenian,PRON,125,no,1.0157,0.3356,1.2817,0.2361,0.7135,0.9837,5,4,3,2
25,60,ուղղութեամբ,Western_Armenian,NOUN,310,no,-0.7993,-0.1179,0.9585,0.164,0.6843,0.9441,4,3,2,2
26,61,այսօր,Western_Armenian,ADV,101,no,-0.1096,0.394,0.9814,0.1914,0.7173,0.9469,5,4,3,2
27,62,ալ,Western_Armenian,ADV,10,no,10.7892,-4.5077,-2.3729,0.6243,0.4009,0.5356,3,2,1,1
28,63,կարգ,Western_Armenian,NOUN,179,no,-2.7621,-1.0839,0.4023,0.0861,0.6219,0.8759,4,3,2,2
29,64,մը,Western_Armenian,DET,4,no,10.2205,-4.4095,-2.3811,0.6017,0.4072,0.5346,3,2,1,1
30,2113,համակարգի,Western_Armenian,NOUN,428,no,-0.5227,1.1505,-0.259,0.175,0.7662,0.7948,5,4,3,2
31,67,չեն,Western_Armenian,AUX,120,no,-2.0681,0.4595,-0.338,0.1136,0.7215,0.7851,4,3,2,2
32,68,այդ,Western_Armenian,PRON,247,no,3.8067,-0.6976,0.3017,0.347,0.6468,0.8635,2,2,1,1
33,70,իրենք,Western_Armenian,PRON,437,no,-0.4365,0.9954,-0.0631,0.1784,0.7561,0.8188,5,4,3,2
34,74,որոշ,Western_Armenian,DET,205,no,-2.9677,-0.5995,-0.1661,0.0779,0.6532,0.8062,4,3,2,2
35,78,մնայ,Western_Armenian,VERB,241,no,6.2123,0.2263,-0.237,0.4425,0.7065,0.7975,3,2,1,1
36,82,կարելի,Western_Armenian,ADJ,109,no,7.8402,-1.4665,-1.3823,0.5071,0.5972,0.657,3,2,1,1
37,83,հայ,Western_Armenian,NOUN,119,no,-1.0075,0.6218,-0.1358,0.1558,0.732,0.8099,5,4,3,2
38,84,անոր,Western_Armenian,PRON,85,no,-1.4046,-0.466,0.8568,0.14,0.6618,0.9316,4,3,2,2
39,88,առած,Western_Armenian,VERB,344,no,3.2732,-0.1909,-0.058,0.3258,0.6796,0.8194,3,2,1,1
40,2138,յաջորդ,Western_Armenian,ADJ,357,no,-3.6353,-1.663,-0.3194,0.0514,0.5845,0.7874,4,3,2,2
41,92,եթէ,Western_Armenian,SCONJ,40,no,1.1171,1.4071,0.4975,0.2401,0.7827,0.8875,5,4,3,2
42,95,ինչ,Western_Armenian,DET,138,no,-1.0679,-0.0478,0.7345,0.1534,0.6888,0.9166,4,3,2,2
43,97,պիտի,Western_Armenian,AUX,15,no,2.6002,1.8165,0.2543,0.299,0.8092,0.8577,2,2,1,1
44,2146,եւս,Western_Armenian,ADV,81,no,0.6744,0.7978,0.5288,0.2226,0.7434,0.8914,5,4,3,2
45,104,մէջ,Western_Armenian,ADP,5,no,4.7817,-1.3497,-0.259,0.3857,0.6047,0.7948,2,2,1,1
46,105,հանդէս,Western_Armenian,NOUN,258,no,-2.2264,-0.6528,0.5483,0.1074,0.6497,0.8938,4,3,2,2
47,4202,յանձնախումբի,Western_Armenian,NOUN,401,no,-2.0676,-0.3782,0.3941,0.1137,0.6675,0.8749,4,3,2,2
48,106,եկած,Western_Armenian,VERB,233,no,1.3314,0.1512,1.136,0.2486,0.7016,0.9658,5,4,3,2
49,110,համար,Western_Armenian,ADP,14,no,2.515,0.1677,0.2216,0.2957,0.7027,0.8537,5,4,3,2
50,111,անոնք,Western_Armenian,PRON,131,no,-0.1061,0.1483,1.0684,0.1916,0.7015,0.9575,5,4,3,2
51,116,որ,Western_Armenian,PART,48,no,8.352,-0.4804,-0.8301,0.5275,0.6609,0.7247,3,2,1,1
52,118,առջեւ,Western_Armenian,ADP,112,no,-1.5684,0.1221,0.468,0.1335,0.6998,0.8839,4,3,2,2
53,119,որեւէ,Western_Armenian,DET,222,no,-1.8316,1.6138,-2.0018,0.123,0.7961,0.5811,5,4,3,2
54,2171,օրերուն,Western_Armenian,NOUN,294,no,-1.2959,0.576,0.2579,0.1443,0.7291,0.8581,4,3,2,2
55,2172,տեղի,Western_Armenian,NOUN,95,no,-2.2854,-0.1273,0.0181,0.105,0.6837,0.8288,4,3,2,2
56,125,ինչպէս,Western_Armenian,ADP,380,no,2.0991,1.2877,0.5088,0.2791,0.775,0.8889,2,2,1,1
57,6270,մշակութային,Western_Armenian,ADJ,438,no,-1.0054,0.2464,-0.3111,0.1558,0.7078,0.7884,5,4,3,2
58,128,կայ,Western_Armenian,VERB,70,no,6.7841,-0.379,-0.3714,0.4652,0.6674,0.781,3,2,1,1
59,2179,ժողովուրդին,Western_Armenian,NOUN,367,no,2.1789,0.6515,0.9765,0.2823,0.7339,0.9463,2,2,1,1
60,2181,յատուկ,Western_Armenian,ADJ,445,no,-2.9608,-0.2497,-0.4866,0.0782,0.6758,0.7669,4,3,2,2
61,134,պարագային,Western_Armenian,NOUN,327,no,-0.9417,0.2923,0.2022,0.1584,0.7107,0.8513,5,4,3,2
62,135,ի,Western_Armenian,ADP,29,no,1.0015,0.2962,1.3854,0.2355,0.711,0.9964,5,4,3,2
63,142,կրնայ,Western_Armenian,VERB,80,no,5.3439,-0.4638,0.2161,0.408,0.6619,0.853,3,2,1,1
64,2202,հիմնական,Western_Armenian,ADJ,373,no,-4.3685,-1.983,-0.6428,0.0223,0.5639,0.7477,4,3,2,2
65,155,ի,Western_Armenian,ADP,29,no,-2.5452,0.2405,-0.5136,0.0947,0.7074,0.7636,4,3,2,2
66,157,անոր,Western_Armenian,PRON,85,no,2.83,-0.1491,0.4372,0.3082,0.6823,0.8801,2,2,1,1
67,161,ժամանակ,Western_Armenian,ADP,369,no,1.2991,0.0203,1.4148,0.2474,0.6932,1.0,5,4,3,2
68,165,վեր,Western_Armenian,ADV,117,no,0.3327,1.1391,0.9046,0.209,0.7654,0.9374,5,4,3,2
69,2216,շաբաթ,Western_Armenian,NOUN,263,no,2.0236,0.4766,0.9198,0.2761,0.7226,0.9393,2,2,1,1
70,169,այն,Western_Armenian,PRON,290,no,3.0802,1.1747,0.8516,0.3181,0.7677,0.931,2,2,1,1
71,170,մէկ,Western_Armenian,NUM,126,no,-0.1633,0.4083,0.1,0.1893,0.7182,0.8388,5,4,3,2
72,2217,օր,Western_Armenian,NOUN,253,no,-0.6854,0.5968,0.1642,0.1686,0.7304,0.8467,5,4,3,2
73,168,յիշեմ,Western_Armenian,VERB,491,no,1.3717,-0.2365,1.1911,0.2502,0.6766,0.9726,5,4,3,2
74,173,երբ,Western_Armenian,SCONJ,318,no,-2.7874,-1.0808,0.3933,0.0851,0.6221,0.8748,4,3,2,2
75,175,աւելի,Western_Armenian,ADV,34,no,3.8955,-0.3647,-0.599,0.3505,0.6683,0.7531,3,2,1,1
76,4274,կատարուած,Western_Armenian,VERB,228,no,-1.7329,-0.4925,0.8526,0.1269,0.6601,0.9311,4,3,2,2
77,183,տակաւին,Western_Armenian,ADV,115,no,-0.4462,0.1664,0.9632,0.1781,0.7026,0.9446,5,4,3,2
78,188,շուրջ,Western_Armenian,ADP,216,no,-2.6422,-0.3872,-0.0213,0.0908,0.6669,0.8239,4,3,2,2
79,190,թէ,Western_Armenian,PART,162,no,-1.9236,-0.0262,0.2353,0.1194,0.6902,0.8554,4,3,2,2
