,word,POS,count
1,_,PROPN,4241
2,_,PUNCT,4208
3,_,ADJ,3649
4,_,NUM,1288
5,_,VERB,3122
6,_,NOUN,11886
7,l,ADP,801
8,_,ADP,3544
9,hm,PRON,140
10,_,X,51
11,_,DET,245
12,w,CCONJ,2096
13,h,PRON,580
14,b,ADP,686
15,ha,PRON,459
16,_,AUX,414
17,_,SCONJ,895
18,_,ADV,1352
19,darw,PROPN,2
20,_,CCONJ,237
21,_,PRON,650
22,wylt,PROPN,1
23,swntag,PROPN,1
24,fydyrykw,PROPN,1
25,tryw,PROPN,1
26,krws,PROPN,2
27,mafyyh,PROPN,1
28,rynmyntal,PROPN,1
29,alaba,PROPN,1
30,ma,SCONJ,21
31,nywmksykw,PROPN,1
32,:,PUNCT,24
33,lywbwld,PROPN,1
34,bwdwan,PROPN,1
35,kwsmws,PROPN,1
36,haynry$,PROPN,1
37,hyrbrt,PROPN,1
38,karayan,PROPN,1
39,hma,PRON,63
40,nykplas,PROPN,1
41,atlvany,PROPN,1
42,bwtsdam,PROPN,1
43,alslh,PROPN,1
44,seadp,PROPN,1
45,nykaragwa,PROPN,1
46,swmwza,PROPN,1
47,gwrjy,PROPN,1
48,k,ADP,44
49,s,AUX,177
50,srbya,PROPN,1
51,ay,NOUN,1
52,$njyray,PROPN,1
53,hwnzfy,PROPN,1
54,dynt$w,PROPN,1
55,dynyf,PROPN,1
56,draganwfw,PROPN,1
57,trnwfw,PROPN,1
58,dyankw,PROPN,1
59,dyankwf,PROPN,1
60,haskwfw,PROPN,1
61,yanf,PROPN,1
62,krawly,PROPN,1
63,na,PRON,56
64,_,PART,55
65,f,CCONJ,32
66,hn,PRON,1
67,kabytan,PROPN,1
68,kwtyfsky,PROPN,1
69,abytan,PROPN,1
70,dwfr,PROPN,1
71,fwjyan,PROPN,1
72,mamata,PROPN,1
73,ma,PRON,21
74,bywngyang,PROPN,1
75,gaby,PROPN,1
76,a$kynazy,PROPN,2
77,kara,PROPN,1
78,swaryz,PROPN,1
79,styfnswn,PROPN,1
80,baty,PROPN,1
81,aylyna,PROPN,1
82,lyxwftsyfa,PROPN,1
83,dynyza,PROPN,1
84,sarh,PROPN,1
85,bytkwfsky,PROPN,1
86,magy,PROPN,1
87,syrna,PROPN,1
88,rwksandra,PROPN,1
89,dragwmyr,PROPN,1
90,mwntwlyw,PROPN,1
91,gala,PROPN,1
92,garsya,PROPN,1
93,ay,PROPN,1
94,swgyyama,PROPN,1
95,an,PROPN,2
96,krymyr,PROPN,1
97,myskyna,PROPN,1
98,6-4,NUM,3
99,6-1,NUM,4
100,jwstyn,PROPN,1
101,hnyn,PROPN,1
102,aza,PROPN,1
103,karlswn,PROPN,1
104,tatyana,PROPN,1
105,fabywla,PROPN,1
106,zwlwaga,PROPN,1
107,sabyn,PROPN,1
108,ylyna,PROPN,1
