,word,POS,count
1,el,DET,5522
2,tribunal,PROPN,2
3,suprem,PROPN,3
4,(,PUNCT,162
5,ts,PROPN,1
6,),PUNCT,162
7,haver,AUX,618
8,confirmar,VERB,9
9,condemna,NOUN,3
10,a,ADP,1329
11,quatre,NUM,28
12,any,NOUN,153
13,de,ADP,4285
14,inhabilitació,NOUN,3
15,especial,ADJ,9
16,i,CCONJ,1076
17,un,DET,602
18,multa,NOUN,8
19,3.6,NUM,1
20,milió,NOUN,47
21,pesseta,NOUN,67
22,per,ADP,615
23,veterinari,NOUN,2
24,gironí,ADJ,7
25,",",PUNCT,2121
26,ell,PRON,659
27,beneficiar,VERB,1
28,càrrec,NOUN,13
29,públic,ADJ,30
30,que,PRON,544
31,desenvolupar,VERB,4
32,seu,DET,160
33,relació,NOUN,16
34,amb,ADP,313
35,empresa,NOUN,38
36,càrnic,ADJ,2
37,zona,NOUN,34
38,en,ADP,552
39,oferir,VERB,18
40,servei,NOUN,43
41,particular,ADJ,2
42,.,PUNCT,1217
43,sentència,NOUN,11
44,qual,PRON,45
45,tenir,VERB,99
46,accés,NOUN,26
47,intra-acn,PROPN,4
48,desestimar,VERB,1
49,recurs,NOUN,8
50,interposat,ADJ,1
51,processat,NOUN,18
52,albert,PROPN,3
53,bramón,PROPN,1
54,president,NOUN,25
55,col·legi,PROPN,5
56,veterinaris,PROPN,2
57,girona,PROPN,43
58,moment,NOUN,21
59,fet,NOUN,45
60,josefina,PROPN,1
61,j.,PROPN,1
62,pere,PROPN,11
63,c.,PROPN,1
64,mateu,PROPN,1
65,b.,PROPN,1
66,actuar,VERB,9
67,com,SCONJ,124
68,inspector,NOUN,1
69,veterinari,ADJ,1
70,generalitat,PROPN,55
71,anar,AUX,332
72,ser,AUX,319
73,condemnar,VERB,10
74,audiència,PROPN,22
75,delicte,NOUN,21
76,negociació,NOUN,4
77,prohibit,ADJ,1
78,funcionari,NOUN,6
79,encarregar,VERB,3
80,control,NOUN,6
81,higiene,NOUN,2
82,la,DET,183
83,garrotxa,PROPN,4
84,aquest,DET,290
85,motiu,NOUN,21
86,fer,VERB,185
87,visita,NOUN,12
88,periòdic,ADJ,1
89,analítica,NOUN,2
90,aprofitar,VERB,10
91,constituir,VERB,5
92,1991,NUM,2
93,un,NUM,108
94,dedicat,ADJ,3
95,planificació,NOUN,1
96,matèria,NOUN,4
97,primer,ADJ,42
98,utilitzar,VERB,6
99,oficial,ADJ,11
100,captar,VERB,3
101,empresari,NOUN,4
102,inspeccionar,VERB,1
103,segons,ADP,81
104,',PUNCT,356
105,clar,ADJ,4
