,word,POS,count
1,看似,AUX,2
2,簡單,ADJ,1
3,，,PUNCT,2808
4,只,ADV,22
5,是,VERB,113
6,二,NUM,23
7,選,VERB,3
8,一,NUM,420
9,做,VERB,15
10,決擇,NOUN,1
11,但,ADV,76
12,其實,ADV,5
13,他,PRON,233
14,代表,VERB,14
15,的,PART,1981
16,是,AUX,316
17,你,PRON,12
18,周遭,NOUN,1
19,親朋,NOUN,1
20,好友,NOUN,2
21,試,VERB,2
22,著,AUX,47
23,給,VERB,12
24,不同,ADJ,39
25,意見,NOUN,6
26,追根究底,VERB,1
27,最後,NOUN,23
28,決定,VERB,14
29,還是,AUX,2
30,自己,PRON,36
31,。,PUNCT,1781
32,其,PRON,75
33,便當,NOUN,1
34,都是,VERB,5
35,買來,VERB,2
36,就算,ADP,3
37,加熱,VERB,2
38,也是,ADV,2
39,由,VERB,83
40,媽媽,NOUN,2
41,負責,VERB,24
42,（,PUNCT,210
43,後來,NOUN,20
44,揭曉,VERB,1
45,避免,VERB,5
46,帶來,VERB,6
47,厄運,NOUN,1
48,）,PUNCT,210
49,父親,NOUN,21
50,則,ADV,42
51,在,VERB,205
52,電視,NOUN,20
53,台,PART,17
54,上班,VERB,1
55,這,DET,116
56,次,NOUN,54
57,遊行,NOUN,1
58,最大,ADJ,12
59,特色,NOUN,7
60,於,VERB,193
61,越來越,ADV,2
62,多,ADJ,3
63,年輕,ADJ,2
64,人,PART,86
65,上街,VERB,1
66,遊行,VERB,3
67,而且,ADV,9
68,當中,NOUN,5
69,不乏,VERB,1
70,行動,NOUN,8
71,激烈,ADJ,5
72,躁,PART,1
73,少年,NOUN,1
74,懷孕,VERB,2
75,期,PART,2
76,為,AUX,188
77,421,NUM,1
78,至,CCONJ,24
79,457,NUM,1
80,日,NOUN,150
81,婷婷,PROPN,1
82,向,ADP,41
83,昏迷,VERB,2
84,中,ADP,134
85,婆婆,NOUN,2
86,訴說,VERB,2
87,為,ADP,44
88,什麼,PRON,6
89,生活,NOUN,10
90,會,AUX,65
91,與,ADP,89
92,她,PRON,54
93,想像,VERB,1
94,不,ADV,58
95,一樣,ADJ,10
96,數論,NOUN,1
97,應用,NOUN,4
98,被,VERB,118
99,找到,VERB,4
100,了,PART,23
101,也,ADV,107
102,不會,AUX,8
103,有,VERB,219
104,人,NOUN,146
105,因,ADP,47
106,此,PRON,47
107,罷黜,VERB,1
108,數學,NOUN,9
109,皇后,NOUN,2
110,一中,PROPN,1
111,商圈,NOUN,1
112,另,DET,20
113,為,VERB,174
114,同,DET,6
115,類型,NOUN,6
116,商店,NOUN,5
117,聚集,VERB,5
118,短短,ADJ,1
119,育才,PROPN,1
120,街,PART,17
121,了,AUX,272
122,十數,NUM,1
123,家,NOUN,23
124,知名,ADJ,3
125,眼鏡,NOUN,1
126,連鎖,NOUN,1
127,店,PART,5
128,而,ADV,105
129,體育,NOUN,8
130,用品,NOUN,1
131,沿著,ADP,1
132,太平,PROPN,7
133,路,PART,21
134,連成,VERB,1
135,線,NOUN,7
136,在,ADP,381
137,競爭,NOUN,3
138,下,ADP,28
139,價格,NOUN,4
140,比,ADP,17
141,外地,NOUN,1
142,便宜,ADJ,1
143,不少,ADJ,6
144,貨,NOUN,1
145,比,VERB,3
146,三,NUM,78
147,更,ADV,20
148,增加,VERB,15
149,購物,NOUN,2
150,樂趣,NOUN,1
151,《,PUNCT,115
152,代,NOUN,8
153,女皇,NOUN,1
154,》,PUNCT,115
155,開錄,VERB,1
156,當日,NOUN,3
157,掌鏡,VERB,1
158,者,PART,52
159,導播,NOUN,1
160,出身,VERB,5
161,當時,NOUN,40
162,中視,PROPN,2
163,節目,NOUN,18
164,部,PART,31
165,經理,NOUN,6
166,王,PROPN,13
167,世綱,PROPN,1
168,我,PRON,24
169,希望,VERB,7
170,藉著,ADP,1
171,個,NOUN,231
172,歷史,NOUN,21
173,上,ADP,60
174,真實,ADJ,5
175,人物,NOUN,19
176,生,NOUN,3
177,利用,VERB,6
178,一些,ADJ,28
179,稗官野史,NOUN,1
180,片段,NOUN,2
181,資料,NOUN,12
182,再,ADV,15
183,加上,VERB,6
184,善意,NOUN,2
185,改編,VERB,3
186,部分,NOUN,33
187,情節,NOUN,3
188,能,AUX,27
189,帶給,VERB,2
190,觀眾,NOUN,7
191,啟示,NOUN,1
192,」,PUNCT,154
193,外界,NOUN,2
194,傳聞,VERB,1
195,樊,PROPN,3
196,日行,PROPN,2
197,主管,NOUN,1
198,授意,NOUN,1
199,裝病,VERB,2
200,否認,VERB,3
201,：,PUNCT,34
202,「,PUNCT,154
203,吃,VERB,3
204,五,NUM,29
205,穀,NOUN,1
206,雜糧,NOUN,1
207,長大,VERB,3
208,本來,ADV,1
209,就,ADV,40
210,生病,VERB,1
211,；,PUNCT,36
212,萬一,ADV,1
213,拆穿,VERB,2
214,豈,ADV,1
215,不是,VERB,4
216,無法,VERB,9
217,對,ADP,70
218,廣大,ADJ,1
219,交代,VERB,1
220,？,PUNCT,7
221,該劇,NOUN,1
222,兩,NUM,99
223,位,NOUN,22
224,編劇,NOUN,3
225,獨孤,PROPN,1
226,紅,PROPN,1
227,、,PUNCT,436
228,羅,PROPN,2
229,文忠,PROPN,4
230,寫,VERB,7
231,劇本,NOUN,3
232,時,ADP,85
233,幾乎,ADV,7
234,參考,VERB,1
235,所有,DET,22
236,有關,ADP,4
237,武,PROPN,5
238,則天,PROPN,4
239,如,VERB,18
240,林,PROPN,19
241,語堂,PROPN,2
242,傳,PART,5
243,陳,PROPN,8
244,虹,PROPN,1
245,與,CCONJ,77
246,狄,PROPN,1
247,仁傑,PROPN,1
248,歷代,NOUN,1
249,通俗,ADJ,1
250,演義,NOUN,1
251,童,PROPN,1
252,煦,PROPN,1
253,中國,PROPN,96
254,后妃,NOUN,1
