,word,POS,count
1,dat,PRON,140
2,zijn,AUX,750
3,alvast,ADV,3
4,mee_nemen,VERB,3
5,",",PUNCT,1539
6,mogen,AUX,19
7,over,ADP,138
8,zes,NUM,14
9,maand,NOUN,20
10,blijken,VERB,19
11,dat,SCONJ,251
12,de,DET,2592
13,inhoud,NOUN,2
14,tegen_vallen,VERB,1
15,.,PUNCT,1828
16,breuk,NOUN,2
17,in,ADP,857
18,federaal,ADJ,4
19,regering,NOUN,31
20,van,ADP,1210
21,joegoslavië,PROPN,3
22,kunnen,AUX,159
23,volgens,ADP,36
24,servisch,ADJ,4
25,premier,NOUN,7
26,djindjic,PROPN,4
27,nog,ADV,110
28,worden,AUX,318
29,lijmen,VERB,2
30,met,ADP,283
31,hervorming,NOUN,1
32,niet,ADV,201
33,nieuw,ADJ,50
34,verkiezing,NOUN,4
35,zeggen,VERB,70
36,dit,DET,73
37,weekeinde,NOUN,6
38,reactie,NOUN,5
39,op,ADP,394
40,ernstig,ADJ,10
41,politiek,ADJ,18
42,crisis,NOUN,6
43,uit,ADP,159
44,woede,NOUN,2
45,uitlevering,NOUN,4
46,ex_president,NOUN,1
47,milosevic,PROPN,4
48,stappen,VERB,4
49,vrijdag,PROPN,9
50,montenegrijns,ADJ,5
51,partij,NOUN,27
52,snp,PROPN,4
53,joegoslavisch,ADJ,3
54,als,SCONJ,190
55,op_lossen,VERB,3
56,het,PRON,209
57,ondenkbaar,ADJ,2
58,federatie,NOUN,4
59,definitief,ADJ,5
60,uiteen_vallen,VERB,1
61,alleen,ADV,28
62,servië,PROPN,5
63,en,CCONJ,733
64,montenegro,PROPN,5
65,uit_maken,VERB,4
66,er,ADV,170
67,deel,NOUN,20
68,moment,NOUN,7
69,niets,PRON,23
70,vinden,VERB,30
71,goed,ADJ,71
72,grond_wet,NOUN,1
73,vernieuwen,VERB,1
74,die,PRON,257
75,regelen,VERB,3
76,verhouding,NOUN,4
77,tussen,ADP,37
78,het,DET,879
79,machtig,ADJ,1
80,klein,ADJ,36
81,buur,NOUN,2
82,",,",PUNCT,7
83,we,PRON,51
84,hebben,VERB,108
85,een,DET,906
86,concept,NOUN,1
87,nodig,ADJ,9
88,voor,ADP,350
89,verandering,NOUN,6
90,'',PUNCT,7
91,interview,NOUN,7
92,duits,ADJ,7
93,televisie,NOUN,6
94,woest,ADJ,1
95,zij,PRON,54
96,buiten,ADP,13
97,houden,VERB,31
98,waarnemer,NOUN,4
99,denken,VERB,21
100,minister,NOUN,36
101,voormalig,ADJ,2
102,bond_genoot,NOUN,1
103,snel,ADJ,20
104,hun,PRON,67
105,schred,NOUN,1
106,terug,ADV,13
107,zullen,AUX,206
108,terug_keren,VERB,6
109,plaats,NOUN,34
110,plaats_nemen,VERB,2
111,zelf,ADV,13
112,zijn,VERB,83
113,weinig,DET,11
114,animo,NOUN,1
115,dialoog,NOUN,3
116,aan_bieden,VERB,8
117,ik,PRON,109
118,nu,ADV,65
119,juist,ADJ,12
120,veel,ADV,81
121,makkelijk,ADJ,2
122,overeenstemming,NOUN,4
123,bereiken,VERB,9
124,vormen,VERB,11
125,unie,NOUN,3
126,onafhankelijk,ADJ,2
127,staat,NOUN,10
128,vujanovic,PROPN,1
129,geen,DET,74
130,interesse,NOUN,1
131,ons,PRON,47
132,dan,ADV,63
133,uit_roepen,VERB,2
134,binnenkort,ADV,8
135,onafhankelijkheid,NOUN,2
136,pers_bureau,NOUN,3
137,tanjug,PROPN,1
138,melden,VERB,6
139,president,NOUN,11
140,kostunica,PROPN,1
141,vandaag,ADV,10
142,beginnen,VERB,27
143,overleg,NOUN,13
144,samenstelling,NOUN,1
145,verwachten,VERB,11
146,westen,NOUN,2
147,groot,ADJ,86
148,druk,NOUN,4
149,uit_oefenen,VERB,4
150,komen,VERB,110
151,om,ADP,148
152,te,ADP,424
153,westen,PROPN,2
154,willen,VERB,51
155,voorkomen,VERB,4
156,namelijk,ADV,10
157,koren,NOUN,1
158,molen,NOUN,1
159,bijvoorbeeld,ADV,8
160,albanees,ADJ,1
161,rebel,NOUN,2
162,macedonië,PROPN,1
163,kosovo,PROPN,1
164,probleem,NOUN,13
165,tot,ADP,117
166,toe,ADP,18
167,bestaan,VERB,20
168,curieus,ADJ,1
169,partner,NOUN,2
170,hervormer,NOUN,1
171,dos,PROPN,1
172,zitten,VERB,15
173,coalitie,NOUN,1
174,nationalist,NOUN,1
175,onenigheid,NOUN,1
176,samenwerking,NOUN,6
177,joegoslavië-tribunaal,PROPN,1
178,maken,VERB,64
179,duidelijk,ADJ,24
180,hoe,ADV,20
181,breekbaar,ADJ,1
182,spijt,NOUN,1
183,diep,ADJ,1
184,hebben,AUX,277
185,storten,VERB,4
186,hij,PRON,193
187,gisteren,ADV,34
188,voordeel,NOUN,4
189,ruimschoots,ADJ,2
190,op_wegen,VERB,1
191,tegen,ADP,54
192,',PUNCT,4
193,nadeel,NOUN,1
194,eind,NOUN,8
195,beproeving,NOUN,1
196,maar,ADV,30
197,liefst,ADV,1
198,11892,NUM,1
199,drugsverslaafd,ADJ,1
200,-,PUNCT,83
201,handelaar,NOUN,6
202,af_lopen,VERB,15
203,week,NOUN,36
204,bij,ADP,145
205,grootscheeps,ADJ,1
206,razzia,NOUN,2
207,iran,PROPN,4
