,word,POS,count
1,al,PROPN,110
2,-,PUNCT,326
3,zaman,PROPN,3
4,:,PUNCT,125
5,american,ADJ,17
6,force,NOUN,27
7,kill,VERB,28
8,shaikh,PROPN,4
9,abdullah,PROPN,1
10,ani,PROPN,1
11,",",PUNCT,1680
12,the,DET,2230
13,preacher,NOUN,4
14,at,ADP,136
15,mosque,NOUN,8
16,in,ADP,827
17,town,NOUN,8
18,of,ADP,922
19,qaim,PROPN,2
20,near,ADP,6
21,syrian,ADJ,4
22,border,NOUN,12
23,.,PUNCT,1704
24,[,PUNCT,6
25,this,DET,162
26,killing,NOUN,3
27,a,DET,892
28,respected,ADJ,1
29,cleric,NOUN,4
30,will,AUX,143
31,be,AUX,1324
32,cause,VERB,6
33,we,PRON,179
34,trouble,NOUN,4
35,for,ADP,272
36,year,NOUN,68
37,to,PART,599
38,come,VERB,36
39,],PUNCT,6
40,dpa,PROPN,1
41,iraqi,ADJ,31
42,authority,NOUN,12
43,announce,VERB,5
44,that,SCONJ,344
45,they,PRON,330
46,have,AUX,354
47,bust,VERB,1
48,up,ADP,49
49,3,NUM,11
50,terrorist,ADJ,11
51,cell,NOUN,9
52,operate,VERB,7
53,baghdad,PROPN,11
54,two,NUM,40
55,run,VERB,17
56,by,ADP,208
57,2,NUM,11
58,official,NOUN,26
59,ministry,PROPN,3
60,interior,PROPN,1
61,!,PUNCT,17
62,moi,PROPN,1
63,iraq,PROPN,66
64,equivalent,ADJ,2
65,to,ADP,410
66,us,PROPN,81
67,fbi,PROPN,19
68,so,ADV,68
69,this,PRON,83
70,would,AUX,110
71,be,VERB,154
72,like,SCONJ,7
73,have,VERB,222
74,j.,PROPN,1
75,edgar,PROPN,1
76,hoover,PROPN,1
77,unwittingly,ADV,1
78,employ,VERB,2
79,high,ADJ,16
80,level,NOUN,8
81,member,NOUN,22
82,weathermen,PROPN,1
83,bomber,NOUN,4
84,back,ADV,18
85,1960,NOUN,1
86,third,ADJ,6
87,head,NOUN,19
88,investment,NOUN,5
89,firm,NOUN,4
90,you,PRON,229
91,wonder,VERB,5
92,if,SCONJ,88
93,he,PRON,357
94,manipulate,VERB,2
95,market,NOUN,7
96,with,ADP,205
97,bombing,NOUN,12
98,target,NOUN,12
99,ghazaliyah,PROPN,1
100,and,CCONJ,1007
101,jihad,PROPN,15
102,district,NOUN,2
103,capital,NOUN,6
104,although,SCONJ,13
105,announcement,NOUN,2
106,probably,ADV,13
107,make,VERB,61
108,show,VERB,18
109,progress,NOUN,6
110,in,SCONJ,33
111,identify,VERB,4
112,break,VERB,5
113,terror,NOUN,19
114,i,PRON,368
115,do,AUX,170
116,not,PART,286
117,find,VERB,27
118,news,NOUN,14
119,baathist,PROPN,3
120,continue,VERB,9
121,penetrate,VERB,2
122,government,NOUN,40
123,very,ADV,32
124,hopeful,ADJ,1
125,it,PRON,313
126,remind,VERB,2
127,too,ADV,20
128,much,ADV,18
129,arvn,PROPN,1
130,officer,NOUN,16
131,who,PRON,108
132,secretly,ADV,2
133,work,VERB,32
134,other,ADJ,50
135,side,NOUN,8
136,vietnam,PROPN,7
137,guerrilla,NOUN,7
138,kurdistan,PROPN,1
139,democratic,ADJ,5
140,party,PROPN,8
141,after,SCONJ,22
142,kidnap,VERB,2
143,mosul,PROPN,3
144,police,NOUN,10
145,commander,NOUN,7
146,ninevah,PROPN,1
147,province,PROPN,4
148,decline,VERB,5
149,80,NUM,5
150,percent,NOUN,2
151,whereas,SCONJ,2
152,there,PRON,77
153,big,ADJ,11
154,jump,NOUN,1
155,number,NOUN,24
156,kidnapping,NOUN,1
157,on,ADP,227
