,word,POS,count
1,iga,DET,42
2,üheksas,ADJ,1
3,kroon,NOUN,60
4,tulema,VERB,110
5,sala_pärane,ADJ,4
6,isik,NOUN,12
7,.,PUNCT,2659
8,eesti,PROPN,229
9,ekspress,PROPN,19
10,teadma,VERB,67
11,olema,AUX,1523
12,pank,PROPN,14
13,uurima,VERB,20
14,hansa_pank,PROPN,47
15,tehing,NOUN,9
16,",",PUNCT,2375
17,mis,PRON,271
18,toimuma,VERB,22
19,kaks,NUM,50
20,aasta,NOUN,172
21,tagasi,ADP,37
22,suvi,NOUN,13
23,ja,CCONJ,837
24,käigus,ADP,7
25,voolama,VERB,1
26,pank,NOUN,35
27,ligi,ADV,17
28,miljard,NUM,14
29,ulatus,NOUN,1
30,kahtlane,ADJ,5
31,raha,NOUN,63
32,see,PRON,444
33,rohkem,ADV,33
34,kui,SCONJ,245
35,10,NUM,8
36,protsent,NOUN,14
37,kogu,DET,32
38,paiguta=tud,ADJ,1
39,suurem,ADJ,25
40,osa,NOUN,35
41,välis_maa,NOUN,8
42,anonüümselt,ADV,2
43,eesti,ADJ,46
44,seadus,NOUN,15
45,järgi,ADP,18
46,pidama,AUX,81
47,suur,ADJ,65
48,summa,NOUN,9
49,puhul,ADP,8
50,aga,CCONJ,99
51,kindlasti,ADV,17
52,selgitama,VERB,12
53,kes,PRON,148
54,tegelikult,ADV,24
55,tee,NOUN,20
56,lähetama,VERB,1
57,et,SCONJ,483
58,uurija,NOUN,3
59,lihtsam,ADJ,3
60,raha_pesu,NOUN,9
61,vastu,ADP,25
62,võitlema,VERB,4
63,kuid,CCONJ,84
64,isegi,ADV,31
65,panga_inspektsioon,NOUN,3
66,ei,AUX,433
67,jõudma,VERB,25
68,kohe,ADV,14
69,alg_allikas,NOUN,1
70,tunnistama,VERB,13
71,:,PUNCT,112
72,mina,PRON,379
73,käsi,NOUN,29
74,liiga,ADV,16
75,lühike,ADJ,4
76,!,PUNCT,59
77,kesk_pank,NOUN,4
78,avalik,ADJ,11
79,suhe,NOUN,17
80,osakond,NOUN,3
81,juht,NOUN,41
82,andrus,PROPN,2
83,kuus_mann,PROPN,2
84,ütlema,VERB,102
85,"""",PUNCT,906
86,tegu,NOUN,10
87,tõestatud,ADJ,1
88,siis,ADV,134
89,ka,ADV,234
90,vastavalt,ADV,1
91,reageerima,VERB,4
92,samas,ADV,11
93,tema,PRON,527
94,õigus,NOUN,10
95,uurimine,NOUN,6
96,läbi,ADV,24
97,viima,VERB,24
98,politsei,NOUN,33
99,asi,NOUN,62
100,tegutsema,VERB,7
101,see,DET,216
102,võimalus,NOUN,29
103,piir,NOUN,9
104,andma,VERB,62
105,kas,ADV,105
106,pöörduma,VERB,3
107,poole,ADP,6
108,?,PUNCT,171
109,ei,ADV,18
110,vastama,VERB,12
111,ning,CCONJ,84
112,lisama,VERB,10
113,peamine,ADJ,4
114,vastutus,NOUN,3
115,lasuma,VERB,1
116,ise,PRON,125
117,veenduma,VERB,6
118,tuvastama,VERB,4
119,allikas,NOUN,10
120,tegema,VERB,140
121,või,CCONJ,105
122,jätma,VERB,19
123,praegune,ADJ,15
124,selge,ADJ,13
125,sanktsioon,NOUN,1
126,rikkumine,NOUN,3
127,eest,ADP,58
128,juhtima,VERB,9
129,kõne_alune,ADJ,2
130,aeg,NOUN,76
131,sise_minister,NOUN,6
132,jüri,PROPN,19
133,mõis,PROPN,15
134,korduvalt,ADV,4
135,rõhutama,VERB,2
136,hea,ADJ,46
137,äri_tava,NOUN,1
138,eetiline,ADJ,3
139,käitumine,NOUN,4
140,tähtsus,NOUN,1
141,otsene,ADJ,4
142,küsimus,NOUN,31
143,välistama,VERB,4
144,täielikult,ADV,2
145,seal_hulgas,ADV,3
146,kaudu,ADP,15
147,zürich,PROPN,5
148,üle,ADP,29
149,700,NUM,3
150,miljon,NUM,61
151,suurim,ADJ,15
152,kahtlus_alune,ADJ,1
153,seonduma,VERB,3
154,asuv,ADJ,6
155,cantrade,PROPN,2
156,private,PROPN,1
157,bank,PROPN,1
158,šveits,PROPN,10
159,ubs,PROPN,1
160,haru,NOUN,1
161,tundma,VERB,33
162,numbri_konto,NOUN,2
163,poolest,ADP,5
164,konto,NOUN,3
165,kasutaja,NOUN,3
166,liigutamine,NOUN,1
167,pass,NOUN,4
168,mõni,DET,37
169,muu,DET,2
170,dokument,NOUN,5
171,esitama,VERB,15
172,vaid,CCONJ,13
173,saama,AUX,64
174,spetsiaalne,ADJ,3
175,arvu_kood,NOUN,1
176,abil,ADP,5
177,juuli,NOUN,3
178,lõpp,NOUN,24
179,1997,NUM,3
180,minema,VERB,75
181,mitmes,DET,2
182,kokku,ADV,33
183,50,NUM,9
184,dollar,NOUN,13
185,ehk,CCONJ,17
186,esmalt,ADV,1
187,liikuma,VERB,18
188,new,PROPN,8
189,york,PROPN,8
190,bankers,PROPN,1
191,trust,PROPN,1
192,sealt,ADV,8
193,edasi,ADV,21
194,šveitslane,NOUN,1
195,märge,NOUN,1
196,saatja,NOUN,1
197,üks,PRON,20
198,klient,NOUN,17
199,tavaliselt,ADV,7
200,selline,DET,43
201,varjatud,ADJ,1
202,mood,NOUN,8
203,narko_äri,NOUN,1
204,alt_käe_maks,NOUN,2
205,finants_pettus,NOUN,1
206,jt,ADV,1
207,kriminaalne,ADJ,1
208,pärinev,ADJ,2
209,tegemine,NOUN,21
210,sama_moodi,ADV,5
211,nagu,SCONJ,91
212,narko_dollar,NOUN,2
213,ameerika,PROPN,11
214,üks,DET,70
215,sõna,NOUN,46
216,suunama,VERB,5
217,tul=nud,ADJ,2
218,avama,VERB,7
219,tohtima,AUX,8
220,(,PUNCT,111
221,praktiseerima,VERB,1
222,sellegi_poolest,ADV,2
223,foreks_pank,PROPN,2
224,),PUNCT,111
225,see_järel,ADV,1
226,peitma,VERB,4
227,üle_öö_laen,NOUN,3
228,audiitor,NOUN,1
229,revident,NOUN,1
230,kontrollima,VERB,3
231,nimelt,ADV,8
232,võtma,VERB,64
233,teine,DET,38
234,mitte,ADV,56
235,tavaline,ADJ,12
236,hoiustaja,NOUN,3
237,teine,ADJ,18
238,kohaselt,ADP,12
239,numbri_arve,NOUN,1
240,mingi,DET,35
241,anonüümne,ADJ,3
242,kogumis_konto,NOUN,1
243,kust,ADV,13
244,raske,ADJ,14
245,üles,ADV,15
246,leidma,VERB,47
247,just,ADV,34
248,viis,NOUN,4
249,liigutama,VERB,8
250,must,ADJ,16
251,suurus,NOUN,5
252,citibank,PROPN,2
253,pesema,VERB,1
254,mehhiko,PROPN,3
255,endine,ADJ,22
256,president,NOUN,40
257,vend,NOUN,6
258,raul,PROPN,3
259,salinas,PROPN,2
260,de,PROPN,2
261,gortrari,PROPN,1
262,lõpuks,ADV,15
263,filiaal,NOUN,1
264,nimi,NOUN,18
265,confidas,PROPN,1
266,samuti,ADV,15
267,võimalik,ADJ,28
268,tallinn,PROPN,73
269,börs,NOUN,2
270,kasvama,VERB,9
271,börsi_indeks,NOUN,1
272,talse,NOUN,1
273,märkimis_väärne,ADJ,3
274,kiirus,NOUN,5
275,pöörita=mine,NOUN,1
276,eriti,ADV,13
277,tulus,ADJ,2
278,vähe_tuntud,ADJ,3
279,firma,NOUN,54
280,hoiustama,VERB,2
281,pea,ADV,5
282,190,NUM,4
283,sama,DET,17
284,soosima,VERB,2
285,veel,ADV,61
286,mitu,DET,28
287,väga,ADV,51
288,rikas,ADJ,5
289,panema,VERB,42
290,hoius,NOUN,2
291,ajutiselt,ADV,2
292,võimaldama,VERB,6
293,tunduvalt,ADV,4
294,intress,NOUN,2
295,saama,VERB,137
296,soosi=tud,ADJ,1
297,maksu_vaba,ADJ,1
298,kompanii,NOUN,1
299,ruby,PROPN,1
300,investment,PROPN,3
301,corp,PROPN,2
302,east,PROPN,3
303,construction,PROPN,2
304,and,PROPN,2
305,engineering,PROPN,2
306,baltreil,PROPN,5
307,tegelema,VERB,11
308,raud_tee_vedu,NOUN,1
