,word,POS,count
1,le,DET,4825
2,commotion,NOUN,1
3,cérébral,ADJ,1
4,être,AUX,969
5,devenir,VERB,39
6,si,ADV,4
7,courant,ADJ,3
8,dans,ADP,380
9,ce,DET,230
10,sport,NOUN,6
11,que,SCONJ,254
12,on,PRON,66
13,le,PRON,89
14,considérer,VERB,12
15,presque,ADV,5
16,comme,ADP,57
17,routine,NOUN,1
18,.,PUNCT,1625
19,œuvre,NOUN,14
20,situer,VERB,58
21,galerie,NOUN,3
22,de,ADP,3590
23,bataille,NOUN,6
24,",",PUNCT,2058
25,château,NOUN,20
26,versailles,PROPN,2
27,comportement,NOUN,5
28,turquie,PROPN,5
29,vis-à-vis,ADV,2
30,problème,NOUN,12
31,palestinien,ADJ,1
32,avoir,AUX,325
33,faire,VERB,85
34,il,PRON,695
35,ne,ADV,175
36,être,VERB,34
37,plus,ADV,139
38,en,ADP,645
39,odeur,NOUN,1
40,sainteté,NOUN,1
41,auprès,ADV,9
42,communauté,NOUN,14
43,juif,ADJ,1
44,général,ADJ,20
45,et,CCONJ,819
46,américain,ADJ,21
47,particulier,ADJ,7
48,toutefois,ADV,15
49,fille,NOUN,6
50,adorer,VERB,2
51,dessert,NOUN,3
52,ismene,PROPN,1
53,entrer,VERB,20
54,annoncer,VERB,4
55,ce,PRON,105
56,farnace,PROPN,1
57,qui,PRON,210
58,mettre,VERB,30
59,feu,NOUN,7
60,à,ADP,1073
61,flotte,NOUN,3
62,romain,ADJ,7
63,revenir,VERB,6
64,avec,ADP,142
65,plaisir,NOUN,2
66,!,PUNCT,26
67,forfait,NOUN,2
68,comprendre,VERB,16
69,transport,NOUN,4
70,car,NOUN,2
71,grand,ADJ,56
72,tourisme,NOUN,2
73,différent,ADJ,10
74,lieu,NOUN,22
75,départ,NOUN,4
76,proposer,VERB,11
77,autour,ADV,8
78,lyon,PROPN,1
79,ski,NOUN,2
80,sur,ADP,160
81,domaine,NOUN,10
82,citer,VERB,4
83,un,DET,1065
84,en-cas,NOUN,1
85,petit-déjeuner,NOUN,1
86,servir,VERB,14
87,son,DET,454
88,arrivée,NOUN,9
89,station,NOUN,5
90,service,NOUN,13
91,accompagnateur,NOUN,1
92,salarié,ADJ,2
93,assurer,VERB,7
94,logistique,NOUN,1
95,retour,NOUN,6
96,prévenir,VERB,1
97,tel,ADJ,12
98,agression,NOUN,1
99,"""",PUNCT,127
100,susceptible,ADJ,1
101,entraîner,VERB,4
102,poursuite,NOUN,4
103,judiciaire,ADJ,5
104,tirer,VERB,4
105,balle,NOUN,1
106,réel,ADJ,4
107,foule,NOUN,2
108,ensuite,ADV,15
109,vendre,VERB,6
110,plusieurs,DET,27
111,fois,NOUN,32
112,;,PUNCT,36
113,effet,NOUN,19
114,biréfringence,NOUN,1
115,pas,ADV,114
116,visible,ADJ,5
117,prépondérant,ADJ,1
118,pouvoir,NOUN,17
119,rotatoire,ADJ,1
120,point,NOUN,17
121,final,ADJ,7
122,plate-forme,NOUN,1
123,distribution,NOUN,4
124,baser,VERB,7
125,autriche,PROPN,1
126,baumgarten,PROPN,1
127,pour,ADP,266
128,rejoindre,VERB,13
129,réseau,NOUN,7
130,europe,PROPN,10
