,word,POS,count
1,de,ADP,3743
2,novo,ADJ,66
3,",",PUNCT,2018
4,apreciar,VERB,5
5,se,PRON,666
6,un,DET,701
7,significativo,ADJ,14
8,dependencia,NOUN,2
9,entre,ADP,79
10,o,DET,5540
11,nivel,NOUN,31
12,acceso,NOUN,13
13,a,ADP,653
14,internet,PROPN,10
15,e,CCONJ,999
16,determinar,VERB,20
17,característica,NOUN,15
18,socioeconómico,ADJ,5
19,territorio,NOUN,13
20,que,PRON,584
21,aportar,VERB,4
22,xa,ADV,48
23,citar,VERB,8
24,factor,NOUN,15
25,matiz,NOUN,1
26,importante,ADJ,42
27,sobre,ADP,67
28,avaliación,NOUN,7
29,dato,NOUN,28
30,anterior,ADJ,28
31,.,PUNCT,1183
32,en,ADP,1271
33,este,DET,254
34,situación,NOUN,21
35,familia,NOUN,13
36,ver,VERB,27
37,reducir,VERB,15
38,seu,DET,253
39,capacidade,NOUN,12
40,financeiro,ADJ,18
41,real,ADJ,13
42,para,ADP,321
43,abordar,VERB,1
44,adquisición,NOUN,4
45,vivenda,NOUN,12
46,perder,VERB,3
47,atractivo,ADJ,1
48,mercado,NOUN,25
49,inmobiliario,ADJ,1
50,fronte,NOUN,13
51,activo,NOUN,5
52,máis,ADV,151
53,rendible,ADJ,1
54,clasificar,VERB,1
55,aquí,ADV,5
56,aquel,DET,37
57,axente,NOUN,9
58,haber,VERB,41
59,evidencia,NOUN,1
60,limitado,ADJ,2
61,carcinoxenicidade,NOUN,1
62,humano,ADJ,10
63,menos,ADV,22
64,que,SCONJ,383
65,suficiente,ADJ,5
66,animal,NOUN,4
67,experimentación,NOUN,1
68,adopción,NOUN,2
69,medida,NOUN,35
70,interno,ADJ,12
71,reductoras,NOUN,1
72,contaminación,NOUN,12
73,hídrico,ADJ,2
74,estar,AUX,78
75,xustificar,VERB,4
76,aínda,ADV,39
77,cando,PRON,39
78,dispor,VERB,14
79,tratamento,NOUN,27
80,externo,ADJ,6
81,custo,NOUN,21
82,complexidade,NOUN,3
83,atinxir,VERB,6
84,número,NOUN,46
85,distrito,NOUN,1
86,infectar,VERB,3
87,(,PUNCT,225
88,táboa,NOUN,13
89,2,NUM,29
90,),PUNCT,232
91,2007,NUM,2
92,85,NUM,2
93,%,SYM,130
94,2006,NUM,1
95,pakistán,PROPN,1
96,70,NUM,5
97,afganistán,PROPN,1
