,word,POS,count
1,hinter,ADP,5
2,der,DET,1896
3,neu,ADJ,146
4,firma,NOUN,46
5,stehen,VERB,38
6,unter,ADP,82
7,ander,PRON,35
8,lucent,PROPN,1
9,technologies,X,1
10,",",PUNCT,1731
11,ein,PRON,6
12,groß,ADJ,51
13,anbieter,NOUN,81
14,von,ADP,496
15,equipment,NOUN,1
16,für,ADP,385
17,netzwerk,NOUN,7
18,und,CCONJ,544
19,telekommunikation,NOUN,34
20,.,PUNCT,1899
21,ministerium,NOUN,4
22,:,PUNCT,247
23,20,NUM,13
24,million,NOUN,96
25,anschluß,NOUN,55
26,bis,ADP,46
27,2010,NUM,7
28,in,ADP,808
29,auftrag,NOUN,7
30,des,DET,260
31,erstellen,VERB,6
32,das,DET,332
33,wissenschaftlich,ADJ,1
34,institut,NOUN,2
35,dienst,NOUN,55
36,(,PUNCT,146
37,wik,PROPN,2
38,),PUNCT,146
39,die,DET,1352
40,studie,NOUN,11
41,"""",PUNCT,527
42,trend,NOUN,2
43,sektor,NOUN,4
44,hierin,ADV,1
45,prognostizieren,VERB,1
46,dass,SCONJ,202
47,es,PRON,206
48,jahr,NOUN,89
49,rund,ADV,33
50,geben,VERB,80
51,werden,AUX,408
52,konkurrenz,NOUN,7
53,zu,ADP,297
54,den,DET,464
55,dürfen,AUX,54
56,demnach,ADV,2
57,betreiber,NOUN,14
58,ausgehen,VERB,1
59,18,NUM,3
60,laut,ADP,50
61,chance,NOUN,5
62,powerline,PROPN,1
63,schätzen,VERB,2
64,hingegen,ADV,26
65,geringer,ADJ,2
66,ein,ADP,8
67,fünf,NUM,14
68,haushalt,NOUN,8
69,sollen,AUX,189
70,über,ADP,149
71,steckdose,NOUN,1
72,surfen,VERB,15
73,eine,DET,278
74,zukunft,NOUN,14
75,sagen,VERB,53
76,mobil,ADJ,7
77,zugang,NOUN,91
78,voraus,ADP,4
79,sie,PRON,89
80,gehen,VERB,39
81,nicht,PART,352
82,nur,ADV,77
83,davon,ADV,17
84,aus,ADP,85
85,bereits,ADV,111
86,2003,NUM,2
87,mehr,ADV,66
88,als,CCONJ,140
89,milliarde,NOUN,32
90,teilnehmer,NOUN,4
91,weltweit,ADJ,5
92,sondern,CCONJ,28
93,selb,ADJ,3
94,auch,ADV,231
95,zahl,NOUN,26
96,gerät,NOUN,26
97,anzahl,NOUN,6
98,pc,NOUN,26
99,mit,ADP,347
100,bindung,NOUN,4
101,übersteigen,VERB,2
102,deutschland,PROPN,57
103,dann,ADV,31
104,70,NUM,7
105,nutzen,VERB,17
106,knapp,ADJ,18
107,hälfte,NOUN,6
108,umts,PROPN,2
109,damit,ADV,48
110,jeder,DET,29
111,oder,CCONJ,64
112,mehrer,DET,14
113,verfügen,VERB,12
114,geld,NOUN,29
115,hier,ADV,35
116,reichlich,ADJ,2
117,verdienen,VERB,4
118,einem,DET,106
119,weiterhin,ADV,12
120,überdurchschnittlich,ADJ,1
121,wachstum,NOUN,4
122,markt,NOUN,35
123,volumen,NOUN,19
124,sich,PRON,255
125,auf,ADP,328
126,220,NUM,2
127,mark,NOUN,119
128,verdoppeln,VERB,2
129,anteil,NOUN,17
130,entfallen,VERB,2
131,40,NUM,5
132,prozent,NOUN,56
133,heute,ADV,25
134,44,NUM,1
135,25,NUM,7
136,zurück,ADP,19
137,minister,NOUN,3
138,werner,PROPN,1
139,müller,PROPN,1
140,freuen,VERB,7
141,solche,DET,4
142,aussicht,NOUN,1
143,schon,ADV,37
144,sein,AUX,601
145,europaweit,ADJ,3
146,am,ADV,5
147,schnell,ADJ,25
148,wachsen,ADJ,1
149,mobilfunk-,NOUN,1
150,wir,PRON,38
151,all,PRON,22
152,daran,ADV,3
153,setzen,VERB,11
154,unsere,PRON,1
155,gut,ADJ,8
156,position,NOUN,7
157,nah,ADJ,11
158,weiter,ADV,44
159,ausbauen,VERB,7
160,insbesondere,ADV,5
161,bei,ADP,216
162,zu,PART,207
163,erreichen,VERB,20
164,mitnahme,NOUN,1
165,nummer,NOUN,14
166,erst,ADV,41
167,ab,ADP,69
168,nächste,ADJ,25
169,unknown,NOUN,50
170,wechsel,NOUN,4
171,nun,ADV,74
172,dem,DET,227
173,november,NOUN,5
174,möglich,ADJ,16
175,behörde,NOUN,57
176,grund,NOUN,32
177,an,ADP,276
178,ein,DET,183
179,beharren,NOUN,1
180,bisher,ADV,53
181,vorsehen,ADJ,2
182,termin,NOUN,15
183,fehleranfälligen,ADJ,1
184,lösung,NOUN,9
185,haben,AUX,442
186,führen,VERB,29
187,können,AUX,183
188,zudem,ADV,28
189,einer,DET,104
190,rufnummer,NOUN,2
191,ander,ADJ,56
192,einig,DET,27
193,merkmal,NOUN,1
194,womöglich,ADV,1
195,verfügung,NOUN,37
196,etwa,ADV,24
197,bestimmen,ADJ,6
198,deshalb,ADV,13
199,man,PRON,46
200,letztmalig,ADJ,1
201,verschieben,VERB,3
202,zug,NOUN,6
203,vorbereitung,NOUN,2
204,einführung,NOUN,22
205,netzbetreiberportabilität,NOUN,1
206,herausstellen,VERB,5
207,qualitativ,ADJ,1
208,hochwertig,ADJ,1
209,verbraucherfreundlichen,ADJ,1
210,neun,NUM,2
211,monat,NOUN,35
212,mehr,DET,7
213,zeit,NOUN,40
214,erfordern,VERB,2
215,heißen,VERB,12
216,mitteilung,NOUN,21
217,regulierer,NOUN,3
218,nach,ADP,148
219,vorangehen,ADJ,3
220,schiebung,NOUN,2
221,gelten,VERB,10
222,zuletzt,ADV,3
223,31.,ADJ,4
224,januar,NOUN,7
225,mobilfunknetz,NOUN,1
226,müssen,AUX,88
227,regtp,PROPN,46
228,vierteljährlich,ADJ,1
229,verlauf,NOUN,3
230,arbeit,NOUN,3
231,berichten,VERB,13
232,t-online,PROPN,68
233,wollen,AUX,218
234,gemeinsam,ADJ,5
235,springer,PROPN,6
236,werben,VERB,4
237,axel,PROPN,1
238,verlag,NOUN,5
239,tochter,NOUN,25
240,künftig,ADJ,11
241,werbung,NOUN,13
242,zusammenarbeiten,VERB,5
243,wie,ADV,41
244,blatt,NOUN,6
245,heutig,ADJ,22
246,montag,NOUN,8
247,berufung,NOUN,3
248,kreis,NOUN,5
249,konzern,NOUN,28
250,interactive,X,1
251,media,X,35
252,jointventure,NOUN,1
253,gründen,VERB,4
254,zusammenschluß,NOUN,4
255,reagieren,VERB,9
256,beide,DET,13
257,unternehmen,NOUN,104
258,hart,ADJ,3
259,wettbewerb,NOUN,10
260,zeitung,NOUN,4
261,vergehen,ADJ,8
262,woche,NOUN,32
263,burda,PROPN,1
264,straße,NOUN,3
265,ankündigen,VERB,13
266,sein,PRON,36
267,focus,X,1
268,digital,X,2
269,tomorrow,X,1
270,vermarktung,NOUN,1
271,verschmelzen,VERB,1
272,partnerschaft,NOUN,2
273,vorteil,NOUN,4
274,führender,ADJ,1
275,deutsch,ADJ,89
276,vermarkter,NOUN,1
277,präsent,ADJ,1
278,schreiben,VERB,9
279,außerdem,ADV,15
280,all,DET,52
281,vermarkten,VERB,2
282,frühjahr,NOUN,2
283,bild.de,NOUN,1
284,eingehen,VERB,3
285,während,SCONJ,13
286,bislang,ADV,49
287,offiziell,ADJ,9
288,bericht,NOUN,21
289,äußern,VERB,23
290,lehnen,VERB,5
291,sprecherin,NOUN,17
292,stellungnahme,NOUN,8
293,strikt,ADJ,2
294,pleite,NOUN,2
295,landtel,PROPN,3
296,erwischen,VERB,2
297,jetzt,ADV,63
298,potsdamer,ADJ,1
299,amtsgericht,NOUN,1
300,insolvenz,NOUN,5
301,anmelden,VERB,7
302,außer,ADP,7
303,internetzugang,NOUN,16
304,via,ADP,10
305,funk,NOUN,2
306,wireless,X,3
307,local,X,1
308,loop,X,1
309,wll,PROPN,1
310,bieten,VERB,35
311,preselection,X,1
312,sprecher,NOUN,97
313,johannes,PROPN,2
314,lenz-hawliczek,PROPN,1
315,noch,ADV,123
316,nichts,PRON,25
317,kündigen,VERB,6
318,jedoch,ADV,72
319,bekanntgabe,NOUN,3
320,weit,ADJ,69
321,detail,NOUN,21
322,mitte,NOUN,13
323,dieser,DET,26
324,klären,VERB,5
325,kunde,NOUN,136
326,mitarbeiter,NOUN,16
327,weitergehen,VERB,2
328,erste,ADJ,39
329,das,PRON,63
330,scheitern,VERB,9
331,vor,ADP,96
332,kurz,ADJ,8
333,callino,PROPN,8
334,firstmark,PROPN,1
335,aufgeben,VERB,3
336,telekom,PROPN,284
337,verlängern,VERB,4
338,testphase,NOUN,3
339,post,NOUN,31
340,fortführung,NOUN,1
341,so,ADV,106
342,nennen,ADJ,29
343,angebot,NOUN,132
344,genehmigen,VERB,3
345,test,NOUN,10
346,ursprünglich,ADJ,5
347,31.12.2000,NOUN,1
348,abschließen,VERB,15
349,er,PRON,76
350,ende,NOUN,25
