,word,POS,count
1,fögnuður,NOUN,22
2,verða,VERB,127
3,þessi,DET,223
4,heimur,NOUN,133
5,sá,DET,619
6,hár,ADJ,7
7,er,SCONJ,1117
8,góður,ADJ,184
9,maður,NOUN,344
10,fagna,VERB,19
11,engill,NOUN,73
12,tilkoma,NOUN,5
13,á,ADP,455
14,dauðastund,NOUN,2
15,sinn,PRON,343
16,.,PUNCT,1666
17,þjónusta,NOUN,12
18,kennimaður,NOUN,10
19,",",PUNCT,3421
20,bera,VERB,113
21,kennimannanafn,NOUN,1
22,og,CCONJ,1472
23,vígsla,NOUN,11
24,yfir,ADP,53
25,ólærður,ADJ,2
26,hann,PRON,1549
27,vera,AUX,1265
28,skylda,VERB,5
29,að,PART,356
30,þjóna,VERB,18
31,guð,PROPN,563
32,skapari,NOUN,14
33,allur,DET,491
34,hátíð,NOUN,66
35,með,ADP,226
36,tvennur,NUM,6
37,skapara,NOUN,1
38,annar,PRON,201
39,veita,VERB,65
40,tíðagjörð,NOUN,1
41,í,ADP,777
42,heyrn,NOUN,3
43,þú,PRON,252
44,slíkur,PRON,28
45,sem,SCONJ,261
46,til,ADP,457
47,hver,DET,89
48,gera,VERB,162
49,bók,NOUN,9
50,reka,VERB,8
51,svo,ADV,309
52,erindi,NOUN,6
53,við,ADP,229
54,halda,VERB,119
55,fyrir,ADP,274
56,bæn,NOUN,48
57,setja,VERB,30
58,en,CCONJ,517
59,ég,PRON,1048
60,bjóða,VERB,28
61,helgur,ADJ,93
62,tíð,NOUN,37
63,að,SCONJ,838
64,skulu,AUX,195
65,kynna,VERB,4
66,miskunn,NOUN,57
67,hafa,AUX,233
68,burður,NOUN,25
69,hérvist,NOUN,1
70,písl,NOUN,35
71,upprisa,NOUN,29
72,af,ADP,388
73,dauði,NOUN,47
74,skipun,NOUN,3
75,margfaldur,ADJ,5
76,jarteinn,NOUN,1
77,fylgja,VERB,45
78,eiga,VERB,59
79,og,ADV,91
80,boðorð,NOUN,30
81,hve,ADV,36
82,vilja,ADV,1
83,skipa,VERB,5
84,okkar,PRON,1
85,athæfi,NOUN,5
86,mega,AUX,207
87,farsæla,NOUN,2
88,nýta,VERB,5
89,kristur,PROPN,113
90,sjálfur,PRON,90
91,nú,ADV,150
92,þó,ADP,27
93,mjög,ADV,20
94,vanbúinn,ADJ,2
95,hvor,DET,6
96,fremja,VERB,12
97,guðsþjónusta,NOUN,1
98,það,PRON,1053
99,tína,VERB,2
100,þá,ADV,489
101,þó,ADV,48
102,að,ADP,200
103,auðsýnn,ADJ,3
104,tunga,NOUN,8
105,mállýska,NOUN,1
106,kunna,AUX,5
107,jafnt,ADV,7
108,skilja,VERB,39
109,um,ADP,30
110,mæla,VERB,114
111,þurfa,VERB,37
112,of,ADP,138
113,hlutur,NOUN,100
114,einkum,ADV,5
115,mikið,ADV,1
116,vorkunn,NOUN,5
117,færa,VERB,43
118,orð,NOUN,55
119,áleiðis,ADV,2
120,vilja,AUX,103
121,þurfta,NOUN,2
122,finna,VERB,32
123,sanna,ADJ,2
124,málstaður,NOUN,1
125,ekki,ADV,375
126,mál,NOUN,30
127,orðfimlega,ADV,1
128,fara,VERB,80
129,eða,CCONJ,137
130,skörulegur,ADV,1
131,vita,VERB,54
132,von,NOUN,14
133,ávallt,ADV,26
134,margur,DET,80
135,munu,AUX,154
136,vor,PRON,325
137,heyra,VERB,39
138,bæði,CCONJ,51
139,vel,ADV,43
140,búa,VERB,14
141,vit,NOUN,2
142,en,ADP,131
143,ef,ADP,140
144,hvor,PRON,1
145,taka,VERB,156
146,kenning,NOUN,43
147,hugþekklega,ADV,1
148,lítillátlega,ADV,4
149,þótt,ADP,30
150,forkunnarorð,NOUN,1
151,framfæra,VERB,1
152,drottinn,PROPN,160
153,dýr,ADJ,1
154,virða,VERB,29
155,þekkjast,VERB,1
156,snilld,NOUN,1
157,mikill,ADJ,23
158,fram,ADP,28
159,túlka,VERB,1
160,assumptio,X,1
161,sancte,X,6
162,marie,X,5
163,uppnumning,PROPN,1
164,heilagur,ADJ,72
165,maría,PROPN,55
166,hinn,DET,192
167,meyja,NOUN,15
168,móðir,NOUN,31
169,kyn,NOUN,13
170,koma,VERB,151
171,frá,ADP,138
172,abraham,PROPN,11
173,úr,ADP,51
174,davíð,PROPN,14
175,konungur,NOUN,29
176,náinn,ADJ,2
177,frændi,NOUN,11
178,hún,PRON,228
179,réttlátur,ADJ,18
180,hafa,VERB,46
181,kraftalán,NOUN,1
182,lítill,ADJ,13
183,auralán,NOUN,1
184,þegar,ADP,2
185,kunna,VERB,17
186,grein,NOUN,3
187,illur,ADJ,38
188,leggja,VERB,28
189,þegar,ADV,18
190,ást,NOUN,28
191,svo,ADP,37
192,tveir,NUM,27
193,bær,NOUN,13
194,hyggja,VERB,24
195,spámannabók,NOUN,1
196,nokkur,DET,43
197,verk,NOUN,50
198,fyrst,ADJ,1
199,kona,NOUN,27
200,heita,VERB,52
201,það,DET,17
202,heita,NOUN,1
203,hreinlífi,NOUN,23
204,nema,VERB,17
205,dæmi,NOUN,25
206,né,CCONJ,26
207,heldur,ADV,88
208,glíkja,VERB,13
209,eftir,ADP,77
210,áður,ADP,3
211,krist,PROPN,20
212,dýrlegur,ADJ,17
213,vegur,NOUN,19
214,sýna,VERB,58
215,eftir,ADV,10
216,síðan,ADP,3
217,líf,NOUN,48
218,helgari,ADJ,3
219,segja,VERB,100
220,hönd,NOUN,44
221,láta,VERB,109
222,framar,ADV,11
223,ná,VERB,28
224,lið,NOUN,6
225,gefa,VERB,55
226,hungraður,ADJ,3
227,fæðsla,NOUN,14
228,þyrstur,ADJ,1
229,drykkur,NOUN,3
230,fæða,VERB,8
231,brjóst,NOUN,11
232,sig,PRON,169
233,erfiði,NOUN,10
234,klæða,VERB,3
235,kala,VERB,1
236,sonur,NOUN,50
237,hold,NOUN,28
238,reifar,NOUN,2
239,klæði,NOUN,7
240,vitja,VERB,6
241,myrkvastofa,NOUN,4
242,fyrdæma,VERB,5
243,ofríki,NOUN,3
244,vondur,ADJ,10
245,flæja,VERB,2
246,undan,ADP,7
247,heródes,PROPN,12
248,egyptaland,PROPN,2
249,meðan,ADP,22
250,speki,NOUN,5
251,gæska,NOUN,10
252,miklu,ADV,1
253,lítillátur,ADJ,6
254,mikill,DET,120
255,dýrð,NOUN,66
256,píning,NOUN,13
257,sök,NOUN,10
258,helga,ADJ,9
259,líkami,NOUN,74
260,önd,NOUN,46
261,pína,VERB,19
262,sjá,VERB,109
263,auga,NOUN,14
264,marka,VERB,5
265,glíkindi,NOUN,2
266,sár,ADJ,5
267,sýn,NOUN,10
268,einkasonur,NOUN,3
269,geta,VERB,18
270,andi,NOUN,44
271,guðdómur,NOUN,20
272,þar,ADV,82
273,falla,VERB,12
274,nærri,ADV,8
275,mein,NOUN,24
276,barn,NOUN,25
277,synd,NOUN,128
278,kostur,NOUN,6
279,munur,NOUN,6
280,unna,VERB,11
281,mikill,ADV,9
282,sárara,ADJ,1
