,word,POS,count
1,sembungan,PROPN,1
2,adalah,AUX,353
3,buah,DET,134
4,desa,NOUN,78
5,yang,PRON,998
6,letak,VERB,43
7,di,ADP,829
8,camat,NOUN,51
9,kejajar,PROPN,1
10,",",PUNCT,2227
11,kabupaten,NOUN,9
12,wonosobo,PROPN,2
13,jawa,PROPN,58
14,tengah,PROPN,34
15,indonesia,PROPN,157
16,.,PUNCT,1914
17,serang,NOUN,8
18,pengayauan,NOUN,1
19,biasanya,ADV,23
20,terjadi,VERB,24
21,ladang,NOUN,1
22,atau,CCONJ,145
23,dengan,SCONJ,53
24,bakar,VERB,4
25,rumah,NOUN,22
26,dan,CCONJ,998
27,memenggal,VERB,1
28,semua,DET,23
29,huni,NOUN,1
30,dia,PRON,714
31,ketika,SCONJ,30
32,mereka,PRON,120
33,lari,VERB,5
34,diri,PRON,32
35,kembang,NOUN,8
36,ini,DET,408
37,ikut,VERB,37
38,oleh,ADP,214
39,helm,NOUN,1
40,brodie,PROPN,1
41,pakai,VERB,24
42,tentara,NOUN,4
43,imperium,PROPN,2
44,britania,PROPN,7
45,as,PROPN,5
46,pada,ADP,469
47,tahun,NOUN,258
48,1916,NUM,3
49,stahlhelm,PROPN,1
50,jerman,PROPN,21
51,dengan,ADP,298
52,baik,NOUN,3
53,desain,NOUN,5
54,masih,ADV,35
55,sampai,ADP,35
56,sekarang,NOUN,10
57,dari,ADP,378
58,jarak,NOUN,5
59,dekat,ADJ,7
60,dua,NUM,67
61,kapal,NOUN,15
62,rusak,NOUN,5
63,sterett,PROPN,2
64,o,PROPN,5
65,',PUNCT,85
66,bannon,PROPN,2
67,tembak,VERB,4
68,beberapa,DET,58
69,kali,NOUN,37
70,salvo,NOUN,1
71,ke,ADP,131
72,bangun,NOUN,27
73,atas,ADP,28
74,hiei,PROPN,2
75,sebelum,SCONJ,10
76,dalam,ADP,272
77,gelap,NOUN,2
78,kedua,NUM,22
79,mungkin,AUX,10
80,sempat,ADV,6
81,sarang,VERB,2
82,satu,NUM,112
83,buah,NOUN,11
84,torpedo,NOUN,2
85,bagi,NOUN,57
86,lambung,NOUN,2
87,hingga,SCONJ,9
88,makin,ADV,2
89,parah,VERB,1
90,angka,PROPN,3
91,harap,NOUN,3
92,hidup,NOUN,23
93,73,NUM,1
94,4,NUM,20
95,yakni,ADP,4
96,bawah,NOUN,22
97,rerata,NOUN,1
98,uni,PROPN,6
99,eropa,PROPN,14
100,pasukan,PROPN,2
101,mongol,PROPN,1
102,tidak,PART,158
103,tahu,VERB,8
104,apa,PRON,43
105,harus,AUX,33
106,perbuat,VERB,1
107,itu,DET,147
108,siasat,VERB,1
109,raden,PROPN,6
110,wijaya,PROPN,5
111,untuk,SCONJ,175
112,bantu,VERB,14
113,berontak,VERB,2
114,lawan,ADP,6
115,kerajaan,PROPN,12
116,kediri,PROPN,4
117,krogh,PROPN,1
118,juga,ADV,129
119,pertama,ADJ,68
