,word,POS,count
1,as,ADP,134
2,lár,NOUN,13
3,an,DET,2758
4,tubaiste,NOUN,2
5,is,AUX,665
6,ea,PRON,13
7,stad,VERB,2
8,grian,NOUN,6
9,sula,SCONJ,15
10,téigh,VERB,68
11,sí,PRON,97
12,a,PART,1476
13,luí,NOUN,5
14,i,ADP,1439
15,aigéan,NOUN,1
16,thiar,ADV,12
17,ó,ADP,235
18,lonrú,NOUN,1
19,anuas,ADV,17
20,;,PUNCT,95
21,solas,NOUN,11
22,ní,PART,115
23,bí,VERB,1539
24,ar,ADP,1178
25,fáil,NOUN,52
26,ach,SCONJ,264
27,oiread,NOUN,24
28,oíche,NOUN,27
29,nó,CCONJ,159
30,mar,ADP,140
31,éiclips,NOUN,1
32,lán,ADJ,5
33,.,PUNCT,1821
34,ansin,ADV,40
35,deas,ADJ,14
36,mar,SCONJ,90
37,scéal,NOUN,54
38,ag,ADP,812
39,?,PUNCT,105
40,dein,VERB,8
41,é,PRON,280
42,faid,NOUN,1
43,agus,CCONJ,1117
44,teagmháil,NOUN,3
45,le,ADP,847
46,leaid,NOUN,2
47,ceanncheathrú,NOUN,1
48,mo,DET,74
49,anam,NOUN,4
50,go,PART,504
51,sin,PRON,209
52,iontach,ADV,3
53,scáfar,ADJ,2
54,",",PUNCT,1640
55,do,PART,160
56,fág,VERB,27
57,tú,PRON,36
58,sagartóireacht,NOUN,1
59,limistéar,NOUN,3
60,meánmhuir,NOUN,1
61,áit,NOUN,56
62,dúchas,NOUN,8
63,do,ADP,492
64,rós,PROPN,2
65,muire,PROPN,8
66,cuir,VERB,123
67,sé,PRON,386
68,seo,PRON,52
69,spás,NOUN,5
70,níos,PART,55
71,maith,ADJ,116
72,leanbh,NOUN,4
73,múinteoir,NOUN,8
74,',PUNCT,495
75,dócha,ADJ,10
76,céad,NUM,54
77,éigin,ADJ,21
78,litir,NOUN,11
79,scríofa,ADJ,8
80,feadair,VERB,5
81,cad,PRON,24
82,méid,NOUN,39
83,glaoch,NOUN,3
84,guthán,NOUN,2
85,déanta,ADJ,25
86,fachta,ADJ,1
87,go,ADP,114
88,dtí,NOUN,47
89,oifigiúlacht,NOUN,1
90,constaic,NOUN,2
91,gan,ADP,69
92,dealramh,NOUN,1
93,riasc,NOUN,1
94,beag,ADJ,51
95,ceann,NOUN,102
96,bóithrín,NOUN,1
97,déanamh,NOUN,92
98,gairdeas,NOUN,1
99,faoi,ADP,234
100,fásra,NOUN,2
101,bláth,NOUN,9
102,luachair,NOUN,2
103,féar,NOUN,7
104,seileastram,NOUN,1
105,líonta,ADJ,1
106,isteach,ADV,45
107,dadaí,NOUN,1
108,mamaí,NOUN,2
109,seachas,ADP,10
110,deaide,NOUN,1
111,maime,NOUN,1
112,tabhair,VERB,128
113,a,DET,336
114,athair,NOUN,21
115,máthair,NOUN,18
116,déan,VERB,131
117,iad,PRON,95
118,neamhchead,NOUN,1
119,othar,NOUN,3
120,agus,SCONJ,103
121,de,ADP,483
122,gnáth,NOUN,8
123,iarracht,NOUN,22
124,bith,NOUN,27
125,pian,NOUN,6
126,ceansú,NOUN,2
127,minic,ADJ,19
128,bás,NOUN,29
129,toradh,NOUN,18
130,turgnamh,NOUN,1
131,ball,NOUN,18
132,de,PART,12
133,rafiq,PROPN,1
134,mottiar,PROPN,1
135,bliain,NOUN,109
136,1965,NUM,2
137,riamh,ADV,24
138,leath,NOUN,41
139,obair,NOUN,56
140,son,NOUN,8
141,saoirse,NOUN,5
142,afraic,PROPN,4
143,theas,ADV,7
144,má,SCONJ,48
145,súil,NOUN,29
146,saol,NOUN,45
147,eachtra,NOUN,5
148,cosúlacht,NOUN,5
149,féin,PRON,126
150,amhlaidh,ADV,16
151,cosaint,NOUN,7
152,duine,NOUN,161
153,-,PUNCT,123
154,lag,ADJ,1
155,lúbach,ADJ,1
156,am,NOUN,44
157,eolas,NOUN,26
158,laghad,NOUN,11
159,tiománaí,NOUN,4
160,lasta,NOUN,1
161,luachmhar,ADJ,5
162,bheith,NOUN,84
163,iompar,NOUN,4
164,amháin,ADJ,56
165,eile,DET,119
166,lightbody,PROPN,1
167,imithe,ADJ,9
168,trí,NUM,28
169,slat,NOUN,3
170,chun,ADP,130
171,tosach,NOUN,10
172,críochnaigh,VERB,5
173,4:12.0,NUM,1
174,léirigh,VERB,12
175,tuairisc,NOUN,7
176,póilín,NOUN,3
177,imní,NOUN,7
178,líon,NOUN,10
179,fínín,NOUN,2
180,cúige,NOUN,2
181,fosta,ADV,11
182,dánacht,NOUN,1
183,sin,DET,177
184,poblacht,NOUN,2
185,tabhairt,NOUN,45
186,críoch,NOUN,14
187,éigean,NOUN,7
188,riachtanas,NOUN,4
189,teanga,NOUN,31
190,chomh,ADV,74
191,soiléir,ADJ,8
192,cheana,ADV,18
193,siad,PRON,97
194,láthair,NOUN,12
195,bailithe,ADJ,4
196,taistil,VERB,3
197,eoin,PROPN,9
198,ba,PART,5
199,mór,ADJ,144
200,ná,CCONJ,76
201,pápa,NOUN,3
202,aimsir,NOUN,10
203,pio,PROPN,1
204,nono,PROPN,1
205,(,PUNCT,121
206,pius,PROPN,1
207,ix,NUM,1
208,),PUNCT,116
209,aghaidh,NOUN,41
210,gluaisteán,NOUN,1
211,traein,NOUN,3
212,(2),NUM,12
213,réir,NOUN,31
214,fo-alt,NOUN,15
215,(3),NUM,8
216,alt,NOUN,30
217,seo,DET,210
218,aon,DET,122
219,deontas,NOUN,9
220,(a),NUM,8
221,cineál,NOUN,19
222,sonraigh,VERB,7
223,mír,NOUN,8
224,(c),NUM,6
225,(f),NUM,1
226,(1),NUM,10
227,mó,ADJ,7
