,word,POS,count
1,hēra,PROPN,4
2,valdīt,VERB,5
3,augsts,ADJ,12
4,olimps,PROPN,3
5,.,PUNCT,2523
6,viņa,PRON,391
7,",",PUNCT,3487
8,tāpat,PART,5
9,kā,CCONJ,17
10,vīrs,NOUN,24
11,zevs,PROPN,1
12,būt,AUX,987
13,pavēlniece,NOUN,1
14,pār,ADP,17
15,pērkons,NOUN,1
16,un,CCONJ,1164
17,zibens,NOUN,1
18,;,PUNCT,31
19,paklausīt,VERB,2
20,vārds,NOUN,42
21,tumšs,ADJ,5
22,lietus,NOUN,11
23,mākonis,NOUN,4
24,klāt,VERB,5
25,debess,NOUN,12
26,roka,NOUN,85
27,mājiens,NOUN,1
28,radīt,VERB,22
29,drausmīgs,ADJ,1
30,vētra,NOUN,2
31,daiļš,ADJ,1
32,dižens,ADJ,1
33,-,PUNCT,255
34,liels,ADJ,88
35,acs,NOUN,43
36,lillijbalts,ADJ,1
37,ar,ADP,360
38,vainags,NOUN,3
39,uz,ADP,336
40,brīnišķīgs,ADJ,2
41,viļņains,ADJ,1
42,cirta,NOUN,1
43,valdonīgi,ADV,1
44,mierīgi,ADV,2
45,majestātiski,ADV,1
46,mirdzēt,VERB,4
47,majestātisks,ADJ,1
48,savs,DET,51
49,garš,ADJ,21
50,krāšņs,ADJ,3
51,pati,DET,9
52,atēna,PROPN,1
53,aust,VERB,1
54,tērps,NOUN,3
55,braukt,VERB,19
56,lejup,ADV,6
57,no,ADP,298
58,rats,NOUN,4
59,kurš,PRON,74
60,iejūgt,VERB,1
61,2,NUM,10
62,nemirstīgs,ADJ,1
63,zirgs,NOUN,4
64,tīrs,ADJ,7
65,sudrabs,NOUN,2
66,zelts,NOUN,7
67,ritenis,NOUN,5
68,bet,CCONJ,215
69,spieķis,NOUN,1
70,vara,NOUN,10
71,kalt,VERB,1
72,jauks,ADJ,1
73,smarža,NOUN,9
74,plūst,VERB,8
75,zeme,NOUN,32
76,tur,ADV,45
77,kur,ADV,53
78,visa,DET,35
79,dzīvs,ADJ,16
80,radība,NOUN,2
81,noliekties,VERB,2
82,valdniece,NOUN,1
83,priekša,NOUN,14
84,pēc,ADP,113
85,sižets,NOUN,1
86,"""",PUNCT,232
87,antigone,PROPN,3
88,eshils,PROPN,2
89,traģēdija,NOUN,2
90,septiņi,NUM,4
91,pret,ADP,28
92,tēbas,PROPN,2
93,turpinājums,NOUN,1
94,stāstīt,VERB,13
95,par,ADP,283
96,valdnieks,NOUN,4
97,edips,PROPN,1
98,dēls,NOUN,16
99,eteokls,PROPN,2
100,polineiks,PROPN,3
101,cīņa,NOUN,2
102,vest,VERB,12
103,dzimt,VERB,9
104,pilsēta,NOUN,15
105,svešzemnieks,NOUN,1
106,karapulks,NOUN,1
107,doties,VERB,27
108,brālis,NOUN,7
109,pretim,ADV,3
110,lai,SCONJ,122
111,divkauja,NOUN,2
112,izšķirt,VERB,2
113,jautājums,NOUN,43
114,kas,PRON,409
115,tas,PRON,405
116,glābt,VERB,5
117,izpostīšana,NOUN,1
118,krist,VERB,14
119,abi,DET,2
120,māsa,NOUN,6
121,uzskatīt,VERB,13
122,pienākums,NOUN,5
123,apglabāt,VERB,1
124,kaut,SCONJ,8
125,arī,SCONJ,8
126,zināt,VERB,72
127,ka,SCONJ,323
128,draudēt,VERB,3
129,nāve,NOUN,19
130,sods,NOUN,3
131,otrs,NUM,31
132,ismēne,PROPN,1
133,atsacīties,VERB,3
134,pārkāpt,VERB,4
135,kreonts,PROPN,1
136,aizliegums,NOUN,1
137,palīdzēt,VERB,8
138,beigas,NOUN,11
139,izdarīt,VERB,15
140,pašnāvība,NOUN,6
