,word,POS,count
1,siūlyti,VERB,18
2,viešinti,VERB,3
3,aukštas,ADJ,28
4,mokykla,NOUN,10
5,vadovas,NOUN,16
6,atlyginimas,NOUN,6
7,siekti,VERB,50
8,skaidrumas,NOUN,9
9,ir,CCONJ,1197
10,viešumas,NOUN,2
11,universitetas,NOUN,17
12,rektorius,NOUN,2
13,",",PUNCT,3556
14,fakultetas,NOUN,2
15,institutas,NOUN,8
16,kitas,PRON,170
17,pareigos,NOUN,1
18,mokslas,NOUN,36
19,įstaiga,NOUN,11
20,užimti,VERB,6
21,asmuo,NOUN,65
22,darbas,NOUN,60
23,užmokestis,NOUN,2
24,pajamos,NOUN,30
25,.,PUNCT,2150
26,toks,DET,109
27,išvada,NOUN,12
28,prieiti,VERB,2
29,trečiadienis,NOUN,4
30,posėdžiauti,VERB,1
31,seimas,NOUN,17
32,švietimas,NOUN,19
33,kultūra,NOUN,184
34,komitetas,NOUN,9
35,(,PUNCT,266
36,šmkk,X,2
37,),PUNCT,371
38,anot,ADP,9
39,narys,NOUN,19
40,mantas,PROPN,1
41,adomėnas,PROPN,1
42,dabartinis,ADJ,13
43,alga,NOUN,1
44,sunkmetis,NOUN,4
45,kelti,VERB,17
46,visuotinis,ADJ,2
47,pasipiktinimas,NOUN,1
48,derėti,VERB,5
49,pasak,ADP,5
50,ministerija,NOUN,11
51,šmm,X,3
52,sekretorius,NOUN,3
53,giedrius,PROPN,1
54,viliūnas,PROPN,2
55,padalinys,NOUN,2
56,būti,AUX,397
57,ypač,ADV,23
58,o,CCONJ,157
59,iš,ADV,39
60,viso,X,4
61,jis,PRON,600
62,gauti,VERB,28
63,didelis,ADJ,18
64,nes,SCONJ,60
65,būti,VERB,133
66,keletas,PRON,10
67,šaltinis,NOUN,15
68,atstovas,NOUN,21
69,teigimas,NOUN,1
70,situacija,NOUN,23
71,susiklostyti,VERB,3
72,dėl,ADV,5
73,to,X,15
74,kad,SCONJ,290
75,dažnai,ADV,34
76,pareigybė,NOUN,1
77,-,PUNCT,158
78,ir,PART,204
79,dėstyti,VERB,2
80,imtis,VERB,2
81,mokslinis,ADJ,22
82,veikla,NOUN,47
83,bei,CCONJ,99
84,pasitaikyti,VERB,2
85,net,PART,49
86,atvejis,NOUN,27
87,kai,SCONJ,53
88,žmogus,NOUN,100
89,dirbti,VERB,15
90,penki,NUM,8
91,etatas,NOUN,2
92,„,PUNCT,237
93,teisinis,ADJ,23
94,požiūris,NOUN,32
95,tas,DET,265
96,visiškai,ADV,14
97,teisėtas,ADJ,2
98,ar,PART,15
99,humaniškas,ADJ,1
100,gerai,ADV,35
101,klausimas,NOUN,35
102,“,PUNCT,228
103,kalbėti,VERB,23
104,g.,X,1
105,pabrėžti,VERB,16
106,planuoti,VERB,4
107,reforma,NOUN,13
108,įsigalioti,VERB,4
109,studijos,NOUN,15
110,įstatymas,NOUN,50
111,taryba,NOUN,19
112,nustatyti,VERB,96
113,leisti,VERB,20
114,atsirasti,VERB,16
115,dar,PART,37
116,daug,ADV,75
117,parlamentarė,NOUN,2
118,dalia,PROPN,1
119,teišerskytė,PROPN,2
120,užtikrinti,VERB,25
121,bet,CCONJ,76
122,nepakakti,VERB,1
123,negalėti,VERB,24
124,vienas,PRON,74
125,uždirbti,VERB,4
126,30,NUM,9
127,tūkstantis,NUM,8
128,tuo,ADV,2
129,tarpu,X,2
130,darbuotojas,NOUN,38
131,vos,PART,4
132,aš,PRON,204
133,atrodyti,VERB,22
134,nebūti,VERB,82
135,moralus,ADJ,1
136,dalykas,NOUN,16
137,visas,DET,126
138,pagrindas,NOUN,23
139,vienodas,ADJ,2
140,ar,CCONJ,174
141,institucija,NOUN,36
142,labai,ADV,100
143,skirtingas,ADJ,26
144,šimtas,NUM,4
145,dešimt,NUM,5
146,ne,PART,124
147,pats,X,17
148,sąlyga,NOUN,57
149,manyti,VERB,23
150,naujas,ADJ,50
151,kuris,DET,232
152,pakeisti,VERB,8
153,sudėtis,NOUN,3
154,būtent,PART,7
155,išspręsti,VERB,2
156,šitas,DET,6
157,žurnalistas,NOUN,7
158,sakyti,VERB,28
159,d.,X,38
160,taip,PART,50
161,pat,X,57
162,pažymėti,VERB,9
163,jog,SCONJ,41
164,kad,PART,3
165,koks,DET,52
166,talentingas,ADJ,1
167,narė,NOUN,12
168,turėti,VERB,143
169,krūvis,NOUN,1
170,reguliavimas,NOUN,12
171,inspekcija,NOUN,2
172,į,ADP,246
173,pažiūrėti,VERB,2
174,griežtai,ADV,2
175,laurinavičius,PROPN,2
176,česlovas,PROPN,2
177,sirutavičius,PROPN,2
178,vladas,PROPN,2
179,lietuva,PROPN,303
180,istorija,NOUN,51
181,sąjūdis,NOUN,28
182,:,PUNCT,167
183,nuo,ADP,103
184,persitvarkymas,NOUN,1
185,iki,ADP,56
186,kovas,NOUN,7
187,11-as,NUM,2
188,t.,X,8
189,12,NUM,10
190,1,NUM,68
191,vilnius,PROPN,23
192,baltas,ADJ,5
193,lanka,NOUN,2
194,2008,NUM,5
195,recenzija,NOUN,6
196,žurnalas,NOUN,7
197,diena,NOUN,37
198,pirmas,NUM,44
199,pratęsti,VERB,2
200,projektas,NOUN,24
201,parašyti,VERB,8
202,daugiatomis,ADJ,1
203,sintezė,NOUN,2
204,sukurti,VERB,24
205,savotiškas,ADJ,3
206,paminklas,NOUN,3
207,vardas,NOUN,17
208,paminėjimas,NOUN,1
209,tūkstantmetis,NOUN,1
210,šis,DET,228
211,tomas,NOUN,4
212,autorius,NOUN,52
213,recenzentas,NOUN,4
214,išskirtinis,ADJ,1
215,xx,NUM,7
216,a.,X,20
217,pabaiga,NOUN,17
218,specialistas,NOUN,11
219,profesinis,ADJ,14
220,interesas,NOUN,12
221,laukas,NOUN,6
222,nusidriekti,VERB,1
223,ldk,X,1
224,viduramžiai,NOUN,2
225,politinis,ADJ,39
226,xix,NUM,3
227,vidurys,NOUN,6
228,visuomenė,NOUN,54
229,tyrimas,NOUN,138
230,pusė,NOUN,23
231,diplomatija,NOUN,1
232,tarptautinis,ADJ,27
233,santykis,NOUN,35
234,sfera,NOUN,2
235,pasirinkimas,NOUN,7
236,tikrai,ADV,24
237,smerkti,VERB,1
238,kuo,CCONJ,8
239,įvairus,ADJ,29
240,istorikas,NOUN,7
241,patirtis,NOUN,22
242,tuo,SCONJ,11
243,tikėtinas,ADJ,2
244,peržengti,VERB,3
245,stereotipas,NOUN,1
246,sugebėti,VERB,3
247,išvengti,VERB,5
248,pasikartojimas,NOUN,3
249,perpasakojimas,NOUN,1
250,rašyti,VERB,10
251,originalus,ADJ,5
252,tekstas,NOUN,55
253,galėti,VERB,147
254,teigti,VERB,20
255,pavykti,VERB,7
256,gal,PART,34
257,kiek,ADV,25
258,nei,SCONJ,29
259,tikėtis,VERB,7
260,skaitytojas,NOUN,29
261,įprasti,VERB,1
262,prie,ADP,44
263,sintetinis,ADJ,5
264,kaip,SCONJ,177
265,neginčyti,VERB,2
266,tiesa,NOUN,17
267,faktas,NOUN,5
268,rinkinys,NOUN,2
269,elgtis,VERB,15
270,sąžiningai,ADV,1
271,pratarmė,NOUN,4
272,deklaruoti,VERB,5
273,asmeninis,ADJ,8
274,nepretenduoti,VERB,2
275,tarti,VERB,2
276,istorinis,ADJ,19
277,objektyvumas,NOUN,1
278,pateikti,VERB,82
279,vienas,NUM,24
280,iš,ADP,130
281,įvykis,NOUN,21
282,versija,NOUN,1
283,tačiau,CCONJ,82
284,baimintis,VERB,1
285,nemažai,ADV,3
286,nekreipti,VERB,1
287,dėmesys,NOUN,30
288,dėl,ADP,80
289,rinka,NOUN,27
290,konjunktūra,NOUN,1
291,sumetimas,NOUN,1
292,papildomas,ADJ,4
293,finansavimas,NOUN,19
294,12-as,NUM,2
295,i,NUM,4
296,dalis,NOUN,96
297,pavadinimas,NOUN,13
298,sieti,VERB,10
299,su,ADP,200
300,nors,SCONJ,31
301,esmės,X,10
302,čia,ADV,20
303,aprašyti,VERB,12
304,1987,NUM,1
305,1990,NUM,12
306,metai,NOUN,61
307,lssr,X,1
308,gyvenimas,NOUN,69
309,kur,ADV,23
310,tik,PART,109
311,keli,PRON,14
312,pagrindinis,ADJ,31
313,veikėjas,NOUN,7
314,pasakojimas,NOUN,8
315,apie,ADP,127
316,kova,NOUN,4
317,tarp,ADP,39
318,trys,NUM,18
319,jėga,NOUN,4
320,–,PUNCT,261
321,ssrs,X,8
322,centras,NOUN,13
323,lkr,X,1
324,domėjimasis,NOUN,1
325,lkp,X,12
326,vidinis,ADJ,8
327,nepagailėti,VERB,1
328,/,PUNCT,13
329,3,NUM,54
330,skirti,VERB,49
331,komunistas,NOUN,4
332,maskva,PROPN,5
333,nereikėti,VERB,8
334,stebėtis,VERB,2
335,jau,ADV,34
336,sulaukti,VERB,4
337,kritiškas,ADJ,6
338,politikas,NOUN,7
339,pastaba,NOUN,4
340,suprasti,VERB,25
341,taikyti,VERB,30
342,trinaris,ADJ,1
343,konstrukcija,NOUN,1
344,eiga,NOUN,3
345,supaprastėti,VERB,1
346,permaina,NOUN,1
347,iniciatorius,NOUN,2
348,lengvai,ADV,13
349,identifikuoti,VERB,5
350,nekilti,VERB,3
351,sunkumas,NOUN,18
352,charakterizuoti,VERB,1
353,laikotarpis,NOUN,23
354,deja,INTJ,4
355,trinaris,NOUN,1
356,modelis,NOUN,46
357,trūkumas,NOUN,11
358,grupuotė,NOUN,1
359,tarsi,PART,15
360,neišvengiamai,ADV,2
361,priskirti,VERB,7
362,organizacija,NOUN,27
363,dominuoti,VERB,5
364,dauguma,NOUN,11
365,antras,NUM,28
366,neminėti,VERB,1
367,naujai,ADV,4
368,besikurti,VERB,2
369,kartais,ADV,21
370,tiesiogiai,ADV,13
371,niekas,PRON,19
372,bendras,ADJ,28
373,neturėti,VERB,18
374,pasirinkti,VERB,11
375,tiek,ADV,37
376,probleminis,ADJ,3
377,chronologinis,ADJ,1
378,rašymas,NOUN,2
379,principas,NOUN,13
380,nulemti,VERB,4
381,virsti,VERB,5
382,metraštis,NOUN,1
383,po,ADP,36
384,suteikti,VERB,29
385,mažai,ADV,36
386,retkarčiais,ADV,1
387,skyrius,NOUN,23
388,poskyris,NOUN,3
389,problema,NOUN,26
390,aptarti,VERB,50
391,apimtis,NOUN,7
392,solidus,ADJ,2
393,beveik,ADV,19
394,puslapis,NOUN,9
395,metraštiškas,ADJ,1
396,dėstymas,NOUN,2
397,svarbus,ADJ,60
398,palikti,VERB,15
399,paraštė,NOUN,1
400,keistas,ADJ,9
401,kodėl,ADV,10
402,socialinis,ADJ,82
403,analizė,NOUN,44
404,sąmoningai,ADV,3
405,atsisakyti,VERB,10
406,lps,X,2
407,struktūra,NOUN,16
408,raida,NOUN,32
409,vidus,NOUN,7
410,atskiras,ADJ,16
411,organizacinis,ADJ,5
412,finansinis,ADJ,46
413,leidybinis,ADJ,1
414,neaprašyti,VERB,1
415,dar,ADV,20
416,keistai,ADV,2
417,ekonominis,ADJ,21
418,veiksnys,NOUN,26
419,scena,NOUN,3
420,fonas,NOUN,1
421,detalė,NOUN,4
422,ekonomika,NOUN,18
423,vystymasis,NOUN,9
424,tempas,NOUN,2
425,lėtėjimas,NOUN,1
426,eksportas,NOUN,1
427,žlugimas,NOUN,1
428,prasiskolinimas,NOUN,1
429,vakarai,NOUN,15
430,valstybė,NOUN,140
431,visa,PRON,9
432,tai,X,12
433,neanalizuoti,VERB,2
434,faktinis,ADJ,4
435,kortelė,NOUN,1
436,sistema,NOUN,35
437,įvedimas,NOUN,1
438,nepriteklius,NOUN,1
439,prasti,VERB,1
440,sovietas,NOUN,5
441,sąjunga,NOUN,25
442,gyventojas,NOUN,27
443,ypatingas,ADJ,9
444,sukrėtimas,NOUN,1
445,sąlyginis,ADJ,3
446,gerovė,NOUN,51
447,pragyvenimas,NOUN,1
448,lygis,NOUN,20
449,augimas,NOUN,6
450,devintas,NUM,1
451,dešimtmetis,NOUN,13
452,gana,ADV,15
453,staiga,ADV,4
454,baigtis,VERB,3
455,kasdienis,ADJ,2
456,vartojimas,NOUN,4
457,prekė,NOUN,3
458,pvz.,X,9
459,muilas,NOUN,1
460,maistas,NOUN,15
461,produktas,NOUN,24
462,cukrus,NOUN,1
463,makaronas,NOUN,1
464,trūkti,VERB,4
465,nuolat,ADV,12
466,per,ADP,64
467,pora,NOUN,5
468,valdyti,VERB,5
469,režimas,NOUN,1
470,autoritetas,NOUN,2
471,arba,CCONJ,97
472,kas,PRON,98
473,belikti,VERB,3
474,paprastas,ADJ,6
475,sudaryti,VERB,37
476,sovietinis,ADJ,9
477,kuklus,ADJ,2
478,svarbiai,ADV,4
479,komunizmas,NOUN,1
480,statyba,NOUN,1
481,išvadavimas,NOUN,1
482,žlugti,VERB,2
483,m.,X,4
484,gorbačiovas,PROPN,4
485,tikslas,NOUN,43
486,transformuoti,VERB,1
487,partinis,ADJ,1
488,valdžia,NOUN,4
489,visagalis,NOUN,2
490,prezidentas,NOUN,8
491,postas,NOUN,4
492,likti,VERB,22
493,nepastebėti,VERB,2
494,omeny,X,2
495,vieta,NOUN,51
496,neišryškinti,VERB,1
497,dialogas,NOUN,8
498,konstitucija,NOUN,6
499,keitimas,NOUN,2
500,išplėsti,VERB,3
501,respublika,NOUN,39
502,teisė,NOUN,82
503,įtvirtinti,VERB,9
504,grįsti,VERB,8
505,rusas,NOUN,2
506,dominavimas,NOUN,2
507,imperija,NOUN,1
508,deklaratyvus,ADJ,1
509,sąjunginis,ADJ,1
510,gerokai,ADV,5
511,sumažinti,VERB,7
512,atsakymas,NOUN,10
513,siekis,NOUN,3
514,kalba,NOUN,21
515,bandymas,NOUN,5
516,blokuoti,VERB,2
517,priimti,VERB,21
518,anksti,ADV,5
519,padaryti,VERB,27
520,taip,ADV,45
521,70,NUM,4
522,straipsnis,NOUN,90
523,nutikti,VERB,2
524,aktas,NOUN,30
525,kitaip,ADV,15
526,sakant,X,1
527,nuolatos,ADV,3
528,priversti,VERB,2
529,vadovybė,NOUN,3
530,pradėti,VERB,25
531,derybinis,ADJ,1
532,statusas,NOUN,10
533,savo,ADV,1
534,ruožtu,X,1
535,viskas,PRON,20
536,oficialus,ADJ,4
537,niekada,ADV,9
538,neprasidėti,VERB,1
539,gaila,ADV,3
540,neatsirasti,VERB,1
541,mintis,NOUN,16
542,1989,NUM,4
543,m.,NOUN,69
544,nepriklausomybė,NOUN,8
545,negalimas,ADJ,2
546,joks,DET,20
547,diskusija,NOUN,9
548,patirti,VERB,8
549,visiškas,ADJ,4
550,nesėkmė,NOUN,1
551,gilėti,VERB,1
552,krizė,NOUN,4
553,savas,PRON,3
554,kanalas,NOUN,5
555,savarankiškumas,NOUN,1
556,paskelbimas,NOUN,1
557,priemonė,NOUN,24
558,derybos,NOUN,5
559,poleminis,ADJ,1
560,publicistinis,ADJ,1
561,stilius,NOUN,4
562,geras,ADJ,14
563,proga,NOUN,5
564,nuomonė,NOUN,22
565,nesutapti,VERB,2
566,kritikuoti,VERB,4
567,pats,DET,51
568,kai,PRON,30
569,kuris,X,37
570,teiginys,NOUN,9
571,ginčyti,VERB,3
572,pavyzdys,NOUN,35
573,sakinys,NOUN,2
574,iniciatyvinis,ADJ,1
575,grupė,NOUN,22
576,atstovauti,VERB,3
577,identitetas,NOUN,1
578,laikraštis,NOUN,12
579,eseistas,NOUN,1
580,tevertas,ADJ,1
581,tarava,PROPN,1
582,anikei,PROPN,1
583,atstatymas,NOUN,1
584,klaipėda,PROPN,2
585,lyg,PART,1
586,ir,X,1
587,teikti,VERB,50
588,viltis,NOUN,3
589,prasidėti,VERB,5
590,taikus,ADJ,2
591,vokietija,PROPN,2
592,grįžimas,NOUN,6
593,europa,PROPN,54
594,nepalikti,VERB,1
595,nuošalis,NOUN,1
596,priminti,VERB,8
597,šventas,ADJ,2
598,raštas,NOUN,4
599,pradžia,NOUN,8
600,žodis,NOUN,15
601,išties,ADV,2
602,laikraštininkas,NOUN,1
603,plunksna,NOUN,1
604,vertas,ADJ,6
605,sumanymas,NOUN,1
606,pasvarstymas,NOUN,1
607,kaip,ADV,19
608,lietuvis,NOUN,15
609,paveikti,VERB,1
610,ligotas,ADJ,1
611,išpuolis,NOUN,1
612,prieš,ADP,15
613,rembrandtas,PROPN,1
614,paveikslas,NOUN,2
615,pernai,ADV,1
616,žinios,NOUN,37
617,išspausdinti,VERB,1
618,r.,X,14
619,ozolas,PROPN,1
620,jonas,PROPN,3
621,paulius,PROPN,4
622,išrinkimas,NOUN,1
623,aplinkybė,NOUN,5
624,vargu,PART,2
625,ar,X,2
626,reikšti,VERB,11
627,metafora,NOUN,3
628,sunkus,ADJ,11
629,pasakyti,VERB,6
630,profesionalus,ADJ,6
631,pasakoti,VERB,3
632,konfliktas,NOUN,3
633,ltsr,X,2
634,at,X,2
635,pataisa,NOUN,4
636,pirmenybė,NOUN,2
637,tsrs,X,1
638,lyginti,VERB,9
639,1920,NUM,1
640,l.,X,5
641,želigovskis,PROPN,1
642,invazija,NOUN,1
643,realus,ADJ,9
644,politika,NOUN,94
645,lenkas,NOUN,6
646,fiasko,NOUN,1
647,pasažas,NOUN,1
648,skubėjimas,NOUN,1
649,pasekmė,NOUN,3
650,parengti,VERB,18
651,įkūrimas,NOUN,1
652,dvidešimtmetis,NOUN,2
653,paminėti,VERB,4
654,liudyti,VERB,4
655,tam,PRON,28
656,tikras,X,27
657,techninis,ADJ,6
658,neišbaigtumas,NOUN,1
659,painioti,VERB,3
660,paleckis,PROPN,2
661,inicialas,NOUN,2
662,42,NUM,1
663,vietoj,ADP,4
664,antanas,PROPN,2
665,kažkoks,PRON,5
666,j.,X,4
667,sniečkus,PROPN,1
668,be,ADP,20
669,noras,NOUN,10
670,polemizuoti,VERB,1
671,diskutuoti,VERB,5
672,svarstyti,VERB,6
673,savęs,PRON,130
674,ryškus,ADJ,3
675,priešprieša,NOUN,2
676,aprašymas,NOUN,3
677,akivaizdžiai,ADV,4
678,teigiamas,ADJ,5
679,personažas,NOUN,3
680,kaltinti,VERB,4
681,nors,X,31
682,netikslus,ADJ,2
683,matyti,VERB,25
684,vyrauti,VERB,5
685,nuotaika,NOUN,1
686,perfrazuoti,VERB,3
687,lietuviškas,ADJ,17
