,word,POS,count
1,auntie,NOUN,1
2,<,X,876
3,good,ADJ,33
4,morning,NOUN,16
5,//,X,1905
6,!//,X,222
7,how,ADV,61
8,you,PRON,460
9,dey,VERB,193
10,now,ADV,184
11,?//,X,179
12,i,PRON,1025
13,fine,ADJ,12
14,your,PRON,58
15,night,NOUN,11
16,we,PRON,302
17,tank,VERB,12
18,god,PROPN,71
19,hope,VERB,5
20,sey,SCONJ,452
21,[,X,483
22,sleep,VERB,14
23,well,ADV,77
24,],X,345
25,ah,INTJ,80
26,my,PRON,294
27,sista,NOUN,33
28,o,PART,199
29,una,PRON,39
30,get,VERB,158
31,light,NOUN,8
32,for,ADP,341
33,area,NOUN,9
34,last,ADJ,28
35,no,AUX,433
36,wetin,PRON,95
37,happen,VERB,20
38,toh,INTJ,35
39,na,AUX,548
40,nepa,PROPN,3
41,aha,INTJ,18
42,dese,DET,10
43,people,NOUN,70
44,hear,VERB,28
45,dem,PRON,394
46,dey,AUX,735
47,share,VERB,2
48,di,DET,584
49,ting,NOUN,100
50,tire,VERB,12
51,me,PRON,380
52,eh,INTJ,113
53,{,X,635
54,just,ADV,155
55,am,PRON,361
56,|c,X,304
57,but,CCONJ,98
58,go,AUX,515
59,bring,VERB,16
60,big,ADJ,17
61,bill,NOUN,3
62,},X,636
63,our,PRON,53
64,&//,X,168
65,in,ADP,76
66,fact,NOUN,21
67,dat,DET,155
68,anoder,DET,19
69,again,ADV,36
70,so,ADV,301
71,>,X,22
72,much,ADJ,10
73,||,X,483
74,give,VERB,79
75,seven,NUM,9
76,thousand,NUM,13
77,jesus,PROPN,1
78,wey,SCONJ,242
79,see,VERB,91
80,kill,VERB,4
81,person,NOUN,44
82,manage,VERB,10
83,business,NOUN,3
84,eya,INTJ,5
85,help,VERB,33
86,us,PRON,61
87,amen,INTJ,2
88,im,PRON,651
89,one,DET,38
90,soup,NOUN,33
91,like,ADP,78
92,dat,PRON,32
93,mama,PROPN,2
94,maro,PROPN,1
95,bin,AUX,28
96,teach,VERB,26
97,make,VERB,61
98,sense,NOUN,17
99,ibo,PROPN,1
100,ehn,INTJ,65
101,know,VERB,105
102,like,VERB,38
103,too,ADV,35
104,shebi,ADV,2
105,banga,NOUN,14
106,ok,INTJ,72
107,come,VERB,133
108,and,CCONJ,142
109,do,VERB,210
110,|r,X,106
111,abi,CCONJ,6
112,make,AUX,236
113,fit,AUX,84
114,tell,VERB,133
115,take,VERB,99
116,cook,VERB,28
117,junior,ADJ,5
118,small,ADJ,64
119,say,VERB,186
120,parboil,VERB,2
121,//],X,77
122,ehen,INTJ,23
123,after,ADP,26
124,con,AUX,485
125,pound,VERB,7
126,yes,INTJ,13
127,when,ADV,60
128,<+,X,3
129,filter,VERB,3
130,den,ADV,35
131,put,VERB,72
132,ingredient,NOUN,3
133,inside,ADP,44
134,>+,X,302
135,teacher,NOUN,13
136,x,X,125
137,which,DET,21
138,as,ADP,139
139,food,NOUN,34
140,swallow,NOUN,2
141,use,VERB,43
142,to,ADP,200
143,eat,VERB,52
144,hey,INTJ,12
145,starch,NOUN,10
146,or,CCONJ,38
147,eba,NOUN,12
148,oh,INTJ,11
149,confirm,VERB,2
150,hm,INTJ,26
151,hehe,INTJ,8
152,go,VERB,328
153,one,NOUN,103
154,pass,VERB,29
155,dis,DET,210
156,before,ADP,36
157,here,ADV,34
158,mtschew,INTJ,36
159,why,ADV,24
160,drink,VERB,5
161,tea,NOUN,2
162,who,PRON,16
163,sha,PART,20
164,rice,NOUN,4
165,sweet,ADJ,7
166,any,DET,26
167,news,NOUN,3
168,concern,VERB,2
169,issue,NOUN,5
170,want,VERB,129
171,cut,VERB,8
172,tomorrow,NOUN,11
173,abeg,INTJ,27
174,because,SCONJ,88
175,don,AUX,161
176,mysef,PART,1
177,even,ADV,108
178,money,NOUN,88
179,pay,VERB,20
180,wahala,NOUN,16
181,everywhere,ADV,6
182,dry,ADJ,4
183,no,PART,60
184,pray,VERB,17
185,make,SCONJ,35
186,if,SCONJ,187
187,mean,VERB,6
188,all,DET,52
189,whole,ADJ,5
190,no,DET,5
191,at,ADP,27
192,all,PRON,14
193,kai,INTJ,7
194,try,VERB,47
195,sure,ADJ,6
196,sef,PART,49
197,haha,INTJ,13
198,madam,NOUN,2
199,market,NOUN,15
200,next,ADJ,13
201,day,NOUN,43
202,gwagwalada,PROPN,3
203,kwali,PROPN,2
204,first,ADV,10
205,be,VERB,51
206,buy,VERB,60
207,some,DET,34
208,kind,ADJ,22
209,shop,NOUN,19
210,kind,NOUN,4
211,need,VERB,13
212,what,PRON,3
213,shampoo,NOUN,2
214,provision,NOUN,2
215,dere,ADV,37
216,true,ADJ,4
217,attach,NOUN,1
218,ba,PART,2
219,product,NOUN,2
220,would,AUX,2
221,call,VERB,44
222,house,NOUN,57
223,wait,VERB,17
224,problem,NOUN,15
225,hustle,VERB,14
226,so,SCONJ,23
227,dat,SCONJ,23
228,enough,ADJ,4
229,number,NOUN,10
230,week,NOUN,11
231,still,ADV,36
232,sometime,ADV,2
233,aya,INTJ,1
234,network,NOUN,2
235,flash,VERB,1
236,wit,ADP,23
237,leave,VERB,15
238,expect,VERB,3
239,church,NOUN,13
240,cac,PROPN,3
241,comot,VERB,28
242,pathfinders,PROPN,1
243,jor,INTJ,2
244,preach,VERB,2
245,programme,NOUN,5
246,upcoming,ADJ,1
247,third,ADJ,3
248,friday,PROPN,2
249,of,ADP,115
250,month,NOUN,18
251,vigil,NOUN,3
252,hot,ADJ,6
253,be,AUX,203
254,invite,VERB,1
255,own,ADJ,25
256,woman,NOUN,32
257,enjoy,VERB,5
258,will,AUX,8
259,many,ADJ,16
260,//=,X,199
261,care,NOUN,3
262,home,NOUN,10
263,family,NOUN,9
264,prepare,VERB,10
265,keep,VERB,5
266,till,ADP,7
267,#,X,2299
268,name,NOUN,5
269,charity,PROPN,4
270,from,ADP,39
271,delta,PROPN,2
272,state,NOUN,7
273,mama,NOUN,28
274,papa,NOUN,23
275,born,VERB,19
276,grow,VERB,12
277,up,ADP,37
278,abuja,PROPN,5
279,parent,NOUN,6
280,carry,VERB,77
281,travel,VERB,9
282,always,ADV,3
283,school,NOUN,90
284,never,AUX,18
285,finish,VERB,35
286,//+,X,7
287,learn,VERB,22
288,hairdressing,NOUN,2
289,plait,VERB,1
290,hair,NOUN,1
291,neighbour,NOUN,2
292,mysef,PRON,20
293,tings,NOUN,31
294,disturb,VERB,1
295,moder,NOUN,14
296,she,PRON,62
297,everybody,PRON,37
298,dad,NOUN,2
299,fader,NOUN,8
300,benin,PROPN,4
301,work,VERB,34
302,life,NOUN,35
303,easy,ADJ,7
304,hard,ADJ,7
305,naija,PROPN,11
306,suffer,VERB,18
307,cost,ADJ,7
308,die,VERB,14
309,when,SCONJ,25
310,year,NOUN,28
311,(,X,25
312,),X,17
313,two,NUM,30
314,hundred,NUM,10
315,six,NUM,5
316,on,ADP,18
317,your,ADJ,6
318,hunger,NOUN,4
319,salon,NOUN,2
320,admission,NOUN,23
321,cry,VERB,6
322,time,NOUN,63
323,?//],X,31
324,registration,NOUN,1
325,almost,ADV,6
326,three,NUM,16
327,four,NUM,8
328,resume,VERB,1
329,open,VERB,7
330,door,NOUN,4
331,country,NOUN,28
332,way,NOUN,11
333,back,ADV,39
334,noting,PRON,20
335,ma,PART,9
336,customer,NOUN,2
337,price,VERB,2
338,low,ADJ,2
339,some,PRON,26
340,where,ADV,42
341,hand,NOUN,18
342,wonder,VERB,9
343,broder,NOUN,13
344,voice,NOUN,1
345,anywhere,ADV,4
346,anyting,PRON,17
347,first,ADJ,24
348,without,ADP,2
349,not,PART,7
350,do,AUX,2
351,have,VERB,3
352,hardworking,ADJ,2
353,meet,VERB,24
354,near,ADJ,2
355,forget,VERB,9
356,stuff,NOUN,1
357,write,VERB,20
358,jamb,PROPN,9
359,mind,NOUN,4
360,maybe,ADV,11
361,favour,VERB,1
362,start,VERB,24
363,lecture,NOUN,5
364,everyday,ADV,6
365,tink,VERB,14
366,naim,ADV,66
367,kuma,ADV,2
368,about,ADP,26
369,look,VERB,39
370,work,NOUN,88
371,complete,VERB,3
372,promise,VERB,3
373,worry,VERB,8
