,word,POS,count
1,и,CCONJ,2600
2,вълѣсти,VERB,10
3,въ,ADP,898
4,корабль,NOUN,17
5,исоусъ,PROPN,349
6,прѣꙗхати,VERB,2
7,прити,VERB,237
8,свои,ADJ,244
9,градъ,NOUN,40
10,се,INTJ,100
11,принести,VERB,12
12,и,PRON,1794
13,ослабити,VERB,8
14,жила,NOUN,2
15,на,ADP,445
16,одръ,NOUN,11
17,лежати,VERB,13
18,видѣти,VERB,162
19,вѣра,NOUN,41
20,рещи,VERB,526
21,дрьзати,VERB,4
22,чѧдо,NOUN,27
23,отъпоущати,VERB,11
24,себе,PRON,836
25,грѣхъ,NOUN,24
26,твои,ADJ,123
27,ѥдинъ,ADJ,38
28,отъ,ADP,397
29,кънижьникъ,NOUN,39
30,сь,ADJ,250
31,власвимлꙗти,VERB,1
32,помꙑшлѥниѥ,NOUN,6
33,въскѫѭ,ADV,3
34,вꙑ,PRON,364
35,мꙑслити,VERB,6
36,зълъ,ADJ,31
37,срьдьце,NOUN,36
38,вашь,ADJ,80
39,чьто,PRON,136
40,бо,ADV,217
41,бꙑти,AUX,1259
42,оудобь,ADJ,1
43,отъпоустити,VERB,40
44,ли,CCONJ,69
45,въстати,VERB,59
46,ходити,VERB,29
47,нъ,CCONJ,131
48,да,SCONJ,166
49,оувѣдѣти,VERB,5
50,ꙗко,SCONJ,376
51,власть,NOUN,11
52,имѣти,VERB,204
53,сꙑнъ,NOUN,173
54,чловѣчьскъ,ADJ,62
55,землꙗ,NOUN,61
56,тъгда,ADV,70
57,глаголати,VERB,635
58,възѧти,VERB,39
59,ложе,NOUN,3
60,ити,VERB,158
61,домъ,NOUN,77
62,же,ADV,828
63,народъ,NOUN,89
64,чоудити,VERB,8
65,прославити,VERB,4
66,богъ,NOUN,91
67,дати,VERB,125
68,такъ,DET,2
69,чловѣкъ,NOUN,151
70,прѣходити,VERB,5
71,отътѫдоу,ADV,7
72,тоудѫ,ADV,1
73,мꙑтьница,NOUN,2
74,сѣдѣти,VERB,31
75,имѧ,NOUN,54
76,матътeи,PROPN,4
77,по,ADP,161
78,азъ,PRON,401
79,грѧсти,VERB,51
80,възлежати,VERB,13
81,мъногъ,ADJ,105
82,грѣшьникъ,NOUN,19
83,мꙑтарь,NOUN,9
84,съ,ADP,213
85,оученикъ,NOUN,142
86,фарисеи,NOUN,44
87,оучитель,NOUN,35
88,ꙗсти,VERB,63
89,слꙑшати,VERB,102
90,не,ADV,695
91,трѣбовати,VERB,12
92,съдравъ,ADJ,7
93,врачь,NOUN,1
94,болѣти,VERB,6
95,наоучити,VERB,10
96,милостꙑни,NOUN,3
97,хотѣти,VERB,82
98,а,CCONJ,93
99,жрьтва,NOUN,6
100,правьдьникъ,NOUN,7
101,призъвати,VERB,17
102,покаꙗниѥ,NOUN,7
103,пристѫпити,VERB,42
104,къ,ADP,263
105,иоановъ,ADJ,8
106,мꙑ,PRON,77
107,постити,VERB,9
108,мъного,ADV,16
109,еда,ADV,31
110,мощи,VERB,82
111,брачьнъ,ADJ,2
112,плакати,VERB,10
113,доньде,SCONJ,30
114,женихъ,NOUN,7
115,дьнь,NOUN,137
116,ѥгдаже,ADV,1
117,отѧти,VERB,7
118,никътоже,ADJ,46
119,приставлꙗти,VERB,2
120,приставлѥниѥ,NOUN,3
121,платъ,NOUN,2
122,бѣлити,VERB,2
123,риза,NOUN,25
124,ветъхъ,ADJ,6
125,коньчина,NOUN,8
126,болии,ADJ,24
127,дира,NOUN,2
128,ни,CCONJ,61
129,възливати,VERB,1
130,вино,NOUN,14
131,новъ,ADJ,17
132,мѣхъ,NOUN,7
133,аще,SCONJ,168
134,ли,ADV,124
135,ни,ADV,31
136,просѣсти,VERB,1
137,пролиꙗти,VERB,3
138,погꙑбати,VERB,5
139,въливати,VERB,3
140,обои,NUM,1
141,съблюдати,VERB,4
142,сице,ADV,2
143,кънѧѕь,NOUN,14
144,вънити,VERB,64
145,кланꙗти,VERB,9
146,дъщи,NOUN,13
147,мои,ADJ,178
148,нꙑнѣ,ADV,22
149,оумрѣти,VERB,28
150,възложити,VERB,15
151,рѫка,NOUN,57
152,ожити,VERB,4
153,жена,NOUN,82
154,кръвоточивъ,ADJ,1
155,дъва,NUM,58
156,десѧть,NUM,69
157,лѣто,NOUN,20
158,зади,ADV,1
159,прикоснѫти,VERB,7
160,въскрилиѥ,NOUN,2
161,тъкъмо,ADV,31
162,съпасти,VERB,28
163,обратити,VERB,13
164,тꙑ,PRON,224
165,часъ,NOUN,20
166,тъ,DET,86
167,кънѧжь,ADJ,1
168,сопьць,NOUN,1
169,млъвити,VERB,1
170,отити,VERB,24
171,дѣвица,NOUN,3
172,съпати,VERB,15
173,рѫгати,VERB,6
174,ѥгда,ADV,111
175,изгънати,VERB,15
176,ѩти,VERB,53
177,за,ADP,32
178,изити,VERB,73
179,вѣсть,NOUN,1
180,сь,DET,147
181,вьсь,DET,157
182,тѫдоу,ADV,4
183,слѣпьць,NOUN,10
184,зъвати,VERB,22
185,помиловати,VERB,11
186,вѣ,PRON,14
187,давꙑдовъ,ADJ,15
188,вѣровати,VERB,46
189,сътворити,VERB,116
190,еи,INTJ,8
191,господь,NOUN,112
192,коснѫти,VERB,4
193,око,NOUN,35
194,отврѣсти,VERB,11
195,запрѣтити,VERB,12
196,блюсти,VERB,14
197,онъ,ADJ,147
198,тъ,ADJ,122
