,word,POS,count
1,за,ADP,83
2,молитва,NOUN,27
3,святыи,ADJ,107
4,отьць,NOUN,85
5,нашь,ADJ,57
6,господь,NOUN,50
7,исусъ,PROPN,15
8,христ(ос)ъ,PROPN,21
9,сынъ,NOUN,89
10,божии,ADJ,28
11,помиловати,VERB,8
12,азъ,PRON,155
13,рабъ,NOUN,4
14,свои,ADJ,287
15,грѣшьныи,ADJ,5
16,афонасии,PROPN,1
17,микитинъ,ADJ,1
18,се,INTJ,76
19,написати,VERB,10
20,хожение,NOUN,3
21,трие,NUM,58
22,море,NOUN,39
23,пьрвыи,ADJ,23
24,дербентьскыи,ADJ,1
25,дория,NOUN,4
26,хвалисьскыи,ADJ,1
27,въторыи,ADJ,5
28,индѣискыи,ADJ,22
29,гондустаньскыи,ADJ,5
30,третии,ADJ,15
31,чьрныи,ADJ,8
32,стемъбольскыи,ADJ,2
33,поити,VERB,115
34,отъ,ADP,293
35,съпасъ,NOUN,7
36,златовьрхыи,ADJ,1
37,съ,ADP,352
38,и,PRON,991
39,милость,NOUN,7
40,великыи,ADJ,112
41,кънязь,NOUN,104
42,михаилъ,PROPN,14
43,борисовичь,PROPN,1
44,и,CCONJ,2060
45,владыка,NOUN,5
46,генадии,PROPN,1
47,твѣрьскыи,ADJ,1
48,на,ADP,589
49,низъ,ADV,2
50,вълга,PROPN,8
51,приити,VERB,196
52,въ,ADP,1032
53,манастырь,NOUN,52
54,къ,ADP,286
55,живоначальныи,ADJ,1
56,троица,NOUN,3
57,мученикъ,NOUN,5
58,борисъ,PROPN,27
59,гълѣбъ,PROPN,28
60,у,ADP,109
61,игуменъ,NOUN,39
62,себе,PRON,693
63,благословити,VERB,7
64,макарии,PROPN,1
65,братия,NOUN,72
66,из,ADP,87
67,колязинъ,PROPN,1
68,углечь,PROPN,2
69,кострома,PROPN,1
70,александръ,PROPN,5
71,иныи,DET,37
72,грамота,NOUN,5
73,отъпустити,VERB,6
74,вьсь,DET,136
75,русь,PROPN,60
76,добровольно,ADV,5
77,плесо,PROPN,1
78,новъгородъ,PROPN,39
79,нижьнии,ADJ,1
80,кыселевъ,ADJ,1
81,намѣстьникъ,NOUN,1
82,пошьлиньникъ,NOUN,1
83,иванъ,PROPN,5
84,сараевъ,ADJ,1
85,пропустити,VERB,2
86,а,CCONJ,535
87,василии,PROPN,15
88,папинъ,PROPN,2
89,проѣхати,VERB,2
90,городъ,NOUN,38
91,язъ,PRON,11
92,жьдати,VERB,4
93,дъва,NUM,77
94,недѣля,NOUN,10
95,посълъ,NOUN,5
96,татарьскыи,ADJ,1
97,ширвашинъ,ADJ,3
98,асанъ,PROPN,8
99,бѣкъ,NOUN,13
100,ѣхати,VERB,2
101,кречатъ,NOUN,2
102,девяносто,NUM,1
103,поѣхати,VERB,2
104,быти,AUX,773
105,казань,PROPN,1
106,орда,NOUN,7
107,усланъ,PROPN,1
108,сараи,PROPN,1
109,берекезанъ,PROPN,1
110,въѣхати,VERB,1
111,бузанъ,PROPN,2
112,рѣка,NOUN,17
113,ту,ADV,46
114,наѣхати,VERB,1
115,мы,PRON,132
116,татаринъ,NOUN,3
117,поганыи,ADJ,11
118,съказати,VERB,18
119,лъживыи,ADJ,1
120,вѣсть,NOUN,15
121,каисымъ,PROPN,1
122,султанъ,NOUN,13
123,стеречи,VERB,3
124,гость,NOUN,6
125,тысяча,NUM,54
126,дати,VERB,38
127,по,ADV,32
128,одьнорядъка,NOUN,2
129,да,CCONJ,206
130,по,ADP,262
131,полотьно,NOUN,1
132,чьтобы,SCONJ,8
133,провести,VERB,2
134,мимо,ADP,3
135,астраханъ,PROPN,3
136,онъ,ADJ,144
137,възяти,VERB,82
138,цѣсарь,NOUN,68
139,судьно,NOUN,13
140,покынути,VERB,1
141,полѣзти,VERB,2
142,посъловъ,ADJ,1
143,и,ADV,149
144,товарищь,NOUN,1
145,мѣсяць,NOUN,49
146,ночь,NOUN,15
147,парусъ,NOUN,1
148,видѣти,VERB,58
149,кликати,VERB,2
150,качьма,X,1
151,не,ADV,363
152,бѣгати,VERB,4
153,посълати,VERB,104
154,грѣхъ,NOUN,25
155,постигнути,VERB,2
156,бугунъ,PROPN,1
157,застрѣлити,VERB,2
158,человѣкъ,NOUN,66
159,мьнии,ADJ,10
160,стати,VERB,43
161,езъ,NOUN,2
162,оныи,ADJ,6
163,часъ,NOUN,6
164,тыи,DET,41
165,розграбити,VERB,2
166,мои,ADJ,66
167,рухлядь,NOUN,1
168,большии,ADJ,8
169,доити,VERB,10
170,до,ADP,107
171,ино,ADV,10
172,усть,ADV,2
173,мѣль,NOUN,1
174,тутъ,ADV,4
175,възадъ,ADV,2
176,тянути,VERB,1
177,четыре,NUM,43
178,голова,NOUN,12
179,русьскыи,ADJ,48
180,голыи,ADJ,2
181,въвьрхъ,ADV,1
182,дѣля,ADP,6
183,дербенть,PROPN,2
184,судъ,NOUN,10
185,одинъ,NUM,19
186,тезикъ,NOUN,1
187,русакъ,NOUN,1
188,десять,NUM,35
189,другыи,ADJ,54
190,шесть,NUM,32
191,москъвичь,NOUN,1
192,твѣричь,NOUN,1
193,въстати,VERB,20
194,фурстовина,NOUN,1
195,разбити,VERB,5
