,word,POS,count
1,ciamar,ADV,8
2,a,PART,1443
3,rach,VERB,175
4,do,ADP,337
5,sibh,PRON,68
6,an-diugh,ADV,30
7,?,PUNCT,180
8,ò,INTJ,82
9,cha,PART,211
10,bi,VERB,2374
11,i,PRON,332
12,ach,ADP,36
13,gu,PART,283
14,math,ADV,37
15,rapach,ADJ,1
16,dearbh,ADV,5
17,fèin,PRON,131
18,",",PUNCT,941
19,faigh,VERB,123
20,sinn,PRON,123
21,rèidh,ADV,1
22,air,ADP,847
23,deannan,NOUN,1
24,math,ADJ,61
25,de,ADP,241
26,iad,PRON,809
27,ach,CCONJ,247
28,is,AUX,504
29,fheudar,NOUN,5
30,an,DET,2397
31,fàg,NOUN,10
32,bho,ADP,117
33,mu,ADV,9
34,deireadh,ADV,10
35,thall,ADV,22
36,och,INTJ,20
37,cho,ADV,68
38,garbh,ADJ,2
39,'s,CCONJ,388
40,thig,VERB,73
41,droch,ADJ,6
42,meall,NOUN,4
43,siodach,PRON,1
44,dèan,VERB,71
45,suas,ADV,80
46,ar,DET,8
47,inntinn,NOUN,8
48,an,ADV,117
49,uair,ADV,15
50,sin,ADV,56
51,e,PRON,1698
52,gun,PART,158
53,gu,ADP,123
54,clèibh,NOUN,2
55,aig,ADP,585
56,fasgadh,NOUN,1
57,làn,NOUN,7
58,ìosal,ADJ,7
59,do,PART,129
60,tog,NOUN,19
61,an,ADP,1401
62,dè,PRON,75
63,ag,PART,743
64,rach,NOUN,130
65,thu,PRON,279
66,mi,PRON,349
67,[placename],PROPN,103
68,bùitht,NOUN,2
69,tadhal,VERB,1
70,[name],PROPN,226
71,mo,DET,44
72,amhaich,NOUN,3
73,goirt,ADJ,1
74,caill,NOUN,14
75,guth,NOUN,11
76,seothach,ADV,6
77,rud,NOUN,70
78,sin,PRON,150
79,idir,ADV,55
80,fois,NOUN,4
81,a-nochd,ADV,4
82,co-dhiubh,ADV,73
83,bragail,ADJ,1
84,ma,SCONJ,39
85,feum,VERB,52
86,bi,NOUN,89
87,dèan,NOUN,108
88,a,DET,265
89,uile,DET,39
90,car,NOUN,4
91,a-staigh,ADV,53
92,bochd,ADJ,8
93,ge-tà,ADV,16
94,eòlach,ADJ,3
95,leòr,ADV,26
96,pinidh,NOUN,1
97,nigh,VERB,1
98,inneal,NOUN,1
99,mar,SCONJ,103
100,an,PART,136
101,còrr,NOUN,19
102,.,PUNCT,914
103,shin,PRON,4
104,sgath,NOUN,4
105,giomach,NOUN,6
106,dìreach,ADV,64
107,mu,ADP,86
108,dhà,NUM,10
109,dusan,NOUN,8
110,dhà,PRON,12
111,mar,ADP,56
112,sineach,PRON,17
113,ri,PART,34
114,abair,NOUN,72
115,tog,VERB,9
116,uamhas,NOUN,3
117,ach,PART,35
118,forecast,X,1
119,fear,NOUN,123
120,gille,NOUN,31
121,fifty-five,X,1
122,chart,X,1
123,airson,ADP,97
124,a-màireach,ADV,10
125,so,CCONJ,9
126,mair,VERB,7
127,milleadh,NOUN,3
128,a,ADP,133
129,obraich,NOUN,28
130,tràth,ADV,6
131,naoi,NUM,11
132,nuair,SCONJ,99
133,cuir,NOUN,111
134,leth,NOUN,12
135,files,NOUN,1
136,microfiche,X,1
137,falbh,NOUN,28
138,àite,NOUN,86
139,an,PRON,53
