,word,POS,count
1,kazna,NOUN,14
2,medijski,ADJ,4
3,mogul,NOUN,3
4,obnoviti,VERB,1
5,debata,NOUN,4
6,u,ADP,1458
7,makedonija,PROPN,87
8,neki,DET,38
9,tvrditi,VERB,11
10,da,SCONJ,1171
11,biti,AUX,2575
12,presuda,NOUN,7
13,velija,PROPN,4
14,ramkovski,PROPN,8
15,napad,NOUN,17
16,na,ADP,556
17,sloboda,NOUN,22
18,medij,NOUN,33
19,",",PUNCT,2193
20,ali,CCONJ,72
21,drugi,ADJ,100
22,dokaz,NOUN,7
23,o,ADP,179
24,njegov,DET,60
25,krivični,ADJ,12
26,deo,NOUN,39
27,govoriti,VERB,12
28,suprotno,ADV,2
29,.,PUNCT,1827
30,osuditi,ADJ,6
31,13,NUM,4
32,godina,NOUN,223
33,zatvor,NOUN,5
34,zbog,ADP,55
35,utaja,NOUN,3
36,porez,NOUN,8
37,i,CCONJ,1173
38,pranje,NOUN,2
39,novac,NOUN,6
40,zatvorski,ADJ,5
41,koji,DET,515
42,često,ADV,8
43,kritikovati,VERB,4
44,makedonski,ADJ,40
45,vlada,NOUN,95
46,moći,VERB,79
47,zaplašiti,VERB,1
48,kazati,VERB,84
49,novinar,NOUN,35
50,taj,DET,341
51,mali,ADJ,16
52,balkanski,ADJ,14
53,država,NOUN,44
54,bivši,ADJ,50
55,vlasnik,NOUN,9
56,televizijski,ADJ,2
57,stanica,NOUN,4
58,a1,X,9
59,četiri,NUM,18
60,novina,NOUN,2
61,preduzeće,NOUN,12
62,sud,NOUN,41
63,skoplje,PROPN,8
64,14.,ADJ,11
65,mart,NOUN,27
66,kriminalan,ADJ,6
67,zavera,NOUN,3
68,zloupotreba,NOUN,3
69,položaj,NOUN,9
70,;,PUNCT,21
71,19,NUM,1
72,saučesnik,NOUN,1
73,dobiti,VERB,40
74,trajanje,NOUN,2
75,dva,NUM,49
76,do,ADP,91
77,sedam,NUM,5
78,tv,NOUN,10
79,novine,NOUN,4
80,zatvoriti,ADJ,5
81,zato,SCONJ,12
82,što,SCONJ,56
83,plaćati,VERB,2
84,niti,CCONJ,7
85,ispunjavati,VERB,1
86,obaveza,NOUN,24
87,prema,ADP,58
88,kreditor,NOUN,2
89,"""",PUNCT,774
90,utisak,NOUN,2
91,korak,NOUN,31
92,preduzeti,ADJ,2
93,za,ADP,530
94,izreći,ADJ,4
95,selektivan,ADJ,1
96,te,CCONJ,2
97,institucija,NOUN,18
98,ne,PART,111
99,koristiti,VERB,21
100,isti,ADJ,13
101,metod,NOUN,1
102,sprovođenje,NOUN,11
103,zakon,NOUN,49
104,sav,ADJ,3
105,reći,VERB,199
106,direktorka,NOUN,4
107,institut,NOUN,6
108,biljana,PROPN,1
109,petkovska,PROPN,1
110,setimes,X,59
111,a,CCONJ,88
112,posebno,ADV,23
113,zaposlen,ADJ,11
114,slučaj,NOUN,24
115,pod,ADP,35
116,naziv,NOUN,8
117,paukov,ADJ,2
118,mreža,NOUN,4
119,predstavljati,VERB,19
120,borba,NOUN,31
121,između,ADP,44
122,tada,ADV,7
123,moćan,ADJ,1
124,njen,DET,35
125,politika,NOUN,18
126,podržavati,VERB,9
127,opozicija,NOUN,2
128,trenutan,ADJ,10
129,politički,ADJ,53
130,establišment,NOUN,1
131,staviti,VERB,2
132,potpun,ADJ,8
133,kontrola,NOUN,18
134,svaki,DET,25
135,slobodan,ADJ,13
136,misao,NOUN,1
137,mišljenje,NOUN,16
138,protiv,ADP,68
139,on,PRON,184
140,cilj,NOUN,35
141,danas,ADV,17
142,sebe,PRON,602
143,pokazati,VERB,14
144,ućutkati,VERB,1
145,kao,SCONJ,131
146,nosilac,NOUN,3
147,diktatura,NOUN,1
148,[,PUNCT,22
149,premijer,NOUN,59
150,],PUNCT,22
151,nikola,PROPN,7
152,gruevski,PROPN,5
153,urednik,NOUN,6
154,poslanik,NOUN,11
155,opozicioni,ADJ,16
156,sandžački,ADJ,1
157,liga,NOUN,9
158,safet,PROPN,2
159,biševac,PROPN,1
160,zvaničnik,NOUN,33
161,odgovoriti,VERB,5
162,tretirati,ADJ,1
163,isto,ADV,3
164,bilo,PART,14
165,organizacija,NOUN,39
166,kriv,ADJ,1
167,višegodišnji,ADJ,2
168,aktivnost,NOUN,13
169,ovaj,DET,96
170,beskompromisan,ADJ,2
171,kriminal,NOUN,13
172,korupcija,NOUN,12
173,postojati,VERB,24
174,sav,DET,68
175,zemlja,NOUN,207
176,čiji,DET,11
177,sankcionisanje,NOUN,1
178,zavisiti,VERB,10
179,uglavnom,ADV,7
180,od,ADP,248
181,volja,NOUN,3
182,relevantan,ADJ,3
183,faktor,NOUN,4
184,sposobnost,NOUN,2
185,nezavisno,ADV,1
186,obavljati,VERB,2
187,svoj,DET,165
188,rad,NOUN,27
189,vladajući,ADJ,12
190,vmro,PROPN,1
191,antonio,PROPN,1
192,milošoski,PROPN,1
193,tužilac,NOUN,12
194,izvesti,VERB,3
195,25,NUM,6
196,svedok,NOUN,17
197,izbeći,VERB,1
198,platiti,VERB,6
199,"4,5",NUM,2
200,milion,NOUN,46
201,evro,NOUN,57
202,steći,VERB,5
203,"17,5",NUM,1
204,kroz,ADP,8
205,prevara,NOUN,3
206,--,PUNCT,99
207,izdavanje,NOUN,3
208,račun,NOUN,2
209,sa,ADP,370
