,word,POS,count
1,kde,ADV,17
2,tá,DET,60
3,ľudský,ADJ,10
4,duša,NOUN,4
5,driemať,VERB,2
6,?,PUNCT,174
7,prečo,ADV,20
8,to,DET,376
9,tu,PART,2
10,písať,VERB,17
11,byť,AUX,1393
12,dnešný,ADJ,5
13,humor,NOUN,2
14,suchý,ADJ,1
15,aby,SCONJ,59
16,sa,PRON,772
17,človek,NOUN,54
18,môcť,VERB,78
19,smiať,VERB,7
20,.,PUNCT,3366
21,prirodzený,ADJ,7
22,my,PRON,79
23,obviniť,VERB,1
24,z,ADP,217
25,farizejstvo,NOUN,1
26,existovať,VERB,15
27,láska,NOUN,16
28,vhodný,ADJ,2
29,paralela,NOUN,2
30,čas,NOUN,25
31,môj,DET,48
32,starý,ADJ,24
33,otec,NOUN,10
34,spustiť,VERB,5
35,nový,ADJ,40
36,internetový,ADJ,1
37,televízia,NOUN,3
38,braňo,PROPN,1
39,kráľ,PROPN,1
40,ľahký,ADJ,10
41,otázka,NOUN,16
42,",",PUNCT,1931
43,ťažký,ADJ,11
44,odpoveď,NOUN,9
45,autobus,NOUN,10
46,pohodlie,NOUN,1
47,na,ADP,638
48,európsky,ADJ,4
49,úroveň,NOUN,7
50,iný,DET,24
51,stopár,NOUN,2
52,tu,ADV,50
53,zatiaľ,ADV,3
54,ešte,ADV,8
55,vidieť,VERB,41
56,ako,ADV,28
57,dopadnúť,VERB,4
58,bohužiaľ,PART,1
59,strong,X,1
60,wind,X,1
61,!,PUNCT,150
62,silný,ADJ,13
63,vietor,NOUN,3
64,"""",PUNCT,270
65,ja,PRON,312
66,posielať,VERB,1
67,späť,ADV,6
68,vajíčko,NOUN,3
69,zastávka,NOUN,2
70,záhradka,PROPN,1
71,čakať,VERB,18
72,veľmi,ADV,44
73,zaujímavý,ADJ,17
74,pohľad,NOUN,18
75,bežný,ADJ,8
76,prachovka,NOUN,1
77,on,PRON,331
78,stačiť,VERB,8
79,”,PUNCT,2
80,chcieť,VERB,52
81,vyhrávať,VERB,2
82,a,CCONJ,746
83,slovenský,ADJ,26
84,kultúrny,ADJ,2
85,história,NOUN,2
86,od,ADP,74
87,chvíľa,NOUN,50
88,vstupovať,VERB,1
89,do,ADP,206
90,hra,NOUN,7
91,časť,NOUN,23
92,uhorsko,PROPN,7
93,vtedy,ADV,22
94,utiahnuť,VERB,1
95,jeden,NUM,49
96,český,ADJ,6
97,emigrovaný,ADJ,1
98,protestant,NOUN,1
99,nájsť,VERB,23
100,v,ADP,550
101,používanie,NOUN,4
102,svoj,DET,81
103,vlastný,ADJ,17
104,spisovný,ADJ,8
105,jazyk,NOUN,22
106,presne,PART,5
107,tak,ADV,27
108,vlasť,NOUN,1
109,podľa,ADP,27
110,princíp,NOUN,6
111,sedem,NUM,1
112,slobodný,ADJ,3
113,umenie,NOUN,4
114,prvý,ADJ,43
