,word,POS,count
1,el,DET,4576
2,reserva,NOUN,3
3,de,ADP,3023
4,oro,NOUN,4
5,y,CCONJ,1026
6,divisa,NOUN,6
7,rusia,PROPN,5
8,subir,VERB,6
9,800,NUM,1
10,millón,NOUN,42
11,dólar,NOUN,29
12,26,NUM,2
13,mayo,NOUN,40
14,equivaler,VERB,2
15,a,ADP,1025
16,19100,NUM,1
17,",",PUNCT,2367
18,informar,VERB,13
19,hoy,ADV,74
20,uno,DET,792
21,comunicado,NOUN,7
22,banco,PROPN,10
23,central,PROPN,6
24,.,PUNCT,1331
25,según,ADP,40
26,informe,NOUN,8
27,19,NUM,5
28,ser,AUX,577
29,18300,NUM,1
30,activo,NOUN,2
31,en,ADP,979
32,poder,NOUN,10
33,ministerio,PROPN,4
34,finanzas,PROPN,1
35,él,PRON,981
36,calcular,VERB,3
37,estadounidense,ADJ,10
38,su,DET,342
39,valor,NOUN,11
40,depender,VERB,1
41,cambio,NOUN,14
42,oficial,ADJ,15
43,rublo-dólar,NOUN,1
44,que,PRON,673
45,establecer,VERB,7
46,valorar,VERB,3
47,base,NOUN,18
48,300,NUM,1
49,por,ADP,434
50,cada,DET,20
51,onza,NOUN,1
52,troy,NOUN,1
53,presidente,NOUN,66
54,generalitat,PROPN,1
55,jordi,PROPN,2
56,pujol,PROPN,6
57,creer,VERB,19
58,necesario,ADJ,7
59,que,SCONJ,681
60,gobierno,PROPN,40
61,agilizar,VERB,1
62,permiso,NOUN,3
63,residencia,NOUN,4
64,inmigrante,NOUN,5
65,para,ADP,244
66,poder,AUX,91
67,responder,VERB,7
68,falta,NOUN,22
69,mano,NOUN,12
70,obra,NOUN,14
71,cataluña,PROPN,1
72,cálculo,NOUN,3
73,departamento,PROPN,5
74,trabajo,PROPN,10
75,impedir,VERB,10
76,cubrir,VERB,3
77,uno,PRON,58
78,23000,NUM,2
79,empleo,NOUN,29
80,diverso,DET,7
81,sector,NOUN,13
82,urgir,VERB,1
83,necesidad,NOUN,10
84,este,DET,136
85,medida,NOUN,23
86,legal,ADJ,4
87,durante,ADP,34
88,cena,NOUN,2
89,organizado,ADJ,5
90,anoche,ADV,6
91,patronal,NOUN,12
92,pequeño,ADJ,7
93,mediano,ADJ,2
94,empresa,NOUN,31
95,pimec-sefes,PROPN,3
96,también,ADV,48
97,advertir,VERB,3
98,empresario,NOUN,13
99,sindicato,NOUN,15
100,administración,NOUN,3
101,cumplir,VERB,11
102,con,ADP,340
103,normativa,NOUN,1
104,laboral,ADJ,28
105,materia,NOUN,6
106,prevención,NOUN,2
107,siniestralidad,NOUN,6
108,"""",PUNCT,502
109,no,ADV,320
110,tardar,VERB,1
111,ocho,NUM,4
112,mes,NOUN,45
113,dar,VERB,55
114,trabajo,NOUN,32
115,ciudadano,NOUN,3
116,polaco,ADJ,1
117,momento,NOUN,15
118,actuar,VERB,5
119,opinión,NOUN,14
120,como,SCONJ,150
121,freno,NOUN,2
122,crecimiento,NOUN,14
123,económico,ADJ,21
124,corroborar,VERB,1
125,josep,PROPN,1
126,gonzález,PROPN,5
127,quien,PRON,35
128,subrayar,VERB,4
129,tanto,ADV,42
130,cualificado,ADJ,1
131,comenzar,VERB,7
132,comarca,NOUN,1
133,lérida,PROPN,1
134,pero,CCONJ,130
135,ya,ADV,70
136,haber,AUX,353
137,llegar,VERB,38
138,todo,DET,92
139,provincia,NOUN,1
140,catalán,ADJ,3
141,pedir,VERB,18
142,reforma,NOUN,18
143,urgente,ADJ,2
144,sistema,NOUN,18
145,contratación,NOUN,8
146,extranjero,NOUN,3
147,permitir,VERB,18
148,ágil,ADJ,1
149,rápido,ADJ,4
150,insertar,VERB,1
151,mercado,NOUN,20
152,ante,ADP,29
153,mil,NUM,16
154,persona,NOUN,37
155,entre,ADP,78
156,ministra,NOUN,3
157,ciencia,PROPN,4
158,tecnología,PROPN,2
159,anna,PROPN,3
160,birulés,PROPN,4
161,alcalde,NOUN,2
162,barcelona,PROPN,12
163,joan,PROPN,1
164,clos,PROPN,1
165,delegada,PROPN,1
166,julia,PROPN,1
167,garcía,PROPN,5
168,valdecasas,PROPN,1
169,nutrido,ADJ,1
170,representación,NOUN,6
171,gobierno,NOUN,23
172,toque,NOUN,2
173,alerta,NOUN,1
174,sobre,ADP,70
175,aumento,NOUN,8
176,accidente,NOUN,5
177,sentido,NOUN,7
178,instar,VERB,1
179,ley,NOUN,10
180,riesgo,NOUN,4
181,juicio,NOUN,9
182,ir,VERB,25
183,bien,ADV,24
184,respectar,VERB,1
185,parte,NOUN,41
186,animar,VERB,1
187,pyme,NOUN,2
188,invertir,VERB,2
189,investigación,PROPN,4
190,desarrollo,PROPN,2
191,mostrar,VERB,9
192,presente,ADJ,4
193,disposición,NOUN,4
194,facilitar,VERB,6
195,camino,NOUN,11
196,afirmar,VERB,13
197,futuro,NOUN,4
198,país,NOUN,56
199,capacidad,NOUN,5
200,innovar,VERB,1
201,entroncar,VERB,1
202,estar,AUX,97
203,comportar,VERB,3
204,nuevo,ADJ,53
205,economía,NOUN,6
206,patronal,ADJ,2
207,representar,VERB,9
208,más,ADV,175
209,50000,NUM,2
210,entregar,VERB,6
211,premio,NOUN,2
212,anual,ADJ,3
213,desarrollar,VERB,7
214,proyecto,NOUN,19
215,destacado,ADJ,1
216,así,ADV,27
217,también,NOUN,2
218,distinguir,VERB,3
219,apartado,NOUN,2
220,periodístico,ADJ,1
221,suplemento,NOUN,1
222,economía,PROPN,1
223,diario,NOUN,6
224,vanguardia,PROPN,1
225,sin,ADP,67
226,embargo,NOUN,15
227,abogado,NOUN,4
228,indicar,VERB,15
229,vez,NOUN,46
230,proyectar,VERB,3
231,insistir,VERB,7
232,apelación,NOUN,3
233,ese,DET,87
234,remedio,NOUN,3
235,extremo,ADJ,3
236,justificación,NOUN,1
237,llevar,VERB,26
238,efecto,NOUN,4
239,justicia,PROPN,3
240,decir,VERB,111
241,respecto,NOUN,8
242,último,ADJ,46
243,comparecencia,NOUN,3
244,compañía,NOUN,14
245,este,PRON,27
246,tener,VERB,102
247,cuenta,NOUN,11
248,hecho,NOUN,9
249,determinar,VERB,1
250,microsoft,PROPN,7
251,cometer,VERB,3
252,repetidamente,ADV,1
253,grave,ADJ,5
254,violación,NOUN,3
255,preciso,ADJ,7
256,aplicar,VERB,5
257,serio,ADJ,6
258,restablecer,VERB,1
259,competencia,NOUN,7
260,e,CCONJ,19
261,similar,ADJ,3
262,semana,NOUN,25
263,pasado,ADJ,16
264,17,NUM,8
265,estado,NOUN,5
266,demandar,VERB,1
267,1998,NOUN,2
268,presentar,VERB,23
269,juez,NOUN,6
270,versión,NOUN,3
271,ajustado,ADJ,1
272,propuesta,NOUN,5
273,solución,NOUN,7
274,judicial,ADJ,2
275,figurar,VERB,2
276,división,NOUN,2
277,firma,NOUN,13
278,dos,NUM,57
279,tomar,VERB,17
280,posesión,NOUN,2
281,operativo,ADJ,1
282,windows,PROPN,2
283,creado,ADJ,2
284,usar,VERB,5
285,95,NUM,1
286,ciento,NUM,71
287,ordenador,NOUN,3
288,mundo,NOUN,22
289,otro,PRON,34
290,pasar,VERB,26
291,controlar,VERB,6
292,software,NOUN,1
293,incluir,VERB,6
294,popular,ADJ,2
295,office,PROPN,1
296,suite,PROPN,1
297,demás,PRON,8
298,3,NUM,2
299,abril,NOUN,6
300,dictaminar,VERB,1
301,incurrir,VERB,1
302,práctica,NOUN,4
303,monopolio,NOUN,3
304,opinar,VERB,5
305,exigido,ADJ,2
306,bastante,ADV,6
307,severo,ADJ,2
308,manifestar,VERB,8
309,favor,NOUN,9
310,otro,DET,72
311,planteamiento,NOUN,3
312,dividir,VERB,1
313,tres,NUM,24
314,asegurar,VERB,16
315,disminuir,VERB,6
316,gravemente,ADV,1
317,competir,VERB,4
318,programa,NOUN,10
319,informático,ADJ,3
320,letrado,NOUN,1
321,john,PROPN,5
322,warden,PROPN,1
323,considerar,VERB,32
324,convertir,VERB,16
325,nico,ADJ,2
326,ganar,VERB,24
327,próximo,ADJ,23
328,ronda,NOUN,4
329,industria,NOUN,7
330,asimismo,ADV,6
331,separación,NOUN,2
332,castigo,NOUN,1
333,demasiado,ADV,3
334,duro,ADJ,5
335,infracción,NOUN,1
336,cual,PRON,13
337,acusar,VERB,4
338,no,PART,10
339,obstante,NOUN,3
340,resignar,VERB,1
341,alterar,VERB,2
342,comercial,ADJ,5
343,proponer,VERB,14
344,fabricante,NOUN,3
345,mayor,ADJ,25
346,flexibilidad,NOUN,1
347,elección,NOUN,31
348,operación,NOUN,6
349,consumidor,NOUN,2
350,opción,NOUN,4
