,word,POS,count
1,bayan,NOUN,24
2,haag,PROPN,1
3,elianti,PROPN,1
4,oyna,VERB,6
5,.,PUNCT,3746
6,lüks,ADJ,4
7,sınıf,NOUN,13
8,otomobil,NOUN,10
9,üretici,NOUN,7
10,geç,ADJ,11
11,yıl,NOUN,97
12,birleşik,NOUN,3
13,devlet,PROPN,1
14,1214,NUM,1
15,adet,NOUN,20
16,sat,VERB,17
17,bell,PROPN,2
18,industries,PROPN,4
19,ınc.,PROPN,17
20,3,NUM,21
21,aylık,NOUN,9
22,dönem,NOUN,27
23,bir,NUM,47
24,hisse,NOUN,186
25,fiyat,NOUN,99
26,7,NUM,11
27,cent,NOUN,9
28,seviye,NOUN,43
29,10,NUM,29
30,yüksel,VERB,53
31,yeni,ADJ,70
32,oran,NOUN,60
33,15,NUM,13
34,şubat,PROPN,2
35,muaccel,ADJ,5
36,ol,VERB,207
37,bir,DET,762
38,kayıt,NOUN,10
39,tarih,NOUN,17
40,henüz,ADV,15
41,ayarla,VERB,5
42,"""",PUNCT,575
43,görün,NOUN,6
44,göre,ADP,31
45,komisyon,NOUN,34
46,gerçekten,ADV,11
47,bu,DET,353
48,ideal,NOUN,1
49,pek,ADV,13
50,inan,VERB,12
51,yaz,NOUN,10
52,tüm,NOUN,2
53,değişiklik,NOUN,26
54,karşı,ADP,20
55,koy,VERB,6
56,sec,PROPN,1
57,bay,NOUN,212
58,lane,PROPN,1
59,hararet,ADJ,1
60,şekil,NOUN,75
61,tahmin,NOUN,42
62,tartış,VERB,3
63,4.3,NUM,2
64,kurum,NOUN,11
65,bazı,PRON,22
66,emeklilik,NOUN,6
67,fon,NOUN,33
68,parça,VERB,4
69,richard,PROPN,3
70,stoltzman,PROPN,1
71,daha,ADV,220
72,nazik,ADJ,2
73,",",PUNCT,1033
74,izle,NOUN,8
75,dost,NOUN,3
76,yaklaşım,NOUN,6
77,benimse,VERB,3
78,oyna,NOUN,4
79,inanç,NOUN,2
80,tam,ADJ,12
81,ve,CCONJ,458
82,mükemmel,ADJ,4
83,bach,PROPN,1
84,air,PROPN,6
85,ad,ADJ,1
86,parça,NOUN,18
87,izle,VERB,9
88,sıcak,ADJ,5
89,bulanık,ADJ,1
90,duygu,NOUN,7
91,için,ADP,240
92,izin,NOUN,9
93,ver,ADJ,17
94,hat,NOUN,6
95,üzerine,ADV,16
96,bile,ADV,39
97,geç,VERB,17
98,yoksa,CCONJ,4
99,bu,PRON,245
100,sebep,NOUN,9
101,collins,PROPN,1
102,git,ADJ,7
103,ol,NOUN,146
104,mi,AUX,34
105,?,PUNCT,85
106,oda,NOUN,9
107,müzik,NOUN,2
108,gel,ADJ,18
109,peki,ADV,6
110,sıra,NOUN,12
111,ne,PRON,27
112,var,ADJ,89
113,slayt,NOUN,1
114,shostakovich,PROPN,1
115,dört,NOUN,1
116,göster,VERB,46
117,waleson,PROPN,1
118,new,PROPN,54
119,york,PROPN,42
120,yaşa,ADJ,5
121,serbest,ADJ,3
122,yaz,ADJ,2
123,m'bow,PROPN,1
124,grup,NOUN,22
125,yer,NOUN,51
126,al,VERB,68
127,unesco,PROPN,1
128,hiç,ADV,15
129,de,CCONJ,171
130,şaşır,ADJ,3
131,ol,ADJ,86
132,reform,NOUN,3
133,başarızlığına,NOUN,1
134,yönelik,ADP,43
135,da,CCONJ,174
136,güç,ADJ,18
137,bir,ADJ,21
138,polemik,NOUN,1
139,tanık,NOUN,2
140,milletler,PROPN,1
141,bebek,NOUN,1
142,liste,NOUN,11
143,gizle,NOUN,2
144,konu,NOUN,63
145,uzman,VERB,1
146,böylece,ADV,4
147,gen,NOUN,13
148,bitki,NOUN,6
149,kendi,PRON,67
150,dölle,NOUN,1
151,alıkoy,VERB,1
152,bitki,ADJ,2
153,haşere,NOUN,1
154,hızla,ADV,7
155,orta,NOUN,28
156,kaldır,ADJ,2
157,zor,ADJ,8
158,polen,NOUN,1
159,engelle,ADJ,1
160,öldürücü,ADJ,1
161,kimyasal,NOUN,6
162,direnç,ADJ,2
163,ikinci,NUM,10
164,ekle,VERB,23
165,tartış,NOUN,3
166,japonya,PROPN,24
167,mali,ADJ,26
168,titan,NOUN,1
169,global,NOUN,2
170,güç,NOUN,16
171,açık,ADV,6
172,zelanda,PROPN,3
173,maliye,NOUN,1
174,bakan,NOUN,1
175,david,PROPN,5
176,caygill,PROPN,1
177,öneri,NOUN,2
178,sert,ADJ,6
179,ani,ADJ,3
180,çıkış,NOUN,3
181,yap,VERB,89
182,banka,NOUN,39
183,menkul,ADJ,16
184,kıymet,NOUN,43
185,ticaret,NOUN,17
186,tüm,DET,38
187,safha,NOUN,1
188,şiddet,ADJ,2
189,dal,NOUN,2
190,iste,VERB,41
191,her,DET,58
192,bir,NOUN,14
193,kuşku,NOUN,1
194,artık,ADV,22
195,et,VERB,260
196,tahvil,NOUN,99
197,ihraç,NOUN,34
198,iki,NUM,82
199,karşı,ADV,9
200,karşı,NOUN,9
201,getir,VERB,17
202,yogi,NOUN,1
203,berra,PROPN,1
204,de,NOUN,8
205,gibi,ADP,49
206,başta,NOUN,2
207,dejavu,NOUN,1
208,durum,NOUN,52
209,eski,ADJ,8
210,zaman,NOUN,49
211,bacak,NOUN,2
212,diye,ADP,26
213,konuş,VERB,8
214,muhtemelen,ADV,13
215,yalnızca,ADV,35
216,oyun,NOUN,5
217,değil,AUX,100
218,fastball,PROPN,1
219,vur,NOUN,5
220,iyi,VERB,6
221,şimdi,NOUN,10
222,broberg,PROPN,1
223,avukat,NOUN,19
224,bedava,ADJ,3
225,iddia,NOUN,10
226,kadar,ADP,67
227,kolay,ADJ,6
228,pes,NOUN,1
229,et,NOUN,88
230,de,VERB,97
231,dene,VERB,6
232,yedi,NUM,8
233,vazgeç,VERB,6
234,beş,NUM,14
235,yürü,VERB,5
236,halen,ADV,17
237,karar,NOUN,25
238,var,VERB,25
239,kol,NOUN,4
240,sorun,NOUN,43
241,gelecek,NOUN,13
242,o,PRON,101
243,tekrar,ADV,11
244,küçük,NOUN,1
245,doğru,ADP,9
246,zorla,VERB,1
247,ancak,CCONJ,125
248,oyuncu,NOUN,15
249,mutabık,ADJ,2
250,çok,NOUN,10
251,derli,X,1
252,toplu,VERB,1
253,ay,ADV,3
254,eğitim,NOUN,4
255,gör,VERB,40
256,diğer,NOUN,10
257,aktif,ADJ,13
258,terk,NOUN,2
259,işte,ADV,7
260,gurur,NOUN,2
261,birçok,DET,39
262,fesat,ADJ,1
263,yani,CCONJ,8
264,burun,NOUN,3
265,dip,NOUN,1
266,gir,VERB,9
267,top,NOUN,3
268,alan,NOUN,17
269,dış,NOUN,11
270,yolla,ADV,1
271,birden,ADV,5
272,fazla,ADJ,43
273,sayı,NOUN,22
274,yap,NOUN,56
275,hakkında,ADV,9
276,düşün,VERB,24
277,başarılı,ADV,2
278,at,NOUN,7
279,yap,ADV,3
280,başlangıç,NOUN,5
281,plaka,NOUN,1
282,uzaklaş,NOUN,1
283,bekle,VERB,40
284,ama,CCONJ,117
285,bil,ADV,1
286,baş,NOUN,54
287,fırla,NOUN,3
288,mcenaney,PROPN,1
289,yavaş,ADJ,13
290,fastball,NOUN,1
291,maksimum,ADJ,1
292,hız,NOUN,6
293,72,NUM,2
294,mil/saat,NOUN,1
295,endişe,ADJ,3
296,ana,ADJ,9
297,geçir,ADJ,1
298,boyunca,ADP,11
299,öğren,ADJ,1
300,kurnazlık,NOUN,1
301,telafi,NOUN,5
302,iyi,ADJ,53
303,kontrol,NOUN,18
304,sahip,VERB,8
305,aşağı,NOUN,6
306,tut,NOUN,5
307,devam,NOUN,44
308,dola,VERB,1
309,anlaşma,NOUN,6
310,şart,NOUN,11
311,açıkla,VERB,51
312,stewart,PROPN,2
313,&,PUNCT,19
314,stevenson,PROPN,1
315,dizel,NOUN,1
316,çalış,ADJ,7
317,ekipman,NOUN,5
318,gaz,NOUN,5
319,türbin,NOUN,1
320,üre,VERB,12
321,31,NUM,12
322,ekim,PROPN,14
323,1989,NUM,18
324,salı,NOUN,12
325,faiz,PROPN,1
326,:,PUNCT,173
327,%,NUM,220
328,1\/2,NUM,19
329,büyük,ADJ,95
330,abd,PROPN,38
331,para,NOUN,43
332,merkez,NOUN,30
333,ticari,ADJ,25
334,banka,ADJ,6
