,word,POS,count
1,آل,PROPN,4
2,انڈیا,PROPN,9
3,مسلم,PROPN,10
4,پرسنل,PROPN,8
5,لا,PROPN,8
6,بورڈ,PROPN,14
7,کا,ADP,2713
8,اےک,NUM,183
9,پریس,NOUN,7
10,نوٹ,NOUN,5
11,کے,ADP,812
12,بموجب,ADP,16
13,بورڈ,NOUN,17
14,مجلس,NOUN,9
15,عاملہ,NOUN,7
16,اجلاس,NOUN,69
17,حیدرآباد,PROPN,25
18,مےں,ADP,693
19,23,PROPN,5
20,اور,CCONJ,741
21,24,PROPN,4
22,اپریل,PROPN,28
23,کو,ADP,783
24,منعقد,ADJ,30
25,ہو,VERB,485
26,رہا,AUX,4
27,ہے,AUX,1058
28,۔,PUNCT,1668
29,یہ,DET,460
30,صدارت,NOUN,9
31,مولانا,PROPN,8
32,سید,PROPN,13
33,رابع,PROPN,2
34,حسنی,PROPN,2
35,ندوی,PROPN,1
36,صدر,NOUN,44
37,کر,VERB,1342
38,بابری,PROPN,4
39,مسجد,PROPN,6
40,سلسلہ,ADP,5
41,الہ_آباد,PROPN,4
42,ہائی,PROPN,4
43,کورٹ,PROPN,9
44,فیصلہ,NOUN,33
45,خلاف,ADP,78
46,سپریم,PROPN,5
47,اپیل,NOUN,11
48,داخل,NOUN,11
49,جائزہ,NOUN,25
50,لے,VERB,59
51,جا,AUX,670
52,نے,ADP,870
53,اب,PRON,65
54,تک,ADP,83
55,چار,NUM,18
56,اترپردیش,PROPN,7
57,سن,PROPN,1
58,وقف,PROPN,1
59,",",PUNCT,232
60,محمد,PROPN,52
61,ہاشم,PROPN,1
62,انصاری,PROPN,5
63,مصباح,PROPN,1
64,الدین,PROPN,11
65,جانب,ADV,7
66,سے,ADP,844
67,کروا,VERB,18
68,مزید,ADJ,12
69,اپیلیں,NOUN,1
70,پیش_نظر,ADP,2
71,پیش_نظر,NOUN,1
72,ہے,VERB,168
73,یہ,PRON,386
74,علاوہ,ADP,42
75,زیر,ADP,21
76,سماعت,NOUN,10
77,طفل,NOUN,1
78,حق,NOUN,19
79,تعلیم,NOUN,27
80,قانون,NOUN,55
81,بھی,PART,278
82,نفاذ,NOUN,3
83,یکم,ADJ,1
84,2010,PROPN,5
85,ء,NOUN,29
86,عمل,NOUN,51
87,آ,VERB,95
88,چک,AUX,29
89,مقصد,NOUN,15
90,بہت,ADV,14
91,اچھے,ADJ,1
92,لیکن,CCONJ,59
93,طرح,NOUN,44
94,مدون,ADJ,1
95,کہ,SCONJ,633
96,دینی,ADJ,11
97,مدرسہ,NOUN,11
98,پر,ADP,522
99,سخت,ADJ,22
100,ضرب,NOUN,3
101,پڑ,VERB,16
102,نیز,CCONJ,3
103,اقلیتی,ADJ,6
104,تعلیمی,ADJ,5
105,ادارہ,NOUN,18
106,آزادی,NOUN,7
107,متاثر,ADJ,7
108,مسودہ,NOUN,4
109,ترمیم,NOUN,8
110,وعدہ,NOUN,9
111,جا,ADP,1
112,باوجود,ADP,16
113,متعلقہ,ADJ,9
114,وزیر,NOUN,58
115,راجیہ,PROPN,5
116,سبھا,PROPN,22
117,پیش,ADV,40
118,پہلے,ADV,15
119,نہیں,PART,200
120,چنانچہ,SCONJ,13
121,رکن,NOUN,66
122,تعاون,NOUN,14
123,مسلک,ADJ,1
124,کمیٹی,NOUN,33
125,سپرد,NOUN,2
126,بل,NOUN,16
127,نقائص,NOUN,1
128,کر,AUX,114
129,غور,NOUN,17
130,ٹیکس,NOUN,10
131,نیا,ADJ,17
132,جو,PRON,222
133,آئندہ,ADJ,12
134,سال,NOUN,40
135,موجودہ,ADJ,9
136,انکم,NOUN,2
137,جگہ,NOUN,9
138,والا,AUX,5
139,مسٹر,PART,111
140,سدرشن,PROPN,3
141,ریڈی,PROPN,57
142,میں,ADP,431
143,بعض,DET,7
144,مسلم,ADJ,18
145,تنظیم,NOUN,7
146,سرگرم,NOUN,2
147,مہم,NOUN,12
148,چل,VERB,24
149,تھا,AUX,326
150,قابل,ADJ,8
151,ذکر,NOUN,11
152,مومنٹ,PROPN,1
153,فار,PROPN,2
154,پیس,PROPN,2
155,اینڈ,PROPN,8
156,جسٹس,PROPN,1
157,زکوا,PROPN,1
158,و,PROPN,3
159,چیارٹیبل,PROPN,1
160,ٹرسٹ,PROPN,4
161,نام,NOUN,20
162,شامل,ADJ,59
163,ہیں,VERB,2
164,میناریٹی,ADJ,1
165,ویلفیر,NOUN,1
166,قائد,NOUN,61
167,نومنتخب,ADJ,5
168,پارلیمان,NOUN,3
169,سریش,PROPN,2
170,کمار,PROPN,12
171,شیٹکار,PROPN,1
172,اسمبلی,NOUN,42
173,پی,PROPN,107
174,کشٹاریڈی,PROPN,1
175,میناریٹیز,NOUN,1
176,درپیش,ADJ,4
177,مسئلہ,NOUN,62
178,حل,NOUN,13
179,لئے,ADP,94
180,نیک,ADJ,6
181,تمنا,NOUN,2
182,اظہار,NOUN,21
183,منڈل,NOUN,16
184,ڈیولپمنٹ,NOUN,1
185,آفسیر,NOUN,1
186,گجویل,PROPN,2
187,شریمتی,NOUN,1
188,وتسلا,PROPN,1
189,دیوی,PROPN,1
190,سیاست,PROPN,3
191,نیوز,PROPN,2
192,بتا,VERB,98
193,پریشد,NOUN,14
194,سہ,ADJ,2
195,جنرل,NOUN,23
196,باڈی,NOUN,6
197,صدر,PROPN,26
198,این,PROPN,36
199,ستیہ,PROPN,15
200,لکشمی,PROPN,4
201,29,PROPN,3
202,مئی,PROPN,32
203,11,NUM,2
204,بج,NOUN,12
205,دن,NOUN,38
206,میٹنگ,NOUN,2
207,ہال,NOUN,3
208,ٹی,PROPN,51
209,نرساریڈی,PROPN,1
210,شرکت,NOUN,11
211,گے,AUX,19
212,ایم,NOUN,6
213,پی,NOUN,13
214,ڈی,NOUN,6
215,او,NOUN,4
216,سرپنچ,NOUN,2
217,ٹی,NOUN,8
218,سیز,NOUN,1
219,متعلق,ADJ,15
220,عہدیدار,NOUN,67
221,خواہش,NOUN,13
222,کڑپہ,PROPN,17
223,لوک,PROPN,33
224,حلقہ,NOUN,15
225,ضمنی,ADJ,11
226,انتخاب,NOUN,59
227,42,NUM,2
228,امیدوار,NOUN,21
229,مقابلہ,NOUN,26
230,رہ,AUX,215
231,پرچہ,NOUN,1
232,نامزدگی,NOUN,1
233,دستبرداری,NOUN,4
234,آج,NOUN,69
235,آخری,ADJ,15
236,تاریخ,NOUN,5
237,پولی,PROPN,1
238,ویندلہ,PROPN,4
239,25,NUM,9
240,انتخابی,ADJ,12
241,دوڑ,NOUN,1
242,دو,NUM,67
243,رائے,NOUN,9
244,دہی,NOUN,1
245,8,PROPN,5
246,الیکشن,NOUN,12
247,کمیشن,NOUN,15
248,وائی,PROPN,18
249,ایس,PROPN,76
250,آر,PROPN,45
251,کانگریس,PROPN,77
252,پارٹی,NOUN,63
253,نشان,NOUN,4
254,سیلنگ,PROPN,1
255,فیان,PROPN,1
256,مختص,ADJ,4
257,حکمراں,NOUN,2
258,صحت,NOUN,10
259,ڈی,PROPN,43
260,ایل,PROPN,23
261,رویندر,PROPN,2
262,اپوزیشن,NOUN,7
263,تلگو,PROPN,8
264,دیشم,PROPN,6
265,ایم,PROPN,34
266,وی,PROPN,10
267,میسورا,PROPN,2
268,اپنا,PRON,163
269,نامزد,ADJ,1
270,پاکستان,PROPN,41
271,ساتھ,ADP,60
272,کرکٹ,NOUN,11
273,تعلق,NOUN,41
274,بحال,ADJ,2
275,حکومت,NOUN,105
276,اجازت,NOUN,9
277,دے,VERB,226
278,دے,AUX,128
279,احمد,PROPN,29
280,اگر,SCONJ,31
281,ہی,PART,86
282,ٹیم,NOUN,40
283,شیڈول,NOUN,3
284,معمولی,ADJ,3
285,تبدیلی,NOUN,11
286,تو,SCONJ,56
287,رواں,ADJ,7
288,برس,NOUN,10
289,ہند,PROPN,17
290,-,PUNCT,69
291,پاک,PROPN,4
292,سیریز,NOUN,9
293,انعقاد,NOUN,14
294,یقنی,ADJ,2
295,وزیر,PROPN,13
296,خارجہ,PROPN,1
297,کرشنا,PROPN,18
298,گزشتہ,ADJ,17
299,شام,NOUN,12
300,یہاں,PRON,39
301,تقریب,NOUN,5
302,میڈیا,NOUN,15
303,نمائندہ,NOUN,17
304,خیال,NOUN,15
305,ہو,AUX,238
306,کہہ,VERB,309
307,جانب,ADP,75
308,صرف,PART,41
309,تعاونی,ADJ,1
310,کردار,NOUN,4
311,ادا,NOUN,8
312,کیونکہ,SCONJ,23
313,بی,PROPN,78
314,سی,PROPN,71
315,آئی,PROPN,54
316,پاکستانی,ADJ,13
317,وی,NOUN,5
318,چینل,NOUN,2
319,جی,PROPN,16
320,کرکٹ,PROPN,5
321,(,PUNCT,51
322,),PUNCT,51
323,او,PROPN,7
324,سبحان,PROPN,1
325,آف,PROPN,7
326,کنٹرول,PROPN,1
327,ان,PROPN,1
328,روبط,NOUN,1
329,احیاء,NOUN,2
330,سرکاری,ADJ,17
331,طور,NOUN,42
332,تبادلہ,NOUN,20
333,بعد,ADP,94
334,متعلق,ADP,12
335,واضح,ADJ,19
336,رہ,VERB,90
337,موہالی,PROPN,1
338,ہندوستان,PROPN,45
339,درمیان,ADP,21
340,ورلڈ,PROPN,3
341,کپ,PROPN,4
342,2011,PROPN,8
343,سیمی,NOUN,1
344,فائنل,NOUN,6
345,مُلک,NOUN,12
346,وزرائے,NOUN,1
347,اعظم,NOUN,7
348,ملاقات,NOUN,15
349,پڑوسی,ADJ,3
350,مثبت,ADJ,4
351,پیش_قدمی,NOUN,1
352,دیکھ,VERB,32
353,ازیں,PRON,4
354,مصروف_ترین,ADJ,1
355,باعث,ADP,7
356,غیریقینی,ADJ,1
357,تاہم,CCONJ,47
358,کوشش,NOUN,35
359,جاری,ADJ,51
360,محتاجی,NOUN,2
361,و,CCONJ,99
362,ناداری,NOUN,2
363,شکایت,NOUN,11
364,کا,VERB,7
365,حضور,PART,8
366,سید,NOUN,2
367,عالم,PROPN,6
368,صلی,NOUN,7
369,اللہ,NOUN,15
370,علیہ,NOUN,11
371,وسلم,NOUN,7
372,ارشاد,NOUN,2
373,فرما,VERB,19
374,'',PUNCT,82
375,اللہ,PROPN,49
376,تعالیٰ,NOUN,6
377,خوف,NOUN,2
378,رکھ,VERB,73
379,صبر,NOUN,2
380,کثرت,NOUN,5
381,لاحول,PROPN,4
382,ولاقو,PROPN,4
383,الا,PROPN,4
384,باللّٰہ,PROPN,4
385,العلی,PROPN,2
386,العظیم,PROPN,2
387,پرھ,VERB,2
388,حضرت,PART,19
389,عوف,PROPN,4
390,رضی,NOUN,5
391,عنہ,NOUN,5
392,گھر,NOUN,15
393,پہنچ,VERB,30
394,بیوی,NOUN,8
395,پڑھ,VERB,9
396,شروع,NOUN,27
397,تمام,DET,17
398,معنی,NOUN,3
399,باہم,ADJ,1
400,مناسبت,NOUN,1
401,سب,NOUN,5
402,خلاصہ,NOUN,2
403,آدمی,NOUN,8
404,صحیح,ADJ,8
405,ڈر,VERB,3
406,وہ,PRON,413
407,ہر,ADJ,17
408,گناہ,NOUN,2
409,بچ,VERB,4
410,گا,AUX,65
411,حکم,NOUN,8
412,خداوندی,NOUN,1
413,پابند,ADJ,4
414,اسی,PRON,2
415,تقویٰ,NOUN,4
416,والا,ADP,115
417,متقی,NOUN,1
418,پرہیزگاری,NOUN,1
419,دین,NOUN,5
420,دنیا,NOUN,17
421,دو,DET,1
422,جہاں,NOUN,2
423,کام,NOUN,53
424,والی,AUX,1
425,فائدہ,NOUN,5
426,قرآن,PROPN,1
427,کریم,PART,1
428,نزدیک,ADP,3
429,زیادہ,ADJ,27
430,عزت,NOUN,3
431,وہی,PRON,1
432,زیادہ,ADV,5
433,پرہیزگار,ADJ,1
434,یوں,ADV,4
435,پرہیزگار,NOUN,1
436,آیت,NOUN,2
437,کریمہ,NOUN,2
438,شان,NOUN,2
439,نزول,NOUN,1
