,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
1,2,եմ,Armenian,AUX,1,yes,-2.8527,20.4458,-7.4826,0.2234,1.0,0.0033,-0.3946,-18.5019,13.4378,3,2,2,2,am
160,358,և,Armenian,CCONJ,2,yes,-2.3411,15.4292,-4.9862,0.2432,0.8271,0.148,0.1057,-14.0356,9.1075,3,2,2,2,and:
2,5,ու,Armenian,CCONJ,3,yes,-1.2351,12.1517,-3.3658,0.286,0.7141,0.2418,-0.4519,-11.1523,5.9122,3,2,2,2,and
429,1592,հայաստան,Armenian,PROPN,9,yes,-1.2565,3.0178,1.39,0.2852,0.3993,0.5174,1.5684,-3.2253,-0.1895,3,2,2,2,Armenia
24,44,բայց,Armenian,CCONJ,12,yes,-2.4463,3.2972,-3.5564,0.2391,0.4089,0.2308,0.7702,-2.7016,4.0177,3,2,2,2,but
33,62,համար,Armenian,ADP,14,yes,-0.0341,3.4994,-1.4065,0.3326,0.4159,0.3554,-0.5321,-3.0641,1.6895,2,1,1,1,for
41,72,մենք,Armenian,PRON,16,yes,-3.5511,3.2869,-3.5428,0.1963,0.4085,0.2316,2.0302,-2.7009,4.5577,3,2,2,2,we
63,109,մենք,Armenian,PRON,16,yes,4.82,2.7128,-2.4665,0.5206,0.3888,0.2939,-5.4229,-2.0144,1.1114,2,1,1,1,we
260,739,ինքը,Armenian,PRON,17,yes,-3.2191,6.7053,-1.5596,0.2092,0.5264,0.3465,2.121,-6.3607,3.7005,3,2,2,2,himself
13,25,ինքը,Armenian,PRON,17,yes,3.8273,3.1253,-2.0629,0.4822,0.403,0.3173,-4.3797,-2.5246,1.156,2,1,1,1,himself
156,347,ասել,Armenian,VERB,18,yes,-3.5461,9.0418,-3.1044,0.1965,0.6069,0.257,1.7953,-8.4075,5.9739,3,2,2,2,to say
28,53,իսկ,Armenian,CCONJ,20,yes,-1.645,3.0797,-2.7238,0.2702,0.4014,0.279,0.4376,-2.5504,2.9992,3,2,2,2,and
179,429,մեջ,Armenian,ADP,21,yes,2.9452,2.2608,-0.2133,0.448,0.3732,0.4245,-2.9667,-1.9616,-0.3863,2,1,1,1,in
74,130,այս,Armenian,DET,22,yes,4.4878,2.9222,-1.9636,0.5078,0.396,0.3231,-4.8771,-2.3289,0.807,2,1,1,1,this
43,74,հետ,Armenian,ADP,23,yes,2.507,2.8771,-1.0487,0.431,0.3944,0.3761,-2.9815,-2.5276,0.5067,2,1,1,1,with
135,302,նա,Armenian,DET,24,yes,-3.2191,8.5593,-4.3285,0.2092,0.5903,0.1861,1.2671,-7.6858,6.9408,3,2,2,2,he
4,14,նա,Armenian,DET,24,yes,4.8489,3.0143,-0.0866,0.5217,0.3991,0.4318,-4.8512,-2.8657,-0.9437,2,1,1,1,he
112,221,տալ,Armenian,VERB,26,yes,-2.6667,13.1302,-3.0282,0.2306,0.7478,0.2614,0.9422,-12.2584,6.4526,3,2,2,2,to give
101,195,գալ,Armenian,VERB,27,yes,-3.2832,13.2436,-4.0558,0.2067,0.7517,0.2019,1.2005,-12.2594,7.6846,3,2,2,2,to come
98,185,օր,Armenian,NOUN,29,yes,-1.9786,6.8997,-1.0016,0.2572,0.5331,0.3788,1.2874,-6.5727,3.1017,3,2,2,2,day
180,446,նաև,Armenian,CCONJ,30,yes,1.8831,3.4698,0.5459,0.4068,0.4148,0.4685,-1.8904,-3.3925,-0.5648,2,1,1,1,also
152,336,վրա,Armenian,ADP,32,yes,1.1038,2.6001,-2.0027,0.3766,0.3849,0.3208,-1.8806,-2.1161,1.6943,2,1,1,1,on
45,76,ունեմ,Armenian,VERB,33,yes,-2.0758,8.8484,-2.4503,0.2535,0.6002,0.2949,0.6543,-8.2187,4.7757,3,2,2,2,I have
130,286,տեսնել,Armenian,VERB,34,yes,-3.4334,8.8376,-3.5093,0.2009,0.5999,0.2335,1.5602,-8.1373,6.2144,3,2,2,2,to see
430,1593,հանրապետություն,Armenian,NOUN,36,yes,8.5255,1.6981,0.8143,0.6642,0.3538,0.484,-7.5572,-1.5519,-2.8389,2,1,1,1,republic
93,175,մասին,Armenian,ADP,37,yes,3.1921,0.6188,-1.2856,0.4576,0.3166,0.3624,-3.2884,-0.3156,0.3146,2,1,1,1,about
99,186,մարդ,Armenian,NOUN,39,yes,-3.1577,4.0177,-1.03,0.2115,0.4337,0.3772,2.584,-3.8139,2.5958,3,2,2,2,man
433,1602,հհ,Armenian,PROPN,41,yes,9.7425,1.1315,0.0508,0.7113,0.3342,0.4398,-9.1062,-0.9462,-2.7016,2,1,1,1,hh
401,1446,տարի,Armenian,NOUN,42,yes,-0.429,4.6591,0.5429,0.3173,0.4558,0.4683,0.3136,-4.6249,0.4587,3,2,2,2,year
125,266,կյանք,Armenian,NOUN,43,yes,-1.0202,5.5301,1.3343,0.2944,0.4859,0.5141,1.0839,-5.6216,0.1744,3,2,2,2,life
241,695,թվական,Armenian,NOUN,44,yes,4.9333,5.7513,9.7203,0.525,0.4935,1.0,-1.6142,-6.9257,-9.8926,2,1,1,1,date
155,346,գնալ,Armenian,VERB,45,yes,-3.4633,6.3488,-1.6749,0.1997,0.5141,0.3398,2.3544,-5.9922,3.8666,3,2,2,2,to go
100,192,աշխարհ,Armenian,NOUN,46,yes,-1.5346,3.9889,1.324,0.2744,0.4327,0.5135,1.6968,-4.1545,-0.0978,3,2,2,2,world
30,55,կամ,Armenian,CCONJ,47,yes,-1.2887,7.9215,-2.0816,0.284,0.5683,0.3162,0.1187,-7.3226,3.9769,3,2,2,2,or
31,58,կամ,Armenian,CCONJ,47,yes,0.6973,0.6953,0.1034,0.3609,0.3192,0.4428,-0.8007,-0.671,-0.4393,4,3,3,2,or
150,329,մեկը,Armenian,PRON,48,yes,-3.0345,3.395,0.8812,0.2163,0.4123,0.4879,2.9359,-3.5619,0.6315,3,2,2,2,one
223,620,գիտել,Armenian,VERB,50,yes,-2.8157,4.9559,-3.0727,0.2248,0.4661,0.2588,1.2353,-4.3768,4.2241,3,2,2,2,to know
71,124,ունենալ,Armenian,VERB,51,yes,-2.522,5.9598,-0.3385,0.2362,0.5007,0.4172,1.9357,-5.7445,2.1688,3,2,2,2,to have
257,736,տուն,Armenian,NOUN,52,yes,-1.9208,4.3384,-0.4725,0.2595,0.4448,0.4095,1.4632,-4.1931,1.7979,3,2,2,2,House
