,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,3,хацець,Belarusian,VERB,121,yes,-2.0773,3.1529,-3.8356,0.4026,0.4036,0.3419,2.2225,-1.6197,4.136,3,3,2,2
1,5,у,Belarusian,ADP,1,yes,0.2741,16.8816,-0.1016,0.4891,0.8446,0.5098,-0.2373,-16.0066,8.3893,3,3,2,2
2,6,беларускі,Belarusian,ADJ,14,yes,0.9356,3.7331,2.4114,0.5134,0.4223,0.6229,-0.8229,-4.2646,-0.5875,2,2,1,1
3,7,эканоміка,Belarusian,NOUN,375,yes,-2.8314,-2.4291,0.2527,0.3749,0.2243,0.5258,2.7724,2.2362,-0.4418,4,4,3,2
4,2064,нішто,Belarusian,PRON,139,yes,-3.1806,-0.5261,-3.9791,0.362,0.2855,0.3354,3.204,1.8363,3.0009,2,2,1,1
5,19,магчымасць,Belarusian,NOUN,341,yes,-2.3192,-1.0903,-1.9145,0.3937,0.2673,0.4283,2.2837,1.6561,1.2876,5,4,3,2
6,20,беларусь,Belarusian,PROPN,10,yes,-0.867,9.3939,1.5319,0.4471,0.6041,0.5833,0.9476,-9.407,2.727,3,3,2,2
7,27,сакавік,Belarusian,NOUN,205,yes,-3.4553,-4.8519,-0.9381,0.3519,0.1465,0.4722,3.3252,4.9226,0.0366,4,4,3,2
8,28,кампанія,Belarusian,NOUN,291,yes,-2.1103,-1.1179,3.2909,0.4014,0.2665,0.6624,2.0454,0.0835,-3.3549,5,4,3,2
9,31,аб,Belarusian,ADP,87,yes,2.0365,-0.5535,0.0738,0.5539,0.2846,0.5177,-2.1627,0.4167,-0.8614,2,2,1,1
10,33,з,Belarusian,ADP,4,yes,0.0911,12.0314,-0.2982,0.4824,0.6888,0.501,0.0911,-11.3119,5.454,3,3,2,2
11,34,нацыянальны,Belarusian,ADJ,123,yes,7.1206,-1.7526,2.12,0.7409,0.2461,0.6098,-7.2712,0.7532,-2.5217,2,2,1,1
12,37,і,Belarusian,PART,27,yes,0.1843,21.7205,-1.1728,0.4858,1.0,0.4616,-0.3542,-20.2262,12.7011,3,3,2,2
13,39,як,Belarusian,ADV,45,yes,1.6407,3.9729,-0.5005,0.5393,0.43,0.4919,-1.4456,-3.5583,1.2566,2,2,1,1
14,41,тэлеграф,Belarusian,PROPN,419,yes,-1.4153,-5.3964,-0.4734,0.427,0.129,0.4931,1.143,5.1902,-0.4257,2,2,1,1
15,42,міністэрства,Belarusian,NOUN,420,yes,-0.5777,0.1238,1.7913,0.4578,0.3063,0.595,0.5743,-0.6958,-1.2756,5,4,3,2
16,44,адзін,Belarusian,NUM,110,yes,-3.201,4.5413,-0.514,0.3613,0.4482,0.4913,3.3745,-4.0638,1.8409,5,4,3,2
17,48,з’яўляцца,Belarusian,VERB,337,yes,-0.4607,-0.6891,-1.6045,0.4621,0.2802,0.4422,0.4963,1.2148,0.6623,2,2,1,1
18,50,замежны,Belarusian,ADJ,265,yes,-7.3222,-3.7215,4.4051,0.2097,0.1828,0.7126,6.9657,2.1366,-4.8696,4,4,3,2
19,57,вялікі,Belarusian,ADJ,94,yes,2.1426,0.3742,-0.3845,0.5578,0.3144,0.4971,-2.0008,-0.2363,0.0917,2,2,1,1
20,60,удзел,Belarusian,NOUN,289,yes,1.6644,0.2525,3.473,0.5402,0.3105,0.6706,-1.6105,-1.4062,-3.2953,5,4,3,2
21,62,па,Belarusian,ADP,15,yes,3.2721,3.3166,0.1681,0.5993,0.4089,0.522,-3.0677,-3.2154,0.6256,2,2,1,1
22,4160,дэбют,Belarusian,NOUN,232,yes,-5.8033,-1.5855,2.5502,0.2656,0.2514,0.6291,5.6775,0.7911,-2.4542,4,4,3,2
23,4161,настасся,Belarusian,PROPN,443,yes,7.6097,0.9225,8.5597,0.7588,0.332,0.8995,-7.468,-3.8708,-7.3452,5,4,3,2
24,4162,мірашнічэнка,Belarusian,PROPN,402,yes,14.1675,-4.2979,4.0553,1.0,0.1643,0.6968,-14.3142,2.3309,-2.8864,1,1,1,1
25,67,праект,Belarusian,NOUN,333,yes,-2.3607,-1.1623,-1.0134,0.3922,0.265,0.4688,2.3998,1.5107,0.7846,5,4,3,2
26,4165,гомель,Belarusian,PROPN,456,yes,-1.29,-0.0383,1.8459,0.4316,0.3011,0.5974,1.2939,-0.5181,-1.9559,5,4,3,2
27,70,акрамя,Belarusian,ADP,457,yes,-0.1779,-6.108,-11.4352,0.4725,0.1062,0.0,0.0186,9.4021,8.4101,2,2,1,1
28,6213,мэдаль,Belarusian,NOUN,303,yes,-0.1426,0.4198,0.7825,0.4738,0.3158,0.5496,0.2378,-0.63,-0.7664,5,4,3,2
29,73,мець,Belarusian,VERB,71,yes,-1.2554,6.3433,-1.4547,0.4328,0.5061,0.449,1.4498,-5.4621,3.607,3,3,2,2
30,74,свой,Belarusian,DET,19,yes,2.7407,3.3491,-0.0032,0.5798,0.4099,0.5143,-2.5845,-3.2066,0.7085,2,2,1,1
31,6220,герасіменя,Belarusian,PROPN,499,yes,6.3766,-1.3805,4.5087,0.7135,0.258,0.7172,-6.3932,-0.3234,-4.6271,2,2,1,1
32,78,расія,Belarusian,PROPN,274,yes,-3.2847,-2.065,-0.2203,0.3582,0.236,0.5045,3.2619,2.1124,-0.0562,4,4,3,2
33,79,зша,Belarusian,PROPN,206,yes,-3.9679,-0.2467,1.0436,0.3331,0.2944,0.5613,4.0324,0.0289,-0.8362,4,4,3,2
34,2128,цемра,Belarusian,NOUN,324,yes,-7.4688,-7.469,-7.4177,0.2044,0.0625,0.1807,7.1772,9.5309,5.2578,2,2,1,1
35,81,распавесці,Belarusian,VERB,325,yes,2.4845,0.6612,-0.4508,0.5704,0.3236,0.4941,-2.4189,-0.5099,0.0578,2,2,1,1
36,83,паводле,Belarusian,ADP,264,yes,4.9441,-1.9062,3.5951,0.6608,0.2411,0.6761,-4.9816,0.5563,-3.7907,2,2,1,1
37,4181,фільм,Belarusian,NOUN,30,yes,-0.5884,10.8004,0.6668,0.4574,0.6493,0.5444,0.68,-10.4488,4.4863,3,3,2,2
38,86,намер,Belarusian,NOUN,300,yes,-2.1608,-2.915,-2.5081,0.3996,0.2087,0.4016,2.005,3.5845,1.4463,2,2,1,1
39,2133,ноч,Belarusian,NOUN,442,yes,-1.4346,-0.7535,2.6841,0.4263,0.2782,0.6351,1.3939,-0.1741,-3.0589,5,4,3,2
40,91,інфармацыя,Belarusian,NOUN,340,yes,-2.8619,-0.516,3.5599,0.3738,0.2858,0.6745,2.8936,-0.5603,-3.0794,5,4,3,2
41,98,дырэктар,Belarusian,NOUN,233,yes,-2.182,-0.7907,3.4843,0.3988,0.277,0.6711,2.089,-0.3842,-3.1006,5,4,3,2
42,6245,кандыдат,Belarusian,NOUN,314,yes,-0.7144,0.455,0.6935,0.4527,0.317,0.5456,0.7156,-0.6482,-0.8468,5,4,3,2
43,4199,рэжысёр,Belarusian,NOUN,188,yes,2.2354,1.0076,1.7116,0.5612,0.3347,0.5914,-2.1458,-1.5384,-1.4912,2,2,1,1
44,4203,сайт,Belarusian,NOUN,249,yes,0.6066,-0.3481,-0.7642,0.5013,0.2912,0.48,-0.5998,0.5678,0.4067,2,2,1,1
45,4207,рэжысёрка,Belarusian,NOUN,79,yes,-2.7475,0.186,4.3373,0.378,0.3083,0.7095,2.6832,-1.5009,-2.9688,4,4,3,2
46,4208,трэнер,Belarusian,NOUN,307,yes,2.3457,-1.2629,6.2099,0.5653,0.2618,0.7938,-2.3713,-0.9038,-4.7551,5,4,3,2
47,4209,вольга,Belarusian,PROPN,202,yes,1.9864,0.1439,10.7947,0.5521,0.307,1.0,-2.0409,-3.7776,-8.8402,5,4,3,2
48,4210,абрамчык,Belarusian,PROPN,473,yes,14.1199,-3.5529,3.8725,0.9982,0.1882,0.6886,-14.9483,1.5342,-1.2313,1,1,1,1
49,121,мясцовы,Belarusian,ADJ,357,yes,7.2042,-2.4715,-1.4108,0.7439,0.223,0.4509,-7.2333,2.5947,0.5578,2,2,1,1
50,4217,андрэй,Belarusian,PROPN,190,yes,-7.0288,-0.8727,4.8257,0.2205,0.2743,0.7315,6.8912,-0.6673,-4.645,5,4,3,2
51,123,бок,Belarusian,NOUN,91,yes,-0.5738,1.1415,0.9871,0.4579,0.339,0.5588,0.6758,-1.3928,-0.7453,5,4,3,2
52,4218,куціла,Belarusian,PROPN,254,yes,11.3319,-4.4862,0.0826,0.8957,0.1583,0.5181,-11.448,3.9058,0.4194,1,1,1,1
