,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,el,Catalan,DET,1,yes,-10.5827,20.3341,-10.9703,0.0928,0.9195,0.0916,4,3,3,2
1,2052,informació,Catalan,PROPN,432,yes,5.4188,-1.8024,1.9055,0.7061,0.3041,0.6633,2,1,1,1
2,7,haver,Catalan,VERB,56,yes,-6.0604,1.5938,-3.6355,0.2661,0.3985,0.4173,5,4,3,2
3,10,a,Catalan,ADP,3,yes,-8.6168,15.1527,-6.8864,0.1681,0.7755,0.273,4,3,3,2
4,11,quatre,Catalan,NUM,87,yes,-0.5692,0.205,-0.3776,0.4766,0.3599,0.5619,5,4,3,2
5,12,any,Catalan,NOUN,20,yes,-3.4948,5.2188,-0.7016,0.3644,0.4993,0.5475,5,4,3,2
6,13,de,Catalan,ADP,2,yes,-11.0756,23.2282,-12.7587,0.0739,1.0,0.0122,4,3,3,2
7,16,i,Catalan,CCONJ,4,yes,-8.1906,13.723,-7.2229,0.1844,0.7357,0.258,4,3,3,2
8,17,un,Catalan,PRON,34,yes,-6.3324,7.7191,-2.607,0.2557,0.5688,0.463,4,3,3,2
9,20,milió,Catalan,NOUN,51,yes,-0.3353,2.3341,0.8599,0.4855,0.4191,0.6169,5,4,3,2
10,21,pesseta,Catalan,NOUN,35,yes,-0.0387,0.8232,-0.8038,0.4969,0.3771,0.543,5,4,3,2
11,22,per,Catalan,ADP,7,yes,-6.9258,9.5968,-4.7328,0.2329,0.621,0.3686,4,3,3,2
12,26,ell,Catalan,PRON,5,yes,-4.2517,3.6969,-3.0245,0.3354,0.457,0.4444,5,4,3,2
13,28,càrrec,Catalan,NOUN,288,yes,6.2365,-0.1804,2.5178,0.7374,0.3492,0.6905,2,1,1,1
14,29,públic,Catalan,ADJ,82,yes,-4.2548,-1.3443,2.679,0.3353,0.3169,0.6976,5,4,3,2
15,30,que,Catalan,SCONJ,11,yes,-5.842,2.1039,-3.4134,0.2745,0.4127,0.4271,5,4,3,2
16,32,seu,Catalan,DET,18,yes,-7.8734,-1.1182,-0.4526,0.1966,0.3231,0.5586,3,2,2,2
17,33,relació,Catalan,NOUN,229,yes,3.3208,3.0937,2.0349,0.6257,0.4402,0.669,2,1,1,1
18,34,amb,Catalan,ADP,14,yes,-4.8269,3.746,-1.4396,0.3134,0.4584,0.5148,5,4,3,2
19,35,empresa,Catalan,NOUN,68,yes,-0.0006,2.5233,-1.0125,0.4984,0.4244,0.5337,5,4,3,2
20,2084,14,Catalan,NUM,317,yes,1.0852,0.6551,1.671,0.54,0.3724,0.6529,5,4,3,2
21,37,zona,Catalan,NOUN,74,yes,1.7098,1.1297,-1.5063,0.5639,0.3856,0.5118,5,4,3,2
22,38,en,Catalan,PRON,140,yes,-5.2312,6.8262,-3.5699,0.2979,0.544,0.4202,5,4,3,2
23,2085,home,Catalan,NOUN,368,yes,2.3113,1.148,-0.9444,0.587,0.3861,0.5368,5,4,3,2
24,40,servei,Catalan,NOUN,59,yes,-0.9531,2.8809,0.2514,0.4619,0.4343,0.5899,5,4,3,2
25,39,oferir,Catalan,VERB,188,yes,-4.835,-0.7724,-2.0664,0.3131,0.3328,0.487,5,4,3,2
26,43,sentència,Catalan,NOUN,387,yes,1.9693,-1.8754,-0.5612,0.5739,0.3021,0.5538,5,4,3,2
27,44,qual,Catalan,PRON,55,yes,0.3925,1.1226,-1.9134,0.5134,0.3854,0.4937,5,4,3,2
28,45,tenir,Catalan,VERB,26,yes,-5.0701,7.267,-2.3802,0.3041,0.5563,0.473,5,4,3,2
29,46,accés,Catalan,NOUN,106,yes,2.7599,1.4134,-0.7915,0.6042,0.3935,0.5436,5,4,3,2
30,2098,autor,Catalan,NOUN,402,yes,1.872,1.2376,1.0935,0.5702,0.3886,0.6272,5,4,3,2
31,51,processat,Catalan,NOUN,179,yes,0.951,-1.3401,0.1366,0.5348,0.317,0.5848,5,4,3,2
32,2099,acusació,Catalan,NOUN,491,yes,8.1876,-2.163,-0.7038,0.8122,0.2941,0.5475,2,1,1,1
33,54,president,Catalan,NOUN,107,yes,-1.6615,2.3692,1.3993,0.4347,0.4201,0.6408,5,4,3,2
34,57,girona,Catalan,PROPN,58,yes,0.369,0.8871,0.1144,0.5125,0.3789,0.5838,5,4,3,2
35,58,moment,Catalan,NOUN,148,yes,0.5214,1.2828,0.9791,0.5184,0.3899,0.6222,5,4,3,2
36,59,fet,Catalan,NOUN,53,yes,0.8968,1.1106,-1.9127,0.5328,0.3851,0.4938,5,4,3,2
37,62,pere,Catalan,PROPN,404,yes,1.5832,-1.1983,3.8467,0.5591,0.3209,0.7495,2,1,1,1
38,67,com,Catalan,SCONJ,22,yes,-1.7832,3.3819,2.4386,0.43,0.4483,0.687,5,4,3,2
39,70,generalitat,Catalan,PROPN,42,yes,2.0929,0.761,-0.1488,0.5786,0.3754,0.5721,2,1,1,1
40,71,anar,Catalan,VERB,226,yes,-4.5595,1.9368,-3.1367,0.3236,0.4081,0.4394,5,4,3,2
41,72,ser,Catalan,VERB,79,yes,-5.9459,3.0012,-2.3346,0.2705,0.4377,0.475,5,4,3,2
42,2118,detenir,Catalan,VERB,473,yes,-0.9697,-0.162,-1.5392,0.4612,0.3497,0.5104,5,4,3,2
43,74,audiència,Catalan,PROPN,142,yes,4.3343,-0.5601,-0.1314,0.6645,0.3387,0.5729,2,1,1,1
44,75,delicte,Catalan,NOUN,149,yes,3.4799,0.6739,1.0749,0.6318,0.373,0.6264,2,1,1,1
45,73,condemnar,Catalan,VERB,438,yes,-2.8945,-1.0303,-0.3206,0.3874,0.3256,0.5645,5,4,3,2
46,2126,premi,Catalan,NOUN,151,yes,1.0376,1.9448,0.5934,0.5382,0.4083,0.605,5,4,3,2
47,82,la,Catalan,DET,17,yes,-2.5314,1.122,3.8278,0.4014,0.3854,0.7486,5,4,3,2
48,84,aquest,Catalan,PRON,208,yes,-8.2045,3.0548,-2.371,0.1839,0.4392,0.4734,5,4,3,2
49,85,motiu,Catalan,NOUN,144,yes,1.4394,0.9295,-0.0006,0.5536,0.3801,0.5787,5,4,3,2
50,86,fer,Catalan,VERB,16,yes,-7.0923,11.9992,-6.1178,0.2265,0.6878,0.3071,4,3,3,2
51,87,visita,Catalan,NOUN,364,yes,0.5037,1.6543,1.6251,0.5177,0.4002,0.6508,5,4,3,2
52,90,aprofitar,Catalan,VERB,424,yes,-0.8376,-0.3392,-1.1462,0.4663,0.3448,0.5278,5,4,3,2
53,2139,5,Catalan,NUM,403,yes,6.4098,-1.0797,-0.7932,0.7441,0.3242,0.5435,2,1,1,1
54,93,un,Catalan,PRON,34,yes,-2.4797,1.7237,-2.2669,0.4033,0.4022,0.4781,5,4,3,2
55,97,primer,Catalan,ADJ,62,yes,-0.4859,1.1282,-1.0313,0.4798,0.3856,0.5329,5,4,3,2
56,2145,15,Catalan,NUM,477,yes,3.0418,0.5062,2.472,0.615,0.3683,0.6884,2,1,1,1
57,99,oficial,Catalan,ADJ,405,yes,-7.0855,-3.7509,0.998,0.2268,0.25,0.623,3,2,2,2
58,103,segons,Catalan,SCONJ,156,yes,-8.4199,-0.9256,2.3215,0.1757,0.3285,0.6818,3,2,2,2
59,106,que,Catalan,SCONJ,11,yes,-3.7766,4.7831,-2.9199,0.3536,0.4872,0.4491,5,4,3,2
60,107,acusat,Catalan,NOUN,276,yes,3.5095,-0.7732,-1.3477,0.6329,0.3327,0.5189,2,1,1,1
61,2155,riu,Catalan,NOUN,327,yes,4.6518,1.5269,2.4373,0.6767,0.3967,0.6869,2,1,1,1
62,109,intentar,Catalan,VERB,205,yes,0.8406,1.5975,-0.6748,0.5306,0.3986,0.5487,5,4,3,2
63,110,arribar,Catalan,VERB,138,yes,-3.6205,1.7897,-1.8307,0.3596,0.404,0.4974,5,4,3,2
64,111,obtenir,Catalan,VERB,497,yes,0.1071,-0.3678,0.0197,0.5025,0.344,0.5796,5,4,3,2
65,113,o,Catalan,CCONJ,40,yes,-2.1107,-0.4813,1.0893,0.4175,0.3409,0.6271,5,4,3,2
66,116,pel,Catalan,ADP,154,yes,-2.7591,2.0903,6.1957,0.3926,0.4123,0.8538,2,1,1,1
67,4213,garriga,Catalan,PROPN,487,yes,2.9438,0.4216,1.9872,0.6112,0.366,0.6669,2,1,1,1
68,118,coneixement,Catalan,NOUN,418,yes,4.7345,-0.7029,-1.491,0.6799,0.3347,0.5125,2,1,1,1
69,117,fa,Catalan,NOUN,185,yes,-10.4701,-9.4573,1.7644,0.0971,0.0913,0.657,3,2,2,2
70,121,alt,Catalan,ADJ,194,yes,-7.2825,-1.3499,4.5996,0.2193,0.3167,0.7829,3,2,2,2
71,122,tribunal,Catalan,NOUN,265,yes,2.0736,1.2306,3.6354,0.5779,0.3884,0.7401,2,1,1,1
72,127,d',Catalan,ADP,23,yes,-6.2456,-0.0561,5.2896,0.259,0.3527,0.8135,3,2,2,2
73,128,acord,Catalan,NOUN,334,yes,2.5123,-1.4491,-0.5423,0.5947,0.3139,0.5546,5,4,3,2
74,130,afegir,Catalan,VERB,236,yes,-2.589,0.3207,0.4369,0.3992,0.3631,0.5981,5,4,3,2
75,131,des,Catalan,ADP,50,yes,-0.2057,0.3576,0.3006,0.4905,0.3642,0.592,5,4,3,2
76,2181,juliol,Catalan,NOUN,197,yes,3.7218,0.1976,0.6143,0.6411,0.3597,0.606,2,1,1,1
