,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,2,仁,Classical_Chinese,VERB,61,yes,-0.6422,2.8257,-1.9951,0.5073,0.685,0.5163,1.1386,-2.0542,2.1139,3,3,2,2
1,3,篇,Classical_Chinese,NOUN,354,yes,-5.113,-4.1874,5.6438,0.35,0.4488,0.813,-5.5129,-1.5127,-5.9653,4,4,3,2
2,4,第,Classical_Chinese,NOUN,342,yes,-11.6632,-11.2984,1.3084,0.1196,0.2092,0.6446,-15.7553,-0.5399,-3.5926,4,4,3,2
3,5,四,Classical_Chinese,NUM,156,yes,-2.847,-1.5139,4.4684,0.4298,0.5389,0.7674,-2.5817,-1.4777,-4.4128,2,2,1,1
4,6,子,Classical_Chinese,PRON,72,yes,-5.8054,5.162,-1.8992,0.3257,0.7638,0.52,-0.8955,-7.368,2.9425,3,3,2,2
5,7,曰,Classical_Chinese,VERB,3,yes,-8.0137,5.484,1.5039,0.248,0.7746,0.6522,-1.4749,-10.0934,-0.7859,2,2,1,1
6,8,爲,Classical_Chinese,ADP,100,yes,-4.7747,-1.0402,-0.0902,0.362,0.5548,0.5903,-4.1836,-2.3553,-0.4058,3,3,2,2
7,2055,招,Classical_Chinese,VERB,396,yes,5.0025,-2.0239,-3.0401,0.7059,0.5217,0.4757,1.664,5.17,2.7954,1,1,1,1
8,9,美,Classical_Chinese,NOUN,485,yes,2.9773,0.0198,3.4823,0.6347,0.5905,0.7291,2.577,1.4552,-2.8394,2,2,1,1
9,11,不,Classical_Chinese,ADV,2,yes,-9.6818,4.6371,-4.4604,0.1893,0.7461,0.4205,-4.4841,-9.2711,5.359,3,3,2,2
10,12,處,Classical_Chinese,VERB,264,yes,3.7388,1.6436,-0.9901,0.6615,0.6452,0.5553,3.5898,1.5334,1.2097,1,1,1,1
11,13,焉,Classical_Chinese,PRON,347,yes,6.8974,-1.1856,-4.5967,0.7726,0.5499,0.4152,3.2375,6.142,4.4073,1,1,1,1
12,14,得,Classical_Chinese,AUX,111,yes,3.12,0.6068,-2.1744,0.6397,0.6103,0.5093,2.2782,2.037,2.0289,1,1,1,1
13,15,知,Classical_Chinese,VERB,32,yes,-5.9278,5.4793,-2.7833,0.3214,0.7744,0.4857,-0.8952,-7.624,3.8786,3,3,2,2
14,16,仁,Classical_Chinese,VERB,61,yes,-0.54,2.7055,-2.2594,0.5109,0.681,0.506,1.0632,-1.8569,2.3634,3,3,2,2
15,17,者,Classical_Chinese,PART,7,yes,-12.6067,10.8334,-5.9726,0.0864,0.9548,0.3618,-2.2227,-16.6059,8.9934,3,3,2,2
16,18,可,Classical_Chinese,VERB,151,yes,-2.139,3.8114,-2.2426,0.4547,0.7183,0.5067,0.6055,-3.6431,2.5677,3,3,2,2
17,19,以,Classical_Chinese,ADV,23,yes,-9.022,6.9361,-4.4405,0.2125,0.8235,0.4213,-2.2983,-10.8057,6.2978,3,3,2,2
18,20,久,Classical_Chinese,VERB,249,yes,0.9162,-1.1314,-3.6347,0.5622,0.5517,0.4526,-0.8528,2.1204,3.011,2,2,1,1
19,22,長,Classical_Chinese,VERB,218,yes,3.3164,1.8739,0.9087,0.6466,0.653,0.6291,3.6778,0.8499,-0.516,1,1,1,1
20,23,樂,Classical_Chinese,NOUN,206,yes,-0.4618,-0.4895,1.1698,0.5137,0.5734,0.6392,-0.5339,-0.0914,-1.2789,2,2,1,1
21,24,安,Classical_Chinese,VERB,214,yes,0.1464,1.4474,0.0823,0.5351,0.6386,0.597,1.0657,-0.774,0.0427,2,2,1,1
22,25,利,Classical_Chinese,VERB,486,yes,1.9518,-1.2375,-0.7622,0.5986,0.5482,0.5642,0.1604,2.4688,0.6172,2,2,1,1
23,26,唯,Classical_Chinese,ADV,307,yes,8.803,0.5646,-0.5963,0.8396,0.6089,0.5706,6.6591,5.4957,1.2357,1,1,1,1
