,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
5,11,biti,Croatian,AUX,1,yes,1.9337,18.8252,-7.3663,0.6114,0.9048,0.0138,-0.8047,-17.6805,12.378,5,4,3,2,be
1,6,u,Croatian,ADP,2,yes,3.1602,14.5564,-3.5741,0.6525,0.7799,0.2226,-2.0278,-14.125,7.0906,5,4,3,2,in
19,38,i,Croatian,CCONJ,3,yes,2.9167,22.0792,-7.2817,0.6444,1.0,0.0185,-1.4749,-21.0278,13.7241,5,4,3,2,and
7,16,na,Croatian,ADP,4,yes,2.9692,7.9279,-2.6823,0.6461,0.586,0.2717,-2.3136,-7.6563,4.291,5,4,3,2,on
77,145,sebe,Croatian,PRON,5,yes,-0.3597,2.2994,-2.7746,0.5346,0.4214,0.2666,0.2214,-1.6439,2.4276,4,3,3,2,yourself
53,105,za,Croatian,ADP,6,yes,3.3139,9.4377,-3.6863,0.6577,0.6302,0.2164,-2.6885,-9.0122,5.713,5,4,3,2,for
20,42,koji,Croatian,DET,7,yes,0.1915,6.1928,-3.0099,0.5531,0.5353,0.2536,0.2053,-5.5192,4.0298,5,4,3,2,who
104,213,sa,Croatian,ADP,9,yes,2.8251,8.4382,-2.5854,0.6413,0.601,0.277,-2.1551,-8.1228,4.3753,5,4,3,2,with
67,133,htjeti,Croatian,AUX,10,yes,1.1358,3.0672,-2.8945,0.5847,0.4438,0.26,-1.1707,-2.5005,2.6607,4,3,3,2,want
26,51,taj,Croatian,DET,11,yes,-0.1354,9.4347,-3.4175,0.5421,0.6301,0.2312,0.7876,-8.6294,5.6575,5,4,3,2,that
4,10,da,Croatian,SCONJ,12,yes,0.2796,2.8017,-4.9666,0.556,0.4361,0.1459,-0.6063,-1.825,4.668,4,3,3,2,that
16,33,godina,Croatian,NOUN,13,yes,2.1789,10.3515,0.5352,0.6197,0.6569,0.4488,-0.9913,-10.5015,1.5833,5,4,3,2,year
37,76,od,Croatian,ADP,14,yes,3.011,5.302,0.2581,0.6475,0.5092,0.4335,-2.376,-5.5025,0.6579,5,4,3,2,from
91,178,zemlja,Croatian,NOUN,15,yes,0.7631,13.4182,-4.5031,0.5722,0.7466,0.1714,0.1635,-12.6161,7.8326,5,4,3,2,Earth
13,24,o,Croatian,ADP,16,yes,3.9932,3.9697,-2.4333,0.6805,0.4702,0.2854,-3.7578,-3.9127,2.5713,4,3,3,2,on
124,273,iz,Croatian,ADP,17,yes,1.7411,3.4269,-1.4543,0.605,0.4544,0.3393,-1.5542,-3.2257,1.567,4,3,3,2,from
232,555,eu,Croatian,PROPN,18,yes,-1.6545,3.5815,-2.1485,0.4912,0.4589,0.301,1.7884,-2.8974,2.7621,4,3,3,2,eu
96,190,svoj,Croatian,DET,19,yes,3.9249,1.5259,-2.8743,0.6782,0.3988,0.2611,-3.9045,-1.5636,2.4351,4,3,3,2,its
24,49,kazati,Croatian,VERB,20,yes,-0.2882,6.8266,-3.7126,0.537,0.5538,0.2149,0.5704,-5.965,4.9365,5,4,3,2,say
281,673,srbija,Croatian,PROPN,21,yes,-1.4916,6.3582,-3.0544,0.4967,0.5401,0.2512,1.8392,-5.4866,4.5775,5,4,3,2,Serbia
279,669,kosovo,Croatian,PROPN,22,yes,-0.4021,4.2159,-1.9264,0.5332,0.4774,0.3133,0.7407,-3.727,2.562,4,3,3,2,Kosovo
81,149,kao,Croatian,SCONJ,23,yes,-1.0583,3.7162,0.7432,0.5112,0.4628,0.4602,1.6015,-3.5811,-0.0669,4,3,3,2,as
88,173,ovaj,Croatian,DET,24,yes,1.5911,1.6897,-0.9935,0.6,0.4035,0.3646,-1.3294,-1.7003,0.7968,4,3,3,2,this one
47,97,ne,Croatian,PART,25,yes,-1.6786,0.7347,-3.6932,0.4904,0.3756,0.216,1.1578,0.1964,3.0242,4,3,3,2,not
52,104,izjaviti,Croatian,VERB,26,yes,1.0384,5.9816,-2.5458,0.5814,0.5291,0.2792,-0.6117,-5.4422,3.1657,5,4,3,2,declare
39,78,do,Croatian,ADP,27,yes,5.5037,2.2853,1.2552,0.7311,0.421,0.4884,-5.247,-3.08,-1.3398,2,1,1,1,to
199,467,nov,Croatian,ADJ,28,yes,2.7833,2.0904,0.2487,0.6399,0.4153,0.433,-2.4365,-2.3997,-0.3352,4,3,3,2,new
258,621,velik,Croatian,ADJ,29,yes,1.124,3.266,2.2926,0.5843,0.4497,0.5455,-0.5633,-3.6517,-1.5552,4,3,3,2,large
150,334,predsjednik,Croatian,NOUN,30,yes,0.2502,6.9343,-0.9732,0.555,0.557,0.3657,0.362,-6.537,2.3671,5,4,3,2,president
98,192,reći,Croatian,VERB,32,yes,-0.9478,5.0768,-2.5358,0.5149,0.5026,0.2797,1.1587,-4.2671,3.098,4,3,3,2,say
143,313,jedan,Croatian,NUM,33,yes,-0.5206,1.9181,-0.5061,0.5292,0.4102,0.3915,0.772,-1.7759,0.8318,4,3,3,2,one
114,246,imati,Croatian,VERB,34,yes,-0.2454,8.6559,-3.9792,0.5384,0.6073,0.2003,0.6723,-7.7109,5.796,5,4,3,2,have
55,111,a,Croatian,CCONJ,35,yes,-0.0949,1.1471,-3.0221,0.5435,0.3877,0.253,-0.2056,-0.5306,2.6475,4,3,3,2,And
2,7,makedonija,Croatian,PROPN,36,yes,-1.6199,2.9007,-2.7722,0.4924,0.439,0.2667,1.6171,-2.1014,3.1587,4,3,3,2,Macedonia
133,287,stranka,Croatian,NOUN,38,yes,0.619,6.5608,0.5083,0.5674,0.546,0.4473,0.1746,-6.4776,0.9038,5,4,3,2,party
97,191,posao,Croatian,NOUN,39,yes,-0.6026,2.7093,3.6609,0.5265,0.4334,0.6209,1.3493,-3.0309,-2.9908,3,2,2,2,job
152,340,ministar,Croatian,NOUN,40,yes,-0.5657,4.1236,-0.2881,0.5277,0.4747,0.4035,0.8819,-3.8046,1.1068,4,3,3,2,minister
23,47,moći,Croatian,VERB,41,yes,-0.6479,7.8247,-3.3984,0.5249,0.583,0.2322,1.0401,-6.8844,4.9065,5,4,3,2,be able
