,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,3,než,Czech,SCONJ,65,yes,-1.5241,0.0822,0.3408,0.2565,0.406,0.4388,1.5189,-0.2168,-0.1115,3,3,2,2
1,4,slovo,Czech,NOUN,497,yes,-3.3983,-2.4059,-0.8637,0.1875,0.3311,0.3879,3.3124,2.3725,0.7025,3,3,2,2
2,5,fax,Czech,NOUN,32,yes,-1.4841,1.0253,2.6734,0.258,0.4344,0.5374,1.9328,-1.8273,-1.9256,3,3,2,2
3,7,především,Czech,ADV,112,yes,-1.9307,-0.7032,0.5334,0.2415,0.3824,0.4469,1.939,0.4247,-0.5887,3,3,2,2
4,9,telefonní,Czech,ADJ,236,yes,10.6868,-1.2415,-1.7034,0.7063,0.3662,0.3524,-10.704,1.7551,-0.6958,1,1,1,1
5,10,linka,Czech,NOUN,296,yes,-3.9553,-1.5103,5.9719,0.167,0.3581,0.6767,5.0841,-0.3224,-4.2464,3,3,2,2
6,13,moci,Czech,VERB,23,yes,-1.9218,10.9171,-2.5277,0.2419,0.7321,0.3176,0.6864,-9.7862,6.6928,5,4,3,2
7,14,být,Czech,VERB,22,yes,-1.0773,13.7188,-3.1714,0.273,0.8165,0.2904,-0.2636,-12.2004,8.3491,4,4,3,2
8,2061,rekonstrukce,Czech,NOUN,350,yes,-3.6081,-0.6993,-0.9679,0.1798,0.3825,0.3835,3.4338,0.7743,1.2733,3,3,2,2
9,15,systém,Czech,NOUN,408,yes,-4.1587,-0.9472,1.0573,0.1595,0.375,0.4691,4.388,0.3969,-0.7636,3,3,2,2
10,18,peníze,Czech,NOUN,221,yes,-4.3495,-2.7088,-1.8113,0.1524,0.322,0.3478,4.2267,2.9074,1.683,3,3,2,2
11,23,tento,Czech,DET,21,yes,2.2757,3.8698,-2.3983,0.3965,0.52,0.323,-2.9449,-2.9675,2.3764,5,4,3,2
12,30,dobře,Czech,ADV,233,yes,-1.1768,-3.6441,-2.4856,0.2693,0.2939,0.3194,0.6617,4.1378,1.5672,1,1,1,1
13,32,text,Czech,NOUN,273,yes,-2.5147,-3.9968,4.0709,0.22,0.2832,0.5964,3.5202,2.561,-3.4852,3,3,2,2
14,33,na,Czech,ADP,5,yes,0.9757,12.8841,-2.4898,0.3486,0.7913,0.3192,-2.0008,-11.4805,7.1248,4,4,3,2
15,34,stránka,Czech,NOUN,316,yes,1.2143,1.7099,0.4282,0.3574,0.455,0.4425,-1.1829,-1.6591,-0.3049,1,1,1,1
16,35,a,Czech,PROPN,240,yes,2.9564,-1.0735,1.8697,0.4216,0.3712,0.5034,-2.2977,0.6503,-1.8687,1,1,1,1
17,36,4,Czech,NUM,105,yes,6.8062,1.4704,0.7559,0.5634,0.4478,0.4563,-6.5972,-1.2594,-0.9475,1,1,1,1
18,37,při,Czech,ADP,31,yes,3.9568,0.7312,-3.1389,0.4584,0.4256,0.2917,-4.6767,0.2983,1.5233,1,1,1,1
19,40,trvat,Czech,VERB,479,yes,-1.3796,0.7217,0.1158,0.2618,0.4253,0.4293,0.9973,-0.7369,-0.1378,3,3,2,2
20,41,zhruba,Czech,ADV,232,yes,7.0701,-0.9058,-1.5249,0.5731,0.3763,0.3599,-7.1453,1.5736,-0.3702,1,1,1,1
21,42,3,Czech,NUM,67,yes,3.5839,2.136,2.4012,0.4447,0.4678,0.5259,-3.2832,-2.6176,-1.8757,1,1,1,1
22,45,podle,Czech,ADP,62,yes,2.8422,1.0769,-0.165,0.4174,0.436,0.4174,-3.0663,-0.9766,-0.7316,1,1,1,1
23,47,se,Czech,PRON,4,yes,-0.9334,3.1892,-1.6129,0.2783,0.4995,0.3562,0.1588,-2.6372,2.1275,5,4,3,2
24,2097,ručení,Czech,NOUN,137,yes,1.401,-2.9207,-0.1352,0.3643,0.3156,0.4187,-1.1458,2.9698,-0.3435,3,3,2,2
25,51,jeden,Czech,NUM,46,yes,-1.6924,4.1581,-0.6771,0.2503,0.5287,0.3958,1.3717,-3.8172,2.1305,5,4,3,2
26,52,za,Czech,ADP,18,yes,1.6129,4.1785,-1.7784,0.3721,0.5293,0.3492,-2.1781,-3.4463,2.1136,5,4,3,2
27,53,10,Czech,NUM,128,yes,3.0726,2.4043,1.2753,0.4258,0.4759,0.4783,-2.8708,-2.5335,-0.8003,1,1,1,1
28,54,až,Czech,CCONJ,219,yes,5.0343,-0.6696,1.2561,0.4981,0.3834,0.4775,-4.522,0.4402,-1.9301,1,1,1,1
29,55,30,Czech,NUM,189,yes,2.0657,1.6107,1.7388,0.3888,0.452,0.4979,-1.8272,-1.9309,-1.6194,1,1,1,1
30,2105,privatizace,Czech,NOUN,117,yes,-0.4473,1.834,0.3437,0.2962,0.4587,0.4389,0.2791,-1.8713,-0.0779,5,4,3,2
31,57,v,Czech,ADP,3,yes,0.8223,9.0686,-2.3977,0.343,0.6765,0.3231,-1.7169,-7.9582,5.0662,5,4,3,2
32,59,ten,Czech,DET,6,yes,-2.2297,13.4702,-2.3612,0.2305,0.809,0.3246,1.0828,-12.2221,7.9804,4,4,3,2
33,61,protože,Czech,SCONJ,131,yes,-5.8512,-4.2715,-1.2342,0.0971,0.275,0.3722,5.7244,4.2617,1.5142,3,3,2,2
34,62,doba,Czech,NOUN,78,yes,-3.3444,3.3317,3.8667,0.1895,0.5038,0.5878,4.0467,-4.3129,-2.035,3,3,2,2
35,63,přenos,Czech,NOUN,272,yes,0.5535,0.691,0.9931,0.3331,0.4243,0.4664,-0.3538,-0.928,-1.0108,3,3,2,2
36,64,hodně,Czech,ADV,50,yes,-2.1684,4.9186,-1.9591,0.2328,0.5516,0.3416,1.4355,-4.2299,3.6222,5,4,3,2
37,66,stav,Czech,NOUN,373,yes,-2.0053,-0.8561,0.9033,0.2388,0.3778,0.4626,2.267,0.4828,-0.8788,3,3,2,2
38,67,rychlost,Czech,NOUN,275,yes,2.3714,2.1535,4.1938,0.4,0.4684,0.6016,-1.4618,-2.9456,-3.3401,3,3,2,2
39,68,přístroj,Czech,NOUN,86,yes,-1.5851,1.0661,-1.3866,0.2543,0.4356,0.3658,1.2591,-0.7298,1.4961,3,3,2,2
40,69,ale,Czech,CCONJ,24,yes,-1.5507,2.3972,-2.5031,0.2555,0.4757,0.3186,0.7174,-1.6274,2.794,5,4,3,2
41,70,i,Czech,CCONJ,12,yes,0.4896,8.3102,-2.363,0.3307,0.6537,0.3245,-1.4441,-7.2527,4.6389,5,4,3,2
42,71,tak,Czech,ADV,43,yes,-2.5245,1.4974,1.7327,0.2197,0.4486,0.4976,2.5391,-1.9847,-0.9049,5,4,3,2
43,72,informace,Czech,NOUN,174,yes,-0.3567,1.1162,-0.8589,0.2995,0.4371,0.3881,0.1612,-0.8113,0.6796,5,4,3,2
44,74,navíc,Czech,ADV,254,yes,-3.8097,-3.9977,-1.2362,0.1723,0.2832,0.3722,3.661,4.1128,1.2283,3,3,2,2
45,79,lze,Czech,VERB,135,yes,-2.508,1.5556,-0.7329,0.2203,0.4504,0.3934,2.0281,-1.352,1.3268,3,3,2,2
46,81,obrázek,Czech,NOUN,384,yes,7.1133,1.4439,1.4066,0.5747,0.447,0.4838,-6.954,-1.5097,-2.0157,1,1,1,1
47,87,přenosový,Czech,ADJ,387,yes,12.0719,-4.1531,-3.9893,0.7574,0.2785,0.2558,-11.6116,5.3165,1.4377,2,2,1,1
48,88,pro,Czech,ADP,14,yes,0.4479,5.0156,-2.3554,0.3292,0.5545,0.3249,-1.208,-4.1176,3.181,5,4,3,2
49,92,zařízení,Czech,NOUN,182,yes,-1.1143,0.6933,-0.0589,0.2716,0.4244,0.4219,1.0781,-0.7592,0.1241,3,3,2,2
50,93,o,Czech,ADP,11,yes,1.411,5.7227,-2.6213,0.3646,0.5758,0.3136,-2.2536,-4.6905,3.505,5,4,3,2
51,94,který,Czech,DET,9,yes,-1.9446,5.3781,-1.363,0.241,0.5654,0.3668,1.2845,-4.8056,3.0564,5,4,3,2
