,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
4,8,i,Danish,ADP,1,yes,3.0976,13.8746,1.6856,0.4058,0.9035,0.5533,-0.9786,-14.2037,5.3299,4,3,3,2,in
15,24,og,Danish,CCONJ,2,yes,3.0109,13.8326,3.8152,0.4028,0.9021,0.6484,-1.221,-13.6894,7.4386,4,3,3,2,and
1,1,på,Danish,ADP,7,yes,1.3652,7.7743,1.9191,0.3449,0.6968,0.5637,-0.3594,-7.51,3.4881,4,3,3,2,on
24,36,det,Danish,PRON,8,yes,2.0526,11.6929,4.6404,0.3691,0.8296,0.6852,-0.8253,-11.1344,7.5316,4,3,3,2,that
5,11,af,Danish,ADP,9,yes,2.4504,5.59,0.6744,0.383,0.6228,0.5082,-1.5915,-5.7004,1.5466,4,3,3,2,of
86,147,at,Danish,SCONJ,13,yes,1.6257,6.417,3.1754,0.354,0.6508,0.6198,-1.2723,-5.6951,4.0469,4,3,3,2,to
6,12,at,Danish,SCONJ,13,yes,1.2086,6.0211,3.3185,0.3394,0.6374,0.6262,-0.8845,-5.2077,4.0832,4,3,3,2,to
53,86,ikke,Danish,ADV,14,yes,0.8506,8.4481,2.2719,0.3268,0.7196,0.5795,-0.0495,-7.8929,3.9812,4,3,3,2,does not
97,174,jeg,Danish,PRON,16,yes,-0.3928,6.8743,3.4028,0.2831,0.6663,0.63,0.8606,-5.9532,4.6488,4,3,3,2,I
52,85,han,Danish,PRON,17,yes,0.33,6.1775,2.7628,0.3085,0.6427,0.6014,0.1062,-5.3961,3.698,4,3,3,2,he
193,409,være,Danish,VERB,19,yes,2.9769,16.7208,4.6802,0.4016,1.0,0.687,-0.8982,-16.6269,9.5475,4,3,3,2,be
36,59,være,Danish,VERB,19,yes,2.6737,9.4644,2.8988,0.3909,0.7541,0.6075,-1.5467,-9.2015,4.9414,4,3,3,2,be
50,83,men,Danish,CCONJ,21,yes,0.0089,4.6958,3.0846,0.2972,0.5925,0.6158,0.1067,-3.7908,3.5599,5,4,3,2,but
161,319,der,Danish,PRON,23,yes,0.1825,2.5523,1.9365,0.3033,0.5198,0.5645,-0.2769,-1.8926,1.9575,5,4,3,2,there
85,145,der,Danish,PRON,23,yes,0.5905,3.334,1.983,0.3176,0.5463,0.5666,-0.5805,-2.7267,2.1371,5,4,3,2,there
91,161,de,Danish,PRON,24,yes,-1.0642,5.2628,2.3415,0.2595,0.6117,0.5826,1.3948,-4.401,3.2007,5,4,3,2,the
140,276,vi,Danish,PRON,26,yes,-0.1979,4.2492,2.8197,0.2899,0.5773,0.6039,0.2876,-3.3937,3.2169,5,4,3,2,we
33,55,have,Danish,VERB,28,yes,2.4103,12.8897,2.8692,0.3816,0.8702,0.6062,-0.7755,-12.7203,6.0157,4,3,3,2,Garden
2,3,have,Danish,VERB,28,yes,0.8147,5.6501,2.8113,0.3255,0.6248,0.6036,-0.4697,-4.9441,3.5369,4,3,3,2,Garden
127,245,fra,Danish,ADP,30,yes,2.1482,2.4797,-0.9284,0.3724,0.5174,0.4367,-1.5524,-2.9167,-0.7729,5,4,3,2,from
102,187,man,Danish,PRON,32,yes,-0.2954,2.8603,2.6012,0.2865,0.5303,0.5942,0.0666,-1.9725,2.6362,5,4,3,2,you
83,142,sig,Danish,PRON,34,yes,-0.873,2.7228,1.4637,0.2662,0.5256,0.5434,0.8397,-2.0176,1.5719,5,4,3,2,themselves
43,70,år,Danish,NOUN,35,yes,1.6234,10.8756,-0.2714,0.354,0.8019,0.466,0.2722,-11.3039,2.5315,4,3,3,2,year
77,128,sige,Danish,VERB,36,yes,-0.4137,7.2733,3.2189,0.2823,0.6798,0.6218,1.024,-6.4788,4.6996,4,3,3,2,say
125,238,også,Danish,ADV,37,yes,-0.8879,3.9758,1.8741,0.2657,0.5681,0.5617,1.1361,-3.2633,2.3316,5,4,3,2,also
42,68,hun,Danish,PRON,38,yes,-1.0372,4.4758,1.6315,0.2604,0.585,0.5509,1.3773,-3.7668,2.2427,5,4,3,2,she
45,73,sin,Danish,DET,40,yes,6.524,0.166,0.56,0.5263,0.4389,0.5031,-6.4769,-0.9481,-0.1222,1,1,1,1,his
207,449,mange,Danish,ADJ,41,yes,0.0314,4.573,0.0115,0.298,0.5883,0.4786,0.6519,-4.3913,0.7766,5,4,3,2,many
56,90,som,Danish,PRON,42,yes,0.203,4.0825,-0.035,0.304,0.5717,0.4765,0.3675,-3.9248,0.4838,5,4,3,2,as
21,32,som,Danish,PRON,42,yes,0.4032,2.7463,2.3189,0.3111,0.5264,0.5816,-0.6341,-1.9823,2.3097,5,4,3,2,as
62,107,stor,Danish,ADJ,43,yes,1.2637,2.9578,-0.2482,0.3413,0.5336,0.467,-0.7077,-3.1006,0.2132,5,4,3,2,big
174,344,ved,Danish,ADP,44,yes,-0.0924,1.4112,-0.6187,0.2936,0.4812,0.4505,0.0814,-1.2308,-0.4256,5,4,3,2,by
198,428,al,Danish,ADJ,45,yes,-1.3052,3.2359,0.5124,0.251,0.543,0.501,1.7583,-2.8359,0.9558,5,4,3,2,eel
