,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
50,85,een,Dutch,DET,3,yes,7.9692,-3.4249,3.3753,0.853,0.3377,0.7318,-4.8104,-7.3843,3.4814,3,3,2,2,a
9,17,in,Dutch,ADP,5,yes,6.8415,-9.2673,4.9346,0.8014,0.0858,0.8336,-0.7598,-11.9319,4.7287,3,3,2,2,in
35,63,en,Dutch,CCONJ,7,yes,7.1719,-9.9692,7.4598,0.8165,0.0555,0.9985,-0.5971,-12.9908,7.2103,3,3,2,2,and
25,39,op,Dutch,ADP,9,yes,5.6306,-7.403,2.2327,0.746,0.1662,0.6572,-0.7756,-9.4328,1.3967,3,3,2,2,on
52,88,voor,Dutch,ADP,10,yes,5.0389,-4.4991,2.5367,0.7189,0.2914,0.6771,-1.7951,-6.6163,2.4653,3,3,2,2,in front of
19,30,met,Dutch,ADP,12,yes,5.7534,-2.0372,0.9876,0.7516,0.3976,0.5759,-3.7462,-4.7875,0.8662,3,3,2,2,of
215,428,aan,Dutch,ADP,15,yes,2.6435,-3.577,0.2368,0.6093,0.3312,0.5269,-0.3022,-4.2924,0.1357,3,3,2,2,at
45,78,het,Dutch,PRON,17,yes,4.0053,-5.2967,3.4524,0.6716,0.257,0.7368,-0.4858,-6.8044,3.4925,3,3,2,2,the  
33,56,het,Dutch,PRON,17,yes,1.7546,-3.3138,3.8415,0.5686,0.3425,0.7622,0.6479,-3.9043,3.2587,3,3,2,2,the  
61,107,zullen,Dutch,AUX,18,yes,1.1733,-2.1126,3.9643,0.542,0.3943,0.7703,0.467,-2.6096,3.2976,3,3,2,2,shall
20,32,niet,Dutch,ADV,19,yes,2.0798,-6.0438,2.5618,0.5835,0.2248,0.6787,1.6553,-6.2989,2.0215,3,3,2,2,not 
104,186,hij,Dutch,PRON,20,yes,0.5315,-2.5455,3.7097,0.5127,0.3757,0.7536,1.1398,-2.6672,2.9545,3,3,2,2,he
32,54,als,Dutch,SCONJ,21,yes,1.6097,-4.5195,0.9844,0.562,0.2905,0.5757,1.0855,-4.6466,0.6185,3,3,2,2,if
130,238,ook,Dutch,ADV,23,yes,3.0394,-4.0584,3.3627,0.6274,0.3104,0.731,-0.1018,-5.1495,2.8845,3,3,2,2,also
147,269,door,Dutch,ADP,24,yes,4.448,-3.2953,0.2324,0.6919,0.3433,0.5266,-1.9243,-5.0559,0.4686,3,3,2,2,by means of
28,43,uit,Dutch,ADP,26,yes,2.1206,-0.6781,-1.069,0.5854,0.4562,0.4416,-1.5122,-1.6232,-0.8353,4,4,3,2,from
89,151,om,Dutch,ADP,28,yes,0.465,-1.7576,2.6469,0.5096,0.4096,0.6842,0.7763,-1.8571,1.8779,3,3,2,2,to
112,204,bij,Dutch,ADP,29,yes,5.5427,0.4794,-0.8184,0.7419,0.5061,0.458,-5.0016,-2.5266,-0.8658,4,4,3,2,Bee
3,7,over,Dutch,ADP,31,yes,3.0651,-0.8466,-0.3171,0.6286,0.4489,0.4907,-2.1749,-2.2694,-0.304,4,4,3,2,about
95,165,tot,Dutch,ADP,33,yes,2.7791,-2.0371,0.2676,0.6155,0.3976,0.5289,-1.2453,-3.1458,0.2284,3,3,2,2,until
17,27,nog,Dutch,ADV,34,yes,1.232,-3.1749,2.4776,0.5447,0.3485,0.6732,0.9415,-3.3697,1.9618,3,3,2,2,yet
88,150,komen,Dutch,VERB,35,yes,7.7994,-10.85,7.3507,0.8452,0.0175,0.9914,-0.6227,-14.0259,7.0957,3,3,2,2,come
68,117,ik,Dutch,PRON,36,yes,-1.7981,-0.6834,4.0121,0.4061,0.456,0.7734,2.2417,0.18,3.4215,2,2,1,1,I
103,184,hebben,Dutch,VERB,37,yes,3.3648,-1.632,2.643,0.6423,0.4151,0.684,-1.7997,-3.3463,1.8881,3,3,2,2,to have
49,84,hebben,Dutch,VERB,37,yes,7.7839,-11.2567,7.1588,0.8445,0.0,0.9788,-0.3915,-14.321,6.8019,3,3,2,2,to have
166,302,naar,Dutch,ADP,38,yes,2.3904,-2.2388,-2.1063,0.5977,0.3889,0.3739,-0.8821,-2.8964,-1.7268,2,2,1,1,nasty
270,613,moeten,Dutch,AUX,40,yes,-1.4837,-0.5778,3.4188,0.4205,0.4605,0.7346,1.8027,0.0987,2.6596,2,2,1,1,should
121,224,jaar,Dutch,NOUN,41,yes,5.3752,-8.4406,1.5786,0.7343,0.1214,0.6145,-0.0883,-10.1899,0.9252,3,3,2,2,year
140,255,zich,Dutch,PRON,42,yes,-0.7835,-1.4102,0.2796,0.4525,0.4246,0.5297,1.4433,-0.7504,-0.668,2,2,1,1,himself
