,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,al,English,PROPN,35,yes,0.412,0.0405,2.709,0.612,0.6014,0.586,0.3727,-0.2692,-2.3434,5,4,3,2
1,2051,carry,English,VERB,405,yes,1.6107,-0.4118,1.1236,0.6641,0.5861,0.5038,1.5789,-0.3832,-1.2136,5,4,3,2
2,5,american,English,ADJ,274,yes,2.8616,3.3826,2.0859,0.7184,0.7138,0.5537,2.3182,3.267,-1.7371,2,2,2,2
3,6,force,English,NOUN,151,yes,1.1921,-2.0207,3.6954,0.6459,0.532,0.6371,1.5023,-2.3913,-3.0774,5,4,3,2
4,7,kill,English,VERB,141,yes,-0.3333,-2.7738,0.1135,0.5796,0.5067,0.4515,0.0347,-2.7463,-0.1426,5,4,3,2
5,12,the,English,DET,1,yes,-6.1886,-12.3328,-3.0366,0.3253,0.1851,0.2883,-4.4629,-12.3542,6.3693,3,3,3,2
6,14,at,English,ADP,31,yes,-4.3343,-1.9359,2.4777,0.4058,0.5349,0.574,-3.9843,-2.7854,-2.7212,4,4,3,2
7,16,in,English,ADV,367,yes,-6.452,-7.9014,-0.918,0.3139,0.3342,0.3981,-5.3226,-8.2593,2.9065,5,4,3,2
8,18,of,English,SCONJ,120,yes,-5.2168,-12.4346,-2.6088,0.3675,0.1817,0.3105,-3.5066,-12.4161,5.9302,3,3,3,2
9,22,border,English,NOUN,409,yes,2.5267,0.1663,1.3112,0.7039,0.6056,0.5136,2.4026,0.297,-1.1639,2,2,2,2
10,25,this,English,PRON,44,yes,-5.9622,-2.1076,-2.1375,0.3351,0.5291,0.3349,-5.5613,-2.458,2.0314,5,4,3,2
11,27,a,English,DET,5,yes,-6.237,-6.2149,-3.1755,0.3232,0.3909,0.2811,-5.2869,-6.2553,4.4677,5,4,3,2
12,2077,next,English,ADJ,375,yes,-4.8614,3.6264,-4.3232,0.383,0.722,0.2217,-5.2062,3.5098,3.3356,1,1,1,1
13,30,will,English,AUX,29,yes,0.8266,-3.4307,-2.7475,0.63,0.4846,0.3033,1.2204,-2.7915,2.6889,5,4,3,2
14,31,be,English,VERB,28,yes,-3.9535,-16.5183,-4.6472,0.4224,0.0444,0.2049,-1.7435,-15.9763,9.1379,3,3,3,2
15,33,we,English,PRON,23,yes,-0.6533,-3.0076,-4.5027,0.5657,0.4988,0.2124,-0.2181,-2.2912,4.5866,5,4,3,2
16,35,for,English,SCONJ,134,yes,-4.9131,-5.4785,-0.9885,0.3807,0.4157,0.3944,-4.0652,-5.714,1.9295,5,4,3,2
17,36,year,English,NOUN,54,yes,-2.102,-5.298,1.6108,0.5028,0.4218,0.5291,-1.3544,-5.5778,-0.4937,5,4,3,2
18,37,to,English,SCONJ,427,yes,-1.6728,-4.6648,-3.7447,0.5215,0.4431,0.2516,-1.0577,-4.1996,3.9832,5,4,3,2
19,38,come,English,VERB,106,yes,-0.594,-5.3068,-1.3739,0.5683,0.4215,0.3745,0.0807,-4.9891,2.0146,5,4,3,2
20,2083,yet,English,ADV,429,yes,3.9937,3.8972,-3.0,0.7676,0.7311,0.2902,3.4385,4.6628,1.8417,2,2,2,2
21,41,iraqi,English,PROPN,463,yes,-7.1412,0.6755,1.9379,0.2839,0.6227,0.546,-7.1325,-0.594,-1.7768,1,1,1,1
22,42,authority,English,NOUN,390,yes,3.5159,1.6004,1.1476,0.7468,0.6538,0.5051,3.2255,1.844,-0.8878,2,2,2,2
23,2092,kerry,English,PROPN,337,yes,2.8659,3.0927,0.7735,0.7186,0.704,0.4857,2.4019,3.157,-0.9518,2,2,2,2
24,44,that,English,DET,58,yes,-1.0995,-4.7764,-3.6198,0.5464,0.4393,0.2581,-0.4519,-4.2034,3.8681,5,4,3,2
25,45,they,English,PRON,13,yes,-1.3625,-6.2163,-3.6056,0.5349,0.3909,0.2588,-0.4947,-5.6389,4.6857,5,4,3,2
26,46,have,English,VERB,20,yes,-0.9781,-3.397,-4.1675,0.5516,0.4857,0.2297,-0.5125,-2.81,3.9808,5,4,3,2
27,48,up,English,ADP,82,yes,-4.395,2.0991,-1.914,0.4032,0.6706,0.3465,-4.6521,1.7097,1.2077,1,1,1,1
28,49,3,English,NUM,460,yes,-3.4254,2.9761,-1.4122,0.4453,0.7001,0.3725,-3.903,2.7041,0.6416,1,1,1,1
29,50,terrorist,English,ADJ,478,yes,-9.2478,2.1612,0.9319,0.1924,0.6727,0.4939,-9.3984,0.6747,-1.3745,1,1,1,1
30,53,baghdad,English,PROPN,456,yes,4.1761,1.6717,1.9389,0.7755,0.6562,0.5461,3.7137,1.8332,-1.6287,2,2,2,2
31,54,two,English,NUM,97,yes,-0.8852,-0.2101,1.4745,0.5557,0.5929,0.522,-0.7942,-0.4966,-1.2538,5,4,3,2
32,55,run,English,VERB,272,yes,2.6481,-2.4478,-0.7214,0.7091,0.5177,0.4083,2.966,-1.9079,0.5138,5,4,3,2
33,56,by,English,SCONJ,225,yes,-5.2186,-4.311,0.4408,0.3674,0.455,0.4685,-4.5064,-4.8527,0.3105,5,4,3,2
34,57,2,English,NUM,452,yes,7.4002,2.6408,4.0271,0.9156,0.6888,0.6543,7.0237,2.9392,-3.841,2,2,2,2
35,58,official,English,NOUN,154,yes,1.1244,-3.4272,3.1281,0.643,0.4847,0.6077,1.615,-3.6088,-2.6014,5,4,3,2
36,63,iraq,English,PROPN,57,yes,1.3949,-3.6088,-0.0126,0.6547,0.4786,0.445,1.9446,-3.2759,0.5941,5,4,3,2
37,65,to,English,SCONJ,427,yes,-4.8175,-6.5048,-2.2144,0.3849,0.3812,0.3309,-3.8671,-6.5408,3.6999,5,4,3,2
38,66,us,English,PROPN,45,yes,-1.2873,-2.8457,-0.4022,0.5382,0.5043,0.4248,-0.8434,-2.8103,0.9112,5,4,3,2
39,67,fbi,English,PROPN,235,yes,-0.1335,2.3976,-1.3444,0.5883,0.6806,0.376,-0.4116,2.4882,1.2419,5,4,3,2
40,68,so,English,ADV,53,yes,2.6513,-1.8485,-1.9265,0.7093,0.5378,0.3458,2.8676,-1.1009,1.7266,5,4,3,2
41,69,this,English,PRON,44,yes,1.1187,-2.3068,-1.5288,0.6427,0.5224,0.3664,1.4261,-1.8417,1.7744,5,4,3,2
42,70,would,English,AUX,34,yes,0.7526,-0.9173,-5.2658,0.6268,0.5691,0.1728,0.8698,0.0067,4.4452,5,4,3,2
43,71,be,English,VERB,28,yes,-1.7549,-12.2254,-2.9108,0.5179,0.1888,0.2948,-0.1574,-11.7838,5.3839,3,3,3,2
44,73,have,English,VERB,20,yes,-2.6571,-17.4485,-5.863,0.4787,0.0131,0.1419,-0.4772,-16.7476,10.9298,3,3,3,2
45,79,high,English,ADJ,282,yes,0.0939,1.0011,3.6984,0.5982,0.6337,0.6372,-0.048,0.4336,-3.4108,4,4,3,2
46,81,member,English,NOUN,192,yes,0.4505,-2.9365,1.9061,0.6137,0.5012,0.5444,0.859,-3.0178,-1.392,5,4,3,2
47,84,back,English,VERB,484,yes,0.3382,3.9005,-1.2168,0.6088,0.7312,0.3826,-0.2014,4.0278,0.7118,2,2,2,2
48,2134,anyone,English,PRON,314,yes,3.8227,-0.8867,0.8517,0.7602,0.5702,0.4898,3.9524,-0.4503,-1.0193,2,2,2,2
49,87,head,English,NOUN,246,yes,1.3657,-0.7234,0.3479,0.6534,0.5757,0.4637,1.4268,-0.5476,-0.1532,5,4,3,2
50,90,you,English,PRON,18,yes,-0.3055,-4.294,-4.4447,0.5808,0.4556,0.2154,0.2683,-3.5165,4.8399,5,4,3,2
51,92,if,English,SCONJ,42,yes,0.8254,-1.0302,-2.6635,0.63,0.5653,0.3076,0.9452,-0.5187,1.8129,5,4,3,2
52,93,he,English,PRON,10,yes,-1.8717,-7.0412,-3.5977,0.5128,0.3631,0.2592,-0.8932,-6.502,4.8722,5,4,3,2
53,96,with,English,SCONJ,259,yes,-4.4475,-4.3508,-0.5557,0.4009,0.4536,0.4168,-3.8253,-4.6971,1.2312,5,4,3,2
54,2144,e-mail,English,NOUN,380,yes,2.5441,0.7924,2.0333,0.7046,0.6266,0.551,2.3271,0.7929,-1.9575,2,2,2,2
55,97,bombing,English,NOUN,406,yes,2.6794,0.7731,2.4438,0.7105,0.626,0.5722,2.5055,0.7379,-1.7944,2,2,2,2
56,98,target,English,NOUN,425,yes,4.37,0.7458,-0.6665,0.7839,0.6251,0.4111,4.2153,1.3784,0.6041,2,2,2,2
57,100,and,English,CCONJ,3,yes,-4.0131,-17.8368,-4.1315,0.4198,0.0,0.2316,-1.6011,-17.3357,9.437,3,3,3,2
58,101,jihad,English,PROPN,309,yes,5.0427,-0.428,3.3937,0.8132,0.5856,0.6215,4.9652,-0.1729,-2.9285,2,2,2,2
59,2146,thanks,English,NOUN,163,yes,-8.8652,2.025,0.0267,0.209,0.6681,0.447,-9.0988,0.7823,-0.5939,1,1,1,1
60,104,although,English,SCONJ,360,yes,7.3047,6.2311,-5.585,0.9114,0.8096,0.1563,6.3178,7.8898,4.4728,2,2,2,2
61,106,probably,English,ADV,356,yes,1.9777,4.0077,-4.527,0.68,0.7348,0.2111,1.3983,4.8357,3.3456,2,2,2,2
62,107,make,English,VERB,63,yes,-0.6662,-7.5524,-1.9345,0.5652,0.3459,0.3454,0.3113,-7.0873,3.266,5,4,3,2
63,108,show,English,VERB,261,yes,0.2928,-2.5632,-0.5304,0.6068,0.5138,0.4182,0.6564,-2.3617,0.3797,5,4,3,2
64,110,in,English,ADV,367,yes,-1.7914,2.3397,-3.0738,0.5163,0.6787,0.2864,-2.1992,2.3652,2.0221,2,2,2,2
65,113,terror,English,NOUN,241,yes,2.6812,0.0381,3.2262,0.7106,0.6013,0.6128,2.6947,-0.0462,-2.6429,5,4,3,2
66,114,i,English,PRON,9,yes,0.1094,-5.071,-3.8614,0.5989,0.4294,0.2456,0.7205,-4.3364,4.2786,5,4,3,2
67,115,do,English,VERB,43,yes,-0.6502,-1.0233,-5.452,0.5659,0.5656,0.1632,-0.5356,-0.2993,4.4893,5,4,3,2
68,116,not,English,ADV,125,yes,-1.2641,-5.5277,-2.7654,0.5392,0.4141,0.3024,-0.5579,-5.1093,3.1562,5,4,3,2
69,117,find,English,VERB,152,yes,1.1329,-2.1535,-3.5774,0.6433,0.5276,0.2603,1.4066,-1.3597,3.1561,5,4,3,2
70,118,news,English,NOUN,350,yes,3.2064,1.8446,-2.9135,0.7334,0.662,0.2947,2.8772,2.6642,2.5956,2,2,2,2
71,4215,egyptian,English,ADJ,157,yes,-7.6221,0.9643,1.1559,0.263,0.6324,0.5055,-7.6313,-0.2629,-1.4609,1,1,1,1
72,122,government,English,NOUN,96,yes,2.6484,-2.1689,0.7515,0.7092,0.527,0.4846,2.9493,-1.8734,-0.2367,5,4,3,2
73,123,very,English,ADV,123,yes,-11.4944,0.5931,2.9679,0.0948,0.6199,0.5994,-11.5037,-1.3847,-2.7872,1,1,1,1
74,125,it,English,PRON,14,yes,-0.5462,-6.9003,-3.0188,0.5704,0.3679,0.2892,0.3471,-6.3048,4.2918,5,4,3,2
75,127,too,English,ADV,224,yes,-7.7453,0.9563,0.7717,0.2577,0.6322,0.4856,-7.7876,-0.1941,-1.3846,1,1,1,1
76,128,much,English,ADJ,379,yes,-5.3045,-0.5731,4.1126,0.3637,0.5807,0.6587,-5.1576,-1.9186,-3.8605,4,4,3,2
77,130,officer,English,NOUN,283,yes,1.7416,-0.8917,0.7338,0.6698,0.57,0.4837,1.8512,-0.7059,-0.5169,5,4,3,2
78,131,who,English,PRON,36,yes,1.4317,-2.0227,-3.0204,0.6563,0.532,0.2892,1.7011,-1.3233,2.5394,5,4,3,2
79,133,work,English,NOUN,234,yes,1.0995,-4.2934,-1.3795,0.6419,0.4556,0.3742,1.6022,-3.7818,1.5229,5,4,3,2
80,134,other,English,NOUN,341,yes,0.297,0.584,-0.4038,0.607,0.6196,0.4247,0.271,0.6539,0.4409,5,4,3,2
81,2182,meet,English,VERB,398,yes,1.2163,-1.2484,1.9165,0.647,0.558,0.5449,1.2201,-1.4157,-2.3306,5,4,3,2
82,141,after,English,SCONJ,202,yes,-5.2005,2.3619,-3.6756,0.3682,0.6794,0.2552,-5.4989,2.0933,2.5463,1,1,1,1
83,2192,word,English,NOUN,392,yes,2.001,-0.984,2.865,0.681,0.5669,0.5941,2.0308,-1.1463,-2.4027,2,2,2,2
84,152,there,English,ADV,171,yes,9.3441,11.8914,-8.6017,1.0,1.0,0.0,7.4447,14.4687,8.6467,2,2,2,2
85,153,big,English,ADJ,440,yes,3.1124,1.5594,2.3568,0.7293,0.6525,0.5677,2.681,1.6446,-1.9616,2,2,2,2
86,155,number,English,NOUN,174,yes,2.9393,-0.1468,-1.6816,0.7218,0.5951,0.3585,2.9823,0.5344,1.7273,2,2,2,2
87,2204,michael,English,PROPN,395,yes,-2.3867,1.1689,4.4983,0.4904,0.6393,0.6787,-2.4436,0.1035,-4.5783,4,4,3,2
88,157,on,English,SCONJ,420,yes,-5.3784,-3.0573,-0.906,0.3605,0.4972,0.3987,-4.8123,-3.4261,1.2989,5,4,3,2
89,162,while,English,SCONJ,142,yes,-1.2978,4.7284,-4.3731,0.5377,0.759,0.2191,-1.8899,4.9677,2.9868,2,2,2,2
