,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
17,23,ja,Estonian,CCONJ,2,yes,0.5,-14.9129,0.6813,0.6935,0.1758,0.671,-0.4393,-13.1848,7.441,3,3,2,2,and
62,93,tema,Estonian,PRON,3,yes,1.017,-15.2948,0.8662,0.7124,0.162,0.6791,0.0268,-13.4785,8.0727,3,3,2,2,him
43,57,et,Estonian,SCONJ,4,yes,0.8243,-9.8724,3.1726,0.7054,0.3572,0.7801,-0.4365,-7.9504,7.0639,3,3,2,2,that
51,72,mina,Estonian,PRON,7,yes,1.8799,-9.7521,2.3287,0.7439,0.3615,0.7432,0.8159,-8.1217,6.7583,3,3,2,2,me
11,17,mis,Estonian,PRON,8,yes,1.8273,-6.1416,2.4342,0.742,0.4915,0.7478,0.9868,-4.7605,4.8094,3,3,2,2,what
60,89,ka,Estonian,ADV,10,yes,0.2279,-5.8881,0.566,0.6836,0.5006,0.666,-0.2215,-5.2054,2.7155,3,3,2,2,too
69,101,see,Estonian,DET,12,yes,-5.3127,-4.7536,0.5611,0.4813,0.5415,0.6658,-5.4662,-4.2272,1.1792,4,4,3,2,this
22,32,see,Estonian,DET,12,yes,0.9048,-15.3282,1.4453,0.7083,0.1608,0.7045,-0.2219,-13.3429,8.6106,3,3,2,2,this
168,333,oma,Estonian,PRON,13,yes,-2.1419,-4.7226,-1.0412,0.5971,0.5426,0.5956,-2.1677,-4.7313,0.4252,4,4,3,2,own
14,20,aasta,Estonian,NOUN,14,yes,-0.4224,-9.0591,-1.3039,0.6598,0.3865,0.5841,-0.4648,-8.5361,2.359,3,3,2,2,year
40,53,kes,Estonian,PRON,15,yes,2.2265,-3.8424,1.487,0.7565,0.5743,0.7063,1.6227,-3.0287,2.8295,3,3,2,2,who
80,120,tegema,Estonian,VERB,16,yes,1.4073,-12.5203,1.2112,0.7266,0.2619,0.6942,0.4509,-10.8942,6.7383,3,3,2,2,to do
59,88,siis,Estonian,ADV,18,yes,2.8502,-3.818,2.6024,0.7793,0.5751,0.7551,2.0569,-2.5436,3.9634,3,3,2,2,then
197,427,nii,Estonian,ADV,19,yes,3.2868,-3.4993,1.3255,0.7952,0.5866,0.6992,2.7518,-2.7067,3.0852,3,3,2,2,so
79,116,ise,Estonian,PRON,20,yes,1.9186,-3.8343,1.0105,0.7453,0.5746,0.6855,1.4801,-3.1789,2.3946,3,3,2,2,himself
2,4,tulema,Estonian,VERB,21,yes,1.5113,-14.4138,0.8761,0.7304,0.1937,0.6796,0.4956,-12.7071,7.5901,3,3,2,2,to come
216,482,olema,Estonian,VERB,22,yes,2.0394,-9.5685,0.2938,0.7497,0.3681,0.6541,1.2975,-8.6967,4.8965,3,3,2,2,to be
7,11,olema,Estonian,VERB,22,yes,0.702,-19.7957,1.8225,0.7009,0.0,0.721,-0.7724,-17.1982,11.596,3,3,2,2,to be
