,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,de,Galician,ADP,2,yes,-15.4327,-21.8775,-15.1046,0.0,0.0,0.0,-2.986,-26.334,15.1329,4,3,3,2
1,2,novo,Galician,ADJ,36,yes,-1.8782,-2.1765,0.1389,0.4555,0.5419,0.7181,-0.2146,-2.7332,0.193,5,4,3,2
2,5,se,Galician,SCONJ,132,yes,-7.5844,-2.2234,-3.168,0.2637,0.5406,0.5623,-5.1804,-5.5033,3.1904,5,4,3,2
3,2053,santiago,Galician,PROPN,441,yes,3.8013,2.1037,0.4462,0.6463,0.6597,0.7326,2.3622,3.537,-0.3725,2,1,1,1
4,6,un,Galician,PRON,183,yes,-9.3379,-7.2036,-4.0995,0.2048,0.4036,0.5184,-4.0748,-10.4123,5.1767,4,3,3,2
5,7,significativo,Galician,ADJ,291,yes,-1.1913,4.5942,-3.4043,0.4786,0.7282,0.5512,-2.8465,3.1497,3.1239,1,1,1,1
6,9,entre,Galician,ADP,28,yes,-6.2953,2.7468,-2.1685,0.307,0.6773,0.6094,-6.2376,-0.7157,2.7064,3,2,2,2
7,10,o,Galician,PRON,31,yes,-14.8726,-19.2887,-13.2099,0.0188,0.0712,0.0893,-3.5891,-23.6313,13.1654,4,3,3,2
8,11,nivel,Galician,NOUN,96,yes,-3.1348,-3.3512,0.8463,0.4133,0.5096,0.7514,-1.1621,-4.3465,-0.9046,5,4,3,2
9,12,acceso,Galician,NOUN,324,yes,1.2052,-0.6847,0.6888,0.5591,0.583,0.744,1.4238,0.0323,-0.4499,1,1,1,1
10,13,a,Galician,ADP,7,yes,-10.3814,-9.6759,-6.3529,0.1697,0.3356,0.4123,-3.7769,-13.1093,7.4269,4,3,3,2
11,14,internet,Galician,PROPN,483,yes,7.7478,-0.1722,-0.3665,0.7789,0.5971,0.6943,6.4826,3.6887,-0.0939,2,1,1,1
12,15,e,Galician,CCONJ,4,yes,-11.7109,-13.1646,-8.1418,0.1251,0.2397,0.328,-3.6892,-16.8178,7.8063,4,3,3,2
13,16,determinar,Galician,VERB,189,yes,-1.216,-0.0129,-1.803,0.4777,0.6014,0.6266,-0.5349,-0.7026,1.7463,1,1,1,1
14,17,característica,Galician,NOUN,259,yes,-1.048,-1.0591,0.3444,0.4834,0.5727,0.7278,-0.3403,-1.4802,-0.6543,5,4,3,2
15,19,territorio,Galician,NOUN,315,yes,3.2169,-1.0422,-0.1048,0.6267,0.5731,0.7066,3.2533,0.6407,-0.016,1,1,1,1
16,20,que,Galician,SCONJ,11,yes,-6.2892,-4.8194,-3.1512,0.3073,0.4692,0.5631,-2.8856,-7.1771,3.0272,5,4,3,2
17,22,xa,Galician,ADV,50,yes,-5.3456,0.6382,3.1835,0.339,0.6193,0.8615,-5.0467,-1.8324,-2.3731,3,2,2,2
18,24,factor,Galician,NOUN,283,yes,2.3553,-0.2135,0.3408,0.5977,0.5959,0.7276,1.9275,0.7944,-1.0976,1,1,1,1
19,2074,recurso,Galician,NOUN,173,yes,-0.9219,-1.9672,2.5299,0.4876,0.5477,0.8307,-0.1142,-2.2209,-2.8022,5,4,3,2
20,26,importante,Galician,ADJ,54,yes,-0.3973,-1.0902,-1.4769,0.5052,0.5718,0.642,0.4364,-1.275,0.956,1,1,1,1
21,27,sobre,Galician,ADP,34,yes,-2.9055,0.0702,-1.4618,0.421,0.6037,0.6427,-1.9738,-1.3715,1.6323,5,4,3,2
