,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,ה,Hebrew,SCONJ,14,yes,14.5207,-17.9796,-7.7682,1.0,0.0216,0.2793,-3.5695,-22.0359,11.1099,3,3,3,2
1,2,קהל,Hebrew,NOUN,311,yes,-4.2073,0.9852,1.7853,0.3211,0.6385,0.7325,3.163,2.7567,-1.9341,4,4,3,2
2,4,סוף,Hebrew,NOUN,198,yes,-2.9462,-0.4213,-2.3213,0.3668,0.5928,0.5377,2.6881,1.5089,2.009,2,2,2,2
3,5,ערבי,Hebrew,ADJ,150,yes,-0.7715,-3.0717,-0.7793,0.4457,0.5066,0.6108,2.3166,-2.013,0.9969,4,4,3,2
4,6,ו,Hebrew,CCONJ,5,yes,11.3697,-14.2384,-7.7943,0.8858,0.1433,0.2781,-2.6225,-17.1995,10.049,3,3,3,2
5,7,יהודי,Hebrew,ADJ,59,yes,0.586,-2.8459,-2.0401,0.4949,0.5139,0.551,1.1259,-2.3957,2.163,5,4,3,2
6,9,ב,Hebrew,ADP,3,yes,12.3996,-13.9093,-5.6106,0.9231,0.154,0.3817,-3.621,-17.4875,7.8558,3,3,3,2
7,10,הוא,Hebrew,AUX,20,yes,13.3682,-18.643,-11.0256,0.9582,0.0,0.1248,-2.331,-21.933,14.5218,3,3,3,2
8,11,עד,Hebrew,ADP,92,yes,4.0038,0.8381,1.7359,0.6188,0.6338,0.7302,-3.6288,-1.6836,-1.8169,5,4,3,2
9,15,איש,Hebrew,NOUN,19,yes,5.3973,-5.6444,-2.6595,0.6693,0.4229,0.5217,-1.4823,-7.2419,3.6024,5,4,3,2
10,18,אל,Hebrew,PROPN,481,yes,0.3214,-1.8204,4.4108,0.4853,0.5473,0.857,0.7198,-2.0193,-3.5944,4,4,3,2
11,21,ל,Hebrew,ADP,6,yes,11.0874,-10.783,-5.1483,0.8755,0.2557,0.4036,-3.9709,-14.1682,6.5327,3,3,3,2
12,23,_,Hebrew,SCONJ,315,yes,-1.0352,-2.0361,0.2383,0.4361,0.5403,0.6591,2.1015,-1.0726,-0.0791,4,4,3,2
13,28,גם,Hebrew,ADV,15,yes,3.6322,-2.4763,-0.4765,0.6053,0.5259,0.6252,-1.5264,-3.8657,0.6976,5,4,3,2
14,29,כאשר,Hebrew,SCONJ,74,yes,5.0932,4.895,-2.1949,0.6582,0.7657,0.5437,-6.6981,1.5579,1.3575,1,1,1,1
15,34,יד,Hebrew,NOUN,79,yes,-5.6509,-0.7111,-2.4213,0.2688,0.5834,0.533,5.049,2.6765,2.0063,2,2,2,2
16,36,על,Hebrew,ADP,10,yes,7.5271,-4.4751,-2.9688,0.7465,0.4609,0.507,-3.8715,-7.1645,3.8775,5,4,3,2
17,40,חייל,Hebrew,NOUN,154,yes,1.2213,-1.7721,4.0201,0.5179,0.5488,0.8385,0.0682,-2.603,-3.7245,5,4,3,2
18,43,כ,Hebrew,ADP,13,yes,5.0974,-0.0873,-3.1991,0.6584,0.6037,0.4961,-4.0026,-2.2542,3.0775,5,4,3,2
19,45,של,Hebrew,ADP,4,yes,9.0366,-6.6621,-0.7964,0.8012,0.3898,0.61,-4.1154,-10.1109,2.3036,5,4,3,2
20,47,כדי,Hebrew,ADP,50,yes,5.2101,1.9773,1.7857,0.6625,0.6708,0.7325,-5.3186,-1.4141,-1.9755,5,4,3,2
