,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,यह,Hindi,PRON,16,yes,8.3888,-0.475,2.9019,0.8152,0.6322,0.4776,3,3,2,2
1,3,का,Hindi,ADP,1,yes,10.6461,-12.7891,9.5562,0.9008,0.2244,0.7754,4,4,3,2
2,4,सबसे,Hindi,ADV,95,yes,8.8715,4.5498,-2.6051,0.8335,0.7987,0.2311,3,3,2,2
3,5,बड़ा,Hindi,ADJ,154,yes,5.9046,3.4298,-0.6458,0.721,0.7616,0.3188,3,3,2,2
4,7,में,Hindi,ADP,3,yes,8.4225,-6.1402,4.4492,0.8165,0.4446,0.5468,5,4,3,2
5,8,से,Hindi,ADP,7,yes,7.4759,-6.3238,4.4115,0.7806,0.4385,0.5451,5,4,3,2
6,9,एक,Hindi,NUM,21,yes,5.4255,-1.3917,1.9641,0.7028,0.6019,0.4356,5,4,3,2
7,10,है,Hindi,VERB,38,yes,5.8528,-5.369,4.1167,0.719,0.4701,0.5319,5,4,3,2
8,12,यह,Hindi,PRON,16,yes,4.8987,-5.7123,2.0992,0.6828,0.4588,0.4416,5,4,3,2
9,2063,ग्रह,Hindi,NOUN,498,yes,1.5291,-0.1181,-2.4115,0.555,0.644,0.2397,2,2,1,1
10,15,ने,Hindi,ADP,9,yes,8.6567,-0.4824,1.5228,0.8253,0.632,0.4158,3,3,2,2
11,17,था,Hindi,VERB,158,yes,1.3904,-1.9314,1.8721,0.5498,0.584,0.4315,5,4,3,2
12,20,दो,Hindi,NOUN,418,yes,3.7919,-0.7991,-0.2722,0.6409,0.6215,0.3355,5,4,3,2
13,22,जो,Hindi,DET,183,yes,-0.1877,-1.6619,0.868,0.4899,0.5929,0.3865,2,2,1,1
14,23,चार,Hindi,NUM,176,yes,6.199,4.9092,0.0098,0.7321,0.8106,0.3481,3,3,2,2
15,25,और,Hindi,DET,327,yes,5.9247,-5.0722,1.9715,0.7217,0.48,0.4359,5,4,3,2
16,26,मुख्य,Hindi,ADJ,175,yes,7.3809,7.8889,1.1986,0.777,0.9093,0.4013,3,3,2,2
17,29,जा,Hindi,VERB,48,yes,5.1001,-5.7209,2.6223,0.6905,0.4585,0.4651,5,4,3,2
18,30,के,Hindi,ADP,4,yes,7.1029,-6.4562,4.968,0.7664,0.4341,0.57,5,4,3,2
