,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,fögnuður,Icelandic,NOUN,226,yes,2.1836,0.5946,0.5961,0.5481,0.6429,0.6662,1.9071,1.1507,-0.4153,1,1,1,1
1,2,verða,Icelandic,AUX,140,yes,-8.4551,4.6216,-1.7203,0.2371,0.8096,0.5758,-2.0323,-9.1615,2.7317,4,3,2,2
2,3,þessi,Icelandic,DET,30,yes,-3.7726,1.0445,0.4977,0.374,0.6615,0.6624,-1.4427,-3.4476,-0.4274,4,3,2,2
3,4,heimur,Icelandic,NOUN,48,yes,-3.5161,1.9228,0.2038,0.3815,0.6978,0.6509,-0.7318,-3.8111,0.0218,4,3,2,2
4,5,sá,Icelandic,DET,9,yes,-12.3624,5.2756,-3.3655,0.1228,0.8367,0.5116,-4.1369,-12.458,4.9781,4,3,2,2
5,7,er,Icelandic,SCONJ,4,yes,-9.2392,3.8679,-4.0794,0.2142,0.7784,0.4838,-3.3608,-8.7799,4.6132,4,3,2,2
6,8,góður,Icelandic,ADJ,36,yes,-4.1156,2.6862,-0.7337,0.3639,0.7295,0.6143,-0.7148,-4.5657,0.9251,4,3,2,2
7,9,maður,Icelandic,NOUN,19,yes,-9.5468,4.9124,-3.223,0.2052,0.8216,0.5172,-2.6232,-10.0908,4.4338,4,3,2,2
8,10,fagna,Icelandic,VERB,256,yes,2.7281,1.4796,-3.308,0.564,0.6795,0.5139,2.6124,1.4929,3.0517,1,1,1,1
9,11,engill,Icelandic,NOUN,75,yes,-1.5196,1.3833,-0.8675,0.4398,0.6755,0.6091,-0.0671,-1.8085,0.8687,4,3,2,2
10,13,á,Icelandic,ADP,15,yes,-4.594,1.6793,2.3943,0.35,0.6878,0.7364,-1.4823,-4.6471,-2.0121,4,3,2,2
11,15,sinn,Icelandic,NOUN,400,yes,-10.207,-3.2697,-0.2018,0.1859,0.4829,0.6351,-8.9939,-5.3734,-0.2331,4,3,2,2
12,17,þjónusta,Icelandic,NOUN,372,yes,0.9675,0.2054,2.1466,0.5125,0.6267,0.7267,0.9343,0.262,-1.937,1,1,1,1
13,18,kennimaður,Icelandic,NOUN,421,yes,4.5447,-1.1747,1.2374,0.6171,0.5696,0.6912,2.1336,3.8639,-0.7119,2,2,1,1
14,20,bera,Icelandic,VERB,56,yes,-7.7782,3.7775,-0.9157,0.2569,0.7746,0.6072,-2.0247,-8.1836,1.8236,4,3,2,2
15,22,og,Icelandic,ADV,65,yes,-16.5645,8.9443,-5.5372,0.0,0.9885,0.4269,-4.1163,-18.5115,7.3409,4,3,2,2
16,23,vígsla,Icelandic,NOUN,399,yes,6.6226,0.4594,-1.4117,0.6779,0.6373,0.5879,4.3241,4.6677,1.6215,2,2,1,1
17,24,yfir,Icelandic,ADP,98,yes,1.5895,-0.1605,1.2438,0.5307,0.6116,0.6915,1.114,1.2101,-1.0698,1,1,1,1
18,26,hann,Icelandic,PRON,1,yes,-13.2404,6.894,-5.9601,0.0972,0.9037,0.4104,-3.7377,-14.0993,8.1289,4,3,2,2
19,27,vera,Icelandic,VERB,392,yes,-15.0556,8.6335,-6.0188,0.0441,0.9757,0.4081,-3.5944,-17.1863,7.8485,4,3,2,2
20,29,að,Icelandic,ADP,33,yes,-5.3217,2.565,-4.2173,0.3287,0.7244,0.4784,-1.9688,-4.8716,4.1207,4,3,2,2
21,30,þjóna,Icelandic,VERB,269,yes,2.0207,1.3527,-2.1803,0.5433,0.6742,0.5579,1.9704,1.0336,2.0512,1,1,1,1
22,31,guð,Icelandic,PROPN,10,yes,-9.0379,4.7192,-3.3509,0.22,0.8136,0.5122,-2.4652,-9.591,4.6093,4,3,2,2
23,2080,auglit,Icelandic,NOUN,351,yes,2.34,1.1265,4.7059,0.5527,0.6649,0.8266,2.4798,0.495,-4.0311,1,1,1,1
24,33,allur,Icelandic,DET,12,yes,-8.1604,3.1157,-1.3458,0.2457,0.7472,0.5904,-2.9589,-7.8804,2.0991,4,3,2,2
25,34,hátíð,Icelandic,NOUN,80,yes,-3.7865,-0.1384,-0.0895,0.3736,0.6125,0.6394,-2.4549,-2.737,-0.2535,4,3,2,2
26,2083,hlýða,Icelandic,VERB,423,yes,1.7244,0.2109,-1.125,0.5347,0.627,0.599,1.2782,1.294,0.8643,1,1,1,1
27,35,með,Icelandic,ADP,29,yes,-5.2515,-1.7218,0.2976,0.3307,0.547,0.6546,-4.6674,-2.6542,-0.4566,4,3,2,2
28,32,skapari,Icelandic,NOUN,328,yes,-5.8935,-5.5476,0.9348,0.312,0.3886,0.6794,-7.6698,-0.9243,-1.8462,5,4,3,2
29,38,annar,Icelandic,PRON,32,yes,-5.6895,2.2365,-0.8061,0.3179,0.7108,0.6115,-2.0032,-5.535,1.1276,4,3,2,2
30,39,veita,Icelandic,VERB,81,yes,-4.0109,2.8774,-2.3563,0.367,0.7374,0.551,-0.5762,-4.5046,2.6487,4,3,2,2
31,41,í,Icelandic,ADP,8,yes,-9.6547,0.2157,0.9745,0.202,0.6272,0.681,-5.8609,-7.3817,-0.4711,4,3,2,2
