,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,2,adalah,Indonesian,AUX,8,yes,-3.2394,-5.9835,-1.6272,0.5223,0.509,0.2889,-2.994,-5.662,2.6894,5,4,3,2
1,3,buah,Indonesian,NOUN,450,yes,-4.8839,-2.079,-4.1965,0.4603,0.6445,0.182,-5.1229,-1.4753,3.2828,2,1,1,1
2,4,desa,Indonesian,PROPN,213,yes,1.2971,-1.6714,-2.4295,0.6932,0.6586,0.2555,1.2562,-0.9425,2.5606,5,4,3,2
3,5,yang,Indonesian,PRON,1,yes,-2.2817,-12.675,-3.0693,0.5584,0.2768,0.2289,-1.8322,-11.4009,6.7236,3,2,2,2
4,6,letak,Indonesian,VERB,77,yes,-0.5101,-3.5808,-0.9018,0.6251,0.5924,0.319,-0.3268,-3.3033,1.5104,5,4,3,2
5,7,di,Indonesian,VERB,453,yes,-2.9209,-11.7831,-1.5222,0.5343,0.3077,0.2932,-2.3609,-10.9819,4.8432,3,2,2,2
6,8,camat,Indonesian,NOUN,61,yes,2.2039,-1.1242,-0.6989,0.7274,0.6776,0.3275,2.2938,-0.7252,1.1039,5,4,3,2
7,2052,semua,Indonesian,PRON,470,yes,-2.3538,1.862,-0.8059,0.5557,0.7813,0.323,-2.3452,1.8897,-0.1253,2,1,1,1
8,13,jawa,Indonesian,PROPN,51,yes,1.5887,-1.8478,2.6376,0.7042,0.6525,0.4662,1.983,-2.2023,-1.4358,5,4,3,2
9,14,tengah,Indonesian,NOUN,500,yes,-10.1878,0.3319,2.112,0.2604,0.7282,0.4444,-9.9166,-1.0977,-2.4438,2,1,1,1
10,15,indonesia,Indonesian,PROPN,16,yes,0.0393,-3.5934,0.5767,0.6458,0.5919,0.3805,0.3465,-3.5706,0.3897,5,4,3,2
