,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
1,5,il,Italian,DET,1,yes,10.2997,-15.9094,3.6739,0.8451,0.1689,0.8069,-3.5871,-17.4218,9.2484,4,3,3,2,the
11,21,di,Italian,ADP,2,yes,11.1576,-21.203,5.601,0.8802,0.0,0.9007,-2.4864,-22.3022,13.1923,4,3,3,2,from
2,9,a,Italian,ADP,3,yes,9.1712,-13.183,2.4949,0.799,0.2559,0.7495,-3.4825,-14.7166,6.6861,4,3,3,2,to
13,25,in,Italian,ADP,5,yes,8.2931,-5.8424,0.8019,0.7632,0.49,0.6671,-5.3178,-8.0698,3.5488,5,4,3,2,in
20,46,e,Italian,CCONJ,7,yes,8.0911,-12.2585,3.319,0.7549,0.2853,0.7896,-2.8617,-13.4039,6.748,4,3,3,2,And
0,4,da,Italian,ADP,9,yes,6.8841,-6.9675,1.1333,0.7056,0.4541,0.6832,-3.6457,-8.5576,3.6196,5,4,3,2,from
23,64,si,Italian,PRON,11,yes,3.7599,-1.9552,3.3864,0.578,0.614,0.7929,-2.487,-2.5788,3.1763,5,4,3,2,yes
122,274,non,Italian,ADV,12,yes,4.8265,-5.1712,3.244,0.6216,0.5114,0.786,-2.2749,-5.862,4.1541,5,4,3,2,Not
9,19,per,Italian,ADP,13,yes,6.4892,-6.2816,1.5795,0.6895,0.476,0.705,-3.442,-7.7198,3.4875,5,4,3,2,for
37,92,con,Italian,ADP,15,yes,7.5536,-2.0083,0.4031,0.733,0.6123,0.6477,-6.1188,-4.5074,1.5082,5,4,3,2,with
274,682,lo,Italian,PRON,16,yes,1.4912,-2.9439,3.1158,0.4854,0.5825,0.7797,-0.0575,-2.6946,2.845,5,4,3,2,the
128,284,su,Italian,ADP,17,yes,5.1058,-2.8981,-1.1152,0.633,0.584,0.5738,-3.4197,-4.5805,-0.0115,5,4,3,2,on
27,71,suo,Italian,DET,18,yes,6.9337,-0.5496,0.9851,0.7077,0.6589,0.676,-6.1183,-2.884,1.8266,5,4,3,2,his
136,303,ma,Italian,CCONJ,19,yes,3.4674,-3.1931,3.2903,0.5661,0.5745,0.7882,-1.6925,-3.5495,3.3165,5,4,3,2,but
18,41,fare,Italian,VERB,20,yes,6.5892,-14.1443,4.626,0.6936,0.2252,0.8532,-0.8358,-14.4554,8.7244,4,3,3,2,Do
105,225,più,Italian,ADV,21,yes,2.0698,-5.1525,-0.5011,0.509,0.512,0.6037,0.1198,-5.5012,0.413,5,4,3,2,more
134,299,anche,Italian,ADV,22,yes,5.4382,-3.1074,1.0633,0.6466,0.5773,0.6798,-3.61,-4.5823,1.5711,5,4,3,2,also
126,276,ci,Italian,PRON,23,yes,3.6753,0.6982,2.8694,0.5746,0.6987,0.7677,-3.4545,-0.2689,2.1721,5,4,3,2,there
26,69,anno,Italian,NOUN,24,yes,3.9438,-8.1366,-0.0855,0.5855,0.4168,0.6239,-0.5862,-8.7656,1.4604,5,4,3,2,year
123,275,essere,Italian,VERB,25,yes,5.2694,-8.6672,2.2308,0.6397,0.3999,0.7367,-1.479,-9.3632,4.7584,5,4,3,2,to be
6,17,essere,Italian,VERB,25,yes,8.139,-12.9953,3.7683,0.7569,0.2618,0.8115,-2.6351,-14.0417,7.3774,4,3,3,2,to be
21,57,avere,Italian,VERB,26,yes,5.3388,-9.3154,2.79,0.6425,0.3792,0.7639,-1.2997,-9.8732,5.5269,5,4,3,2,to have
4,15,avere,Italian,VERB,26,yes,4.872,-2.7252,2.8816,0.6234,0.5895,0.7683,-3.2436,-3.768,3.0395,5,4,3,2,to have
291,731,dire,Italian,VERB,27,yes,4.32,-9.7243,2.1406,0.6009,0.3662,0.7323,-0.2533,-9.9307,4.0742,5,4,3,2,to say
64,150,due,Italian,NUM,32,yes,1.1369,-3.1108,0.6327,0.4709,0.5772,0.6589,0.1818,-3.08,1.0297,5,4,3,2,two
285,716,mi,Italian,PRON,33,yes,2.5452,0.8346,3.0176,0.5284,0.703,0.775,-2.5068,0.2198,2.0374,5,4,3,2,me
304,793,o,Italian,CCONJ,34,yes,3.0066,-0.4151,0.2005,0.5473,0.6632,0.6378,-2.4843,-1.477,-0.1705,5,4,3,2,or
88,194,tra,Italian,ADP,37,yes,3.1988,-1.5965,-0.8431,0.5551,0.6255,0.5871,-2.2368,-2.7831,-0.6053,5,4,3,2,between
282,710,perché,Italian,SCONJ,38,yes,2.7674,-0.2027,3.0139,0.5375,0.6699,0.7748,-2.2239,-0.7191,2.2388,5,4,3,2,Why
48,118,andare,Italian,VERB,39,yes,4.1393,-5.9587,1.6952,0.5935,0.4863,0.7106,-1.3872,-6.559,3.0763,5,4,3,2,to go
41,98,poi,Italian,ADV,40,yes,2.9864,-0.5116,1.2125,0.5464,0.6601,0.6871,-2.3111,-1.3502,0.7418,5,4,3,2,then
145,330,primo,Italian,ADJ,41,yes,1.3403,-0.2807,0.92,0.4792,0.6675,0.6729,-1.1425,-0.5903,0.7233,5,4,3,2,first
169,382,sempre,Italian,ADV,42,yes,-1.2049,-1.696,0.6014,0.3752,0.6223,0.6574,1.9004,-0.9922,0.14,5,4,3,2,always
5,16,dovere,Italian,AUX,43,yes,2.6058,-0.987,1.3524,0.5309,0.6449,0.6939,-1.8212,-1.652,0.8889,5,4,3,2,must
91,202,tutto,Italian,PRON,45,yes,0.4389,-3.524,1.0763,0.4424,0.564,0.6805,0.9876,-3.164,1.218,5,4,3,2,everything
80,189,tutto,Italian,PRON,45,yes,6.0398,-0.224,-0.9882,0.6711,0.6693,0.58,-5.4253,-2.5982,-0.3361,5,4,3,2,everything
87,198,dove,Italian,ADV,46,yes,1.74,-0.2808,2.1989,0.4955,0.6675,0.7351,-1.2783,-0.5629,1.4248,5,4,3,2,where is it
