,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
1,3,は,Japanese,ADP,3,yes,-13.6491,10.0517,-12.727,0.0705,0.9803,0.0101,-2.4189,-18.1686,10.2381,4,3,3,2,teeth
11,17,を,Japanese,ADP,4,yes,-12.1936,5.8048,-8.8339,0.1276,0.7862,0.1901,-4.44,-13.5413,6.6511,4,3,3,2,of
31,44,た,Japanese,AUX,5,yes,-7.0107,3.1403,-5.1049,0.3308,0.6644,0.3625,-2.4441,-7.6372,4.5467,5,4,3,2,rice field
7,11,だ,Japanese,AUX,7,yes,-10.5853,6.7744,-8.3699,0.1906,0.8305,0.2115,-2.5311,-13.109,6.1421,4,3,3,2,is
25,38,て,Japanese,SCONJ,8,yes,-6.9101,5.482,-3.1242,0.3348,0.7714,0.454,-1.1121,-8.984,0.9164,5,4,3,2,hand
107,222,いる,Japanese,VERB,12,yes,-2.1391,0.4307,-1.3759,0.5219,0.5406,0.5348,-0.8466,-1.9281,1.193,3,2,2,2,there is
67,138,れる,Japanese,AUX,15,yes,-4.578,-2.221,0.0321,0.4262,0.4194,0.5999,-4.8222,-1.4785,0.1836,3,2,2,2,to be
84,169,ます,Japanese,AUX,16,yes,-4.0686,1.1238,-1.4942,0.4462,0.5722,0.5294,-1.9767,-3.6225,1.4325,3,2,2,2,increase
81,162,年,Japanese,NOUN,17,yes,-4.9074,4.5895,-2.046,0.4133,0.7306,0.5039,-0.3624,-6.7891,1.5609,5,4,3,2,Year
14,22,なる,Japanese,VERB,19,yes,-10.9397,8.8852,-9.6077,0.1767,0.927,0.1543,-1.3226,-15.13,7.0958,4,3,3,2,Become
12,19,こと,Japanese,NOUN,20,yes,-5.066,5.4869,-4.0657,0.4071,0.7717,0.4105,0.3525,-7.9035,3.4839,5,4,3,2,thing
15,23,が,Japanese,SCONJ,21,yes,-4.4959,0.4369,-2.5086,0.4295,0.5408,0.4825,-2.5144,-3.5496,2.3394,3,2,2,2,But
3,8,が,Japanese,SCONJ,21,yes,-10.7218,4.7886,-6.389,0.1853,0.7397,0.3031,-4.0551,-11.4433,5.5913,5,4,3,2,But
2,6,の,Japanese,SCONJ,22,yes,-15.4464,9.4799,-12.9461,0.0,0.9542,0.0,-4.1768,-19.111,10.3598,4,3,3,2,of
6,10,の,Japanese,SCONJ,22,yes,-3.8871,2.3934,-1.3315,0.4533,0.6303,0.5369,-0.9573,-4.3773,1.0868,5,4,3,2,of
166,379,月,Japanese,NOUN,23,yes,-4.2485,4.1676,-0.4948,0.4392,0.7114,0.5756,-0.2512,-5.7523,0.0877,5,4,3,2,Moon
23,36,する,Japanese,VERB,24,yes,-10.243,7.9028,-7.4605,0.2041,0.8821,0.2536,-1.571,-13.5335,5.2669,4,3,3,2,do
37,58,する,Japanese,VERB,24,yes,-3.6135,-1.9481,0.3865,0.4641,0.4318,0.6163,-3.9497,-1.0029,-0.0334,3,2,2,2,do
33,50,や,Japanese,ADP,25,yes,-6.8461,-2.8153,0.351,0.3373,0.3922,0.6147,-6.8741,-2.4717,-0.0685,3,2,2,2,or
197,470,日,Japanese,NOUN,26,yes,-5.8623,6.339,-1.1551,0.3759,0.8106,0.545,0.0445,-8.6288,0.2082,5,4,3,2,Day
16,24,その,Japanese,DET,28,yes,-6.5685,-2.7812,-1.1233,0.3482,0.3938,0.5465,-6.401,-2.4427,1.4558,3,2,2,2,That
51,92,1,Japanese,NUM,29,yes,-4.0376,2.0316,-0.7776,0.4474,0.6137,0.5625,-1.4517,-4.3022,0.2792,5,4,3,2,1
13,21,的,Japanese,PART,31,yes,-8.2522,-4.8818,2.8417,0.2821,0.2977,0.7298,-9.7599,-1.5441,-2.4309,3,2,2,2,target
41,65,2,Japanese,NUM,32,yes,-4.2478,-0.8737,-1.4111,0.4392,0.4809,0.5332,-3.5955,-2.3104,1.538,3,2,2,2,2
27,40,お,Japanese,NOUN,33,yes,-5.9116,-4.6778,0.8414,0.3739,0.3071,0.6373,-7.3428,-0.4381,-0.1657,3,2,2,2,oh
210,511,よる,Japanese,VERB,34,yes,9.367,-10.3941,-8.9102,0.9731,0.0458,0.1866,0.4812,12.4284,8.3356,1,1,1,1,evening
294,797,人,Japanese,NOUN,35,yes,-5.4229,5.67,-3.5378,0.3931,0.78,0.4349,0.1456,-8.1791,2.8307,5,4,3,2,Man
19,28,この,Japanese,DET,36,yes,-6.6648,-1.641,-0.7911,0.3444,0.4459,0.5619,-5.8192,-3.2442,0.9622,3,2,2,2,this
106,220,いう,Japanese,VERB,37,yes,-1.5667,2.687,-1.6501,0.5443,0.6437,0.5222,1.1529,-3.0812,1.2635,5,4,3,2,Say
39,60,3,Japanese,NUM,38,yes,-5.0786,-0.479,-0.693,0.4066,0.499,0.5664,-3.8,-3.1706,0.6043,3,2,2,2,3
247,632,られる,Japanese,AUX,39,yes,-6.5093,-5.029,-0.0811,0.3505,0.291,0.5947,-8.0072,-0.6423,0.9788,3,2,2,2,to be
49,91,まで,Japanese,ADP,41,yes,-2.8079,-1.1735,-1.2226,0.4957,0.4672,0.5419,-2.5763,-1.1015,1.3676,3,2,2,2,to
220,543,者,Japanese,NOUN,42,yes,-3.595,4.4779,-2.1943,0.4648,0.7255,0.497,0.6093,-5.866,1.6182,5,4,3,2,person
163,376,ぬ,Japanese,SCONJ,43,yes,-1.2541,2.5225,0.5575,0.5566,0.6362,0.6242,0.7677,-2.5077,-0.7465,5,4,3,2,Nu
75,151,後,Japanese,NOUN,46,yes,-1.42,2.1755,-1.0863,0.5501,0.6203,0.5482,0.5607,-2.5751,0.7697,5,4,3,2,rear
34,52,と,Japanese,SCONJ,47,yes,-11.6607,7.438,-9.582,0.1485,0.8608,0.1555,-2.6964,-14.439,7.1811,4,3,3,2,When
211,512,と,Japanese,SCONJ,47,yes,-0.2229,0.4268,-0.9998,0.597,0.5404,0.5522,0.3076,-0.5099,1.0746,5,4,3,2,When
42,70,これ,Japanese,PRON,48,yes,0.8532,2.448,-2.0375,0.6392,0.6328,0.5043,2.4993,-1.3267,1.8413,5,4,3,2,this
289,776,行う,Japanese,VERB,51,yes,-5.932,4.5061,-2.7496,0.3731,0.7268,0.4713,-0.9704,-7.4549,0.5461,5,4,3,2,conduct
105,217,日本,Japanese,PROPN,52,yes,-1.7828,2.8714,0.798,0.5359,0.6521,0.6353,0.4941,-3.0815,-0.9708,5,4,3,2,Japan
73,149,思う,Japanese,VERB,55,yes,-4.967,1.7433,-1.2269,0.411,0.6006,0.5417,-2.0025,-4.6978,0.9621,5,4,3,2,think
55,100,第,Japanese,NOUN,56,yes,-6.5557,-4.2931,-0.4709,0.3487,0.3247,0.5767,-7.5019,-1.223,1.1494,3,2,2,2,No.
162,375,おる,Japanese,VERB,57,yes,1.1809,-0.9863,2.6931,0.6521,0.4758,0.7229,0.0584,1.5677,-2.5507,3,2,2,2,is
330,965,5,Japanese,NUM,58,yes,-4.8904,-3.5579,-0.5572,0.414,0.3583,0.5727,-5.7512,-0.8187,0.8817,3,2,2,2,5
28,41,店,Japanese,NOUN,59,yes,-2.4621,4.2152,-0.9209,0.5092,0.7135,0.5559,1.1509,-4.8414,0.2613,5,4,3,2,shop
17,26,一,Japanese,NUM,60,yes,-3.1713,-2.1554,0.0087,0.4814,0.4224,0.5988,-3.5814,-0.6248,0.3255,3,2,2,2,one
80,161,か,Japanese,ADP,61,yes,-4.3782,-2.8269,-0.7793,0.4341,0.3917,0.5624,-4.7143,-0.9224,1.201,3,2,2,2,mosquito
77,155,か,Japanese,ADP,61,yes,-0.8904,-0.6451,-2.8336,0.5709,0.4914,0.4675,-0.3952,-0.3425,3.0152,3,2,2,2,mosquito
195,461,4,Japanese,NUM,62,yes,-2.3661,-0.4176,0.0706,0.513,0.5018,0.6017,-1.8006,-1.2828,-0.1425,3,2,2,2,4
147,315,へ,Japanese,ADP,63,yes,-6.4562,-4.5259,1.2128,0.3526,0.314,0.6545,-7.8883,-0.876,-0.7906,3,2,2,2,What
133,287,時,Japanese,NOUN,64,yes,-2.3062,3.4575,1.2279,0.5153,0.6789,0.6552,0.4756,-3.8768,-1.8726,5,4,3,2,Time
353,1052,円,Japanese,NOUN,65,yes,-2.5301,3.0409,-0.0725,0.5066,0.6599,0.5951,0.0645,-3.9038,-0.3836,5,4,3,2,Circle
250,637,つく,Japanese,VERB,66,yes,-1.0062,1.1543,-0.1484,0.5663,0.5736,0.5916,0.3087,-1.3737,0.2292,5,4,3,2,arrive
110,226,みる,Japanese,VERB,67,yes,-2.4775,2.3036,-1.3377,0.5086,0.6262,0.5366,0.1308,-3.3671,1.0302,5,4,3,2,View
24,37,せる,Japanese,AUX,68,yes,1.6358,-4.9906,-2.0333,0.6699,0.2928,0.5044,-2.0222,4.6041,3.2444,3,2,2,2,let
151,328,多い,Japanese,ADJ,69,yes,-4.0933,2.7867,-1.0301,0.4452,0.6482,0.5508,-0.6912,-4.8743,0.4657,5,4,3,2,many
238,605,ない,Japanese,AUX,70,yes,-1.0099,0.203,3.1565,0.5662,0.5302,0.7444,-0.6148,-0.3068,-2.1777,3,2,2,2,do not have
264,692,ない,Japanese,AUX,70,yes,-4.734,4.8656,-2.3329,0.4201,0.7433,0.4906,0.2225,-6.8374,1.7058,5,4,3,2,do not have
116,234,ない,Japanese,AUX,70,yes,-2.8266,0.276,-1.6789,0.4949,0.5335,0.5208,-1.6824,-2.1754,1.7604,3,2,2,2,do not have
243,616,10,Japanese,NUM,71,yes,-1.7399,-1.6904,-0.6582,0.5375,0.4436,0.568,-2.2476,-0.0416,0.8887,3,2,2,2,10
217,536,ら,Japanese,NOUN,72,yes,0.2048,3.0703,-1.8094,0.6138,0.6612,0.5148,2.4603,-2.1708,1.4421,5,4,3,2,and others
38,59,くる,Japanese,VERB,73,yes,-1.9702,-0.7097,-0.4366,0.5285,0.4884,0.5783,-1.7692,-0.8568,0.6849,3,2,2,2,come
21,32,行く,Japanese,VERB,74,yes,-3.8281,3.9088,-1.5229,0.4556,0.6995,0.528,0.208,-5.5177,0.8303,5,4,3,2,go
46,81,駅,Japanese,NOUN,75,yes,-0.2644,4.3876,1.3434,0.5954,0.7214,0.6605,2.5627,-3.2848,-1.9917,5,4,3,2,station
224,557,中,Japanese,NOUN,76,yes,-1.6786,2.8667,-1.1973,0.5399,0.6519,0.5431,0.856,-3.2941,0.9192,5,4,3,2,During ~
489,1965,市,Japanese,NOUN,77,yes,-2.0038,1.077,0.6904,0.5272,0.5701,0.6304,-1.0048,-1.9351,-0.6326,5,4,3,2,city
196,468,6,Japanese,NUM,78,yes,-1.0795,1.423,1.5972,0.5634,0.5859,0.6723,0.0424,-1.469,-1.6216,5,4,3,2,6
93,192,対する,Japanese,VERB,79,yes,9.367,-10.3941,-8.9102,0.9731,0.0458,0.1866,0.4812,12.4284,8.3356,1,1,1,1,Against
