,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,3,잘,Korean,ADV,25,yes,-2.5631,-0.5511,2.5604,0.3936,0.5946,0.5097,1.6585,-1.8025,2.543,2,2,1,1
1,5,하+면,Korean,SCONJ,71,yes,-4.6682,2.5973,2.6401,0.292,0.7375,0.5139,2.3953,-5.4742,1.7706,1,1,1,1
2,6,어느,Korean,DET,92,yes,-0.745,0.0957,-2.1573,0.4814,0.6239,0.2584,1.2589,0.4295,-1.5657,2,2,1,1
3,9,수,Korean,NOUN,1,yes,-6.8387,2.2244,6.0015,0.1872,0.7206,0.693,3.023,-7.1191,5.1848,1,1,1,1
4,10,있+다,Korean,AUX,22,yes,-7.4426,4.3636,8.5133,0.158,0.8177,0.8268,2.5044,-10.1175,6.4569,1,1,1,1
5,4107,어리+ㄴ,Korean,ADJ,375,yes,3.9365,-7.5696,2.2913,0.7074,0.2759,0.4954,-0.9102,6.6092,4.0378,4,3,2,2
6,12,사람+이,Korean,NOUN,21,yes,-5.9118,3.3491,5.7942,0.2319,0.7717,0.6819,2.1631,-7.5069,4.2711,1,1,1,1
7,13,스스로,Korean,ADV,158,yes,2.7506,-10.1131,2.4704,0.6501,0.1604,0.5049,1.0717,7.7979,5.2481,4,3,2,2
8,8206,만나+ㄴ,Korean,VERB,359,yes,1.6099,5.0075,-2.2358,0.5951,0.847,0.2542,-2.3868,-2.4673,-4.5367,5,4,3,2
9,19,여기+에,Korean,ADV,307,yes,-1.7974,-3.6611,-2.6538,0.4306,0.4533,0.2319,4.7433,3.6039,0.3293,5,4,3,2
10,25,더,Korean,ADV,36,yes,-0.3014,3.3585,2.1036,0.5028,0.7721,0.4854,-1.6492,-3.5615,0.1975,3,2,1,1
11,2073,나오+ㄴ,Korean,VERB,483,yes,-2.3105,-0.5341,-4.013,0.4058,0.5953,0.1595,3.2477,0.8557,-2.6061,2,2,1,1
12,29,않+는다,Korean,AUX,80,yes,5.4014,-4.5061,2.2453,0.7781,0.415,0.4929,-3.5002,5.2341,3.1445,5,4,3,2
13,4131,때문+이+ㅂ니다,Korean,VERB,198,yes,7.4386,-0.2725,1.5424,0.8765,0.6072,0.4555,-6.5768,3.2719,0.4596,5,4,3,2
14,37,않+는,Korean,AUX,126,yes,5.4014,-4.5061,2.2453,0.7781,0.415,0.4929,-3.5002,5.2341,3.1445,5,4,3,2
15,38,것+과,Korean,CCONJ,190,yes,-4.2338,-0.254,0.7776,0.3129,0.608,0.4147,3.4672,-2.0899,1.2901,2,2,1,1
16,2087,물+이,Korean,NOUN,352,yes,0.5824,-7.1145,1.2636,0.5455,0.2965,0.4406,1.7462,5.1786,3.7654,3,2,1,1
17,39,같+다,Korean,ADJ,116,yes,-2.7492,-1.0611,1.5787,0.3846,0.5714,0.4574,2.0055,-0.8065,2.3703,2,2,1,1
18,47,있+어서,Korean,SCONJ,111,yes,1.2727,1.7757,0.4625,0.5788,0.7002,0.3979,-2.0195,-0.9294,-0.5714,3,2,1,1
19,53,마련+이+다,Korean,VERB,416,yes,0.1731,-1.2009,1.1238,0.5257,0.565,0.4332,-0.039,0.8093,1.7696,2,2,1,1
20,6197,어머니+는,Korean,NOUN,397,yes,5.8238,6.1228,-2.2191,0.7985,0.8976,0.2551,-5.9561,-1.2249,-5.224,5,4,3,2
21,8252,역사+적,Korean,NOUN,162,yes,7.2407,4.9956,-0.5015,0.8669,0.8464,0.3466,-7.5292,-0.141,-3.2628,5,4,3,2
22,64,그런,Korean,DET,102,yes,2.4363,0.8615,0.7829,0.635,0.6587,0.415,-2.6625,0.1477,-0.0646,3,2,1,1
23,67,하+ㄴ다,Korean,VERB,23,yes,2.01,-0.7464,0.3373,0.6144,0.5857,0.3913,-1.7856,1.6902,0.4102,3,2,1,1
24,69,되+면,Korean,SCONJ,244,yes,-2.0051,0.0843,-3.6173,0.4205,0.6234,0.1806,2.7663,0.1784,-2.9221,2,2,1,1
25,70,이러하+ㄴ,Korean,VERB,19,yes,-1.0723,2.5017,-0.2546,0.4656,0.7332,0.3597,0.0887,-2.3895,-0.908,3,2,1,1
26,74,하+ㄹ,Korean,AUX,64,yes,2.5973,-0.3216,0.2818,0.6427,0.605,0.3883,-2.3686,1.3429,0.0131,3,2,1,1
27,75,것+이,Korean,NOUN,5,yes,-7.7571,3.8278,9.1352,0.1428,0.7934,0.8599,2.5106,-9.9193,7.2903,1,1,1,1
28,77,하지만,Korean,CCONJ,186,yes,-4.2824,-8.2646,-0.1214,0.3106,0.2443,0.3668,7.4384,4.4626,3.7516,2,2,1,1
29,80,보+면,Korean,SCONJ,76,yes,-3.8673,1.2219,-0.1088,0.3306,0.6751,0.3675,2.9109,-2.8634,-0.3513,2,2,1,1
30,81,꼭,Korean,ADV,152,yes,2.7893,0.904,0.8087,0.652,0.6606,0.4164,-2.9213,0.2764,-0.1541,3,2,1,1
31,83,않+다,Korean,AUX,171,yes,6.8027,-1.3153,1.9007,0.8458,0.5599,0.4745,-5.9339,3.6285,1.2489,5,4,3,2
32,86,그,Korean,PRON,424,yes,-6.0335,8.3678,8.7815,0.2261,0.9995,0.8411,-0.1634,-12.4426,4.8086,1,1,1,1
33,90,당시+의,Korean,NOUN,344,yes,-2.1877,-0.9835,-6.5338,0.4117,0.5749,0.0252,4.4215,1.707,-4.6871,2,2,1,1
34,4187,게,Korean,NOUN,436,yes,0.4217,-1.0893,0.2433,0.5377,0.5701,0.3863,-0.3687,1.1009,0.6032,3,2,1,1
35,98,이,Korean,PRON,248,yes,-1.2485,3.8819,1.9624,0.4571,0.7958,0.4778,-0.7574,-4.3963,-0.0685,3,2,1,1
36,100,또,Korean,CCONJ,263,yes,-4.2244,3.0212,-2.1784,0.3134,0.7568,0.2573,3.9551,-4.0213,-2.614,3,2,1,1
