,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
5,6,sum,Latin,AUX,1,yes,-18.9778,13.9292,-8.2611,0.0,1.0,0.0,-2.7608,-25.5055,12.2705,2,2,2,2,I am
23,28,non,Latin,PART,2,yes,-9.2828,5.0553,-2.6234,0.2537,0.6783,0.2433,-2.2359,-10.0781,3.6724,2,2,2,2,no
18,23,in,Latin,ADP,4,yes,-8.2348,3.69,-0.9396,0.2811,0.6288,0.316,-2.4003,-8.5289,1.4672,2,2,2,2,in
91,106,quod,Latin,SCONJ,6,yes,-7.4587,2.8876,-1.8957,0.3014,0.5997,0.2747,-2.5249,-7.0783,2.2763,2,2,2,2,that
9,11,autem,Latin,CCONJ,7,yes,-7.3045,2.8589,-2.7447,0.3055,0.5987,0.2381,-2.4072,-6.9862,3.1614,2,2,2,2,However
21,26,per,Latin,ADP,8,yes,-3.4307,0.7068,-0.959,0.4068,0.5207,0.3151,-1.3728,-2.8764,0.7481,3,3,3,2,through
11,13,ex,Latin,ADP,9,yes,-3.8075,1.7463,0.9896,0.397,0.5583,0.3992,-0.9929,-3.976,-1.1337,3,3,3,2,from
82,95,igitur,Latin,ADV,10,yes,-4.6304,1.356,-2.0457,0.3754,0.5442,0.2682,-1.7257,-4.0078,1.9406,2,2,2,2,therefore
65,72,hic,Latin,DET,14,yes,-8.5044,4.2121,-3.5006,0.2741,0.6477,0.2055,-2.1707,-9.0654,4.336,2,2,2,2,this
33,39,possum,Latin,VERB,15,yes,-11.4849,6.9296,-4.5905,0.1961,0.7462,0.1584,-2.3558,-13.3617,6.5295,2,2,2,2,I can
158,203,res,Latin,NOUN,16,yes,-6.3878,2.8253,-2.7503,0.3294,0.5975,0.2378,-1.7503,-6.4115,3.004,2,2,2,2,things
104,124,ab,Latin,ADP,17,yes,-5.3484,0.3674,-0.4087,0.3566,0.5084,0.3389,-2.7844,-3.9714,0.3192,3,3,3,2,from
81,93,omnis,Latin,DET,18,yes,-6.3044,3.016,-1.9934,0.3316,0.6044,0.2705,-1.5882,-6.4779,2.2588,2,2,2,2,everyone
31,37,enim,Latin,ADV,19,yes,-6.1353,1.6535,-1.6064,0.336,0.555,0.2872,-2.5392,-5.3196,1.7147,2,2,2,2,for
24,29,facio,Latin,VERB,21,yes,-8.8804,5.1251,-2.719,0.2642,0.6808,0.2392,-1.8165,-9.9882,3.7244,2,2,2,2,I do
19,24,ipse,Latin,DET,22,yes,-5.8145,3.0411,-2.4639,0.3444,0.6053,0.2502,-1.2088,-6.157,2.7005,2,2,2,2,himself
