,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,augsts,Latvian,ADJ,426,yes,-1.9927,-3.5969,2.0077,0.4082,0.1059,0.6495,3,2,2,2
1,4101,vēstule,Latvian,NOUN,121,yes,-1.233,1.4956,-0.3531,0.438,0.2819,0.52,5,4,3,2
2,6,viņa,Latvian,PRON,7,yes,-1.2461,10.5312,-0.6079,0.4375,0.5941,0.506,5,4,3,2
3,9,kā,Latvian,PART,384,yes,-0.8634,-3.9826,2.6481,0.4524,0.0926,0.6847,3,2,2,2
4,2057,suns,Latvian,NOUN,334,yes,4.1976,-0.1842,0.2405,0.6506,0.2238,0.5526,1,1,1,1
5,10,vīrs,Latvian,NOUN,174,yes,-1.5294,0.273,-0.3644,0.4264,0.2396,0.5194,3,2,2,2
6,12,būt,Latvian,VERB,11,yes,0.1175,17.7031,1.3719,0.4908,0.8419,0.6147,4,3,3,2
7,2060,prieks,Latvian,NOUN,489,yes,-4.6221,-4.446,1.5605,0.3053,0.0766,0.625,3,2,2,2
8,14,pār,Latvian,ADP,272,yes,7.9356,-0.9068,-0.2918,0.7969,0.1989,0.5234,1,1,1,1
9,16,un,Latvian,CCONJ,1,yes,0.9201,19.2881,2.7213,0.5223,0.8967,0.6887,4,3,3,2
10,20,vārds,Latvian,NOUN,91,yes,-1.782,3.3399,2.0866,0.4165,0.3456,0.6539,5,4,3,2
11,4117,sofija,Latvian,PROPN,30,yes,-2.4758,3.9557,-0.8863,0.3893,0.3669,0.4908,5,4,3,2
12,22,lietus,Latvian,NOUN,481,yes,-2.5008,-4.09,2.6992,0.3883,0.0889,0.6875,3,2,2,2
13,25,debess,Latvian,NOUN,425,yes,7.8426,0.2478,1.7463,0.7933,0.2388,0.6352,1,1,1,1
14,2074,vaigs,Latvian,NOUN,497,yes,-0.0396,-3.8674,0.7315,0.4847,0.0966,0.5795,3,2,2,2
15,26,roka,Latvian,NOUN,39,yes,0.2376,3.5871,1.5514,0.4955,0.3541,0.6245,5,4,3,2
16,28,radīt,Latvian,VERB,201,yes,-3.2811,0.8733,0.3558,0.3578,0.2604,0.5589,5,4,3,2
17,6176,pašvaldība,Latvian,NOUN,468,yes,-0.7217,-4.2372,1.3419,0.458,0.0838,0.613,3,2,2,2
18,2081,gulta,Latvian,NOUN,280,yes,2.3963,1.4232,1.5037,0.58,0.2794,0.6219,1,1,1,1
19,34,liels,Latvian,ADJ,38,yes,0.1209,2.5055,1.6796,0.491,0.3168,0.6315,5,4,3,2
20,35,acs,Latvian,NOUN,86,yes,-0.2657,0.896,2.5411,0.4758,0.2612,0.6788,5,4,3,2
21,37,ar,Latvian,ADP,8,yes,2.4634,4.878,1.5978,0.5827,0.3988,0.627,5,4,3,2
22,39,uz,Latvian,ADP,9,yes,4.1212,8.2185,4.3308,0.6476,0.5142,0.777,5,4,3,2
23,48,savs,Latvian,DET,66,yes,5.4058,0.7694,-1.4445,0.6979,0.2568,0.4601,1,1,1,1
24,49,garš,Latvian,ADJ,211,yes,-0.1751,-0.6684,2.85,0.4794,0.2071,0.6958,3,2,2,2
25,2099,sekot,Latvian,VERB,376,yes,-3.1921,-0.6975,-1.5876,0.3613,0.2061,0.4523,3,2,2,2
26,2103,istaba,Latvian,NOUN,138,yes,4.3179,0.1655,-0.9372,0.6553,0.2359,0.488,1,1,1,1
27,55,braukt,Latvian,VERB,241,yes,-2.794,2.334,1.1529,0.3769,0.3108,0.6026,5,4,3,2
28,57,no,Latvian,ADP,12,yes,3.3675,4.3719,1.4077,0.6181,0.3813,0.6166,5,4,3,2
29,4154,aploksne,Latvian,NOUN,257,yes,0.7757,0.7716,0.0463,0.5166,0.2569,0.5419,5,4,3,2
30,59,kurš,Latvian,DET,231,yes,-0.3415,2.8398,-0.5682,0.4729,0.3283,0.5082,5,4,3,2
31,2108,kāpnes,Latvian,NOUN,407,yes,5.8614,-1.6691,-4.249,0.7157,0.1725,0.3063,1,1,1,1
32,2113,glāze,Latvian,NOUN,461,yes,1.4755,-2.9692,3.3703,0.544,0.1276,0.7243,3,2,2,2
33,2115,nolikt,Latvian,VERB,279,yes,-2.7948,-0.566,-1.1132,0.3768,0.2106,0.4783,5,4,3,2
34,68,bet,Latvian,CCONJ,14,yes,-0.4225,6.4014,-1.1772,0.4697,0.4514,0.4748,5,4,3,2
35,6214,birojs,Latvian,NOUN,294,yes,10.1625,-1.8974,-3.0933,0.8841,0.1646,0.3697,1,1,1,1
36,75,zeme,Latvian,NOUN,123,yes,-1.5427,-1.486,3.3239,0.4258,0.1789,0.7218,3,2,2,2
37,76,tur,Latvian,ADV,78,yes,-1.5579,1.4222,-3.1907,0.4252,0.2793,0.3643,5,4,3,2
38,77,kur,Latvian,ADV,62,yes,-1.684,0.7051,-1.3098,0.4203,0.2546,0.4675,5,4,3,2
39,78,visa,Latvian,DET,111,yes,7.6082,-0.0507,0.2555,0.7841,0.2284,0.5534,1,1,1,1
40,79,dzīvs,Latvian,ADJ,313,yes,-4.4722,-2.0372,-3.3987,0.3112,0.1598,0.3529,2,2,2,2
41,2127,melns,Latvian,ADJ,244,yes,-2.803,-4.9087,6.0207,0.3765,0.0606,0.8697,3,2,2,2
42,2130,zāle,Latvian,NOUN,429,yes,-0.1066,-4.5206,4.5033,0.4821,0.074,0.7865,3,2,2,2
43,83,priekša,Latvian,NOUN,347,yes,4.5348,-0.8041,-0.8706,0.6638,0.2024,0.4916,1,1,1,1
44,84,pēc,Latvian,ADP,25,yes,0.8097,0.4395,1.7484,0.5179,0.2454,0.6353,5,4,3,2
45,91,pret,Latvian,ADP,150,yes,3.0618,-1.3592,1.3232,0.6061,0.1832,0.612,5,4,3,2
46,4188,pirms,Latvian,ADV,492,yes,-5.0908,-5.3863,2.5071,0.2869,0.0441,0.6769,3,2,2,2
47,94,stāstīt,Latvian,VERB,394,yes,-4.942,-0.7441,-0.871,0.2928,0.2045,0.4916,5,4,3,2
48,95,par,Latvian,ADP,13,yes,2.6231,4.4618,0.8633,0.5889,0.3844,0.5868,5,4,3,2
49,2142,atkal,Latvian,ADV,130,yes,-5.6124,-1.9325,-1.1602,0.2665,0.1634,0.4757,2,2,2,2
50,98,dēls,Latvian,NOUN,305,yes,-1.5681,-1.3596,-0.1673,0.4248,0.1832,0.5302,5,4,3,2
51,102,vest,Latvian,VERB,416,yes,0.7486,-0.0799,2.5267,0.5155,0.2274,0.678,3,2,2,2
52,104,pilsēta,Latvian,NOUN,333,yes,-1.8711,-1.2784,1.9921,0.413,0.186,0.6487,3,2,2,2
53,2154,tikpat,Latvian,ADV,314,yes,8.4094,-1.7651,0.8906,0.8154,0.1692,0.5882,1,1,1,1
54,107,doties,Latvian,VERB,155,yes,-1.0794,2.6408,1.6436,0.444,0.3214,0.6296,5,4,3,2
55,2158,vaļā,Latvian,ADV,412,yes,-9.6061,-4.5694,-4.0086,0.1102,0.0723,0.3194,2,2,2,2
56,110,lai,Latvian,PART,409,yes,-0.7333,3.221,-2.5927,0.4575,0.3415,0.3971,5,4,3,2
57,113,jautājums,Latvian,NOUN,83,yes,-2.7792,2.1988,2.3671,0.3774,0.3062,0.6693,5,4,3,2
58,114,kas,Latvian,DET,249,yes,-1.0678,9.8317,-0.4478,0.4444,0.5699,0.5148,5,4,3,2
59,115,tas,Latvian,DET,55,yes,-0.5423,14.7594,1.3885,0.465,0.7402,0.6156,4,3,3,2
60,2163,tālu,Latvian,ADV,408,yes,-4.5416,-1.4754,0.3753,0.3084,0.1792,0.56,3,2,2,2
61,2165,cerēt,Latvian,VERB,419,yes,-4.6948,-0.4542,0.5371,0.3024,0.2145,0.5689,5,4,3,2
62,118,krist,Latvian,VERB,357,yes,-3.8021,-1.1293,2.4923,0.3374,0.1912,0.6761,3,2,2,2
63,121,uzskatīt,Latvian,VERB,390,yes,1.3076,1.2035,0.4316,0.5374,0.2718,0.5631,5,4,3,2
64,126,zināt,Latvian,VERB,50,yes,-2.0338,6.3546,-0.4985,0.4066,0.4498,0.512,5,4,3,2
65,127,ka,Latvian,SCONJ,10,yes,0.1412,8.0938,-1.8908,0.4918,0.5099,0.4356,5,4,3,2
66,129,nāve,Latvian,NOUN,245,yes,-2.5203,-1.7737,1.9631,0.3876,0.1689,0.6471,3,2,2,2
67,131,otrs,Latvian,NUM,132,yes,4.5019,0.1627,-2.3851,0.6625,0.2358,0.4085,1,1,1,1
68,138,beigas,Latvian,NOUN,479,yes,5.8864,-0.1138,-3.3517,0.7167,0.2263,0.3555,1,1,1,1
69,139,izdarīt,Latvian,VERB,329,yes,-5.3013,-0.2518,-0.176,0.2787,0.2215,0.5297,5,4,3,2
70,2189,turēt,Latvian,VERB,374,yes,-3.1866,0.6178,-0.2108,0.3615,0.2515,0.5278,5,4,3,2
71,147,dot,Latvian,VERB,218,yes,-0.7364,2.1707,1.3796,0.4574,0.3052,0.6151,5,4,3,2
72,4244,minēt,Latvian,VERB,149,yes,3.5351,0.009,1.0611,0.6246,0.2305,0.5976,5,4,3,2
73,149,draugs,Latvian,NOUN,478,yes,-7.9646,-4.0585,-0.9392,0.1744,0.09,0.4879,2,2,2,2
74,150,daudz,Latvian,ADV,69,yes,-3.42,1.9005,-0.1975,0.3523,0.2959,0.5285,5,4,3,2
75,2200,dārzs,Latvian,NOUN,153,yes,0.2223,-0.957,3.6436,0.4949,0.1971,0.7393,3,2,2,2
76,153,māte,Latvian,NOUN,136,yes,-2.3454,-0.2953,0.1943,0.3944,0.22,0.55,3,2,2,2
77,152,bērns,Latvian,NOUN,37,yes,-0.9579,5.2352,0.4395,0.4487,0.4111,0.5635,5,4,3,2
78,158,cilvēks,Latvian,NOUN,33,yes,-2.3408,5.5893,0.3406,0.3946,0.4233,0.5581,5,4,3,2
79,159,domāt,Latvian,VERB,73,yes,-3.5817,5.2242,-1.2912,0.346,0.4107,0.4685,5,4,3,2
80,160,mēs,Latvian,PRON,18,yes,-0.8363,5.0479,-0.973,0.4535,0.4046,0.486,5,4,3,2
81,161,ļoti,Latvian,ADV,100,yes,5.5114,0.3023,-0.1495,0.702,0.2406,0.5312,1,1,1,1
82,2211,telpa,Latvian,NOUN,271,yes,4.3021,1.7483,0.4407,0.6547,0.2906,0.5636,1,1,1,1
83,169,pirms,Latvian,ADV,492,yes,-1.4105,-4.251,1.7543,0.431,0.0833,0.6356,3,2,2,2
84,172,gads,Latvian,NOUN,53,yes,2.0467,3.1408,1.1393,0.5664,0.3387,0.6019,5,4,3,2
85,2225,sapnis,Latvian,NOUN,289,yes,5.4455,1.0729,-2.4688,0.6994,0.2673,0.4039,1,1,1,1
86,178,pasaule,Latvian,NOUN,51,yes,-0.9551,3.3627,0.2263,0.4488,0.3464,0.5518,5,4,3,2
87,179,pirmais,Latvian,ADJ,131,yes,1.3487,0.6751,-1.6068,0.539,0.2535,0.4512,5,4,3,2
88,180,tēja,Latvian,NOUN,350,yes,8.7055,-1.2568,1.3997,0.827,0.1868,0.6162,1,1,1,1
89,182,kāds,Latvian,PRON,112,yes,5.6124,0.6895,-2.0203,0.706,0.254,0.4285,1,1,1,1
90,184,brīdis,Latvian,NOUN,163,yes,4.7182,0.0736,-0.352,0.6709,0.2327,0.5201,1,1,1,1
91,185,kad,Latvian,ADV,32,yes,-0.7552,2.5214,-1.8325,0.4567,0.3173,0.4388,5,4,3,2
92,186,sēdēt,Latvian,VERB,179,yes,1.4964,3.9371,-0.405,0.5448,0.3662,0.5172,5,4,3,2
93,187,zem,Latvian,ADP,263,yes,2.8066,-3.1332,-1.0674,0.5961,0.1219,0.4808,1,1,1,1
94,189,dzert,Latvian,VERB,400,yes,-3.1842,-1.4492,4.1912,0.3616,0.1801,0.7693,3,2,2,2
95,191,ūdens,Latvian,NOUN,80,yes,-2.5707,-0.1019,1.1822,0.3856,0.2267,0.6042,3,2,2,2
96,193,vējš,Latvian,NOUN,304,yes,-2.0702,-6.6622,8.3953,0.4052,0.0,1.0,3,2,2,2
97,2242,pelēks,Latvian,ADJ,484,yes,-11.9797,-5.4788,-0.1617,0.0172,0.0409,0.5305,2,2,2,2
98,197,koks,Latvian,NOUN,233,yes,8.0751,-0.493,0.2715,0.8024,0.2132,0.5543,1,1,1,1
99,201,krāsa,Latvian,NOUN,356,yes,6.0051,-1.8199,-1.3325,0.7213,0.1673,0.4663,1,1,1,1
100,202,gaiss,Latvian,NOUN,229,yes,6.3439,0.3339,-2.3496,0.7346,0.2417,0.4105,1,1,1,1
101,204,līdz,Latvian,ADP,81,yes,3.3212,-1.35,-0.2457,0.6163,0.1836,0.5259,5,4,3,2
102,205,vēl,Latvian,ADV,42,yes,-0.5419,2.225,1.052,0.465,0.3071,0.5971,5,4,3,2
103,2254,skriet,Latvian,VERB,343,yes,2.5613,-0.3667,3.7854,0.5865,0.2175,0.7471,5,4,3,2
104,2259,gar,Latvian,ADP,336,yes,11.3371,-1.9011,2.3955,0.9301,0.1645,0.6708,1,1,1,1
105,212,šis,Latvian,DET,47,yes,6.7352,0.6815,-0.0906,0.7499,0.2538,0.5344,1,1,1,1
106,215,patikt,Latvian,VERB,364,yes,-1.7363,0.2463,-0.4376,0.4183,0.2387,0.5154,3,2,2,2
107,2264,saule,Latvian,NOUN,470,yes,-8.189,-5.9792,0.1304,0.1656,0.0236,0.5465,2,2,2,2
108,217,ne,Latvian,CCONJ,115,yes,1.7562,-1.1157,0.8528,0.555,0.1917,0.5862,5,4,3,2
109,218,tikai,Latvian,PART,29,yes,0.4931,1.4141,-0.2404,0.5055,0.2791,0.5262,5,4,3,2
110,219,labi,Latvian,ADV,114,yes,-3.1398,1.4333,0.21,0.3633,0.2797,0.5509,5,4,3,2
111,221,arī,Latvian,CCONJ,90,yes,5.8687,-1.2666,-0.3165,0.716,0.1864,0.522,1,1,1,1
112,2274,seja,Latvian,NOUN,199,yes,-2.2094,-0.8361,1.3389,0.3997,0.2013,0.6128,3,2,2,2
113,227,laiks,Latvian,NOUN,31,yes,0.3497,4.5006,0.9825,0.4999,0.3857,0.5933,5,4,3,2
114,2276,tukšs,Latvian,ADJ,441,yes,-0.5196,-1.49,2.9236,0.4659,0.1787,0.6998,3,2,2,2
115,226,tas,Latvian,DET,55,yes,3.4411,2.2009,0.602,0.6209,0.3062,0.5724,5,4,3,2
116,230,kā,Latvian,PART,384,yes,3.1037,3.0465,1.2483,0.6077,0.3355,0.6079,5,4,3,2
117,2282,gaisma,Latvian,NOUN,175,yes,6.0309,0.203,2.1767,0.7223,0.2372,0.6588,1,1,1,1
118,235,līdzeklis,Latvian,NOUN,469,yes,0.359,-0.5014,-1.7545,0.5003,0.2129,0.4431,5,4,3,2
119,4330,trusis,Latvian,NOUN,404,yes,3.7601,0.1085,-1.7189,0.6334,0.2339,0.4451,1,1,1,1
120,237,tikt,Latvian,VERB,319,yes,1.2157,0.6978,-1.9512,0.5338,0.2543,0.4323,5,4,3,2
121,241,paredzēt,Latvian,VERB,306,yes,-0.7176,-0.0645,1.9043,0.4581,0.228,0.6439,3,2,2,2
122,243,tādēļ,Latvian,ADV,370,yes,-4.2532,-2.314,0.2009,0.3197,0.1502,0.5504,3,2,2,2
123,246,ārā,Latvian,ADV,267,yes,-2.0253,-3.1223,0.0752,0.4069,0.1223,0.5435,3,2,2,2
124,252,labs,Latvian,ADJ,147,yes,2.0032,0.2393,1.1579,0.5647,0.2385,0.6029,5,4,3,2
125,253,taču,Latvian,PART,322,yes,-2.8546,0.5906,-3.488,0.3745,0.2506,0.348,5,4,3,2
126,254,dažāds,Latvian,ADJ,238,yes,-3.4716,-3.6473,3.7584,0.3503,0.1042,0.7456,3,2,2,2
127,255,veids,Latvian,NOUN,205,yes,3.3163,2.0378,3.1507,0.6161,0.3006,0.7122,5,4,3,2
128,257,mēgt,Latvian,VERB,482,yes,-4.2331,0.4668,-3.163,0.3205,0.2463,0.3658,5,4,3,2
129,262,vai,Latvian,SCONJ,61,yes,-1.0849,2.5485,0.7908,0.4438,0.3183,0.5828,5,4,3,2
130,263,pēdējais,Latvian,ADJ,210,yes,-0.1772,-0.9664,-0.6392,0.4793,0.1968,0.5043,3,2,2,2
131,2312,atstāt,Latvian,VERB,471,yes,-4.0185,-0.5147,-0.1964,0.3289,0.2124,0.5286,5,4,3,2
132,267,viens,Latvian,NUM,26,yes,-0.8251,5.899,0.4329,0.4539,0.434,0.5631,5,4,3,2
133,271,izmantot,Latvian,VERB,192,yes,1.2202,1.0163,0.1148,0.534,0.2653,0.5457,5,4,3,2
134,275,katra,Latvian,DET,216,yes,8.787,-1.4564,-0.7576,0.8302,0.1799,0.4978,1,1,1,1
135,276,trīs,Latvian,NUM,183,yes,4.2896,-0.5094,-0.5406,0.6542,0.2126,0.5097,1,1,1,1
136,2325,stikls,Latvian,NOUN,383,yes,7.6081,-0.7355,0.2788,0.7841,0.2048,0.5547,1,1,1,1
137,278,zaļš,Latvian,ADJ,446,yes,-0.7218,-3.0987,4.4882,0.458,0.1231,0.7856,3,2,2,2
138,279,sarkans,Latvian,ADJ,391,yes,-0.4473,-4.126,3.8438,0.4687,0.0876,0.7503,3,2,2,2
139,2332,iegūt,Latvian,VERB,472,yes,-2.6193,-0.3857,1.3966,0.3837,0.2169,0.616,3,2,2,2
140,284,informācija,Latvian,NOUN,185,yes,0.2603,-1.5694,2.483,0.4964,0.176,0.6756,3,2,2,2
141,286,kura,Latvian,DET,312,yes,8.4733,-1.3082,-0.6591,0.8179,0.185,0.5032,1,1,1,1
142,2337,pārvalde,Latvian,NOUN,432,yes,-3.476,-4.2409,-0.7442,0.3502,0.0837,0.4986,3,2,2,2
143,291,ja,Latvian,SCONJ,23,yes,-0.5879,2.7432,-2.4351,0.4632,0.325,0.4058,5,4,3,2
144,293,tad,Latvian,PART,486,yes,-2.0747,3.1813,-2.6823,0.405,0.3401,0.3922,5,4,3,2
145,294,tik,Latvian,ADV,57,yes,3.2903,2.7345,4.7246,0.615,0.3247,0.7986,5,4,3,2
146,295,smalks,Latvian,ADJ,443,yes,9.8943,-5.4981,-8.1679,0.8736,0.0402,0.0912,1,1,1,1
147,301,vieta,Latvian,NOUN,87,yes,-1.7377,0.6851,0.7216,0.4182,0.2539,0.579,3,2,2,2
148,307,varēt,Latvian,VERB,15,yes,-0.5089,16.2816,1.5395,0.4663,0.7928,0.6238,4,3,3,2
149,309,protams,Latvian,PART,328,yes,-12.4202,-6.325,-4.873,0.0,0.0117,0.272,2,2,2,2
150,4407,nodarbināt,Latvian,VERB,476,yes,-2.2353,0.0746,0.8162,0.3987,0.2328,0.5842,3,2,2,2
151,312,kurš,Latvian,DET,231,yes,6.9739,-2.4153,-0.1171,0.7592,0.1467,0.533,1,1,1,1
152,313,palīdzība,Latvian,NOUN,372,yes,2.8013,-1.9642,3.4301,0.5959,0.1623,0.7276,3,2,2,2
153,314,šī,Latvian,DET,35,yes,6.7339,1.8135,-1.3764,0.7499,0.2929,0.4639,1,1,1,1
154,315,tāda,Latvian,DET,358,yes,-3.5193,0.328,-3.5116,0.3485,0.2415,0.3467,5,4,3,2
155,316,būt,Latvian,VERB,11,yes,0.5024,22.2786,4.5875,0.5059,1.0,0.7911,4,3,3,2
156,317,ieraudzīt,Latvian,VERB,240,yes,-2.5595,2.4413,0.4899,0.386,0.3146,0.5663,5,4,3,2
157,322,arī,Latvian,CCONJ,90,yes,-0.9896,3.2111,-0.4928,0.4475,0.3412,0.5123,5,4,3,2
158,323,dati,Latvian,NOUN,445,yes,-5.9903,-5.9435,5.3849,0.2517,0.0248,0.8348,3,2,2,2
159,329,izvēlēties,Latvian,VERB,415,yes,-1.3685,1.1696,1.7234,0.4327,0.2706,0.6339,5,4,3,2
160,335,kura,Latvian,DET,312,yes,-2.0915,0.6122,-1.207,0.4044,0.2514,0.4732,5,4,3,2
161,337,mežs,Latvian,NOUN,122,yes,1.9089,0.6801,1.4082,0.561,0.2537,0.6166,5,4,3,2
162,340,tā,Latvian,DET,96,yes,-1.3021,6.7628,-0.1812,0.4353,0.4639,0.5294,5,4,3,2
163,344,spēja,Latvian,NOUN,420,yes,-0.3452,-0.5954,-0.7942,0.4727,0.2096,0.4958,5,4,3,2
164,352,jūs,Latvian,PRON,107,yes,-0.3864,-0.479,1.2819,0.4711,0.2136,0.6097,3,2,2,2
165,353,kārtība,Latvian,NOUN,365,yes,6.7974,0.5066,-1.0996,0.7523,0.2477,0.4791,1,1,1,1
