,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
0,2,og,Norwegian,CCONJ,3,yes,-7.2645,14.4331,-1.4911,0.2915,0.9023,0.3894,-1.8931,-15.0951,7.419,3,3,3,2,and
50,139,en,Norwegian,DET,4,yes,-7.2467,7.2592,-1.3152,0.2922,0.6424,0.3983,-4.1924,-8.7833,4.0273,5,4,3,2,one
28,107,å,Norwegian,PART,6,yes,-1.0019,4.3014,-3.7382,0.5282,0.5352,0.2756,0.0933,-3.1741,4.2858,5,4,3,2,to
60,169,at,Norwegian,SCONJ,7,yes,-2.8541,6.299,-3.3487,0.4582,0.6076,0.2953,-0.859,-5.7243,4.8827,5,4,3,2,that
59,167,ikke,Norwegian,PART,14,yes,-2.6209,6.623,-1.5198,0.467,0.6193,0.3879,-0.2399,-6.3685,3.3512,5,4,3,2,not
187,498,vi,Norwegian,PRON,16,yes,-0.6587,6.9178,-1.3737,0.5412,0.63,0.3953,1.6982,-5.9463,3.5858,5,4,3,2,we
64,177,men,Norwegian,CCONJ,17,yes,-1.6313,4.6473,-2.3726,0.5044,0.5477,0.3447,-0.1279,-4.0525,3.2812,5,4,3,2,but
132,364,han,Norwegian,PRON,18,yes,-0.8167,4.7447,-1.9372,0.5352,0.5513,0.3668,0.698,-3.9647,3.0064,5,4,3,2,he
99,269,ha,Norwegian,VERB,21,yes,-1.6824,4.5147,-3.2722,0.5025,0.5429,0.2992,-0.4216,-3.7062,3.9225,5,4,3,2,have
98,265,ha,Norwegian,VERB,21,yes,-7.7493,17.1284,-2.6472,0.2732,1.0,0.3308,-1.6397,-17.4552,10.01,3,3,3,2,have
200,529,kunne,Norwegian,AUX,22,yes,0.5404,2.7755,-3.432,0.5865,0.4799,0.2911,0.9854,-1.3412,3.4594,5,4,3,2,could
18,52,det,Norwegian,DET,23,yes,-4.1726,10.8938,-3.0174,0.4084,0.7741,0.3121,-0.4397,-10.4228,7.2485,3,3,3,2,the
46,134,det,Norwegian,DET,23,yes,-3.67,0.8001,-0.9434,0.4274,0.4083,0.4171,-3.1709,-1.8784,0.7578,5,4,3,2,the
31,114,de,Norwegian,DET,24,yes,-1.1589,5.9798,-1.9774,0.5223,0.596,0.3647,0.8416,-5.1677,3.7031,5,4,3,2,the
84,233,de,Norwegian,DET,24,yes,-8.0009,0.6721,-1.1226,0.2636,0.4037,0.408,-7.1817,-3.3321,0.8652,1,1,1,1,the
88,242,fra,Norwegian,ADP,25,yes,-6.6857,1.0353,0.1142,0.3134,0.4169,0.4706,-5.7151,-3.4692,-0.2155,1,1,1,1,from
154,419,si,Norwegian,VERB,27,yes,-5.062,12.0123,-1.6312,0.3747,0.8146,0.3823,-0.7239,-12.0752,5.9612,3,3,3,2,say
119,310,ville,Norwegian,AUX,28,yes,0.714,2.9183,-3.8806,0.5931,0.4851,0.2684,1.1298,-1.2664,3.941,5,4,3,2,wanted
86,236,mye,Norwegian,ADJ,29,yes,-2.7947,6.4043,0.495,0.4604,0.6114,0.4899,-0.1376,-6.8152,1.6807,5,4,3,2,a lot
25,104,seg,Norwegian,PRON,30,yes,-0.1164,2.116,-0.2815,0.5617,0.456,0.4506,0.6037,-1.8409,0.4605,5,4,3,2,themselves
71,204,sin,Norwegian,PRON,31,yes,-8.8947,-1.2593,-1.0722,0.2299,0.3337,0.4106,-8.6713,-1.9246,0.1584,1,1,1,1,his
226,570,jeg,Norwegian,PRON,33,yes,0.6576,3.7596,-0.5552,0.591,0.5156,0.4368,1.8468,-2.8721,1.1797,5,4,3,2,I
36,124,bli,Norwegian,AUX,34,yes,-2.8464,-0.0391,-3.4944,0.4585,0.3779,0.288,-3.2001,-0.0911,2.4713,5,4,3,2,become
82,228,bli,Norwegian,AUX,34,yes,-6.3639,15.0012,-1.8228,0.3255,0.9229,0.3726,-0.9695,-15.2259,7.9571,3,3,3,2,become
49,138,også,Norwegian,ADV,36,yes,0.6206,2.4435,-1.5801,0.5896,0.4679,0.3849,1.2565,-1.4876,1.7707,5,4,3,2,also
188,500,til,Norwegian,SCONJ,37,yes,2.1264,2.0026,-2.662,0.6465,0.4519,0.3301,2.313,-0.2899,2.5973,5,4,3,2,to
9,17,til,Norwegian,SCONJ,37,yes,-6.4192,5.7128,-0.0225,0.3234,0.5863,0.4637,-3.8098,-7.4316,1.948,5,4,3,2,to
100,282,skulle,Norwegian,AUX,38,yes,1.9305,2.4549,-3.2396,0.6391,0.4683,0.3008,2.1434,-0.5723,3.0645,5,4,3,2,should have
102,287,stor,Norwegian,ADJ,39,yes,-3.134,3.3993,-0.7355,0.4476,0.5025,0.4276,-1.7127,-3.9518,1.4778,5,4,3,2,big
177,479,mange,Norwegian,ADJ,41,yes,-1.7969,5.0398,0.3637,0.4982,0.562,0.4833,0.3,-5.169,1.231,5,4,3,2,many
112,301,om,Norwegian,SCONJ,42,yes,0.7622,2.3657,-3.189,0.5949,0.4651,0.3034,1.0973,-0.9224,3.14,5,4,3,2,about
107,293,om,Norwegian,SCONJ,42,yes,-5.1262,2.3834,0.3584,0.3723,0.4657,0.483,-3.7274,-4.1169,0.0301,5,4,3,2,about
179,484,annen,Norwegian,DET,43,yes,-3.282,3.9008,-1.1217,0.442,0.5207,0.4081,-1.6833,-4.3788,2.3214,5,4,3,2,other
30,113,komme,Norwegian,VERB,44,yes,-4.6127,11.3395,-1.018,0.3917,0.7902,0.4133,-0.4699,-11.4689,5.0193,3,3,3,2,come
65,178,så,Norwegian,ADV,45,yes,-2.1292,3.9786,0.4274,0.4856,0.5235,0.4865,-0.4736,-4.3702,0.4404,5,4,3,2,so
191,504,måtte,Norwegian,AUX,46,yes,3.0581,2.2341,-3.0354,0.6817,0.4603,0.3112,3.1399,0.0067,2.8437,2,2,2,2,had to
75,215,år,Norwegian,NOUN,48,yes,-1.4434,5.1366,1.1901,0.5115,0.5655,0.5251,0.7688,-5.3915,0.667,5,4,3,2,year
234,589,gjøre,Norwegian,VERB,49,yes,-4.8785,11.8061,-1.785,0.3817,0.8071,0.3745,-0.6393,-11.7922,5.9866,3,3,3,2,do
55,148,gå,Norwegian,VERB,51,yes,-4.5931,10.8723,-0.5658,0.3925,0.7733,0.4362,-0.5224,-11.1246,4.2233,3,3,3,2,go
257,641,god,Norwegian,ADJ,52,yes,-0.9694,4.6737,0.1017,0.5294,0.5487,0.47,0.8751,-4.466,1.0771,5,4,3,2,good
92,247,som,Norwegian,ADP,53,yes,-3.8499,-0.4423,-0.2932,0.4206,0.3633,0.45,-3.7434,-1.0421,-0.3687,5,4,3,2,as
245,607,som,Norwegian,ADP,53,yes,-3.3807,-0.0767,0.0458,0.4383,0.3766,0.4672,-3.191,-1.2605,-0.5448,5,4,3,2,as
12,34,som,Norwegian,ADP,53,yes,-1.8243,5.0791,-3.0086,0.4971,0.5634,0.3125,-0.2825,-4.3471,3.9734,5,4,3,2,as
161,442,se,Norwegian,VERB,54,yes,-2.9499,7.8502,-1.5825,0.4546,0.6638,0.3847,-0.1424,-7.5443,3.9053,5,4,3,2,see
13,35,være,Norwegian,VERB,55,yes,-6.3003,12.0597,-2.2019,0.3279,0.8163,0.3534,-1.9,-12.4137,6.6644,3,3,3,2,be
374,1083,være,Norwegian,VERB,55,yes,-3.0807,7.3079,-1.0111,0.4496,0.6442,0.4137,-0.3581,-7.2644,2.9817,5,4,3,2,be
301,757,land,Norwegian,NOUN,56,yes,-3.6411,6.5741,1.4266,0.4285,0.6176,0.5371,-0.8098,-7.5155,0.7849,5,4,3,2,country
124,339,nå,Norwegian,ADV,57,yes,1.6788,2.4375,-1.8436,0.6296,0.4677,0.3715,2.1881,-1.02,1.9549,5,4,3,2,now
133,367,ny,Norwegian,ADJ,58,yes,-4.4132,0.0045,0.365,0.3993,0.3795,0.4833,-3.9308,-1.7893,-0.7009,5,4,3,2,new
14,37,norsk,Norwegian,ADJ,59,yes,-4.162,0.538,2.9625,0.4088,0.3988,0.6148,-3.2727,-2.8434,-2.9671,4,4,3,2,Norwegian
174,472,gi,Norwegian,VERB,61,yes,-4.19,7.211,-0.991,0.4077,0.6406,0.4147,-1.3765,-7.5929,3.0141,5,4,3,2,give
225,569,bare,Norwegian,ADV,62,yes,-0.2295,3.2433,-0.0435,0.5574,0.4969,0.4627,0.9722,-2.8827,0.6145,5,4,3,2,just
354,943,norge,Norwegian,PROPN,63,yes,1.5644,2.5632,-1.2999,0.6252,0.4722,0.399,2.2571,-1.3342,1.7586,5,4,3,2,Norway
137,379,mot,Norwegian,ADP,64,yes,-4.1427,-0.1839,1.0172,0.4095,0.3727,0.5164,-3.7216,-1.697,-1.4444,4,4,3,2,against
176,475,noen,Norwegian,DET,65,yes,-3.2429,1.5779,2.532,0.4435,0.4365,0.593,-2.0524,-3.2797,-2.1164,4,4,3,2,some
320,798,verden,Norwegian,NOUN,66,yes,-1.8922,2.4157,-0.5416,0.4946,0.4669,0.4374,-0.8774,-2.6988,1.0219,5,4,3,2,world
83,229,dag,Norwegian,NOUN,67,yes,-0.4877,3.2009,0.2071,0.5477,0.4953,0.4753,0.8064,-3.042,0.5915,5,4,3,2,day
283,720,ta,Norwegian,VERB,68,yes,-3.0061,7.9241,-0.9237,0.4525,0.6665,0.4181,-0.0713,-7.8425,3.3245,5,4,3,2,toe
323,811,liten,Norwegian,ADJ,70,yes,0.4187,1.6603,0.9826,0.5819,0.4395,0.5146,1.1839,-1.5995,-0.5066,4,4,3,2,small
285,726,all,Norwegian,DET,71,yes,-6.2419,-0.7615,-0.6424,0.3301,0.3518,0.4323,-6.1479,-1.5505,-0.2717,1,1,1,1,all
262,658,enn,Norwegian,ADP,72,yes,-5.748,-0.4682,-0.3397,0.3488,0.3624,0.4477,-5.4643,-1.6752,-0.2769,1,1,1,1,than
167,453,hel,Norwegian,ADJ,73,yes,-4.4297,-1.2834,1.0552,0.3986,0.3328,0.5183,-4.2349,-0.6888,-1.4467,1,1,1,1,whole
296,752,over,Norwegian,ADP,74,yes,-1.6616,0.8026,2.0315,0.5033,0.4084,0.5677,-0.8919,-1.8519,-1.7359,4,4,3,2,above
136,378,politisk,Norwegian,ADJ,75,yes,-1.9613,-0.8029,2.0544,0.492,0.3503,0.5689,-1.8457,-0.6643,-2.2155,4,4,3,2,political
155,421,eller,Norwegian,CCONJ,76,yes,-0.8551,0.8763,3.211,0.5338,0.4111,0.6274,-0.091,-1.8797,-3.136,4,4,3,2,or
135,377,opp,Norwegian,ADP,77,yes,1.8435,0.1837,-1.8622,0.6358,0.386,0.3706,1.4324,1.0127,1.3046,5,4,3,2,up
180,485,gang,Norwegian,NOUN,78,yes,0.3731,3.7796,0.915,0.5802,0.5163,0.5112,1.9182,-3.4188,0.2547,5,4,3,2,time
235,591,fordi,Norwegian,SCONJ,79,yes,1.0668,0.5733,-3.1977,0.6064,0.4001,0.303,0.7198,0.7673,2.7132,5,4,3,2,because
260,647,ut,Norwegian,ADP,80,yes,-1.6989,-1.0346,-1.1388,0.5019,0.3419,0.4072,-2.1077,0.5392,0.391,5,4,3,2,out
204,537,tid,Norwegian,NOUN,81,yes,-0.1425,4.1309,0.8394,0.5607,0.529,0.5074,1.5611,-3.9217,0.5445,5,4,3,2,time
489,1927,usa,Norwegian,PROPN,82,yes,0.5514,2.9063,1.7292,0.5869,0.4847,0.5524,1.8997,-2.8186,-0.6759,5,4,3,2,usa
307,769,man,Norwegian,PRON,83,yes,5.5835,1.3829,-3.8491,0.7772,0.4295,0.27,5.0325,1.9372,3.4094,2,2,2,2,Mon
3,9,stå,Norwegian,VERB,84,yes,-3.2897,6.9446,0.1586,0.4417,0.631,0.4729,-0.5139,-7.3352,1.73,5,4,3,2,stand
61,171,vår,Norwegian,PRON,85,yes,-5.2669,-2.0669,-0.8049,0.367,0.3045,0.4241,-5.6766,0.0258,-0.2286,1,1,1,1,our
246,610,denne,Norwegian,DET,87,yes,-9.0848,-3.0236,-1.6673,0.2227,0.2698,0.3804,-9.6707,-0.3814,-0.0483,1,1,1,1,this
160,437,hva,Norwegian,PRON,89,yes,3.7886,0.9365,-1.7219,0.7093,0.4133,0.3777,3.6469,1.0218,1.6965,2,2,2,2,what
277,710,fn,Norwegian,PROPN,90,yes,2.6901,0.764,1.7636,0.6678,0.407,0.5541,3.06,-0.175,-1.13,4,4,3,2,fn
463,1635,når,Norwegian,SCONJ,91,yes,2.488,0.3588,-2.8158,0.6601,0.3923,0.3223,1.917,1.3642,2.3107,5,4,3,2,when
351,939,hun,Norwegian,PRON,92,yes,4.3538,0.535,-0.3361,0.7307,0.3987,0.4478,4.094,1.2504,0.5051,2,2,2,2,she
290,736,sterk,Norwegian,ADJ,93,yes,3.223,1.8379,1.0074,0.6879,0.4459,0.5159,3.7752,-0.6395,-0.4467,4,4,3,2,strong
270,676,inn,Norwegian,ADP,94,yes,-2.0742,-1.0223,-2.3802,0.4877,0.3423,0.3444,-2.6452,0.6854,1.3518,5,4,3,2,in
62,172,to,Norwegian,NUM,95,yes,-3.9435,-0.0697,-0.2193,0.417,0.3768,0.4538,-3.5955,-1.3585,-0.1666,5,4,3,2,two
181,487,lang,Norwegian,ADJ,97,yes,-0.9118,1.8752,2.9947,0.5316,0.4473,0.6165,0.2055,-2.7525,-2.3822,4,4,3,2,long
165,449,nok,Norwegian,ADV,98,yes,6.3894,0.372,-2.4248,0.8076,0.3928,0.3421,5.7289,2.8098,2.4391,2,2,2,2,enough
390,1152,her,Norwegian,ADV,99,yes,3.1628,1.1822,-2.1258,0.6857,0.4222,0.3572,3.0369,0.7434,2.0931,2,2,2,2,here
190,502,første,Norwegian,ADJ,100,yes,0.7701,0.1898,0.1515,0.5952,0.3862,0.4725,0.9135,0.0449,-0.0008,4,4,3,2,first
5,12,under,Norwegian,ADP,101,yes,-6.3177,-2.6497,1.2567,0.3273,0.2833,0.5285,-6.6098,-0.4828,-2.1899,1,1,1,1,under
35,122,viktig,Norwegian,ADJ,102,yes,1.5167,3.3968,-0.6706,0.6234,0.5024,0.4309,2.5915,-2.1693,1.2851,5,4,3,2,important
313,783,barn,Norwegian,NOUN,103,yes,0.5948,1.8589,1.557,0.5886,0.4467,0.5437,1.5162,-1.8499,-0.7386,4,4,3,2,children
359,978,burde,Norwegian,AUX,104,yes,4.1659,-2.1409,-4.8043,0.7236,0.3018,0.2216,2.3425,4.7622,3.8592,2,2,2,2,should
299,755,menneske,Norwegian,NOUN,105,yes,1.239,3.2222,1.5915,0.6129,0.4961,0.5454,2.6091,-2.7901,-0.5231,5,4,3,2,human
331,4945,kina,Norwegian,PROPN,106,yes,3.292,1.612,-2.9367,0.6905,0.4378,0.3162,3.3076,0.5887,3.1281,2,2,2,2,China
1,4,på,Norwegian,SCONJ,107,yes,5.2677,-0.5807,-2.6324,0.7652,0.3583,0.3316,4.2448,3.1357,2.1934,2,2,2,2,on
4,10,på,Norwegian,SCONJ,107,yes,-6.3584,3.9303,0.2082,0.3257,0.5218,0.4754,-4.3208,-5.8698,0.7735,5,4,3,2,on
203,534,både,Norwegian,CCONJ,108,yes,-5.2426,-1.3009,3.5484,0.3679,0.3322,0.6445,-4.8013,-1.7851,-3.8715,4,4,3,2,both
51,142,vise,Norwegian,VERB,110,yes,-1.7558,3.9552,-1.3549,0.4997,0.5227,0.3963,-0.3225,-3.6942,1.9356,5,4,3,2,show
70,2243,obama,Norwegian,PROPN,111,yes,2.7662,0.0561,-0.7747,0.6707,0.3814,0.4256,2.4674,1.1809,0.7316,4,4,3,2,obama
361,983,derfor,Norwegian,ADV,113,yes,3.8422,1.2347,-2.4148,0.7113,0.4241,0.3426,3.575,1.0179,2.171,2,2,2,2,therefore
149,407,hans,Norwegian,PRON,114,yes,-10.3796,-4.7665,0.5823,0.1737,0.2066,0.4943,-11.1128,0.1023,-2.2996,1,1,1,1,his
348,912,folk,Norwegian,NOUN,115,yes,2.046,1.9936,0.9298,0.6434,0.4516,0.5119,2.809,-1.2569,-0.2594,4,4,3,2,folk
150,408,egen,Norwegian,DET,116,yes,-2.9667,-1.5838,1.9546,0.4539,0.322,0.5638,-3.0153,-0.2814,-2.3453,4,4,3,2,own
216,558,tidlig,Norwegian,ADJ,117,yes,3.8333,0.1952,-0.007,0.711,0.3864,0.4645,3.6154,1.2472,0.2422,2,2,2,2,early
429,1412,jo,Norwegian,ADV,118,yes,-0.0047,-0.5905,-2.0846,0.5659,0.3579,0.3593,-0.614,1.0622,1.3635,4,4,3,2,Yes
209,546,mene,Norwegian,VERB,121,yes,0.9647,2.691,-1.1802,0.6026,0.4769,0.4051,1.7683,-1.6144,1.5416,5,4,3,2,mean
211,551,igjen,Norwegian,ADV,122,yes,4.8958,-1.5152,-3.4099,0.7512,0.3244,0.2922,3.457,4.0681,2.6697,2,2,2,2,again
375,1090,like,Norwegian,ADV,123,yes,-3.0218,-0.3245,-0.9164,0.4519,0.3676,0.4185,-3.0624,-0.5597,0.2947,5,4,3,2,like
114,303,parti,Norwegian,NOUN,124,yes,-0.7345,2.073,3.7575,0.5383,0.4545,0.6551,0.6683,-3.0781,-2.9126,4,4,3,2,party
153,414,sist,Norwegian,ADJ,125,yes,-1.9825,1.1732,5.5,0.4911,0.4219,0.7433,-0.6787,-3.1406,-5.1021,2,2,2,2,last
201,530,bruke,Norwegian,VERB,126,yes,-1.7784,3.9409,-2.4584,0.4989,0.5221,0.3404,-0.541,-3.4127,2.8197,5,4,3,2,use
89,243,mens,Norwegian,SCONJ,127,yes,4.836,-1.8845,-3.995,0.7489,0.3111,0.2626,3.1366,4.5356,3.1902,2,2,2,2,while
183,494,lenge,Norwegian,ADJ,128,yes,2.1995,0.5446,-0.6498,0.6492,0.3991,0.432,2.1305,0.5216,0.5389,4,4,3,2,for a long time
264,665,alt,Norwegian,PRON,129,yes,5.1055,1.0782,-0.4388,0.7591,0.4184,0.4426,5.014,1.1372,0.783,2,2,2,2,everything
446,1510,du,Norwegian,PRON,130,yes,1.7163,-0.7368,-4.23,0.631,0.3526,0.2507,0.6296,2.3967,3.2376,5,4,3,2,you
480,1777,legge,Norwegian,VERB,132,yes,-0.9645,5.3454,0.4963,0.5296,0.573,0.49,1.1008,-5.1176,0.5222,5,4,3,2,lay
421,1371,da,Norwegian,ADV,133,yes,3.657,-0.1804,-0.9583,0.7043,0.3728,0.4163,3.0269,1.826,0.6689,2,2,2,2,then
221,564,da,Norwegian,ADV,133,yes,3.1191,-0.2479,-1.6686,0.684,0.3704,0.3804,2.4768,1.8134,1.2552,5,4,3,2,then
15,40,med,Norwegian,SCONJ,135,yes,-4.3588,6.3459,-0.2315,0.4013,0.6093,0.4531,-1.7228,-7.1345,2.0959,5,4,3,2,with
232,583,med,Norwegian,SCONJ,135,yes,4.7025,-1.0379,-3.2298,0.7439,0.3417,0.3013,3.3359,3.5051,2.4139,2,2,2,2,with
175,473,del,Norwegian,NOUN,136,yes,2.223,1.6839,-0.0516,0.6501,0.4404,0.4622,2.7505,-0.6457,0.4118,4,4,3,2,share
32,115,president,Norwegian,NOUN,137,yes,-0.7149,-0.3143,3.2531,0.5391,0.368,0.6295,-0.2658,-0.9258,-3.0386,4,4,3,2,president
255,2685,prosent,Norwegian,NOUN,138,yes,0.868,1.4068,5.0727,0.5989,0.4303,0.7217,1.9894,-2.2654,-4.1373,4,4,3,2,percent
182,491,sak,Norwegian,NOUN,139,yes,-0.1909,2.4975,0.9099,0.5589,0.4698,0.5109,0.9151,-2.5014,-0.2064,5,4,3,2,case
144,393,holde,Norwegian,VERB,140,yes,-1.1912,4.4764,0.7727,0.5211,0.5416,0.504,0.6353,-4.5546,0.0186,5,4,3,2,hold
