,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
5,7,و,Persian,CCONJ,1,yes,-11.1667,-12.5824,4.3915,0.1642,0.3218,0.6488,4,3,3,2,And
48,85,کرد#کن,Persian,VERB,4,yes,-16.288,-24.0137,8.9755,0.0,0.0,0.8797,4,3,3,2,do it
17,28,را,Persian,ADP,5,yes,-10.7666,-4.9358,3.4632,0.177,0.537,0.602,5,4,3,2,particle for direct object
36,62,از,Persian,ADP,6,yes,-10.4094,-7.2912,3.7495,0.1885,0.4707,0.6165,5,4,3,2,From
31,50,با,Persian,ADP,9,yes,-10.0559,-2.8961,3.0894,0.1998,0.5944,0.5832,5,4,3,2,With
54,103,#است,Persian,AUX,10,yes,-6.8576,-5.2025,1.7828,0.3023,0.5295,0.5174,5,4,3,2,#Is
158,370,من,Persian,PRON,13,yes,-4.5189,-3.7291,1.6583,0.3773,0.5709,0.5111,5,4,3,2,I
44,76,برای,Persian,ADP,14,yes,-8.612,-0.1083,1.754,0.2461,0.6729,0.516,3,2,2,2,To
51,97,او,Persian,PRON,15,yes,-4.7386,-3.5404,1.758,0.3703,0.5763,0.5162,5,4,3,2,She
58,112,داد#ده,Persian,VERB,16,yes,-11.0503,-12.1485,3.5428,0.1679,0.334,0.606,5,4,3,2,gave
43,73,یک,Persian,NUM,20,yes,-8.2583,-0.8127,0.5782,0.2574,0.653,0.4567,3,2,2,2,One
38,64,خود,Persian,PRON,21,yes,-5.0156,-2.9332,0.9893,0.3614,0.5933,0.4774,5,4,3,2,self
102,202,آنها,Persian,PRON,22,yes,-3.6507,-3.0831,0.0687,0.4051,0.5891,0.4311,5,4,3,2,they
95,187,بر,Persian,ADP,23,yes,-6.9535,2.2861,2.4554,0.2993,0.7403,0.5513,3,2,2,2,On
152,359,ما,Persian,PRON,24,yes,-1.1681,-1.8909,1.7636,0.4847,0.6227,0.5164,5,4,3,2,We
230,556,سال,Persian,NOUN,26,yes,-4.7306,-4.4506,-1.9509,0.3705,0.5506,0.3294,5,4,3,2,Year
169,393,#هست,Persian,AUX,27,yes,-4.4261,-2.9764,-0.0546,0.3803,0.5921,0.4249,5,4,3,2,#LT is
134,307,کار,Persian,NOUN,28,yes,-4.9941,-5.1607,0.0771,0.3621,0.5306,0.4315,5,4,3,2,Work
231,557,هر,Persian,DET,29,yes,-7.6592,2.0596,2.0704,0.2766,0.7339,0.5319,3,2,2,2,every
396,3255,شما,Persian,PRON,30,yes,-0.8954,-2.3779,1.2757,0.4935,0.609,0.4919,5,4,3,2,You
270,671,گرفت#گیر,Persian,VERB,31,yes,-7.731,-6.6148,1.7439,0.2743,0.4897,0.5154,5,4,3,2,caught
34,54,آن,Persian,DET,32,yes,-3.3795,-3.01,0.1315,0.4138,0.5912,0.4342,5,4,3,2,it
52,98,آن,Persian,DET,32,yes,-7.6066,2.7518,1.7466,0.2783,0.7534,0.5156,3,2,2,2,it
196,473,زد#زن,Persian,VERB,33,yes,-5.9994,-5.0983,1.6129,0.3298,0.5324,0.5088,5,4,3,2,hit woman
110,217,این,Persian,PRON,34,yes,-3.9098,-4.2397,0.3659,0.3968,0.5566,0.446,5,4,3,2,this
3,3,این,Persian,PRON,34,yes,-9.9545,-2.139,2.8173,0.203,0.6157,0.5695,5,4,3,2,this
117,239,گفت#گو,Persian,VERB,35,yes,-6.0114,-4.7745,0.7721,0.3295,0.5415,0.4665,5,4,3,2,Conversation
90,178,نیز,Persian,ADV,36,yes,-6.2774,0.4206,1.2082,0.3209,0.6877,0.4885,3,2,2,2,also
191,455,روز,Persian,NOUN,37,yes,-3.4633,-3.5167,-1.3492,0.4112,0.5769,0.3597,5,4,3,2,Day
10,19,شد#شو,Persian,AUX,38,yes,-13.0899,-16.601,5.7552,0.1025,0.2086,0.7175,4,3,3,2,Be
60,113,شد#شو,Persian,AUX,38,yes,2.0267,1.0563,3.0541,0.5872,0.7056,0.5814,2,1,1,1,Be
348,962,یا,Persian,CCONJ,39,yes,-1.3235,-2.6527,-0.9658,0.4798,0.6012,0.379,5,4,3,2,Or
238,571,بایست#باید,Persian,AUX,41,yes,4.5236,0.2837,4.88,0.6672,0.6839,0.6734,2,1,1,1,must
229,555,کشور,Persian,NOUN,42,yes,-1.9143,-1.9439,-0.7886,0.4608,0.6212,0.3879,5,4,3,2,Country
153,363,اما,Persian,CCONJ,43,yes,0.5953,-0.7507,1.9949,0.5413,0.6548,0.5281,5,4,3,2,But
147,344,توانست#توان,Persian,VERB,44,yes,-4.0868,-3.3588,1.328,0.3912,0.5814,0.4945,5,4,3,2,able to
61,114,تا,Persian,ADP,45,yes,-5.4524,2.2987,0.1152,0.3474,0.7406,0.4334,3,2,2,2,until the
197,474,تا,Persian,ADP,45,yes,1.8918,-0.8145,1.1295,0.5828,0.653,0.4845,5,4,3,2,until the
22,36,مردم,Persian,NOUN,46,yes,-1.5182,-0.9541,-0.4924,0.4735,0.649,0.4028,5,4,3,2,People
37,63,جا,Persian,NOUN,47,yes,-1.6859,-2.9657,1.7096,0.4681,0.5924,0.5137,5,4,3,2,place
171,397,سر,Persian,NOUN,48,yes,-2.9318,-2.9213,0.6305,0.4282,0.5937,0.4594,5,4,3,2,Head
310,2867,آمد#آ,Persian,VERB,49,yes,-5.4091,-4.3602,1.9078,0.3488,0.5532,0.5237,5,4,3,2,came
86,173,دو,Persian,NUM,50,yes,-7.0214,1.2688,-1.0007,0.2971,0.7116,0.3772,3,2,2,2,two
163,378,تو,Persian,PRON,51,yes,-0.4265,-1.6862,1.5491,0.5085,0.6284,0.5056,5,4,3,2,you
468,1705,اگر,Persian,SCONJ,53,yes,3.4039,-0.4839,3.7141,0.6313,0.6623,0.6147,2,1,1,1,If
471,1735,دست,Persian,NOUN,54,yes,-1.3427,-1.9986,1.7792,0.4791,0.6197,0.5172,5,4,3,2,Hand
35,59,ایران,Persian,PROPN,55,yes,-2.1847,-0.9659,-3.2739,0.4521,0.6487,0.2627,5,4,3,2,Iran
142,337,صورت,Persian,NOUN,56,yes,-0.493,-2.0376,0.6408,0.5064,0.6186,0.4599,5,4,3,2,the face
455,1573,تجربه,Persian,NOUN,57,yes,-2.3993,-3.0101,-1.5499,0.4453,0.5912,0.3496,5,4,3,2,Experience
96,188,اثر,Persian,NOUN,58,yes,-2.9548,-2.4735,-0.0355,0.4275,0.6063,0.4258,5,4,3,2,Effect
123,262,هزار,Persian,NUM,59,yes,-8.4833,4.0398,-5.3527,0.2502,0.7896,0.158,3,2,2,2,Thousand
213,517,رفت#رو,Persian,VERB,60,yes,-4.5248,-2.9419,0.8547,0.3771,0.5931,0.4707,5,4,3,2,He went
389,1156,گذاشت#گذار,Persian,VERB,61,yes,-5.2973,-3.6548,0.6668,0.3524,0.573,0.4612,5,4,3,2,put
168,387,همه,Persian,NOUN,62,yes,-1.5599,-1.9967,1.2066,0.4722,0.6197,0.4884,5,4,3,2,All
473,1747,وقت,Persian,NOUN,63,yes,-0.6696,-2.3888,2.2806,0.5007,0.6087,0.5425,5,4,3,2,time
224,545,حال,Persian,NOUN,64,yes,-1.6658,-2.6323,1.3059,0.4688,0.6018,0.4934,5,4,3,2,now
121,253,بیش,Persian,ADJ,65,yes,-0.3248,-1.5783,0.8754,0.5118,0.6315,0.4717,5,4,3,2,over
278,700,نظر,Persian,NOUN,66,yes,0.4375,-1.3117,1.2141,0.5362,0.639,0.4888,5,4,3,2,Opinion
314,833,بار,Persian,NOUN,67,yes,-0.9669,-2.043,-1.8401,0.4912,0.6184,0.3349,5,4,3,2,Bar
55,104,وی,Persian,PRON,68,yes,2.6723,-0.759,0.3963,0.6079,0.6545,0.4476,2,1,1,1,V
476,1756,امر,Persian,NOUN,69,yes,-2.4686,-2.1908,-1.9528,0.443,0.6142,0.3293,5,4,3,2,order
150,356,یکی,Persian,NOUN,71,yes,-1.0294,-2.5303,1.1555,0.4892,0.6047,0.4858,5,4,3,2,one
245,589,کس,Persian,NOUN,72,yes,-0.3921,-2.0902,1.6819,0.5096,0.6171,0.5123,5,4,3,2,who
291,742,خواست#خواه,Persian,VERB,73,yes,-1.5463,-2.4519,1.9096,0.4726,0.6069,0.5238,5,4,3,2,want
244,587,خواست#خواه,Persian,VERB,73,yes,3.3904,0.5464,4.3351,0.6309,0.6913,0.6459,2,1,1,1,want
343,938,دید#بین,Persian,VERB,74,yes,-3.9397,-3.0293,0.2605,0.3959,0.5906,0.4407,5,4,3,2,See
439,1442,آورد#آور,Persian,VERB,75,yes,-4.3636,-3.6598,1.3077,0.3823,0.5729,0.4935,5,4,3,2,bring
225,546,انجام,Persian,NOUN,76,yes,0.6552,-1.727,0.2418,0.5432,0.6273,0.4398,5,4,3,2,do
234,560,فرد,Persian,NOUN,77,yes,-0.0814,-2.3873,0.2219,0.5196,0.6087,0.4388,5,4,3,2,Man
26,45,همین,Persian,DET,78,yes,-7.8407,4.0533,2.32,0.2708,0.79,0.5445,3,2,2,2,This
287,732,نگاه,Persian,NOUN,79,yes,0.9234,-1.6299,-0.1524,0.5518,0.63,0.4199,5,4,3,2,the look
84,164,جدید,Persian,ADJ,80,yes,-7.8527,4.687,0.0841,0.2704,0.8078,0.4319,3,2,2,2,New
87,174,بخش,Persian,NOUN,81,yes,-2.16,-2.0632,-1.6928,0.4529,0.6178,0.3424,5,4,3,2,the part
167,386,روی,Persian,ADP,82,yes,-4.8406,2.2968,-0.1298,0.367,0.7406,0.4211,3,2,2,2,Roy
317,852,راه,Persian,NOUN,83,yes,0.5793,-1.6829,0.4314,0.5408,0.6285,0.4493,5,4,3,2,the way
330,901,فیلم,Persian,NOUN,84,yes,0.1884,-1.911,-1.5623,0.5282,0.6221,0.3489,5,4,3,2,the movie
20,33,دانست#دان,Persian,VERB,85,yes,-3.8035,-3.4462,-1.1783,0.4002,0.5789,0.3683,5,4,3,2,Dont know
485,1833,هیچ,Persian,DET,86,yes,-8.1716,5.1299,1.1112,0.2602,0.8203,0.4836,3,2,2,2,none
453,1566,زمان,Persian,NOUN,87,yes,-2.054,-1.7401,0.5212,0.4563,0.6269,0.4539,5,4,3,2,Time
70,137,عنوان,Persian,NOUN,88,yes,-0.5524,-1.4636,-1.2837,0.5045,0.6347,0.363,5,4,3,2,Title
186,432,رو,Persian,NOUN,89,yes,-0.175,-1.3652,0.3896,0.5166,0.6375,0.4472,5,4,3,2,Face
8,2063,داستان,Persian,NOUN,90,yes,-1.171,-1.0578,0.8032,0.4846,0.6461,0.4681,5,4,3,2,Story
346,955,رسید#رس,Persian,VERB,91,yes,-4.6843,-2.953,0.9566,0.372,0.5928,0.4758,5,4,3,2,Receipt
7,14,کردن,Persian,NOUN,92,yes,-3.9708,-2.1147,-0.5228,0.3949,0.6164,0.4013,5,4,3,2,to do
104,208,نفر,Persian,NOUN,93,yes,-1.6614,-1.5663,-1.5178,0.4689,0.6318,0.3512,5,4,3,2,person
438,1437,رئیس,Persian,NOUN,94,yes,1.2096,-1.2113,-0.5707,0.561,0.6418,0.3989,5,4,3,2,boss
125,281,زندگی,Persian,NOUN,96,yes,-0.7005,-1.8549,-0.9097,0.4997,0.6237,0.3818,5,4,3,2,Life
308,817,شرکت,Persian,NOUN,97,yes,-0.0017,-1.4807,1.5014,0.5221,0.6342,0.5032,5,4,3,2,Company
181,416,چند,Persian,DET,98,yes,-6.2708,4.7089,1.4626,0.3211,0.8084,0.5013,3,2,2,2,How many
242,579,شدن,Persian,NOUN,99,yes,-2.1232,-2.1743,-0.2255,0.4541,0.6147,0.4163,5,4,3,2,Become
334,918,امروز,Persian,NOUN,100,yes,1.2294,-1.4107,-0.9796,0.5616,0.6362,0.3783,5,4,3,2,Today
69,136,منطقه,Persian,NOUN,101,yes,1.108,-0.7809,-0.9366,0.5577,0.6539,0.3804,5,4,3,2,Region
98,197,استفاده,Persian,NOUN,102,yes,0.3515,-1.1655,0.1944,0.5335,0.6431,0.4374,5,4,3,2,Use
103,207,سه,Persian,NUM,104,yes,-5.9205,1.7629,-3.5887,0.3324,0.7255,0.2469,3,2,2,2,Three
292,743,نوع,Persian,NOUN,105,yes,-0.1736,-2.0994,-0.8602,0.5166,0.6168,0.3843,5,4,3,2,type
161,376,هم,Persian,PRON,106,yes,-5.1228,-2.1204,1.0595,0.358,0.6162,0.481,5,4,3,2,Both
49,91,هم,Persian,PRON,106,yes,1.438,-0.8099,0.8814,0.5683,0.6531,0.472,5,4,3,2,Both
88,175,مختلف,Persian,ADJ,107,yes,-8.1674,4.5193,2.5342,0.2603,0.8031,0.5552,3,2,2,2,Different
403,1231,همان,Persian,DET,108,yes,-5.6535,2.3603,1.4726,0.3409,0.7423,0.5018,3,2,2,2,the same
78,157,عراق,Persian,PROPN,109,yes,-1.7813,1.0986,-2.3862,0.4651,0.7068,0.3074,5,4,3,2,Iraq
198,486,زن,Persian,NOUN,110,yes,-1.3076,-2.144,0.6368,0.4803,0.6156,0.4597,5,4,3,2,Female
11,2067,خورد#خور,Persian,VERB,111,yes,-2.1858,-2.0354,-0.1585,0.4521,0.6186,0.4196,5,4,3,2,eat
236,569,سو,Persian,NOUN,112,yes,0.5737,-1.4168,-1.1867,0.5406,0.636,0.3679,5,4,3,2,Sue
312,823,مورد,Persian,ADP,113,yes,-0.2111,-1.6666,-0.136,0.5154,0.629,0.4208,5,4,3,2,item
335,920,مورد,Persian,ADP,113,yes,-8.5789,6.1088,1.8244,0.2472,0.8478,0.5195,3,2,2,2,item
429,1400,کشید#کش,Persian,VERB,114,yes,-3.8935,-2.6328,0.5305,0.3974,0.6018,0.4543,5,4,3,2,pull
350,968,تنها,Persian,ADV,115,yes,2.0506,-0.0341,1.6579,0.5879,0.6749,0.5111,2,1,1,1,single
106,2258,دوره,Persian,NOUN,116,yes,-0.0205,-1.9029,-0.5257,0.5215,0.6223,0.4011,5,4,3,2,the period
72,142,برد#بر,Persian,VERB,117,yes,-3.9633,-2.3565,0.8498,0.3951,0.6096,0.4704,5,4,3,2,won
349,965,وجود,Persian,NOUN,118,yes,2.4524,-0.6516,2.6743,0.6008,0.6576,0.5623,2,1,1,1,Existence
479,1790,حق,Persian,NOUN,119,yes,-0.5063,-1.7523,-2.8234,0.506,0.6266,0.2854,2,1,1,1,Right
322,867,طرح,Persian,NOUN,120,yes,1.3048,-0.8059,0.301,0.564,0.6532,0.4428,5,4,3,2,Plan
458,1599,کتاب,Persian,NOUN,121,yes,0.7191,-1.7344,0.4065,0.5452,0.6271,0.4481,5,4,3,2,Book
336,921,توجه,Persian,NOUN,122,yes,-0.2837,-1.5197,-1.0583,0.5131,0.6331,0.3743,5,4,3,2,Attention
122,258,حضور,Persian,NOUN,123,yes,-0.5351,-1.3499,0.119,0.505,0.6379,0.4336,5,4,3,2,Presence
183,418,آب,Persian,NOUN,124,yes,0.5876,-0.4478,0.269,0.541,0.6633,0.4412,5,4,3,2,Water
285,720,مشکل,Persian,NOUN,125,yes,0.6177,-1.7375,-2.105,0.542,0.627,0.3216,2,1,1,1,Problem
45,80,همچنین,Persian,ADV,126,yes,3.845,-0.5598,1.0666,0.6455,0.6601,0.4813,2,1,1,1,also
486,1845,کم,Persian,ADJ,127,yes,-1.2166,-1.5463,0.3862,0.4832,0.6324,0.4471,5,4,3,2,Low
