,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
1,2,w,Polish,ADP,1,yes,-0.8,15.44,-7.0066,0.3258,1.0,0.074,-1.0664,-15.6997,7.9695,5,4,3,2,in
21,25,na,Polish,ADP,2,yes,0.0843,12.8287,-5.7265,0.3757,0.9088,0.16,-1.6613,-12.9858,6.0058,5,4,3,2,on
3,4,z,Polish,ADP,3,yes,0.2839,11.2554,-4.7517,0.3869,0.8538,0.2254,-1.6305,-11.363,4.7212,5,4,3,2,With
50,58,się,Polish,PRON,4,yes,2.0449,3.3682,-0.0961,0.4862,0.5782,0.5379,-2.2525,-3.2161,-0.3199,1,1,1,1,myself
0,1,mężczyzna,Polish,NOUN,6,yes,-3.2535,13.3206,-7.1413,0.1875,0.926,0.065,1.2331,-13.7388,7.5443,5,4,3,2,man
46,53,do,Polish,ADP,7,yes,0.8807,6.0789,0.0619,0.4206,0.6729,0.5485,-1.1167,-6.0028,-0.1462,1,1,1,1,down
41,46,on,Polish,PRON,8,yes,-1.7901,9.1205,-3.2565,0.27,0.7792,0.3258,0.7945,-9.3371,3.764,5,4,3,2,he
10,14,kobieta,Polish,NOUN,11,yes,-3.5616,11.7147,-6.9415,0.1702,0.8698,0.0784,1.6956,-12.1655,7.746,5,4,3,2,woman
36,41,po,Polish,ADP,12,yes,3.0695,3.4721,-2.8603,0.5439,0.5819,0.3523,-3.7134,-3.3619,2.1765,1,1,1,1,after
457,1709,nie,Polish,PART,13,yes,2.5336,3.4906,0.7185,0.5137,0.5825,0.5926,-2.4602,-3.2569,-0.9131,1,1,1,1,no
31,36,dwa,Polish,NUM,14,yes,-2.2263,1.5956,0.309,0.2454,0.5163,0.5651,2.0636,-1.6829,0.1156,4,3,2,2,two
32,37,chłopiec,Polish,NOUN,16,yes,-3.0242,9.1704,-5.1804,0.2005,0.781,0.1966,1.5469,-9.458,5.3379,5,4,3,2,boy
80,100,człowiek,Polish,NOUN,17,yes,-2.203,7.8789,-4.7612,0.2468,0.7358,0.2247,0.8782,-8.1122,4.926,5,4,3,2,man
6,7,ręka,Polish,NOUN,18,yes,-3.4796,6.1262,-2.4403,0.1748,0.6746,0.3805,2.679,-6.4122,2.8174,5,4,3,2,hand
53,61,dziewczynka,Polish,NOUN,19,yes,-2.2396,7.4522,-4.7516,0.2447,0.7209,0.2254,0.9134,-7.6166,4.5991,5,4,3,2,girl
45,52,woda,Polish,NOUN,20,yes,-2.8691,3.594,-2.0176,0.2092,0.5861,0.4089,2.277,-3.7964,2.3035,5,4,3,2,water
89,113,osoba,Polish,NOUN,22,yes,-2.6371,7.3163,-4.9183,0.2223,0.7162,0.2142,1.2932,-7.5388,4.9363,5,4,3,2,person
52,60,dziecko,Polish,NOUN,25,yes,-3.4533,8.7694,-5.2791,0.1763,0.7669,0.19,2.0069,-9.1084,5.7141,5,4,3,2,kid
82,105,o,Polish,ADP,26,yes,2.6202,1.9765,-0.891,0.5186,0.5296,0.4845,-2.8459,-1.8612,0.4849,1,1,1,1,about
57,65,siebie,Polish,PRON,27,yes,-1.4097,4.3102,-0.0497,0.2915,0.6112,0.541,1.1111,-4.4344,0.3307,5,4,3,2,myself
91,115,strój,Polish,NOUN,28,yes,-2.9136,4.2548,-0.0667,0.2067,0.6092,0.5399,2.5992,-4.3109,0.1285,5,4,3,2,outfit
40,45,za,Polish,ADP,29,yes,0.2072,1.5583,-0.9073,0.3826,0.515,0.4834,-0.4919,-1.5724,0.7817,4,3,2,2,behind
42,47,pies,Polish,NOUN,30,yes,-2.654,6.2388,-2.872,0.2213,0.6785,0.3516,1.7497,-6.4759,3.0624,5,4,3,2,dog
15,19,biały,Polish,ADJ,31,yes,0.1464,3.1754,-2.6222,0.3792,0.5715,0.3683,-0.8614,-3.1192,2.1679,1,1,1,1,white
86,109,nad,Polish,ADP,32,yes,1.547,1.8676,-1.1867,0.4581,0.5258,0.4647,-1.9456,-1.7629,0.8472,1,1,1,1,above
19,23,duży,Polish,ADJ,33,yes,2.9829,3.9586,-1.3028,0.539,0.5989,0.4569,-3.3981,-3.789,0.4821,1,1,1,1,big
9,11,przez,Polish,ADP,34,yes,-0.8335,3.075,1.1085,0.3239,0.568,0.6187,0.7937,-3.0695,-1.172,1,1,1,1,by
44,50,mały,Polish,ADJ,35,yes,0.5485,2.6914,0.3695,0.4018,0.5546,0.5691,-0.6479,-2.5622,-0.7847,1,1,1,1,small
149,198,czarny,Polish,ADJ,37,yes,1.5459,2.9357,-4.0493,0.458,0.5631,0.2725,-2.4786,-2.7658,3.0837,1,1,1,1,black
106,139,jechać,Polish,VERB,38,yes,-2.3601,5.2164,-2.6044,0.2379,0.6428,0.3695,1.5736,-5.3626,2.7435,5,4,3,2,to go
23,27,drugi,Polish,ADJ,39,yes,-4.3686,1.1369,-3.6323,0.1247,0.5003,0.3005,3.6434,-1.4284,4.1694,5,4,3,2,second
483,1949,ten,Polish,DET,40,yes,3.9513,2.0465,0.7465,0.5936,0.5321,0.5945,-3.8001,-1.7924,-1.2259,1,1,1,1,this
104,137,kask,Polish,NOUN,41,yes,-3.6291,1.7879,-2.3202,0.1664,0.523,0.3886,3.013,-1.8762,2.2485,4,3,2,2,helmet
68,81,trawa,Polish,NOUN,42,yes,-1.8968,1.3328,-0.9357,0.264,0.5071,0.4815,1.5195,-1.4435,1.1541,4,3,2,2,grass
18,22,jeden,Polish,ADJ,43,yes,-3.6418,2.4812,-3.6134,0.1657,0.5473,0.3018,2.7941,-2.6923,3.866,5,4,3,2,one
127,172,czerwony,Polish,ADJ,44,yes,2.3411,3.4174,-2.5851,0.5029,0.58,0.3708,-3.0234,-3.2566,1.5181,1,1,1,1,red
246,353,mieć,Polish,VERB,45,yes,0.3157,8.4148,-1.291,0.3887,0.7546,0.4577,-0.8742,-8.4112,1.3152,5,4,3,2,to have
76,96,piłka,Polish,NOUN,46,yes,-2.8983,5.1021,-0.2553,0.2076,0.6388,0.5272,2.552,-5.2628,0.2543,5,4,3,2,ball
