,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
0,1,o,Portuguese,DET,1,yes,-16.3196,13.2041,-2.9327,0.0896,0.7356,0.3353,-5.6152,-18.1238,8.9951,3,3,2,2,O
2,3,de,Portuguese,ADP,3,yes,-14.3097,9.2053,-1.9267,0.1464,0.6158,0.3849,-5.8136,-14.4684,7.145,3,3,2,2,in
15,21,em,Portuguese,ADP,4,yes,-11.2593,5.0533,-1.5195,0.2326,0.4915,0.405,-5.7387,-9.8419,4.2422,3,3,2,2,in
10,14,e,Portuguese,CCONJ,8,yes,-11.7358,8.3022,-1.7801,0.2191,0.5888,0.3921,-4.4842,-12.0583,4.8577,3,3,2,2,and
16,22,um,Portuguese,DET,11,yes,-10.3298,1.417,-1.5512,0.2589,0.3826,0.4034,-7.0289,-6.7545,2.2547,3,3,2,2,a
70,118,por,Portuguese,ADP,12,yes,-7.6248,2.6121,-0.2382,0.3353,0.4183,0.4681,-4.0228,-6.3079,1.7052,3,3,2,2,per
29,40,com,Portuguese,ADP,14,yes,-9.3148,1.3857,0.2259,0.2875,0.3816,0.491,-5.7916,-6.7009,0.712,3,3,2,2,with
34,49,a,Portuguese,ADP,16,yes,-8.7763,1.6425,-0.3597,0.3028,0.3893,0.4621,-5.4245,-6.313,1.2863,3,3,2,2,The
26,35,para,Portuguese,ADP,17,yes,-7.3619,0.5187,-0.3152,0.3427,0.3556,0.4643,-5.0475,-4.744,0.5834,3,3,2,2,for
6,8,que,Portuguese,CCONJ,18,yes,-6.3185,1.9542,-2.5435,0.3722,0.3986,0.3545,-4.2071,-4.2241,3.025,3,3,2,2,what
100,176,não,Portuguese,ADV,20,yes,-5.5548,2.0837,-1.2784,0.3938,0.4025,0.4168,-3.1874,-4.2636,2.0368,3,3,2,2,no
85,149,ser,Portuguese,VERB,22,yes,-10.4547,7.5086,-0.3951,0.2553,0.565,0.4604,-3.6296,-11.2795,3.2173,3,3,2,2,to be
5,7,ser,Portuguese,VERB,22,yes,-8.5416,2.5263,-1.7646,0.3094,0.4158,0.3929,-5.1892,-6.2152,2.8232,3,3,2,2,to be
