,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,1,ciamar,Scottish_Gaelic,ADV,499,yes,-13.3104,-4.3943,5.554,0.0795,0.1648,0.8778,10.1914,9.9001,4.6265,1,1,1,1
1,2,a,Scottish_Gaelic,ADJ,347,yes,4.0439,4.7128,1.1251,0.6998,0.4201,0.6487,-1.7399,-5.2201,2.4199,3,3,2,2
2,3,rach,Scottish_Gaelic,NOUN,37,yes,5.3545,9.2605,1.3216,0.7466,0.5475,0.6589,-1.1534,-9.8155,4.9967,3,3,2,2
3,4,do,Scottish_Gaelic,DET,115,yes,3.5915,3.2691,1.1795,0.6836,0.3796,0.6515,-1.9305,-3.7302,1.7289,3,3,2,2
4,5,sibh,Scottish_Gaelic,PRON,76,yes,0.2649,1.9382,2.4075,0.5647,0.3423,0.715,0.45,-0.929,2.1395,3,3,2,2
5,6,an-diugh,Scottish_Gaelic,ADV,144,yes,-3.9513,-1.555,3.8025,0.414,0.2444,0.7872,2.6616,3.7246,2.8276,2,2,1,1
6,2055,ceò,Scottish_Gaelic,NOUN,380,yes,-6.183,-1.2337,1.6968,0.3342,0.2534,0.6783,4.9458,3.866,1.1343,2,2,1,1
7,9,cha,Scottish_Gaelic,PART,23,yes,0.5913,1.7406,1.6613,0.5764,0.3368,0.6764,0.0475,-1.0585,1.4375,3,3,2,2
8,10,bi,Scottish_Gaelic,ADJ,118,yes,11.9583,25.4037,2.7086,0.9827,1.0,0.7306,-1.0619,-29.5131,19.2913,3,3,2,2
9,11,i,Scottish_Gaelic,PRON,15,yes,2.7376,4.6133,1.991,0.6531,0.4173,0.6935,-0.6745,-4.3358,2.9967,3,3,2,2
10,12,ach,Scottish_Gaelic,PART,130,yes,-0.6669,0.5631,-0.3012,0.5314,0.3038,0.5749,0.777,-0.1495,-0.4782,2,2,1,1
11,13,gu,Scottish_Gaelic,PRON,434,yes,-0.7412,0.9249,-2.3767,0.5287,0.3139,0.4676,0.9556,-0.8567,-1.9859,2,2,1,1
12,14,math,Scottish_Gaelic,ADV,126,yes,0.3364,0.3982,-2.8751,0.5673,0.2991,0.4418,-0.1389,-1.1973,-2.3917,2,2,1,1
13,17,fèin,Scottish_Gaelic,PRON,36,yes,0.3162,1.389,0.5041,0.5665,0.3269,0.6166,0.2725,-0.9766,0.2586,2,2,1,1
14,19,faigh,Scottish_Gaelic,NOUN,100,yes,5.3966,8.9292,0.805,0.7481,0.5383,0.6322,-1.2824,-9.5751,4.2206,3,3,2,2
15,20,sinn,Scottish_Gaelic,PRON,43,yes,1.637,2.6444,1.3337,0.6137,0.3621,0.6595,-0.4056,-2.4172,1.5428,3,3,2,2
16,22,air,Scottish_Gaelic,ADV,184,yes,6.0793,8.3637,-0.4078,0.7725,0.5224,0.5694,-2.0178,-10.233,3.911,3,3,2,2
17,24,math,Scottish_Gaelic,ADV,126,yes,2.0557,3.1376,0.1114,0.6287,0.3759,0.5963,-0.4863,-3.259,0.5289,3,3,2,2
18,25,de,Scottish_Gaelic,ADP,21,yes,3.8552,2.7774,0.5178,0.693,0.3658,0.6173,-2.3672,-3.6683,1.0395,3,3,2,2
19,26,iad,Scottish_Gaelic,PRON,7,yes,4.4557,7.4643,2.0559,0.7145,0.4972,0.6969,-1.031,-7.6864,4.6401,3,3,2,2
20,27,ach,Scottish_Gaelic,PART,130,yes,1.7395,3.5889,2.4018,0.6174,0.3886,0.7148,-0.1874,-2.762,2.6262,3,3,2,2
21,28,is,Scottish_Gaelic,SCONJ,241,yes,4.302,5.17,0.8255,0.709,0.4329,0.6332,-1.7332,-5.8546,2.4184,3,3,2,2
22,30,an,Scottish_Gaelic,PROPN,227,yes,8.1233,7.985,1.436,0.8456,0.5118,0.6648,-4.1628,-10.1161,5.1791,3,3,2,2
