,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
11,16,sa,Slovak,PRON,2,yes,0.8126,-4.5068,2.7648,0.6332,0.5739,0.7151,0.2489,-3.5713,3.2852,5,4,3,2,with
33,47,na,Slovak,ADP,4,yes,-2.2799,-10.774,1.4642,0.5136,0.3598,0.6496,-2.1777,-9.8796,5.0398,3,2,2,2,on the
63,100,v,Slovak,ADP,5,yes,-2.7573,-9.9717,0.9614,0.4951,0.3872,0.6243,-2.5388,-9.253,4.0857,3,2,2,2,in
5,8,to,Slovak,DET,6,yes,1.0778,-13.8982,2.7147,0.6435,0.2531,0.7126,0.9206,-12.3891,7.879,3,2,2,2,that
49,77,on,Slovak,PRON,7,yes,1.4386,-9.8158,2.2424,0.6574,0.3925,0.6888,1.2451,-8.7236,5.4414,5,4,3,2,he
42,65,ja,Slovak,PRON,8,yes,1.0125,-8.047,2.9038,0.641,0.453,0.7221,0.6427,-6.9004,5.1574,5,4,3,2,me
88,155,že,Slovak,SCONJ,9,yes,1.3213,-6.1115,3.297,0.6529,0.5191,0.7419,0.8991,-4.8791,4.72,5,4,3,2,that
152,319,s,Slovak,ADP,10,yes,-2.2283,-5.9435,0.173,0.5156,0.5248,0.5846,-2.0618,-5.7436,1.7182,5,4,3,2,with
106,203,mať,Slovak,VERB,11,yes,0.5936,-21.3063,3.4955,0.6247,0.0,0.7519,0.3672,-19.3032,12.3584,3,2,2,2,have got
16,24,z,Slovak,ADP,12,yes,-2.3661,-6.5692,0.6219,0.5102,0.5034,0.6072,-2.2051,-6.1898,2.4413,5,4,3,2,from
57,89,do,Slovak,ADP,13,yes,-2.8235,-4.6222,0.7264,0.4925,0.57,0.6125,-2.6836,-4.3211,1.6953,5,4,3,2,to
78,141,o,Slovak,ADP,14,yes,-2.151,-4.6699,0.7302,0.5185,0.5683,0.6126,-2.0353,-4.291,1.7525,5,4,3,2,about
79,144,ktorý,Slovak,DET,15,yes,0.5976,-4.6446,2.4816,0.6249,0.5692,0.7008,0.3372,-3.7516,3.572,5,4,3,2,which
93,171,byť,Slovak,VERB,16,yes,0.4999,-16.4365,1.7084,0.6211,0.1664,0.6619,0.4797,-15.1243,7.9969,3,2,2,2,a flat
9,11,byť,Slovak,VERB,16,yes,0.1476,-21.0177,3.9927,0.6075,0.0099,0.7769,-0.1316,-18.8901,12.6005,3,2,2,2,a flat
306,1036,ona,Slovak,PRON,17,yes,2.4389,-5.4552,2.2601,0.6961,0.5415,0.6897,2.216,-4.4856,3.7838,5,4,3,2,she
