,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2
0,2,tisti,Slovenian,DET,99,yes,-2.4301,-2.5214,-1.1837,0.4522,0.6646,0.4934,2.7425,-1.4017,1.91,4,4,3,2
1,3,večer,Slovenian,NOUN,344,yes,-6.7989,1.7197,1.3034,0.2803,0.7976,0.649,6.5481,3.0431,-0.3378,2,2,2,2
2,4,biti,Slovenian,VERB,12,yes,3.4734,-17.2466,-4.6112,0.6844,0.203,0.2788,-0.8475,-15.9883,10.9276,3,3,3,2
3,4100,sodnik,Slovenian,NOUN,483,yes,4.829,2.5278,-1.1,0.7378,0.8229,0.4986,-5.2811,1.4901,-0.254,1,1,1,1
4,2055,poiskati,Slovenian,VERB,461,yes,-2.3874,-0.074,-1.179,0.4539,0.7413,0.4936,1.9289,0.8121,0.9993,2,2,2,2
5,8,zgoditi,Slovenian,VERB,187,yes,-0.8862,-4.3902,-1.5631,0.5129,0.606,0.4696,1.4489,-3.3811,2.235,4,4,3,2
6,9,se,Slovenian,PRON,4,yes,1.5697,-4.4943,-4.0275,0.6096,0.6028,0.3154,-1.2942,-3.441,4.6093,4,4,3,2
7,10,mesec,Slovenian,NOUN,155,yes,0.2453,-3.7086,1.3394,0.5574,0.6274,0.6513,0.686,-3.8105,-0.6681,4,4,3,2
8,11,dan,Slovenian,NOUN,44,yes,1.1964,-5.9903,0.9098,0.5949,0.5559,0.6244,0.2622,-6.0351,0.8877,4,4,3,2
9,12,po,Slovenian,ADP,16,yes,3.9565,-2.5342,-1.5727,0.7035,0.6642,0.469,-3.4839,-2.8953,1.6869,5,4,3,2
10,13,ta,Slovenian,DET,10,yes,2.5245,-13.8557,-3.435,0.6471,0.3093,0.3524,-0.3094,-12.7931,8.3087,3,3,3,2
11,14,ko,Slovenian,SCONJ,22,yes,1.1241,-3.4632,-1.7082,0.592,0.6351,0.4605,-0.7956,-3.0389,1.828,4,4,3,2
12,15,izvedeti,Slovenian,VERB,368,yes,-2.0506,-2.4465,-1.7536,0.4671,0.667,0.4577,2.2036,-1.2844,2.1651,4,4,3,2
13,16,da,Slovenian,SCONJ,6,yes,1.9174,-8.0776,-3.7178,0.6232,0.4904,0.3347,-0.9147,-7.0328,5.6601,4,4,3,2
14,17,jaz,Slovenian,PRON,21,yes,-1.1625,-4.7467,-1.9081,0.5021,0.5949,0.448,1.7662,-3.6421,3.0383,4,4,3,2
15,2066,mnenje,Slovenian,NOUN,154,yes,-0.119,-1.8027,4.0881,0.5431,0.6871,0.8233,1.2584,-2.6663,-3.1559,5,4,3,2
16,2069,mogoč,Slovenian,ADJ,143,yes,-2.0118,-3.1224,-1.462,0.4687,0.6458,0.4759,2.2547,-1.9931,1.8736,4,4,3,2
17,22,v,Slovenian,ADP,2,yes,5.6549,-9.2881,-1.3142,0.7703,0.4525,0.4852,-3.7513,-9.7312,4.0033,4,4,3,2
18,2071,oziroma,Slovenian,CCONJ,202,yes,-4.4937,1.8071,3.1136,0.371,0.8003,0.7623,4.2381,1.714,-2.6456,2,2,2,2
19,27,ob,Slovenian,ADP,37,yes,3.4041,-0.4729,0.544,0.6817,0.7288,0.6015,-2.9986,-1.357,-0.7724,5,4,3,2
20,30,začeti,Slovenian,VERB,94,yes,-1.2985,-4.4893,-1.012,0.4967,0.6029,0.5041,1.9026,-3.5786,1.8528,4,4,3,2
21,32,on,Slovenian,PRON,8,yes,1.0269,-7.8886,-2.397,0.5882,0.4964,0.4174,0.2194,-6.9595,4.6143,4,4,3,2
22,36,priti,Slovenian,VERB,58,yes,1.5734,-8.6404,-0.1093,0.6097,0.4728,0.5606,0.1666,-8.3858,2.5935,4,4,3,2
23,37,do,Slovenian,ADP,32,yes,2.8398,-1.5635,-0.0019,0.6595,0.6946,0.5673,-2.3921,-2.0667,-0.1542,5,4,3,2
24,39,in,Slovenian,CCONJ,3,yes,3.7855,-16.2317,-3.3364,0.6967,0.2348,0.3586,-1.1075,-15.3689,9.1327,3,3,3,2
25,41,sploh,Slovenian,PART,140,yes,-3.4835,1.0058,-3.5411,0.4108,0.7752,0.3458,2.4982,2.6008,2.958,2,2,2,2
26,2089,podjetje,Slovenian,NOUN,81,yes,0.7061,-3.4767,2.8736,0.5756,0.6347,0.7473,0.5915,-4.1025,-1.8801,4,4,3,2
27,43,kaj,Slovenian,PRON,68,yes,-3.1299,-2.3421,-2.8694,0.4247,0.6702,0.3878,3.0544,-0.6312,3.2648,2,2,2,2
28,44,šele,Slovenian,PART,123,yes,-5.0859,2.2167,-3.4537,0.3477,0.8131,0.3513,3.8141,4.0996,3.0051,2,2,2,2
