,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2,trans
0,1,el,Spanish,DET,1,yes,10.135,20.1604,-4.031,0.8996,0.9764,0.2968,4,3,3,2,the
1,3,de,Spanish,ADP,2,yes,10.4321,20.9088,-4.4982,0.9114,1.0,0.2761,4,3,3,2,of
2,5,y,Spanish,CCONJ,3,yes,7.8831,13.5705,-2.9976,0.8102,0.7689,0.3425,4,3,3,2,Y
6,15,a,Spanish,ADP,4,yes,8.6927,17.4213,-3.3116,0.8424,0.8902,0.3286,4,3,3,2,a
16,35,él,Spanish,PRON,5,yes,5.5634,9.6441,-4.392,0.7181,0.6453,0.2808,5,4,3,2,the
13,31,en,Spanish,ADP,6,yes,7.0473,11.7616,-0.9883,0.7771,0.712,0.4315,4,3,3,2,in
30,59,que,Spanish,PRON,9,yes,5.226,8.2058,-3.6222,0.7048,0.6,0.3149,5,4,3,2,that
22,44,que,Spanish,PRON,9,yes,5.1825,7.581,-3.5585,0.703,0.5803,0.3177,5,4,3,2,that
12,28,ser,Spanish,AUX,10,yes,6.2258,10.0452,-3.6368,0.7444,0.6579,0.3143,5,4,3,2,be
25,49,por,Spanish,ADP,11,yes,5.5151,6.268,0.1586,0.7162,0.539,0.4822,5,4,3,2,by
73,136,haber,Spanish,AUX,12,yes,5.5852,8.4759,-3.679,0.719,0.6085,0.3124,5,4,3,2,to have
18,38,su,Spanish,DET,13,yes,8.6663,0.6281,-0.4097,0.8413,0.3614,0.4571,5,4,3,2,its
54,102,con,Spanish,ADP,14,yes,5.3006,3.6402,0.7545,0.7077,0.4562,0.5086,5,4,3,2,with
32,65,para,Spanish,ADP,16,yes,5.4564,3.824,-2.3599,0.7139,0.462,0.3708,5,4,3,2,for
106,208,más,Spanish,ADV,17,yes,2.5438,3.8652,0.451,0.5983,0.4633,0.4952,5,4,3,2,plus
