,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
40,81,ve,Turkish,CCONJ,2,yes,3.7672,-11.8818,-3.9857,0.6724,0.2695,0.1852,-0.4083,-12.0001,5.8232,4,3,3,2,and
25,47,bu,Turkish,PRON,5,yes,2.3669,-8.1407,-3.6943,0.6199,0.3916,0.2001,-0.1801,-7.8368,5.1248,5,4,3,2,this
49,99,bu,Turkish,PRON,5,yes,1.8696,-7.308,-3.0652,0.6013,0.4188,0.2321,0.1239,-6.9542,4.3155,5,4,3,2,this
44,91,için,Turkish,ADP,6,yes,2.8855,-5.5937,-3.1647,0.6393,0.4747,0.227,-1.2365,-5.7105,3.7038,5,4,3,2,for  
38,71,daha,Turkish,ADV,7,yes,2.858,-2.1714,0.0894,0.6383,0.5865,0.3929,-1.7729,-3.098,-0.4459,5,4,3,2,more    
144,327,%,Turkish,NUM,8,yes,6.5771,-0.2748,2.3803,0.7777,0.6484,0.5097,-5.5463,-2.867,-2.7304,1,1,1,1,%
31,57,bay,Turkish,NOUN,9,yes,12.5054,6.6101,3.3971,1.0,0.8731,0.5615,-13.1062,0.8806,-5.7239,1,1,1,1,Mr
10,24,hisse,Turkish,NOUN,11,yes,1.8675,-8.4165,-1.7928,0.6012,0.3826,0.297,0.8413,-8.1763,4.1216,5,4,3,2,share
69,135,da,Turkish,CCONJ,12,yes,2.2302,-4.8933,-1.3373,0.6148,0.4976,0.3202,-0.5923,-5.0891,1.9271,5,4,3,2,in
210,454,şirket,Turkish,NOUN,14,yes,2.7098,-11.5243,-3.6567,0.6328,0.2811,0.202,0.5325,-11.2304,5.425,4,3,3,2,company 
165,361,dolar,Turkish,NOUN,15,yes,0.3683,-5.2679,0.3072,0.545,0.4854,0.404,1.5431,-4.9512,0.8573,5,4,3,2,dollar
310,807,söyle,Turkish,VERB,19,yes,1.3825,-3.9207,-3.5192,0.583,0.5294,0.209,-0.5976,-3.5919,3.7186,5,4,3,2,say
121,247,ancak,Turkish,CCONJ,20,yes,-0.748,-3.439,-2.1083,0.5031,0.5451,0.2809,1.5084,-2.6636,2.5636,5,4,3,2,however
132,284,ama,Turkish,CCONJ,21,yes,-0.3568,-2.6452,-1.8748,0.5178,0.571,0.2928,0.8931,-2.1086,1.8669,5,4,3,2,but
420,1371,piyasa,Turkish,NOUN,23,yes,1.9565,-5.3238,-1.9745,0.6045,0.4836,0.2877,-0.355,-5.312,2.7411,5,4,3,2,market
107,217,değil,Turkish,AUX,25,yes,4.6978,-0.4719,-3.0649,0.7073,0.6419,0.2321,-4.5781,-1.7414,1.8111,5,4,3,2,not
11,25,fiyat,Turkish,NOUN,26,yes,-0.3949,-6.0742,-1.724,0.5164,0.4591,0.3005,2.1388,-5.1569,3.1501,5,4,3,2,price
96,196,tahvil,Turkish,NOUN,27,yes,2.7044,-3.9299,-0.8182,0.6326,0.5291,0.3466,-1.0391,-4.4478,1.1127,5,4,3,2,bond
112,230,de,Turkish,VERB,29,yes,0.2208,-3.9501,-2.6704,0.5394,0.5284,0.2522,0.6647,-3.3014,3.057,5,4,3,2,also
63,129,de,Turkish,VERB,29,yes,4.7762,-5.7317,1.8289,0.7102,0.4702,0.4816,-2.0112,-7.1883,-2.0362,5,4,3,2,also
146,329,büyük,Turkish,ADJ,30,yes,1.3679,-3.6041,-0.2086,0.5825,0.5397,0.3777,-0.0786,-3.76,0.529,5,4,3,2,large
296,749,iş,Turkish,NOUN,31,yes,-0.1841,-5.6132,-1.6386,0.5243,0.4741,0.3048,1.6979,-4.8637,2.7758,5,4,3,2,work
50,103,ol,Turkish,ADJ,36,yes,4.1677,-13.718,-5.1131,0.6874,0.2095,0.1277,-0.3709,-13.5779,7.3867,4,3,3,2,die
65,131,ol,Turkish,ADJ,36,yes,2.9641,-5.5841,-0.834,0.6423,0.4751,0.3458,-0.879,-6.0083,1.4407,5,4,3,2,die
208,452,ol,Turkish,ADJ,36,yes,1.6467,-7.5385,-1.8722,0.5929,0.4113,0.2929,0.6537,-7.257,3.3597,5,4,3,2,die
19,36,ol,Turkish,ADJ,36,yes,4.2795,-17.1754,-6.7168,0.6916,0.0967,0.046,0.2387,-16.6668,10.3414,4,3,3,2,die
264,632,en,Turkish,ADV,37,yes,2.9982,-0.6389,2.5958,0.6436,0.6365,0.5207,-2.1355,-2.0757,-2.8806,5,4,3,2,most
98,198,iki,Turkish,NUM,39,yes,4.3925,-1.4101,0.0372,0.6958,0.6113,0.3902,-3.4611,-2.9143,-0.5498,5,4,3,2,two
231,503,puan,Turkish,NOUN,42,yes,4.4555,-1.8655,1.5776,0.6982,0.5964,0.4688,-3.0712,-3.4576,-1.5835,5,4,3,2,point
32,60,şekil,Turkish,NOUN,43,yes,-1.1975,-4.0637,0.4789,0.4863,0.5247,0.4128,2.638,-3.3551,0.2603,5,4,3,2,shape
18,31,yeni,Turkish,ADJ,45,yes,0.7529,-1.8467,-1.1997,0.5594,0.5971,0.3272,-0.1714,-1.7757,1.1169,5,4,3,2,new
158,347,taraf,Turkish,NOUN,46,yes,0.7904,-2.6384,-1.2978,0.5608,0.5712,0.3222,0.0301,-2.5951,1.33,5,4,3,2,side
189,416,teklif,Turkish,NOUN,47,yes,-1.4513,-3.2485,-2.7117,0.4768,0.5513,0.2501,1.8927,-2.1468,3.2568,5,4,3,2,offer
76,149,kendi,Turkish,PRON,49,yes,0.0015,-1.9028,-1.6116,0.5312,0.5952,0.3062,0.3291,-1.5408,1.3951,5,4,3,2,own
110,226,kadar,Turkish,ADP,50,yes,2.2781,-0.0524,-1.4964,0.6166,0.6556,0.3121,-2.0629,-0.6592,0.8491,5,4,3,2,until
323,857,işlem,Turkish,NOUN,52,yes,0.8602,-3.5079,-0.2608,0.5634,0.5428,0.3751,0.4499,-3.4245,0.6179,5,4,3,2,process
111,229,et,Turkish,ADJ,54,yes,2.238,-9.2407,-2.9979,0.6151,0.3557,0.2355,0.4199,-8.8619,4.9678,5,4,3,2,meat
