,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,pc1is,pc2is,pc3is,nc5,nc4,nc3,nc2,trans
18,38,на,Ukrainian,ADP,2,yes,1.1814,-12.7182,1.6537,0.7792,0.0491,0.6196,-1.3128,-11.9347,6.0659,3,3,2,2,on
0,1,у,Ukrainian,ADP,3,yes,0.8075,-10.9948,1.8499,0.7631,0.1241,0.6306,-1.5506,-10.2604,5.2529,3,3,2,2,in
22,44,з,Ukrainian,ADP,4,yes,0.6722,-11.0,1.4102,0.7573,0.1239,0.6059,-1.5869,-10.3438,4.7906,3,3,2,2,with
51,103,не,Ukrainian,PART,5,yes,3.1464,-6.9234,4.1641,0.8637,0.3013,0.7611,0.8254,-6.2,6.2448,3,3,2,2,not
76,169,в,Ukrainian,ADP,6,yes,0.7636,-11.0846,1.5336,0.7613,0.1202,0.6128,-1.5224,-10.3829,5.099,3,3,2,2,in
8,17,він,Ukrainian,PRON,8,yes,4.5812,-7.1637,2.9199,0.9254,0.2909,0.691,2.4718,-6.9622,5.567,3,3,2,2,he
41,79,до,Ukrainian,ADP,10,yes,0.5529,-7.8216,1.3428,0.7522,0.2622,0.6021,-1.1534,-7.2655,3.2713,3,3,2,2,to
5,12,та,Ukrainian,CCONJ,11,yes,-0.031,-5.401,1.2801,0.7271,0.3676,0.5985,-1.287,-4.7979,1.9495,3,3,2,2,and
240,592,ми,Ukrainian,PRON,13,yes,4.4112,-7.5108,3.2477,0.918,0.2758,0.7094,2.1422,-7.1855,6.1653,3,3,2,2,we
133,327,я,Ukrainian,PRON,14,yes,4.2376,-5.399,3.2345,0.9106,0.3677,0.7087,2.4044,-5.1512,5.3359,3,3,2,2,I
140,341,який,Ukrainian,DET,15,yes,4.078,-5.5093,2.5308,0.9037,0.3629,0.669,2.451,-5.4154,4.5923,3,3,2,2,which
43,82,вони,Ukrainian,PRON,16,yes,4.1868,-6.3337,1.7539,0.9084,0.327,0.6252,2.554,-6.3521,4.225,3,3,2,2,they
34,60,вона,Ukrainian,PRON,17,yes,4.6081,-4.9907,2.011,0.9265,0.3855,0.6397,3.0916,-5.0767,3.9047,3,3,2,2,she
36,65,за,Ukrainian,ADP,18,yes,0.5148,-5.1258,0.444,0.7506,0.3796,0.5514,-0.5166,-4.893,1.523,3,3,2,2,by
170,415,той,Ukrainian,DET,19,yes,0.8408,-6.8652,1.7957,0.7646,0.3039,0.6276,-0.853,-6.3321,3.8429,3,3,2,2,that
20,42,це,Ukrainian,PRON,20,yes,2.4613,-5.3077,2.0579,0.8342,0.3717,0.6424,0.9693,-5.0251,3.8502,3,3,2,2,it
105,248,цей,Ukrainian,DET,21,yes,-0.9749,-5.624,0.2217,0.6865,0.3579,0.5389,-1.8732,-5.2563,1.2575,3,3,2,2,this
83,194,бути,Ukrainian,VERB,23,yes,0.5321,-6.5499,1.4132,0.7513,0.3176,0.606,-0.9646,-5.9853,2.856,3,3,2,2,to be
3,6,бути,Ukrainian,VERB,23,yes,3.8986,-13.847,2.5977,0.896,0.0,0.6728,0.7796,-13.215,7.9583,3,3,2,2,to be
16,32,свій,Ukrainian,DET,25,yes,-0.6983,-2.7238,1.0887,0.6984,0.4841,0.5877,-1.2642,-2.3784,1.4253,5,4,3,2,your
204,492,й,Ukrainian,CCONJ,26,yes,2.4573,-3.5304,1.6266,0.8341,0.449,0.6181,1.2975,-3.3078,2.4788,5,4,3,2,and
12,25,й,Ukrainian,CCONJ,26,yes,-1.3788,-2.7617,0.6802,0.6692,0.4825,0.5647,-2.0256,-2.3341,0.2981,5,4,3,2,and
190,444,для,Ukrainian,ADP,27,yes,-0.2104,-2.8633,0.0264,0.7194,0.478,0.5279,-0.719,-2.678,0.2292,5,4,3,2,for
10,19,від,Ukrainian,ADP,28,yes,-1.9252,-3.1301,0.8052,0.6457,0.4664,0.5718,-2.592,-2.5401,0.6193,5,4,3,2,from
53,107,про,Ukrainian,ADP,29,yes,0.0333,-1.5802,-0.3296,0.7299,0.5339,0.5078,-0.3301,-1.413,-0.5025,5,4,3,2,about
189,443,але,Ukrainian,CCONJ,30,yes,2.8973,-0.3336,2.5318,0.853,0.5881,0.6691,2.0275,-0.2071,2.56,5,4,3,2,but
27,52,і,Ukrainian,PART,31,yes,2.9204,-13.8212,2.7118,0.854,0.0011,0.6792,-0.1271,-13.0051,7.7467,3,3,2,2,and
29,55,і,Ukrainian,PART,31,yes,1.8101,-3.0672,1.4492,0.8062,0.4692,0.6081,0.758,-2.6738,1.6158,5,4,3,2,and
65,140,весь,Ukrainian,DET,32,yes,1.9595,-2.5797,0.88,0.8127,0.4904,0.576,1.2634,-2.5763,1.6856,5,4,3,2,all
211,504,казати,Ukrainian,VERB,34,yes,3.7837,-7.0908,3.1155,0.8911,0.2941,0.702,1.6816,-6.6269,5.4071,3,3,2,2,say
68,148,такий,Ukrainian,DET,36,yes,2.0728,-3.8256,-0.3257,0.8175,0.4362,0.508,1.3584,-3.961,0.644,5,4,3,2,such
356,1096,ти,Ukrainian,PRON,37,yes,4.5564,-0.8463,3.6705,0.9243,0.5658,0.7333,3.4383,-0.7686,4.3699,5,4,3,2,you
171,416,час,Ukrainian,NOUN,39,yes,2.8034,-3.3014,-0.0661,0.8489,0.459,0.5226,2.1031,-3.6616,1.5508,5,4,3,2,time
324,934,його,Ukrainian,DET,40,yes,-5.8765,-3.155,0.7612,0.4758,0.4653,0.5693,-6.3054,-2.0293,-0.2366,2,2,1,1,him
72,156,навіть,Ukrainian,PART,42,yes,2.5238,-0.7805,-0.0618,0.8369,0.5687,0.5229,2.1994,-1.1149,0.3774,5,4,3,2,even
202,489,могти,Ukrainian,VERB,43,yes,4.6632,-10.6065,1.8346,0.9289,0.141,0.6298,2.1956,-10.383,5.8899,3,3,2,2,be able
42,80,те,Ukrainian,PRON,44,yes,4.0122,-5.0523,2.6872,0.9009,0.3828,0.6778,2.3939,-4.9187,4.6548,3,3,2,2,that
287,771,себе,Ukrainian,PRON,45,yes,4.3074,-1.2925,0.8412,0.9136,0.5464,0.5738,3.7327,-1.8189,2.0323,5,4,3,2,himself
150,356,що,Ukrainian,PRON,46,yes,3.3399,-2.4739,1.5593,0.872,0.495,0.6143,2.3995,-2.5503,2.5589,5,4,3,2,what
50,102,що,Ukrainian,PRON,46,yes,2.5602,-5.4491,3.7548,0.8385,0.3655,0.738,0.5982,-4.7899,5.0761,3,3,2,2,what
223,544,під,Ukrainian,ADP,47,yes,-3.0487,-1.5753,-0.9228,0.5974,0.5341,0.4744,-3.0493,-1.1596,-1.7402,2,2,1,1,under
