,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,5,ὅδε,Ancient_Greek,DET,175,yes,-3.0308,2.0367,-2.3053,0.1735,0.3223,0.0921,3,2,1,1
1,6,ὡς,Ancient_Greek,ADV,46,yes,2.5669,-1.2608,-0.5135,0.3657,0.0734,0.2621,5,4,3,2
2,8,ὁ,Ancient_Greek,ADJ,306,yes,21.0338,11.016,2.9946,1.0,1.0,0.5951,4,3,2,2
3,9,γίγνομαι,Ancient_Greek,VERB,19,yes,16.2506,7.6051,2.5591,0.8357,0.7426,0.5538,4,3,2,2
4,10,ἐκ,Ancient_Greek,ADP,20,yes,3.2126,-0.1263,-2.0012,0.3879,0.159,0.1209,5,4,3,2
5,11,ἄνθρωπος,Ancient_Greek,NOUN,74,yes,2.3944,-1.2887,-0.2863,0.3598,0.0713,0.2837,5,4,3,2
6,12,χρόνος,Ancient_Greek,NOUN,78,yes,2.0581,-0.9769,-1.2032,0.3483,0.0948,0.1967,1,1,1,1
7,2056,μίλητος,Ancient_Greek,PROPN,230,yes,-1.2456,0.4522,-0.7158,0.2348,0.2027,0.2429,1,1,1,1
8,14,ἔργον,Ancient_Greek,NOUN,177,yes,1.0085,-1.0858,-0.4207,0.3122,0.0866,0.2709,1,1,1,1
9,15,μέγας,Ancient_Greek,ADJ,40,yes,2.991,-1.2937,-0.5725,0.3803,0.0709,0.2565,5,4,3,2
10,16,τε,Ancient_Greek,ADV,460,yes,8.4682,0.4698,-0.4645,0.5684,0.204,0.2668,5,4,3,2
11,17,καί,Ancient_Greek,ADV,22,yes,17.5339,7.8444,2.8159,0.8798,0.7606,0.5781,4,3,2,2
12,19,ὁ,Ancient_Greek,ADJ,306,yes,9.046,0.7496,0.0091,0.5883,0.2251,0.3117,5,4,3,2
13,20,μέν,Ancient_Greek,ADV,6,yes,6.8389,-0.2429,-0.4998,0.5125,0.1502,0.2634,5,4,3,2
14,21,ἕλλην,Ancient_Greek,NOUN,70,yes,2.379,-1.9648,0.6979,0.3593,0.0203,0.3771,5,4,3,2
15,22,δέ,Ancient_Greek,ADV,2,yes,14.325,5.7991,1.9338,0.7696,0.6062,0.4944,4,3,2,2
16,2067,χῖος,Ancient_Greek,NOUN,445,yes,-2.8,1.2782,0.87,0.1814,0.265,0.3935,2,2,1,1
17,24,ἀποδείκνυμι,Ancient_Greek,VERB,251,yes,1.0181,-1.357,0.1083,0.3125,0.0661,0.3212,1,1,1,1
18,26,ἄλλος,Ancient_Greek,DET,162,yes,5.5311,-0.4125,-0.7038,0.4675,0.1374,0.2441,5,4,3,2
19,27,διά,Ancient_Greek,ADP,81,yes,-0.7794,0.2683,-1.6079,0.2508,0.1888,0.1583,1,1,1,1
20,28,ὅς,Ancient_Greek,PRON,36,yes,3.4336,-1.3605,-0.5713,0.3955,0.0659,0.2567,5,4,3,2
21,29,αἰτία,Ancient_Greek,NOUN,376,yes,-1.4235,-0.335,1.3731,0.2287,0.1433,0.4412,1,1,1,1
22,2074,καθά,Ancient_Greek,ADV,244,yes,-1.1092,-0.1112,0.1981,0.2395,0.1602,0.3297,1,1,1,1
23,31,ἀλλήλων,Ancient_Greek,PRON,288,yes,-2.3646,1.3243,-1.2873,0.1964,0.2685,0.1887,3,2,1,1
24,32,πέρσης,Ancient_Greek,NOUN,34,yes,3.7166,-1.4,-0.2565,0.4052,0.0629,0.2865,5,4,3,2
25,33,νυν,Ancient_Greek,ADV,68,yes,0.6646,-1.3169,-0.0217,0.3004,0.0692,0.3088,1,1,1,1
26,35,φοῖνιξ,Ancient_Greek,NOUN,137,yes,-0.7158,-0.9234,1.5421,0.253,0.0989,0.4572,1,1,1,1
27,37,φημί,Ancient_Greek,VERB,91,yes,3.768,-1.6896,0.7901,0.407,0.041,0.3859,5,4,3,2
28,39,οὗτος,Ancient_Greek,DET,14,yes,12.0184,2.6075,0.6034,0.6904,0.3654,0.3681,5,4,3,2
29,40,γάρ,Ancient_Greek,ADV,13,yes,3.7573,-1.0526,-0.711,0.4066,0.0891,0.2434,5,4,3,2
30,41,ἀπό,Ancient_Greek,ADP,42,yes,0.7069,-0.2557,-1.9402,0.3019,0.1492,0.1267,1,1,1,1
31,43,καλέω,Ancient_Greek,VERB,69,yes,3.4336,-1.0428,-0.8306,0.3955,0.0898,0.232,5,4,3,2
32,44,θάλασσα,Ancient_Greek,NOUN,119,yes,0.7351,-0.6276,-1.3191,0.3028,0.1212,0.1857,1,1,1,1
33,45,ἀφικνέομαι,Ancient_Greek,VERB,47,yes,7.5769,0.1309,-0.3797,0.5378,0.1784,0.2748,5,4,3,2
34,46,ἐπί,Ancient_Greek,ADP,15,yes,3.2773,-0.1433,-2.0884,0.3901,0.1577,0.1127,5,4,3,2
35,47,οἰκέω,Ancient_Greek,VERB,98,yes,3.2073,-1.2596,-0.4823,0.3877,0.0735,0.2651,5,4,3,2
36,48,οὗτος,Ancient_Greek,DET,14,yes,3.6913,-0.2211,-1.9305,0.4044,0.1519,0.1276,5,4,3,2
37,49,χῶρος,Ancient_Greek,NOUN,145,yes,1.7158,-1.3158,-0.4538,0.3365,0.0692,0.2678,1,1,1,1
38,50,νῦν,Ancient_Greek,ADV,79,yes,0.5821,-1.1051,-0.1962,0.2976,0.0851,0.2923,1,1,1,1
39,51,αὐτίκα,Ancient_Greek,ADV,270,yes,-3.7958,2.2454,0.1207,0.1472,0.338,0.3223,3,2,1,1
40,53,μακρός,Ancient_Greek,ADJ,268,yes,-2.6878,1.1753,-0.021,0.1853,0.2573,0.3089,3,2,1,1
41,2104,ἐπιδαύριος,Ancient_Greek,ADJ,455,yes,-2.1351,0.9988,-0.4367,0.2042,0.2439,0.2694,3,2,1,1
42,57,αἰγύπτιος,Ancient_Greek,ADJ,321,yes,-0.9365,-0.121,0.4014,0.2454,0.1594,0.349,1,1,1,1
43,58,ἀσσύριος,Ancient_Greek,ADJ,480,yes,-2.2631,0.1861,2.283,0.1998,0.1826,0.5276,2,2,1,1
44,61,δή,Ancient_Greek,ADV,12,yes,5.4965,-0.7806,-0.5941,0.4664,0.1096,0.2545,5,4,3,2
45,62,καί,Ancient_Greek,ADV,22,yes,5.3611,-0.6727,-0.5002,0.4617,0.1178,0.2634,5,4,3,2
46,63,εἰς,Ancient_Greek,SCONJ,280,yes,4.3578,0.1216,-2.1086,0.4272,0.1777,0.1107,5,4,3,2
47,66,ἅπας,Ancient_Greek,ADJ,267,yes,-1.1897,-0.0091,-0.1653,0.2367,0.1679,0.2952,1,1,1,1
48,67,ἐν,Ancient_Greek,ADP,11,yes,2.473,-0.4427,-1.7244,0.3625,0.1351,0.1472,5,4,3,2
49,68,ἑλλάς,Ancient_Greek,PROPN,435,yes,-1.7355,0.5726,-0.1826,0.218,0.2118,0.2935,2,2,1,1
50,69,χώρα,Ancient_Greek,NOUN,56,yes,3.4602,-1.0385,-0.8682,0.3964,0.0902,0.2285,5,4,3,2
51,73,ἤ,Ancient_Greek,ADV,165,yes,-1.9522,1.1294,-1.4051,0.2105,0.2538,0.1775,3,2,1,1
52,75,ἡμέρα,Ancient_Greek,NOUN,95,yes,1.785,-1.0105,-0.8938,0.3389,0.0923,0.226,1,1,1,1
53,77,σφεῖς,Ancient_Greek,PRON,17,yes,4.6121,-1.0376,-0.6681,0.436,0.0902,0.2475,5,4,3,2
54,79,πᾶς,Ancient_Greek,ADJ,63,yes,3.2137,-1.357,-0.1257,0.3879,0.0661,0.2989,5,4,3,2
55,80,ἔρχομαι,Ancient_Greek,VERB,117,yes,4.1208,-1.0553,-0.3829,0.4191,0.0889,0.2745,5,4,3,2
56,81,γυνή,Ancient_Greek,NOUN,44,yes,3.8379,-1.0874,-0.4713,0.4094,0.0865,0.2661,5,4,3,2
57,82,πολύς,Ancient_Greek,ADJ,24,yes,5.6978,-0.4262,-0.3053,0.4733,0.1364,0.2819,5,4,3,2
58,83,βασιλεύς,Ancient_Greek,NOUN,39,yes,4.1843,-1.128,-0.4397,0.4213,0.0834,0.2691,5,4,3,2
59,84,θυγάτηρ,Ancient_Greek,NOUN,189,yes,0.9215,-2.2331,1.6839,0.3092,0.0,0.4707,1,1,1,1
60,85,οὗ,Ancient_Greek,PRON,32,yes,1.5243,-0.8825,-1.3126,0.3299,0.1019,0.1863,1,1,1,1
61,86,ὄνομα,Ancient_Greek,NOUN,61,yes,0.1442,-0.7126,-0.0122,0.2825,0.1148,0.3097,1,1,1,1
62,87,εἰμί,Ancient_Greek,AUX,4,yes,14.0935,6.1059,2.0628,0.7616,0.6294,0.5067,4,3,2,2
63,88,κατά,Ancient_Greek,ADP,31,yes,2.0229,-0.7967,-1.3724,0.3471,0.1084,0.1806,1,1,1,1
64,89,αὐτός,Ancient_Greek,ADJ,57,yes,7.7233,0.5599,-0.5341,0.5428,0.2108,0.2602,5,4,3,2
65,90,ὁ,Ancient_Greek,ADJ,306,yes,-1.448,0.6087,-1.0364,0.2278,0.2145,0.2125,3,2,1,1
66,91,λέγω,Ancient_Greek,VERB,16,yes,11.0944,2.2881,0.6688,0.6586,0.3412,0.3744,5,4,3,2
67,94,ἵστημι,Ancient_Greek,VERB,254,yes,0.1716,-0.7792,-0.3555,0.2835,0.1097,0.2771,1,1,1,1
68,2143,κτίζω,Ancient_Greek,VERB,322,yes,-0.5196,-0.2985,-0.3577,0.2597,0.146,0.2769,1,1,1,1
69,96,ναῦς,Ancient_Greek,NOUN,101,yes,1.2697,-1.4889,-0.0373,0.3212,0.0562,0.3073,1,1,1,1
70,99,μάλα,Ancient_Greek,ADV,134,yes,-0.2997,-0.4911,0.0126,0.2673,0.1315,0.3121,1,1,1,1
71,101,ὁρμάω,Ancient_Greek,VERB,253,yes,0.7228,-0.9619,-0.1706,0.3024,0.096,0.2947,1,1,1,1
72,103,σύν,Ancient_Greek,ADP,327,yes,-2.9322,1.3705,-0.2569,0.1769,0.272,0.2865,3,2,1,1
73,104,ἁρπάζω,Ancient_Greek,VERB,464,yes,-1.1125,-0.8937,1.9985,0.2394,0.1011,0.5006,1,1,1,1
74,105,εἰσβάλλω,Ancient_Greek,VERB,447,yes,0.4565,-0.7096,-0.329,0.2933,0.115,0.2797,1,1,1,1
75,106,οἴχομαι,Ancient_Greek,VERB,402,yes,0.4339,-0.7803,-0.3628,0.2925,0.1097,0.2764,1,1,1,1
76,108,αἴγυπτος,Ancient_Greek,PROPN,185,yes,-1.4477,0.3848,-0.6702,0.2278,0.1976,0.2473,2,2,1,1
77,109,οὕτω(ς),Ancient_Greek,ADV,52,yes,1.1094,-1.041,-0.559,0.3157,0.09,0.2578,1,1,1,1
78,110,οὐ,Ancient_Greek,ADV,18,yes,4.013,-1.0865,-0.5447,0.4154,0.0865,0.2592,5,4,3,2
79,111,ὡς,Ancient_Greek,ADV,46,yes,1.9141,-1.5787,-0.2396,0.3433,0.0494,0.2881,1,1,1,1
80,113,πρῶτος,Ancient_Greek,ADJ,66,yes,1.5324,-1.5572,0.5129,0.3302,0.051,0.3596,1,1,1,1
81,114,ἄρχω,Ancient_Greek,VERB,115,yes,3.646,-0.9248,-0.9107,0.4028,0.0987,0.2244,5,4,3,2
82,115,μετά,Ancient_Greek,ADV,130,yes,-2.5561,1.013,0.1303,0.1898,0.245,0.3232,2,2,1,1
83,116,τὶς,Ancient_Greek,ADJ,116,yes,0.6997,-0.5405,-1.2132,0.3016,0.1278,0.1957,1,1,1,1
84,117,ἔχω,Ancient_Greek,VERB,23,yes,15.0387,6.8575,2.5875,0.7941,0.6861,0.5565,4,3,2,2
85,122,εὐρώπη,Ancient_Greek,PROPN,426,yes,-2.2327,1.16,-0.4101,0.2009,0.2561,0.272,3,2,1,1
86,123,ἄν,Ancient_Greek,ADV,53,yes,1.2411,-1.0648,-0.7919,0.3202,0.0882,0.2357,1,1,1,1
87,126,πρός,Ancient_Greek,ADP,33,yes,0.7366,0.0019,-2.0407,0.3029,0.1687,0.1172,1,1,1,1
88,2175,πακτύης,Ancient_Greek,PROPN,341,yes,-1.4415,0.5581,-0.69,0.2281,0.2107,0.2454,1,1,1,1
89,127,δεύτερος,Ancient_Greek,ADJ,169,yes,-0.4254,-0.9355,1.0348,0.263,0.0979,0.4091,1,1,1,1
90,2176,βαβυλών,Ancient_Greek,PROPN,352,yes,-1.9906,0.611,0.1314,0.2092,0.2147,0.3233,2,2,1,1
91,2181,στρατηγός,Ancient_Greek,NOUN,325,yes,-1.2157,-0.0403,0.483,0.2358,0.1655,0.3567,1,1,1,1
92,133,ποταμός,Ancient_Greek,NOUN,77,yes,0.7629,-0.9871,-0.3888,0.3038,0.094,0.274,1,1,1,1
93,134,ἐντεῦθεν,Ancient_Greek,ADV,190,yes,-1.2545,0.1002,0.2372,0.2345,0.1761,0.3334,1,1,1,1
94,136,ἕνεκα,Ancient_Greek,ADP,156,yes,-2.9301,1.0397,0.7459,0.1769,0.247,0.3817,2,2,1,1
95,138,πέμπω,Ancient_Greek,VERB,82,yes,4.4523,-1.1808,-0.3021,0.4305,0.0794,0.2822,5,4,3,2
96,140,κῆρυξ,Ancient_Greek,NOUN,226,yes,-2.6216,0.7549,1.4143,0.1875,0.2255,0.4451,2,2,1,1
97,141,αἰτέω,Ancient_Greek,VERB,249,yes,0.5137,-1.8709,1.2495,0.2952,0.0273,0.4295,1,1,1,1
98,142,δίκη,Ancient_Greek,NOUN,354,yes,-3.2384,0.1783,4.2858,0.1663,0.182,0.7176,2,2,1,1
99,146,οὐδέ,Ancient_Greek,CCONJ,212,yes,-3.004,0.836,1.7996,0.1744,0.2316,0.4817,2,2,1,1
100,147,ἐκεῖνος,Ancient_Greek,ADJ,110,yes,1.2232,-1.0104,-0.7487,0.3196,0.0923,0.2398,1,1,1,1
101,148,ἀργεῖος,Ancient_Greek,ADJ,174,yes,0.0697,-1.0963,0.5912,0.28,0.0858,0.367,1,1,1,1
102,149,δίδωμι,Ancient_Greek,VERB,67,yes,6.6879,-0.0811,-0.1428,0.5073,0.1624,0.2973,5,4,3,2
103,150,οὖν,Ancient_Greek,ADV,48,yes,0.8677,-1.3867,0.1636,0.3074,0.0639,0.3264,1,1,1,1
104,152,ἀλέξανδρος,Ancient_Greek,PROPN,437,yes,-2.475,1.3554,-0.3749,0.1926,0.2709,0.2753,3,2,1,1
105,154,ἀκούω,Ancient_Greek,VERB,146,yes,1.4102,-1.7379,0.4451,0.326,0.0374,0.3531,1,1,1,1
106,155,ἐθέλω,Ancient_Greek,VERB,149,yes,2.8988,-1.5479,-0.2494,0.3771,0.0517,0.2872,5,4,3,2
107,156,ἐπίσταμαι,Ancient_Greek,VERB,334,yes,-0.3158,-0.814,0.469,0.2667,0.1071,0.3554,1,1,1,1
108,158,ὅτι,Ancient_Greek,SCONJ,133,yes,-0.8586,-0.0894,-0.5362,0.2481,0.1618,0.26,1,1,1,1
109,160,δοκέω,Ancient_Greek,VERB,86,yes,3.4302,-1.5974,0.1677,0.3954,0.048,0.3268,5,4,3,2
110,161,ἄγγελος,Ancient_Greek,NOUN,200,yes,-1.8606,0.0209,1.2769,0.2137,0.1701,0.4321,1,1,1,1
111,164,οὐδέ,Ancient_Greek,CCONJ,212,yes,-2.1368,0.5737,0.3047,0.2042,0.2118,0.3398,2,2,1,1
112,165,ἐκδίδωμι,Ancient_Greek,VERB,223,yes,-0.0643,-0.6379,-0.3855,0.2754,0.1204,0.2743,1,1,1,1
113,166,βούλομαι,Ancient_Greek,VERB,89,yes,3.5542,-1.6837,0.6323,0.3996,0.0415,0.3709,5,4,3,2
114,167,παρά,Ancient_Greek,ADP,54,yes,0.1301,-0.1624,-1.7107,0.282,0.1563,0.1485,1,1,1,1
115,168,μέχρι,Ancient_Greek,ADP,224,yes,-3.6826,2.5339,-1.4419,0.1511,0.3598,0.174,3,2,1,1
116,169,μόνος,Ancient_Greek,ADJ,112,yes,0.0383,-0.6664,-0.4044,0.2789,0.1182,0.2725,1,1,1,1
117,170,μεγάλως,Ancient_Greek,ADV,396,yes,-5.7256,6.3403,-3.1621,0.0809,0.6471,0.0108,3,2,1,1
118,171,στρατεύω,Ancient_Greek,VERB,128,yes,2.5914,-2.0889,0.8975,0.3666,0.0109,0.3961,5,4,3,2
119,172,ἀσία,Ancient_Greek,PROPN,151,yes,0.321,-0.5361,-0.8068,0.2886,0.1281,0.2343,1,1,1,1
120,173,ἤ,Ancient_Greek,ADV,165,yes,-0.0251,-0.6008,-0.4795,0.2767,0.1232,0.2654,1,1,1,1
121,174,ἀνήρ,Ancient_Greek,NOUN,28,yes,6.6608,0.0133,-0.7013,0.5063,0.1696,0.2443,5,4,3,2
122,176,νομίζω,Ancient_Greek,VERB,213,yes,1.0669,-1.3904,0.1661,0.3142,0.0636,0.3266,1,1,1,1
123,178,ποιέω,Ancient_Greek,VERB,21,yes,16.1835,7.6352,2.9608,0.8334,0.7448,0.5919,4,3,2,2
124,185,εἰ,Ancient_Greek,SCONJ,62,yes,0.9025,-1.6012,0.5495,0.3086,0.0477,0.363,1,1,1,1
125,186,μή,Ancient_Greek,SCONJ,299,yes,0.43,-1.5447,0.8958,0.2923,0.052,0.3959,1,1,1,1
126,187,λόγος,Ancient_Greek,NOUN,73,yes,2.8918,-1.4771,-0.0439,0.3769,0.0571,0.3067,5,4,3,2
127,188,οὐδείς,Ancient_Greek,ADJ,96,yes,-1.2154,0.4248,-1.5339,0.2358,0.2006,0.1653,1,1,1,1
128,189,λακεδαιμόνιος,Ancient_Greek,ADJ,97,yes,1.7013,-1.7392,0.1595,0.336,0.0373,0.326,1,1,1,1
129,190,στόλος,Ancient_Greek,NOUN,269,yes,-0.8845,0.1264,-0.9405,0.2472,0.1781,0.2216,1,1,1,1
130,192,ἔπειτα,Ancient_Greek,ADV,361,yes,-4.4962,3.4375,-1.7776,0.1231,0.428,0.1422,3,2,1,1
131,193,δύναμις,Ancient_Greek,NOUN,439,yes,-1.4008,0.4416,-0.6119,0.2295,0.2019,0.2528,1,1,1,1
132,195,ἀεί,Ancient_Greek,ADV,240,yes,-1.5693,-0.0543,1.1428,0.2237,0.1645,0.4193,1,1,1,1
133,2244,καρπός,Ancient_Greek,NOUN,319,yes,-1.9107,1.1692,-1.3189,0.2119,0.2568,0.1857,3,2,1,1
134,197,ἑλληνικός,Ancient_Greek,ADJ,412,yes,-2.3073,1.7854,-1.5281,0.1983,0.3033,0.1658,3,2,1,1
135,198,πολέμιος,Ancient_Greek,ADJ,499,yes,-1.2957,-0.1692,0.7765,0.2331,0.1558,0.3846,1,1,1,1
136,200,ἔθνος,Ancient_Greek,NOUN,123,yes,1.3663,-1.0502,-0.5461,0.3245,0.0893,0.259,1,1,1,1
137,206,εὑρίσκω,Ancient_Greek,VERB,245,yes,0.651,-1.0432,-0.2029,0.2999,0.0898,0.2916,1,1,1,1
138,207,ἀρχή,Ancient_Greek,NOUN,114,yes,1.4915,-1.0605,-1.0672,0.3288,0.0885,0.2096,1,1,1,1
139,209,περί,Ancient_Greek,ADP,55,yes,-0.1563,0.177,-1.7851,0.2722,0.1819,0.1414,1,1,1,1
140,211,χράω,Ancient_Greek,VERB,51,yes,6.0415,-0.4825,-0.2333,0.4851,0.1321,0.2887,5,4,3,2
141,212,ἄγω,Ancient_Greek,VERB,84,yes,5.8185,-0.5173,-0.121,0.4774,0.1295,0.2994,5,4,3,2
142,213,ἀλλά,Ancient_Greek,CCONJ,58,yes,1.3173,-1.3986,-0.3434,0.3228,0.063,0.2783,1,1,1,1
143,214,μείγνυμι,Ancient_Greek,VERB,367,yes,-1.0933,0.0493,-0.7644,0.24,0.1723,0.2383,1,1,1,1
144,216,ἐπεί,Ancient_Greek,SCONJ,72,yes,-0.4165,-0.7495,0.1662,0.2633,0.112,0.3267,1,1,1,1
145,217,μανθάνω,Ancient_Greek,VERB,159,yes,2.2856,-1.5847,-0.1135,0.3561,0.0489,0.3001,1,1,1,1
146,224,ἐγώ,Ancient_Greek,PRON,26,yes,4.1711,-1.248,-0.3745,0.4208,0.0744,0.2753,5,4,3,2
147,226,πως,Ancient_Greek,ADV,403,yes,-3.9794,3.1693,-1.5394,0.1409,0.4078,0.1648,3,2,1,1
