,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,2,رَفَض,Arabic,VERB,329,yes,0.9803,-1.2385,0.1058,0.2453,0.0722,0.7478,4,3,3,2
1,3,حُصُول,Arabic,NOUN,223,yes,1.7506,-1.2574,0.0994,0.2703,0.0709,0.7472,4,3,3,2
2,4,شَرِكَة,Arabic,NOUN,173,yes,0.8201,-0.6881,0.9648,0.2401,0.1101,0.8387,5,4,3,2
3,5,أَمِيرِكِيّ,Arabic,NOUN,364,yes,0.6638,-0.3002,1.3781,0.235,0.1368,0.8824,5,4,3,2
4,6,عَلَى,Arabic,ADP,7,yes,7.0366,1.0784,0.9637,0.4418,0.2317,0.8386,4,3,3,2
5,12,أَلمَانِيّ,Arabic,ADJ,294,yes,-2.7991,1.2056,0.1448,0.1227,0.2404,0.752,2,2,2,2
6,13,15,Arabic,NUM,20,yes,1.0207,-0.3102,0.9598,0.2466,0.1361,0.8382,5,4,3,2
7,15,7,Arabic,NUM,99,yes,-0.4702,-0.4187,-0.9494,0.1982,0.1286,0.6362,5,4,3,2
8,20,أَفَاد,Arabic,VERB,230,yes,1.6072,-1.3478,0.1708,0.2656,0.0647,0.7547,4,3,3,2
9,21,صَحِيفَة,Arabic,NOUN,94,yes,0.8742,-0.8384,0.9909,0.2419,0.0998,0.8415,5,4,3,2
10,22,أَحَد,Arabic,NOUN,72,yes,3.1198,-1.2539,0.1082,0.3147,0.0712,0.7481,4,3,3,2
11,26,فِي,Arabic,ADP,3,yes,17.1961,8.4422,-1.22,0.7715,0.7383,0.6076,1,1,1,1
12,27,عَدَد,Arabic,NOUN,88,yes,2.4488,-0.7711,0.7666,0.293,0.1044,0.8177,4,3,3,2
13,28,هُوَ,Arabic,PRON,2,yes,24.24,12.2455,-3.2871,1.0,1.0,0.389,1,1,1,1
14,30,غَد,Arabic,NOUN,273,yes,-2.1633,0.8145,-0.2823,0.1433,0.2135,0.7068,2,2,2,2
15,32,أَنَّ,Arabic,SCONJ,9,yes,5.2201,-0.735,-0.0127,0.3829,0.1069,0.7353,4,3,3,2
16,36,مَجمُوعَة,Arabic,NOUN,53,yes,2.7132,-0.4843,1.2701,0.3015,0.1241,0.871,4,3,3,2
17,39,لِ,Arabic,CCONJ,263,yes,12.4269,4.8633,-0.7264,0.6167,0.4921,0.6598,1,1,1,1
18,40,2,Arabic,NUM,76,yes,-0.6101,-0.5229,-1.2189,0.1937,0.1215,0.6077,5,4,3,2
19,41,عَبرَ,Arabic,ADP,420,yes,-2.976,2.4016,1.5417,0.1169,0.3227,0.8997,2,2,2,2
20,42,شِرَاء,Arabic,NOUN,485,yes,-1.0722,0.122,-0.0473,0.1787,0.1659,0.7316,5,4,3,2
21,2095,أَقَام,Arabic,VERB,484,yes,0.6192,-0.767,0.9384,0.2336,0.1047,0.8359,5,4,3,2
22,49,وَ,Arabic,CCONJ,1,yes,23.655,11.7897,-2.9245,0.981,0.9686,0.4273,1,1,1,1
23,2100,تَوَقَّع,Arabic,VERB,433,yes,0.1196,-1.3717,-0.8954,0.2174,0.0631,0.6419,5,4,3,2
24,53,مَاضِي,Arabic,ADJ,41,yes,-2.7554,1.4582,0.9496,0.1241,0.2578,0.8371,2,2,2,2
25,55,دَولَة,Arabic,NOUN,28,yes,3.042,-0.4454,0.8229,0.3122,0.1268,0.8237,4,3,3,2
26,56,عَن,Arabic,ADP,12,yes,2.9941,-0.1878,1.2952,0.3106,0.1445,0.8737,4,3,3,2
27,57,اَلَّذِي,Arabic,DET,10,yes,3.71,-0.7173,0.3987,0.3339,0.1081,0.7788,4,3,3,2
28,59,إِلَى,Arabic,ADP,8,yes,9.7133,2.255,0.4925,0.5287,0.3126,0.7887,4,3,3,2
29,2111,قَدَّم,Arabic,VERB,476,yes,1.5035,-1.5823,0.1328,0.2623,0.0486,0.7507,4,3,3,2
30,63,1,Arabic,NUM,197,yes,-1.7733,0.2542,-1.6477,0.156,0.1749,0.5624,5,4,3,2
31,2112,شَكل,Arabic,NOUN,319,yes,-2.181,1.5302,1.4128,0.1427,0.2627,0.8861,2,2,2,2
32,68,سُوق,Arabic,NOUN,477,yes,-1.6682,0.6084,0.0825,0.1594,0.1993,0.7454,5,4,3,2
33,69,كَان,Arabic,AUX,57,yes,13.4619,5.3728,-1.2772,0.6503,0.5271,0.6016,1,1,1,1
34,71,رَسمِيّ,Arabic,ADJ,89,yes,-0.6533,0.0891,1.2512,0.1923,0.1636,0.869,5,4,3,2
35,2120,لُبنَانِيّ,Arabic,ADJ,62,yes,-1.1281,0.0312,0.8053,0.1769,0.1596,0.8218,2,2,2,2
36,2121,طَرَابُلُس,Arabic,NOUN,297,yes,-0.3712,-0.8758,-0.5264,0.2015,0.0972,0.681,5,4,3,2
37,2122,اِستِقبَال,Arabic,NOUN,341,yes,-0.2349,-1.0148,-1.1061,0.2059,0.0876,0.6197,5,4,3,2
38,75,أَخِير,Arabic,ADJ,127,yes,1.1479,-1.4405,-0.0087,0.2507,0.0583,0.7357,4,3,3,2
39,76,لِ,Arabic,CCONJ,263,yes,-3.1798,1.764,0.3462,0.1103,0.2788,0.7733,2,2,2,2
40,2125,بَيرُوت,Arabic,NOUN,296,yes,-0.975,-0.8022,-1.5488,0.1819,0.1023,0.5728,5,4,3,2
