,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,3,хацець,Belarusian,VERB,121,yes,4.1371,1.352,0.3135,0.3614,0.8732,0.1706,4,4,3,2
1,5,у,Belarusian,ADP,1,yes,16.2886,-8.2458,3.6552,0.7996,0.2727,0.5106,1,1,1,1
2,6,беларускі,Belarusian,ADJ,14,yes,3.07,-0.4849,-0.9788,0.3229,0.7583,0.0391,4,4,3,2
3,7,эканоміка,Belarusian,NOUN,375,yes,-1.5395,1.0356,1.855,0.1567,0.8534,0.3274,3,3,2,2
4,2064,нішто,Belarusian,PRON,139,yes,0.8216,1.9266,0.4249,0.2418,0.9092,0.1819,5,4,3,2
5,19,магчымасць,Belarusian,NOUN,341,yes,-0.5322,1.0862,0.7083,0.193,0.8566,0.2107,3,3,2,2
6,20,беларусь,Belarusian,PROPN,10,yes,8.978,-3.8682,1.748,0.536,0.5466,0.3165,2,2,1,1
7,27,сакавік,Belarusian,NOUN,205,yes,-2.9543,0.6194,3.4121,0.1057,0.8274,0.4858,3,3,2,2
8,28,кампанія,Belarusian,NOUN,291,yes,-1.0373,0.1205,0.0005,0.1748,0.7962,0.1387,5,4,3,2
9,31,аб,Belarusian,ADP,87,yes,-1.5105,0.0195,-0.2155,0.1577,0.7898,0.1167,3,3,2,2
10,33,з,Belarusian,ADP,4,yes,11.4523,-4.5686,2.2417,0.6252,0.5027,0.3667,2,2,1,1
11,34,нацыянальны,Belarusian,ADJ,123,yes,-3.6088,-1.508,-0.159,0.0821,0.6943,0.1225,3,3,2,2
12,37,і,Belarusian,PART,27,yes,21.8444,-12.6034,5.4986,1.0,0.0,0.6981,1,1,1,1
13,39,як,Belarusian,ADV,45,yes,3.3923,0.4865,-1.0304,0.3346,0.8191,0.0338,4,4,3,2
14,41,тэлеграф,Belarusian,PROPN,419,yes,-3.7659,-2.2997,-0.5617,0.0764,0.6447,0.0815,3,3,2,2
15,42,міністэрства,Belarusian,NOUN,420,yes,-0.1535,0.479,-0.033,0.2067,0.8186,0.1353,5,4,3,2
16,44,адзін,Belarusian,NUM,110,yes,5.4154,-1.0267,1.5304,0.4075,0.7244,0.2944,5,4,3,2
17,48,з’яўляцца,Belarusian,VERB,337,yes,-0.3147,0.8331,-0.1849,0.2009,0.8407,0.1198,5,4,3,2
18,50,замежны,Belarusian,ADJ,265,yes,-2.3867,-0.6063,0.2976,0.1261,0.7507,0.1689,3,3,2,2
19,57,вялікі,Belarusian,ADJ,94,yes,0.0071,0.4673,-0.7878,0.2125,0.8178,0.0585,5,4,3,2
20,60,удзел,Belarusian,NOUN,289,yes,-1.1145,-0.4068,-0.8918,0.172,0.7632,0.0479,3,3,2,2
21,62,па,Belarusian,ADP,15,yes,2.2318,0.0115,-0.961,0.2927,0.7893,0.0409,4,4,3,2
22,4160,дэбют,Belarusian,NOUN,232,yes,-0.1313,0.7836,0.3549,0.2075,0.8376,0.1748,5,4,3,2
23,4161,настасся,Belarusian,PROPN,443,yes,-2.1864,-2.8462,2.0557,0.1334,0.6105,0.3478,5,4,3,2
24,4162,мірашнічэнка,Belarusian,PROPN,402,yes,-5.8846,-4.5825,-0.3621,0.0,0.5019,0.1018,3,3,2,2
25,67,праект,Belarusian,NOUN,333,yes,0.0631,1.1779,0.3175,0.2145,0.8623,0.171,5,4,3,2
26,4165,гомель,Belarusian,PROPN,456,yes,-0.0276,0.3173,-0.4989,0.2112,0.8085,0.0879,5,4,3,2
27,70,акрамя,Belarusian,ADP,457,yes,-3.4549,3.3784,8.4654,0.0876,1.0,1.0,3,3,2,2
28,6213,мэдаль,Belarusian,NOUN,303,yes,-0.145,0.6987,-0.0808,0.207,0.8323,0.1304,5,4,3,2
29,73,мець,Belarusian,VERB,71,yes,6.2325,-0.1451,-0.1384,0.437,0.7795,0.1246,2,2,1,1
30,74,свой,Belarusian,DET,19,yes,2.2194,-0.1014,-0.9715,0.2923,0.7823,0.0398,4,4,3,2
31,6220,герасіменя,Belarusian,PROPN,499,yes,-3.6002,-1.7085,-0.4178,0.0824,0.6817,0.0961,3,3,2,2
32,78,расія,Belarusian,PROPN,274,yes,-0.6698,1.6033,1.5787,0.1881,0.8889,0.2993,3,3,2,2
33,79,зша,Belarusian,PROPN,206,yes,0.7405,1.3974,0.2466,0.2389,0.876,0.1637,5,4,3,2
34,2128,цемра,Belarusian,NOUN,324,yes,-2.6943,2.9467,6.1664,0.1151,0.973,0.7661,3,3,2,2
35,81,распавесці,Belarusian,VERB,325,yes,-0.5792,0.259,-0.5232,0.1913,0.8048,0.0854,5,4,3,2
36,83,паводле,Belarusian,ADP,264,yes,-3.5066,-2.1716,-1.0852,0.0858,0.6527,0.0282,3,3,2,2
37,4181,фільм,Belarusian,NOUN,30,yes,10.6236,-5.0229,2.2211,0.5953,0.4743,0.3647,2,2,1,1
38,86,намер,Belarusian,NOUN,300,yes,-1.8104,-0.2043,-0.3727,0.1469,0.7758,0.1007,3,3,2,2
39,2133,ноч,Belarusian,NOUN,442,yes,-0.8696,0.3813,0.0809,0.1809,0.8125,0.1469,5,4,3,2
40,91,інфармацыя,Belarusian,NOUN,340,yes,-0.0577,0.2164,-0.5483,0.2101,0.8022,0.0829,5,4,3,2
41,98,дырэктар,Belarusian,NOUN,233,yes,-0.956,-0.1053,-0.8161,0.1777,0.782,0.0556,5,4,3,2
42,6245,кандыдат,Belarusian,NOUN,314,yes,0.2074,0.5445,-0.6196,0.2197,0.8227,0.0756,5,4,3,2
43,4199,рэжысёр,Belarusian,NOUN,188,yes,0.2281,-0.0451,-1.2321,0.2204,0.7858,0.0133,5,4,3,2
44,4203,сайт,Belarusian,NOUN,249,yes,-0.5253,0.2465,-0.7295,0.1933,0.804,0.0644,5,4,3,2
45,4207,рэжысёрка,Belarusian,NOUN,79,yes,0.3182,0.3335,0.012,0.2237,0.8095,0.1399,5,4,3,2
46,4208,трэнер,Belarusian,NOUN,307,yes,-2.4236,-0.3548,0.8085,0.1248,0.7664,0.2209,3,3,2,2
47,4209,вольга,Belarusian,PROPN,202,yes,-1.815,-1.8311,4.0325,0.1468,0.674,0.549,5,4,3,2
48,4210,абрамчык,Belarusian,PROPN,473,yes,-5.7272,-4.4984,-0.378,0.0057,0.5071,0.1002,3,3,2,2
49,121,мясцовы,Belarusian,ADJ,357,yes,-3.5385,-1.0007,0.4279,0.0846,0.726,0.1822,3,3,2,2
50,4217,андрэй,Belarusian,PROPN,190,yes,-0.0742,-1.631,1.8056,0.2095,0.6866,0.3224,5,4,3,2
51,123,бок,Belarusian,NOUN,91,yes,0.9758,0.4639,-0.7909,0.2474,0.8176,0.0582,4,4,3,2
52,4218,куціла,Belarusian,PROPN,254,yes,-5.2503,-4.2196,-0.4305,0.0229,0.5246,0.0949,3,3,2,2
53,2171,максім,Belarusian,PROPN,57,yes,1.4637,0.9045,-0.672,0.265,0.8452,0.0703,4,4,3,2
54,4223,дакументальны,Belarusian,ADJ,88,yes,-3.1253,0.8841,3.8744,0.0995,0.8439,0.5329,3,3,2,2
55,4224,кіно,Belarusian,NOUN,81,yes,1.7431,0.4003,-0.8781,0.2751,0.8137,0.0493,4,4,3,2
56,2178,думка,Belarusian,NOUN,285,yes,-0.0533,-0.044,-1.2752,0.2103,0.7859,0.0089,5,4,3,2
57,2181,ехаць,Belarusian,VERB,426,yes,-0.0221,0.2367,-0.8494,0.2114,0.8034,0.0522,5,4,3,2
58,2186,воля,Belarusian,NOUN,418,yes,-0.8865,-0.0472,-0.4137,0.1802,0.7857,0.0966,5,4,3,2
59,141,жыхар,Belarusian,NOUN,261,yes,-1.6631,-0.5295,-0.8285,0.1522,0.7555,0.0544,3,3,2,2
60,142,які,Belarusian,DET,119,yes,6.7078,-0.6105,-0.4368,0.4541,0.7504,0.0942,2,2,1,1
61,145,на,Belarusian,ADP,3,yes,10.9098,-5.0722,2.0643,0.6057,0.4712,0.3487,2,2,1,1
62,2193,далей,Belarusian,ADV,447,yes,-0.8391,0.646,0.0615,0.182,0.829,0.1449,3,3,2,2
63,4243,фестываль,Belarusian,NOUN,155,yes,2.0063,1.1252,-0.1308,0.2846,0.859,0.1253,4,4,3,2
64,149,пад,Belarusian,ADP,84,yes,-3.1695,-0.3201,0.7713,0.0979,0.7686,0.2171,3,3,2,2
65,150,ён,Belarusian,PRON,7,yes,7.1893,-0.5074,-0.0397,0.4715,0.7569,0.1346,2,2,1,1
66,151,шмат,Belarusian,ADV,116,yes,2.2262,-1.166,1.473,0.2925,0.7157,0.2885,5,4,3,2
67,2199,конь,Belarusian,NOUN,150,yes,-1.2434,0.3214,-0.2033,0.1674,0.8087,0.118,3,3,2,2
68,4248,2020,Belarusian,NUM,330,yes,-2.5812,-0.3092,1.0392,0.1191,0.7693,0.2444,3,3,2,2
69,154,да,Belarusian,ADP,13,yes,5.3033,-0.2988,-0.5468,0.4035,0.7699,0.083,2,2,1,1
70,155,пайсці,Belarusian,VERB,218,yes,1.3695,1.0495,-0.4926,0.2616,0.8543,0.0885,5,4,3,2
71,4249,юрый,Belarusian,PROPN,453,yes,-3.0515,-1.8024,-0.9386,0.1022,0.6758,0.0432,3,3,2,2
72,157,не,Belarusian,PART,5,yes,8.8184,-1.5079,0.1825,0.5302,0.6943,0.1572,2,2,1,1
73,2206,дарога,Belarusian,NOUN,356,yes,-0.7809,-0.1599,-1.1467,0.1841,0.7786,0.022,5,4,3,2
74,2200,нібы,Belarusian,PART,415,yes,-4.065,0.4137,3.1493,0.0656,0.8145,0.4591,3,3,2,2
75,2208,ездавы,Belarusian,NOUN,234,yes,-2.9293,-0.625,0.4945,0.1066,0.7495,0.189,3,3,2,2
76,160,сябар,Belarusian,NOUN,158,yes,0.3557,0.2702,-1.019,0.225,0.8055,0.035,5,4,3,2
77,2211,вайсковы,Belarusian,ADJ,371,yes,-3.9956,-2.0218,-0.0314,0.0681,0.6621,0.1355,3,3,2,2
78,2214,нядаўна,Belarusian,ADV,360,yes,-2.7538,0.0534,1.2395,0.1129,0.7919,0.2648,3,3,2,2
79,4263,вальс,Belarusian,NOUN,430,yes,-1.6091,0.0519,1.0524,0.1542,0.7919,0.2457,3,3,2,2
80,168,адзначыць,Belarusian,VERB,451,yes,1.0789,0.7221,-0.5016,0.2511,0.8338,0.0876,4,4,3,2
81,169,прадстаўнік,Belarusian,NOUN,191,yes,-1.4036,0.6349,0.838,0.1616,0.8283,0.2239,3,3,2,2
82,2218,трапіць,Belarusian,VERB,444,yes,-0.6107,0.4956,-0.3148,0.1902,0.8196,0.1066,5,4,3,2
83,2224,заўсёды,Belarusian,ADV,469,yes,-3.5435,1.5269,6.1507,0.0844,0.8842,0.7645,3,3,2,2
84,181,гэты,Belarusian,DET,28,yes,3.3522,0.6864,-0.6239,0.3331,0.8316,0.0752,4,4,3,2
85,4278,цана,Belarusian,NOUN,439,yes,-2.2762,0.6058,1.9167,0.1301,0.8265,0.3337,3,3,2,2
86,182,год,Belarusian,NOUN,22,yes,9.2421,-4.2369,1.9404,0.5455,0.5235,0.3361,2,2,1,1
87,184,што,Belarusian,PRON,25,yes,6.3967,-0.2288,0.0021,0.4429,0.7743,0.1389,2,2,1,1
88,183,паказаць,Belarusian,VERB,222,yes,3.6491,0.8077,-0.7771,0.3438,0.8392,0.0596,4,4,3,2
89,186,быць,Belarusian,VERB,48,yes,8.2007,-1.387,-0.0032,0.508,0.7018,0.1383,2,2,1,1
90,187,стан,Belarusian,NOUN,434,yes,0.9101,1.0143,-0.2194,0.245,0.8521,0.1163,5,4,3,2
91,6328,рыё,Belarusian,PROPN,422,yes,-2.4151,1.0291,2.5909,0.1251,0.853,0.4023,3,3,2,2
92,190,таму,Belarusian,ADV,118,yes,0.3755,1.4879,0.3241,0.2258,0.8817,0.1716,5,4,3,2
93,191,яны,Belarusian,PRON,26,yes,4.9931,-0.2025,-0.7098,0.3923,0.7759,0.0664,2,2,1,1
94,195,магчы,Belarusian,VERB,43,yes,8.8717,-1.1054,0.5928,0.5322,0.7194,0.199,2,2,1,1
95,2245,відаць,Belarusian,VERB,336,yes,-1.3558,0.2154,-0.0362,0.1633,0.8021,0.135,5,4,3,2
96,200,сіла,Belarusian,NOUN,144,yes,1.3236,0.2829,-1.035,0.26,0.8063,0.0334,4,4,3,2
97,202,сітуацыя,Belarusian,NOUN,283,yes,0.2432,1.2295,0.1311,0.221,0.8655,0.152,5,4,3,2
98,203,сказаць,Belarusian,VERB,74,yes,5.8749,0.2681,-0.1422,0.4241,0.8054,0.1242,2,2,1,1
99,2250,цяжкі,Belarusian,ADJ,287,yes,-3.6071,-1.4535,-0.1037,0.0821,0.6977,0.1281,3,3,2,2
100,205,гэта,Belarusian,PART,177,yes,7.2055,0.0883,0.2054,0.4721,0.7941,0.1596,2,2,1,1
101,206,ва,Belarusian,ADP,167,yes,-2.068,-0.916,-1.1253,0.1376,0.7313,0.0242,3,3,2,2
102,4301,журналіст,Belarusian,NOUN,346,yes,-1.5544,-0.3761,-0.7079,0.1562,0.7651,0.0666,3,3,2,2
103,4306,мастацтва,Belarusian,NOUN,433,yes,-0.9007,0.5678,0.1514,0.1797,0.8241,0.1541,5,4,3,2
104,210,або,Belarusian,CCONJ,395,yes,-4.4315,-3.1198,-1.0706,0.0524,0.5934,0.0297,3,3,2,2
105,213,месца,Belarusian,NOUN,80,yes,2.797,1.0731,-0.6288,0.3131,0.8558,0.0747,4,4,3,2
106,215,той,Belarusian,DET,36,yes,4.2409,1.2556,-0.4722,0.3652,0.8672,0.0906,4,4,3,2
