,id_palabra,palabra,language,POS,ranking,lemmatized,pc1,pc2,pc3,rgb1,rgb2,rgb3,nc5,nc4,nc3,nc2
0,1,в,Bulgarian,ADP,7,yes,8.2981,1.8283,0.7523,0.5378,0.3233,0.8247,5,4,3,2
1,4,предполагам,Bulgarian,VERB,345,yes,-0.4915,-0.5484,-0.0615,0.2072,0.1498,0.7181,4,3,3,2
2,5,ще,Bulgarian,AUX,14,yes,4.5898,-0.2513,0.5972,0.3983,0.1715,0.8044,5,4,3,2
3,6,се,Bulgarian,PRON,6,yes,4.9005,0.1949,0.5202,0.41,0.2041,0.7943,5,4,3,2
4,8,важен,Bulgarian,ADJ,257,yes,0.1356,-1.1715,-0.3737,0.2308,0.1043,0.6772,4,3,3,2
5,9,въпрос,Bulgarian,NOUN,56,yes,4.094,-0.5704,0.6859,0.3797,0.1482,0.816,5,4,3,2
6,11,дълъг,Bulgarian,ADJ,293,yes,-2.0019,0.922,0.7533,0.1504,0.2572,0.8249,3,2,2,2
7,12,път,Bulgarian,NOUN,84,yes,3.5565,-0.5941,1.1384,0.3595,0.1465,0.8753,5,4,3,2
8,13,изглежда,Bulgarian,VERB,261,yes,-1.0474,-1.0771,-2.2487,0.1863,0.1112,0.4316,2,2,2,2
9,14,аз,Bulgarian,PRON,1,yes,20.0232,10.8942,-3.9685,0.9788,0.9852,0.2062,1,1,1,1
10,15,съм,Bulgarian,AUX,3,yes,19.2493,10.0259,-3.6957,0.9497,0.9218,0.242,1,1,1,1
11,2060,сам,Bulgarian,ADJ,400,yes,-2.4781,1.5264,1.017,0.1325,0.3013,0.8594,3,2,2,2
12,17,за,Bulgarian,ADP,8,yes,9.9936,1.9819,0.2347,0.6016,0.3346,0.7569,5,4,3,2
13,19,не,Bulgarian,PART,10,yes,7.0976,0.1957,0.1959,0.4927,0.2042,0.7518,5,4,3,2
14,21,никой,Bulgarian,PRON,87,yes,0.0404,-1.1277,0.1618,0.2272,0.1075,0.7474,4,3,3,2
15,22,наистина,Bulgarian,ADV,190,yes,-2.1901,0.2695,-0.8417,0.1433,0.2095,0.6159,3,2,2,2
16,23,този,Bulgarian,PRON,21,yes,4.2276,-0.4095,0.9008,0.3847,0.16,0.8442,5,4,3,2
17,25,разбирам-(се),Bulgarian,VERB,194,yes,1.9016,-2.6008,-1.3063,0.2972,0.0,0.555,4,3,3,2
18,26,мога,Bulgarian,VERB,19,yes,9.9006,1.8849,-0.2501,0.5981,0.3275,0.6934,5,4,3,2
19,27,да,Bulgarian,AUX,5,yes,8.3545,0.7515,-0.1436,0.5399,0.2447,0.7074,5,4,3,2
20,2074,нито,Bulgarian,CCONJ,421,yes,-5.117,1.4645,-5.5426,0.0332,0.2968,0.0,2,2,2,2
21,29,с,Bulgarian,ADP,11,yes,5.306,0.2124,1.1193,0.4253,0.2054,0.8728,5,4,3,2
22,2081,председател,Bulgarian,NOUN,163,yes,-0.4493,-0.2237,0.7797,0.2088,0.1735,0.8283,4,3,3,2
23,2082,парламент,Bulgarian,NOUN,222,yes,0.3613,-0.4572,0.795,0.2393,0.1565,0.8303,4,3,3,2
24,35,техен,Bulgarian,PRON,91,yes,-2.6363,1.3899,1.0423,0.1266,0.2913,0.8627,3,2,2,2
25,2084,процес,Bulgarian,NOUN,288,yes,0.4613,-1.2858,-0.6467,0.2431,0.096,0.6414,4,3,3,2
26,37,цял,Bulgarian,ADJ,90,yes,0.5931,0.1171,1.4444,0.248,0.1984,0.9154,4,3,3,2
27,2085,сътрудничество,Bulgarian,NOUN,259,yes,0.3651,-0.8807,-0.2222,0.2394,0.1256,0.6971,4,3,3,2
28,2087,европа,Bulgarian,PROPN,118,yes,0.8428,-0.8653,0.3309,0.2574,0.1267,0.7695,4,3,3,2
29,39,този,Bulgarian,PRON,21,yes,9.092,1.4996,0.0819,0.5677,0.2993,0.7369,5,4,3,2
30,41,на,Bulgarian,ADP,2,yes,17.2133,9.6149,-2.7346,0.8731,0.8918,0.3679,1,1,1,1
31,40,дума,Bulgarian,NOUN,111,yes,2.1248,-1.9298,-0.035,0.3056,0.049,0.7216,4,3,3,2
32,2090,стабилност,Bulgarian,NOUN,475,yes,-1.7784,-0.3886,-2.077,0.1588,0.1615,0.454,2,2,2,2
33,2092,икономически,Bulgarian,ADJ,389,yes,-2.1076,0.7836,0.0395,0.1464,0.2471,0.7313,3,2,2,2
34,2093,развитие,Bulgarian,NOUN,146,yes,0.4692,-0.6432,0.0189,0.2434,0.1429,0.7286,4,3,3,2
35,46,вече,Bulgarian,ADV,60,yes,0.656,-1.0621,0.5314,0.2504,0.1123,0.7958,4,3,3,2
36,48,ето,Bulgarian,PART,500,yes,-1.4555,-0.0032,-0.4092,0.171,0.1896,0.6726,4,3,3,2
37,49,видя-(се),Bulgarian,VERB,72,yes,4.129,-1.2036,-0.069,0.381,0.102,0.7171,5,4,3,2
38,2099,косово,Bulgarian,PROPN,476,yes,-2.4124,-0.1113,-2.3859,0.135,0.1817,0.4136,2,2,2,2
39,53,ли,Bulgarian,PART,18,yes,3.9718,-0.6252,0.6843,0.3751,0.1442,0.8158,5,4,3,2
40,2101,проблем,Bulgarian,NOUN,92,yes,3.7546,-0.7759,0.4892,0.3669,0.1332,0.7903,5,4,3,2
41,55,дали,Bulgarian,PART,139,yes,-1.4945,-0.3724,-0.9369,0.1695,0.1627,0.6034,2,2,2,2
42,56,някой,Bulgarian,DET,104,yes,1.8596,-2.1255,-0.4737,0.2956,0.0347,0.6641,4,3,3,2
43,57,от,Bulgarian,ADP,9,yes,10.0491,2.686,0.3177,0.6037,0.386,0.7678,5,4,3,2
44,60,нямам,Bulgarian,VERB,29,yes,6.0361,0.4628,0.7215,0.4527,0.2237,0.8207,5,4,3,2
45,2109,република,Bulgarian,NOUN,115,yes,1.5551,-1.3203,0.0231,0.2842,0.0935,0.7292,4,3,3,2
46,62,седна,Bulgarian,VERB,497,yes,-1.1993,-0.2834,-0.9968,0.1806,0.1692,0.5956,4,3,3,2
47,63,чуя,Bulgarian,VERB,238,yes,1.0503,-1.8148,-0.8015,0.2652,0.0574,0.6212,4,3,3,2
48,64,какъв,Bulgarian,DET,30,yes,3.5607,-0.7117,1.1258,0.3596,0.1379,0.8737,5,4,3,2
49,65,говоря,Bulgarian,VERB,82,yes,3.3298,-0.9482,0.4542,0.3509,0.1206,0.7857,5,4,3,2
50,66,из,Bulgarian,ADP,316,yes,-3.5669,1.8524,0.1944,0.0915,0.3251,0.7516,3,2,2,2
51,67,град,Bulgarian,NOUN,201,yes,0.2519,-0.8459,0.415,0.2352,0.1281,0.7805,4,3,3,2
52,68,трябва,Bulgarian,VERB,46,yes,4.6457,-0.849,0.0735,0.4004,0.1279,0.7358,5,4,3,2
53,69,кажа,Bulgarian,VERB,44,yes,4.377,-0.8111,-0.2959,0.3903,0.1307,0.6874,5,4,3,2
54,70,а,Bulgarian,CCONJ,37,yes,1.6203,-1.5236,0.2382,0.2866,0.0786,0.7574,4,3,3,2
55,2113,въоръжа,Bulgarian,ADJ,173,yes,-4.0471,3.0652,1.3216,0.0735,0.4136,0.8993,3,2,2,2
56,76,до,Bulgarian,ADP,39,yes,-0.3751,0.3633,1.504,0.2116,0.2164,0.9232,4,3,3,2
57,2125,готовност,Bulgarian,NOUN,274,yes,1.0275,2.6043,-1.4767,0.2643,0.38,0.5327,4,3,3,2
58,78,час,Bulgarian,NOUN,254,yes,-0.0247,-0.0594,1.2141,0.2248,0.1855,0.8852,4,3,3,2
59,79,искам,Bulgarian,VERB,43,yes,5.6137,-0.449,-0.2742,0.4368,0.1571,0.6902,5,4,3,2
60,2128,представител,Bulgarian,NOUN,112,yes,0.6079,-0.4169,0.4126,0.2486,0.1594,0.7802,4,3,3,2
61,84,и,Bulgarian,CCONJ,4,yes,20.5869,11.0972,-3.5979,1.0,1.0,0.2548,1,1,1,1
62,85,стана,Bulgarian,VERB,95,yes,3.589,-0.9965,0.6755,0.3607,0.1171,0.8147,5,4,3,2
63,88,иван,Bulgarian,PROPN,169,yes,-0.8929,-0.3812,-0.0318,0.1921,0.162,0.722,4,3,3,2
64,92,свой,Bulgarian,DET,97,yes,1.3236,0.7149,1.7419,0.2755,0.2421,0.9544,4,3,3,2
65,94,къща,Bulgarian,NOUN,384,yes,-0.8002,-0.1199,0.2703,0.1956,0.1811,0.7616,4,3,3,2
66,95,често,Bulgarian,ADV,195,yes,-1.2053,-0.2755,-0.2832,0.1804,0.1698,0.6891,4,3,3,2
67,97,мисля,Bulgarian,VERB,150,yes,1.4865,-1.575,-0.0363,0.2816,0.0749,0.7214,4,3,3,2
68,4193,определя-(се),Bulgarian,ADJ,346,yes,-2.8062,0.885,-0.5524,0.1202,0.2545,0.6538,3,2,2,2
69,103,два,Bulgarian,NUM,68,yes,-0.3008,0.4985,1.6583,0.2144,0.2263,0.9434,4,3,3,2
70,104,голям,Bulgarian,ADJ,63,yes,0.5607,-0.3379,0.9925,0.2468,0.1652,0.8562,4,3,3,2
71,2151,министър,Bulgarian,NOUN,138,yes,1.4316,-1.606,-0.3336,0.2796,0.0726,0.6825,4,3,3,2
72,110,прост,Bulgarian,ADJ,492,yes,-3.5576,0.2635,-4.9193,0.0919,0.2091,0.0817,2,2,2,2
73,113,пиша,Bulgarian,VERB,228,yes,1.6646,-0.9195,0.6714,0.2883,0.1227,0.8141,4,3,3,2
74,115,писмо,Bulgarian,NOUN,326,yes,-1.6383,0.7255,0.7917,0.1641,0.2428,0.8299,3,2,2,2
75,116,пара,Bulgarian,NOUN,162,yes,0.8911,-0.7652,1.0253,0.2592,0.134,0.8605,4,3,3,2
76,2167,модел,Bulgarian,NOUN,213,yes,-0.6687,-0.2158,0.0887,0.2006,0.1741,0.7378,4,3,3,2
77,120,ред,Bulgarian,NOUN,143,yes,1.0041,-0.5989,0.6094,0.2635,0.1461,0.806,4,3,3,2
78,121,минута,Bulgarian,NOUN,414,yes,-1.147,0.5343,1.1931,0.1826,0.2289,0.8825,3,2,2,2
79,2170,президент,Bulgarian,NOUN,237,yes,-1.0392,-0.1591,-0.2848,0.1866,0.1783,0.6889,4,3,3,2
80,124,по,Bulgarian,ADP,16,yes,4.0135,-0.4506,0.7774,0.3767,0.157,0.828,5,4,3,2
81,129,около,Bulgarian,ADP,357,yes,-3.614,0.9499,-2.8501,0.0898,0.2592,0.3528,2,2,2,2
82,134,кола,Bulgarian,NOUN,297,yes,-2.7104,0.8873,-0.5182,0.1238,0.2546,0.6583,3,2,2,2
83,2186,чрез,Bulgarian,ADP,381,yes,-3.3966,1.8809,0.4525,0.098,0.3272,0.7855,3,2,2,2
84,141,жена,Bulgarian,NOUN,94,yes,2.9882,-1.8379,0.1613,0.3381,0.0557,0.7473,5,4,3,2
85,4237,полезен,Bulgarian,ADJ,295,yes,-2.7837,-0.3843,-4.4285,0.121,0.1618,0.146,2,2,2,2
86,143,който,Bulgarian,PRON,15,yes,6.3078,-0.271,0.4387,0.4629,0.1701,0.7836,5,4,3,2
87,145,дойда,Bulgarian,VERB,76,yes,3.3301,-1.0396,0.4787,0.351,0.114,0.7889,5,4,3,2
88,146,там,Bulgarian,ADV,49,yes,2.8115,-1.6181,0.0229,0.3315,0.0717,0.7292,5,4,3,2
89,147,още,Bulgarian,ADV,47,yes,0.8952,-0.1075,1.7116,0.2594,0.182,0.9504,4,3,3,2
90,2196,успех,Bulgarian,NOUN,433,yes,-0.5316,-0.6763,-0.6812,0.2057,0.1405,0.6369,4,3,3,2
91,150,мой,Bulgarian,DET,61,yes,0.2594,0.5805,1.7362,0.2355,0.2322,0.9536,4,3,3,2
92,153,малък,Bulgarian,ADJ,159,yes,0.104,-0.8289,-0.0873,0.2296,0.1294,0.7147,4,3,3,2
93,156,око,Bulgarian,NOUN,117,yes,-0.0419,0.2023,1.4885,0.2241,0.2046,0.9212,4,3,3,2
94,2204,институция,Bulgarian,NOUN,284,yes,0.606,-1.1797,-0.5102,0.2485,0.1037,0.6593,4,3,3,2
95,2209,отношение,Bulgarian,NOUN,140,yes,0.794,-0.724,0.3517,0.2556,0.137,0.7722,4,3,3,2
96,162,сърце,Bulgarian,NOUN,365,yes,-1.0542,-0.0775,0.1117,0.1861,0.1842,0.7408,4,3,3,2
97,161,приятел,Bulgarian,NOUN,279,yes,0.5739,-0.6641,0.4955,0.2473,0.1414,0.7911,4,3,3,2
98,2210,начин,Bulgarian,NOUN,191,yes,0.9618,-0.9907,0.5655,0.2619,0.1175,0.8003,4,3,3,2
99,164,силно,Bulgarian,ADV,472,yes,-4.0406,3.4317,2.0901,0.0737,0.4404,1.0,3,2,2,2
100,166,неин,Bulgarian,PRON,58,yes,-0.7974,0.7934,1.879,0.1957,0.2478,0.9724,3,2,2,2
101,2216,война,Bulgarian,NOUN,380,yes,-0.5576,0.1528,0.798,0.2047,0.201,0.8307,4,3,3,2
102,2217,югославия,Bulgarian,PROPN,379,yes,-1.2696,-1.3264,-3.0961,0.178,0.093,0.3205,2,2,2,2
103,170,един,Bulgarian,NUM,57,yes,1.2296,-0.1999,1.3726,0.272,0.1753,0.906,4,3,3,2
104,2218,циана,Bulgarian,PROPN,264,yes,-2.1907,1.5363,1.691,0.1433,0.302,0.9477,3,2,2,2
105,174,село,Bulgarian,NOUN,331,yes,-0.3023,-0.4207,-0.0436,0.2143,0.1592,0.7205,4,3,3,2
106,2225,уважаем,Bulgarian,ADJ,418,yes,-5.8101,6.0957,1.8183,0.0072,0.6349,0.9644,3,2,2,2
107,2228,декларация,Bulgarian,NOUN,436,yes,-0.462,-0.4773,0.2144,0.2083,0.155,0.7543,4,3,3,2
108,180,покажа-(се),Bulgarian,VERB,318,yes,-0.0054,-0.9895,-0.4686,0.2255,0.1176,0.6648,4,3,3,2
109,182,хора,Bulgarian,NOUN,69,yes,3.9779,-1.493,0.1213,0.3753,0.0809,0.7421,5,4,3,2
110,183,като,Bulgarian,SCONJ,70,yes,-0.4635,0.52,1.9098,0.2083,0.2278,0.9764,4,3,3,2
111,184,всеки,Bulgarian,PRON,66,yes,3.5333,-0.9579,0.7641,0.3586,0.1199,0.8263,5,4,3,2
112,2233,структура,Bulgarian,NOUN,280,yes,1.2285,-0.363,0.6938,0.2719,0.1634,0.8171,4,3,3,2
113,2232,европейски,Bulgarian,ADJ,119,yes,-2.7286,0.6195,-0.8909,0.1231,0.2351,0.6095,3,2,2,2
114,192,състояние,Bulgarian,NOUN,339,yes,1.217,-1.7838,-0.5005,0.2715,0.0596,0.6606,4,3,3,2
115,196,късно,Bulgarian,ADV,315,yes,-0.7684,-0.5405,-0.5501,0.1968,0.1504,0.6541,4,3,3,2
116,197,след,Bulgarian,ADP,50,yes,0.354,0.1974,1.4476,0.239,0.2043,0.9158,4,3,3,2
117,2245,образование,Bulgarian,NOUN,435,yes,-1.3267,-0.1709,-1.0717,0.1758,0.1774,0.5858,2,2,2,2
118,202,веднага,Bulgarian,ADV,245,yes,-3.8797,1.366,-1.6019,0.0798,0.2896,0.5163,3,2,2,2
119,2257,според,Bulgarian,ADP,332,yes,-2.3863,0.9834,0.1483,0.136,0.2617,0.7456,3,2,2,2
120,210,днес,Bulgarian,ADV,142,yes,-1.0707,-0.34,-0.5585,0.1854,0.165,0.653,4,3,3,2
121,2260,сигурност,Bulgarian,NOUN,155,yes,1.5532,-1.2105,0.1966,0.2841,0.1015,0.7519,4,3,3,2
122,214,наш,Bulgarian,PRON,132,yes,-2.8476,1.5586,0.8553,0.1186,0.3036,0.8382,3,2,2,2
123,2262,използване,Bulgarian,NOUN,434,yes,-1.4476,0.4058,0.3594,0.1713,0.2195,0.7733,4,3,3,2
124,220,някога,Bulgarian,ADV,292,yes,-1.615,0.0593,-0.626,0.165,0.1942,0.6442,3,2,2,2
125,223,със,Bulgarian,ADP,62,yes,-1.9139,1.141,1.7545,0.1537,0.2732,0.956,3,2,2,2
126,2271,също,Bulgarian,ADV,182,yes,-1.9676,0.3519,-0.0281,0.1517,0.2156,0.7225,3,2,2,2
127,230,съвсем,Bulgarian,ADV,397,yes,-4.2701,3.4887,1.9201,0.0651,0.4446,0.9777,3,2,2,2
128,232,народ,Bulgarian,NOUN,301,yes,-0.5442,-0.5578,-0.3474,0.2052,0.1491,0.6807,4,3,3,2
129,2284,резултат,Bulgarian,NOUN,329,yes,-1.5225,0.3126,-0.0288,0.1684,0.2127,0.7224,3,2,2,2
130,236,така,Bulgarian,ADV,53,yes,2.8562,-1.8215,-0.4227,0.3331,0.0569,0.6708,5,4,3,2
131,238,година,Bulgarian,NOUN,54,yes,2.9709,-0.2529,1.5175,0.3374,0.1714,0.925,5,4,3,2
